names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
KDELR2,2.986549,0.40641192,0.0028214577669953586,1.0,0.8867924528301887
PPP1CB,2.9398248,0.42244607,0.003283977742613125,1.0,0.7452830188679245
PRSS23,2.870677,0.24510717,0.004095936681231116,1.0,0.9716981132075472
ENY2,2.8665917,0.27082473,0.004149178100000862,1.0,0.9528301886792453
PPP1R14B,2.8573015,0.2998478,0.004272598076237534,1.0,0.9811320754716981
NDUFAF3,2.8500085,0.39514348,0.00437180701442286,1.0,0.8301886792452831
SHOC2,2.8369656,0.6580342,0.004554450785581487,1.0,0.5
KCNAB1,2.8327897,0.39805508,0.00461437507219899,1.0,0.7547169811320755
ANXA6,2.824498,0.4674125,0.004735475978043731,1.0,0.6509433962264151
TSEN15,2.7757766,0.7559025,0.0055070017660159,1.0,0.44339622641509435
ATP2B4,2.7480571,0.5403305,0.005994957546771619,1.0,0.6037735849056604
UFM1,2.7056606,0.49269816,0.006816868988891351,1.0,0.6226415094339622
TACC1,2.6695282,0.28186917,0.0075957900565878445,1.0,0.9528301886792453
RNF10,2.6368456,0.5226528,0.008368090279905207,1.0,0.5943396226415094
VIM,2.6199596,0.07229542,0.008794017117061886,1.0,1.0
TPD52L2,2.6131508,0.58667994,0.008971171175203805,1.0,0.5188679245283019
GMCL1,2.5971727,0.6390919,0.0093994663815429,1.0,0.42452830188679247
ITGA5,2.586702,0.28877625,0.009689931591731753,1.0,0.9811320754716981
TMEM161A,2.5613127,1.0045133,0.010427746816077128,1.0,0.3113207547169811
TXNRD2,2.545728,0.35444173,0.010905014973979783,1.0,0.8584905660377359
LRPAP1,2.5319285,0.33519548,0.011343708119092995,1.0,0.7075471698113207
CELF2,2.5156782,0.41173667,0.011880362398219787,1.0,0.7075471698113207
ASNSD1,2.514861,1.0837035,0.011907929830384998,1.0,0.29245283018867924
MYH9,2.5003657,0.3090652,0.012406514303134409,1.0,0.8207547169811321
CTSZ,2.4990644,0.18102367,0.012452164196267174,1.0,0.9811320754716981
EXOC6,2.478759,0.59948844,0.013184036618467622,1.0,0.4528301886792453
SERPINH1,2.4682581,0.39128283,0.013577235132720895,1.0,0.8301886792452831
ECE1,2.4654741,0.25596482,0.0136832060367171,1.0,0.8490566037735849
SRSF2,2.4509182,0.3659869,0.014249229855585532,1.0,0.7641509433962265
CLPP,2.4395702,0.41091034,0.014704746257293571,1.0,0.7169811320754716
EXOC6B,2.4331548,0.6653918,0.014967903676892458,1.0,0.4056603773584906
ACTG1,2.418357,0.13096604,0.015590781397179749,1.0,1.0
EIF4B,2.4143016,0.31786537,0.01576540070568911,1.0,0.9056603773584906
INSIG1,2.4130006,0.37855065,0.015821798682064618,1.0,0.8301886792452831
NUMB,2.3936331,0.38055757,0.016682429588633554,1.0,0.6792452830188679
SMIM30,2.3793495,0.46743998,0.017343220301992167,1.0,0.5471698113207547
ELAVL1,2.343671,0.521582,0.019095000336408874,1.0,0.5377358490566038
CCN2,2.3374674,0.33379588,0.019414889145159146,1.0,0.8773584905660378
SH3PXD2A,2.3317177,0.6755478,0.01971554234830731,1.0,0.3867924528301887
MYO1C,2.3310218,0.3491276,0.019752211668030796,1.0,0.7358490566037735
ATF7IP,2.3303561,0.63034016,0.019787342383284605,1.0,0.42452830188679247
RPS2,2.3286312,0.06999324,0.01987861678239577,1.0,1.0
LRRC75A,2.3277838,0.40177116,0.01992358780534403,1.0,0.6698113207547169
SNX5,2.3220038,0.3907141,0.020232730396955532,1.0,0.6792452830188679
SUPT6H,2.3210354,0.61043733,0.02028493120843226,1.0,0.44339622641509435
YIPF4,2.3038468,0.40527648,0.021231242494480912,1.0,0.6320754716981132
PPP1R35,2.302031,0.7892021,0.02133341573379671,1.0,0.36792452830188677
CTSD,2.2967353,0.44254366,0.021633870723205634,1.0,0.6226415094339622
PTPMT1,2.290078,0.90726715,0.02201680645683404,1.0,0.2830188679245283
BMP1,2.2852056,0.6099117,0.022300769703223547,1.0,0.3867924528301887
SMAD2,2.2837532,0.43861514,0.02238604347652148,1.0,0.6226415094339622
LPP,2.277398,0.2779794,0.02276245784236545,1.0,0.8113207547169812
PLP2,2.2763996,0.30694625,0.022822105932973243,1.0,0.8773584905660378
NUTF2,2.2749166,0.3401934,0.022910924820248417,1.0,0.8301886792452831
MAN2A1,2.2746747,0.6194135,0.02292545434074182,1.0,0.42452830188679247
PHACTR2,2.2652633,0.31188047,0.0234965275031935,1.0,0.9056603773584906
CDV3,2.2639923,0.30470836,0.02357458838252853,1.0,0.9339622641509434
NEAT1,2.2630844,0.20471005,0.0236304838439958,1.0,1.0
MRGBP,2.2626607,0.49639544,0.023656607722081665,1.0,0.5
CYB5B,2.253068,0.37472078,0.024254870740876157,1.0,0.7547169811320755
TSIX,2.2396922,1.5275774,0.025110910696132232,1.0,0.19811320754716982
CD2AP,2.229736,0.64011633,0.02576496419083315,1.0,0.4056603773584906
TCAF1,2.220597,0.46117568,0.02637825922098437,1.0,0.5377358490566038
SERINC1,2.2164211,0.44028142,0.026662679751234274,1.0,0.5471698113207547
TGM2,2.2161486,0.15189382,0.026681320573763472,1.0,1.0
ADA,2.216058,0.42837885,0.02668753668202569,1.0,0.5754716981132075
ABL2,2.2098846,0.4697764,0.02711317672649438,1.0,0.5094339622641509
ATRN,2.1924236,0.65923977,0.028348935144022737,1.0,0.3490566037735849
BEX3,2.1889434,0.18576488,0.028600946841612015,1.0,0.9905660377358491
NBN,2.1843135,0.42874044,0.028939221404460917,1.0,0.5188679245283019
GFPT1,2.1753862,0.54788417,0.029601180460497672,1.0,0.44339622641509435
ORAI2,2.1603463,0.42144832,0.030745873083693028,1.0,0.5566037735849056
NUMA1,2.154536,0.70473146,0.031198158296660054,1.0,0.330188679245283
RACK1,2.1503296,0.08837473,0.031529146139547576,1.0,1.0
SRFBP1,2.148393,0.6812189,0.03168255325607281,1.0,0.33962264150943394
TMEM259,2.1481206,0.794441,0.031704177383110634,1.0,0.37735849056603776
ASXL1,2.144247,0.40039325,0.03201309314687293,1.0,0.6226415094339622
FAM107A,2.1435208,0.36512718,0.0320713011786177,1.0,0.6132075471698113
ERO1A,2.1433089,0.5347926,0.03208829559910526,1.0,0.4811320754716981
TARDBP,2.1418867,0.49104142,0.03220260099805,1.0,0.5
THBD,2.1418564,0.40902582,0.032205036813919494,1.0,0.5660377358490566
ETF1,2.1418262,0.40193155,0.03220747278767405,1.0,0.5471698113207547
MTG2,2.1390724,0.7361459,0.03242980834525081,1.0,0.330188679245283
RBMS1,2.126302,0.4121512,0.033478124833948006,1.0,0.6415094339622641
VCL,2.122701,0.2653325,0.033778929454826884,1.0,0.839622641509434
GIGYF2,2.1208246,0.43522507,0.033936564895850035,1.0,0.5094339622641509
NGRN,2.119039,0.35248527,0.03408715640698091,1.0,0.6320754716981132
USP7,2.1067529,0.6222586,0.035138998947493554,1.0,0.37735849056603776
P3H4,2.104786,0.3895527,0.035309944307312456,1.0,0.6320754716981132
RANBP2,2.1010032,0.6165901,0.03564068067043527,1.0,0.41509433962264153
TRIP6,2.096222,0.6186816,0.03606250946650099,1.0,0.4056603773584906
LENG8,2.088717,0.48006073,0.036733202172455216,1.0,0.4528301886792453
CARD8-AS1,2.0787609,0.73572874,0.03763932610635462,1.0,0.3113207547169811
LNPEP,2.074252,0.5243913,0.03805591429965353,1.0,0.46226415094339623
SNX29,2.0734348,0.7204212,0.038131821554989995,1.0,0.29245283018867924
MXRA7,2.073102,0.279643,0.0381627836227492,1.0,0.839622641509434
DCAF13,2.0634487,0.35763493,0.039070027306857234,1.0,0.6415094339622641
UBE2D2,2.060937,0.30276147,0.03930906247239186,1.0,0.7830188679245284
DR1,2.053795,0.45136762,0.039995523794449137,1.0,0.4811320754716981
SDHD,2.0523124,0.48031533,0.04013931962359882,1.0,0.49056603773584906
DEXI,2.0513742,0.59023654,0.040230518774427744,1.0,0.3490566037735849
URM1,2.0484085,0.61414963,0.04051998248888936,1.0,0.3584905660377358
SLC36A4,2.0402076,0.72767943,0.04132964583072269,1.0,0.32075471698113206
PNRC2,2.0401773,0.3613108,0.041332658708961766,1.0,0.5754716981132075
SNRNP27,2.0225954,0.3958915,0.043114877357955786,1.0,0.5094339622641509
PINX1,2.016876,0.6287322,0.04370845838659181,1.0,0.3113207547169811
FAM3A,2.012972,0.69942147,0.04411755176700434,1.0,0.29245283018867924
SELENOK,2.0001414,0.31876376,0.045485008441478146,1.0,0.660377358490566
MTRNR2L8,1.9987493,0.342355,0.04563548985457099,1.0,0.6415094339622641
YBX3,1.9966612,0.15769781,0.045861998381630326,1.0,1.0
