names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL3,5.9939404,0.2410115,2.048165578225337e-09,6.0957503939142476e-05,1.0
CAPZA1,3.9850314,0.47711197,6.74711888007719e-05,1.0,0.8469387755102041
MCRIP1,3.2259703,0.69944876,0.0012554636592320854,1.0,0.5510204081632653
EIF5A,3.0239613,0.31374255,0.0024948828365081843,1.0,0.9897959183673469
MRPS15,2.9692545,0.3884003,0.0029852318563998843,1.0,0.826530612244898
FHL2,2.9408777,0.47778407,0.0032728387420222346,1.0,0.8367346938775511
INO80C,2.9158075,0.39381427,0.003547692759590331,1.0,0.9081632653061225
PFDN6,2.8732893,0.6246804,0.004062219688891475,1.0,0.5306122448979592
FLNC,2.8383927,0.8590476,0.004534134490273669,1.0,0.40816326530612246
NOP10,2.8202517,0.3552034,0.004798599541215492,1.0,0.9693877551020408
C19orf53,2.7153103,0.3560481,0.00662136911056543,1.0,0.9591836734693877
DNAJC15,2.7070587,0.43252626,0.006788226493259562,1.0,0.7346938775510204
SUMO2,2.7062397,0.24474487,0.006804989246298366,1.0,0.9897959183673469
MRPL2,2.6992478,0.87756544,0.00694963905701696,1.0,0.40816326530612246
ZNFX1,2.6974843,0.76216733,0.00698656079592966,1.0,0.40816326530612246
BAD,2.66495,0.58073944,0.0076999810833884305,1.0,0.5816326530612245
SNRPB2,2.6440687,0.32944506,0.008191604402349709,1.0,0.8367346938775511
PHF20L1,2.591724,0.4687509,0.009549636790771001,1.0,0.673469387755102
NDUFA4,2.555788,0.25839192,0.010594760424658255,1.0,0.9897959183673469
TARDBP,2.5481348,0.60546404,0.01083005982902614,1.0,0.5102040816326531
ESD,2.5369227,0.3849036,0.01118316669856973,1.0,0.7959183673469388
NDUFA6,2.5227814,0.38494614,0.011643076281286155,1.0,0.7142857142857143
GALE,2.520986,0.84485877,0.011702645604345,1.0,0.35714285714285715
VPS28,2.4664054,0.2229952,0.013647680611685411,1.0,0.8469387755102041
LSM7,2.4505634,0.3209947,0.014263287099319157,1.0,0.9285714285714286
LINC-PINT,2.439666,1.50347,0.014700844581301496,1.0,0.23469387755102042
SNRNP25,2.3955731,0.6398738,0.016594407301214937,1.0,0.4387755102040816
AK3,2.3823767,0.45063415,0.0172012940945756,1.0,0.6224489795918368
HSPG2,2.3687708,0.19657516,0.017847309760486183,1.0,0.9897959183673469
RHOBTB1,2.364708,1.5712115,0.018044294358731134,1.0,0.21428571428571427
RALA,2.358157,0.32701427,0.0183659244900969,1.0,0.8163265306122449
MARCH5,2.355291,0.7467067,0.018508208446620655,1.0,0.37755102040816324
NOP53,2.3469763,0.39376652,0.018926460877744182,1.0,0.7142857142857143
CTNNAL1,2.3448975,0.4080388,0.01903230665844931,1.0,0.6428571428571429
SSH2,2.3408663,0.76550347,0.0192390592965442,1.0,0.37755102040816324
MRPL34,2.332709,0.42282715,0.019663422556938745,1.0,0.6326530612244898
MDK,2.3222528,0.23463117,0.020219334076305887,1.0,0.9489795918367347
NPDC1,2.3100326,0.3643403,0.02088634853145559,1.0,0.7142857142857143
RNF11,2.3053083,0.46650907,0.02114930943674908,1.0,0.5510204081632653
UBE2F,2.2997336,0.5177932,0.021463308905803804,1.0,0.5102040816326531
FRA10AC1,2.2938757,0.5702217,0.02179764088265781,1.0,0.5204081632653061
CD63,2.279514,0.18584976,0.022636531362391788,1.0,1.0
COPG1,2.2677348,0.65968925,0.02334537401164509,1.0,0.3979591836734694
GAS6,2.2671049,0.8863251,0.023383816891534678,1.0,0.30612244897959184
NDUFS6,2.241657,0.26488516,0.024983551602888888,1.0,0.9693877551020408
MED4,2.2208703,0.48809206,0.026359750307739873,1.0,0.5102040816326531
GNPDA1,2.2027607,0.5170084,0.027611624483979122,1.0,0.5
NMI,2.1742892,0.6598213,0.029683427149549933,1.0,0.40816326530612246
RXYLT1,2.1591716,0.5432261,0.03083686096123172,1.0,0.4387755102040816
SNHG8,2.1556756,0.33852026,0.03110900498702284,1.0,0.826530612244898
PLSCR4,2.1543212,0.42006922,0.03121498270084687,1.0,0.5918367346938775
PLP2,2.143613,0.2850518,0.03206390747273627,1.0,0.8061224489795918
BCAP29,2.1419752,0.3333322,0.03219547212154291,1.0,0.7551020408163265
HMGA2,2.1324322,0.7414407,0.032971325805931914,1.0,0.3163265306122449
ATP5PF,2.131015,0.28929675,0.03308790578292023,1.0,0.9591836734693877
RIF1,2.1303537,0.45651323,0.033142430399839655,1.0,0.5204081632653061
ZFAND1,2.1283693,0.5506554,0.03330646586634404,1.0,0.4489795918367347
TOR1AIP2,2.125913,0.4055694,0.033510519452195846,1.0,0.5918367346938775
WRNIP1,2.1258814,0.6807203,0.033513142451469656,1.0,0.35714285714285715
SMIM4,2.1247475,0.51158696,0.03360768746464967,1.0,0.5102040816326531
SMARCD1,2.1147635,0.3731149,0.03445010190224346,1.0,0.673469387755102
RBFA,2.1113622,0.50780237,0.03474119792321712,1.0,0.46938775510204084
RECQL,2.1073308,0.4031297,0.03508891842007052,1.0,0.5816326530612245
SOD1,2.104937,0.2350273,0.03529677984746808,1.0,0.9489795918367347
CETN3,2.1022916,0.70530224,0.03552774312408185,1.0,0.3673469387755102
ATP5MC2,2.0942605,0.17209637,0.036236795436434766,1.0,1.0
SF3B2,2.093788,0.31164804,0.03627887740353565,1.0,0.7857142857142857
PHF3,2.0841506,0.42049322,0.03714648506420754,1.0,0.5612244897959183
SYPL1,2.0803394,0.30249396,0.03749440001571287,1.0,0.6938775510204082
FNDC3B,2.0758672,0.40763542,0.03790622997826491,1.0,0.6224489795918368
TPR,2.0726233,0.3265543,0.03820735373501011,1.0,0.7448979591836735
RAB31,2.0705762,0.51779526,0.03839842812405309,1.0,0.5204081632653061
GRB10,2.06434,0.54075056,0.03898548309447522,1.0,0.4387755102040816
NAA10,2.0630174,0.25325373,0.039110985207060134,1.0,0.8163265306122449
UQCRFS1,2.057852,0.25174078,0.03960433184838211,1.0,0.7346938775510204
EPAS1,2.0371284,0.3684226,0.04163717666629803,1.0,0.6632653061224489
DAD1,2.035963,0.3100262,0.0417540623519874,1.0,0.9489795918367347
RPL22,2.0320578,0.10060593,0.04214781464682198,1.0,1.0
EPS15,2.02705,0.54760015,0.042657299765734326,1.0,0.4387755102040816
GFPT1,2.0260108,0.5841517,0.042763692013164024,1.0,0.40816326530612246
SRP14,2.0182629,0.1543314,0.04356388928703293,1.0,1.0
USP25,2.015334,0.63395995,0.043869679824524374,1.0,0.37755102040816324
NAV1,2.0095704,0.3848951,0.04447669046545651,1.0,0.5612244897959183
NDUFS5,1.9835554,0.15888295,0.04730542577781914,1.0,1.0
GLB1,1.9790831,0.59209394,0.047806650279942096,1.0,0.37755102040816324
SNRPA1,1.9742329,0.4178627,0.04835526951877218,1.0,0.5204081632653061
CTNNBL1,1.9726267,0.5159262,0.04853811675881006,1.0,0.45918367346938777
PHB,1.9646899,0.27716073,0.049450140995055694,1.0,0.8367346938775511
NHLRC3,1.964438,0.7974562,0.04947932799708242,1.0,0.2755102040816326
RFLNB,1.9620758,0.49639598,0.04975365960341288,1.0,0.45918367346938777
UQCRQ,1.9529737,0.21434659,0.050822706138593556,1.0,1.0
DZIP1,1.9410056,0.5683947,0.05225759269522171,1.0,0.3979591836734694
ACOT7,1.9389585,0.29169282,0.0525063953823667,1.0,0.7142857142857143
MTMR14,1.9315886,0.8493289,0.05341029929523792,1.0,0.25510204081632654
MYL12B,1.9308642,0.19143991,0.053499841858807205,1.0,1.0
BBX,1.9270219,0.3097777,0.05397690538363954,1.0,0.673469387755102
ARL2BP,1.9254156,0.32121503,0.05417738332179012,1.0,0.6122448979591837
FZD4,1.9229906,0.6234001,0.05448124268588108,1.0,0.336734693877551
OGA,1.9191481,0.38900506,0.0549655921399904,1.0,0.5510204081632653
COMMD1,1.9181718,0.41140032,0.05508923496059841,1.0,0.5
SETD7,1.9116209,0.60123277,0.055924848769452154,1.0,0.35714285714285715
CSRP1,1.9096681,0.3110841,0.056175958816917386,1.0,0.7040816326530612
IFNAR1,1.9081879,0.44131258,0.05636694143549308,1.0,0.47959183673469385
CLEC11A,1.9063927,0.3154381,0.05659928361290502,1.0,0.7755102040816326
NDUFAB1,1.8973535,0.23380426,0.05778128938122852,1.0,0.826530612244898
METTL17,1.8830234,1.0134821,0.059697204843190695,1.0,0.22448979591836735
SAP30,1.8820785,0.83681613,0.059825359283339895,1.0,0.2755102040816326
SUPT3H,1.8795589,0.83604604,0.06016822039119888,1.0,0.23469387755102042
PIBF1,1.8747401,0.79421496,0.06082847979736899,1.0,0.25510204081632654
SNHG29,1.8741417,0.14619698,0.060910890241208236,1.0,1.0
COX17,1.8732284,0.29835916,0.06103685291736025,1.0,0.7857142857142857
IFITM3,1.8700789,0.13408104,0.06147286289951089,1.0,1.0
MIR217HG,1.8663625,0.2996457,0.0619906682425909,1.0,0.7448979591836735
PRPF8,1.8583943,0.40672526,0.06311304860279034,1.0,0.5510204081632653
NAAA,1.853859,0.56474185,0.06375933969157782,1.0,0.3877551020408163
IMP4,1.8537645,0.43565914,0.06377286200185911,1.0,0.4897959183673469
PBDC1,1.8510875,0.53367704,0.06415697955864627,1.0,0.41836734693877553
ZNF652,1.850237,0.73468655,0.06427939239117783,1.0,0.29591836734693877
MRPS10,1.8460168,0.3806445,0.06488977910759103,1.0,0.5714285714285714
MCFD2,1.8416075,0.24467815,0.06553259638345472,1.0,0.8673469387755102
SDHAF2,1.8376391,0.44713992,0.06611561217157448,1.0,0.40816326530612246
ARHGDIG,1.8368832,1.050126,0.06622714593021596,1.0,0.23469387755102042
FAM189B,1.8359383,0.52942157,0.0663667810701499,1.0,0.3877551020408163
EGFL7,1.834962,0.1390179,0.06651132540795221,1.0,0.9387755102040817
CCND3,1.8348675,0.6237109,0.0665253273196735,1.0,0.3673469387755102
SMIM30,1.83197,0.40510064,0.0669558994767734,1.0,0.5102040816326531
MARS,1.8299543,0.47629598,0.06725677901473778,1.0,0.42857142857142855
FBXO30,1.8228679,1.0684608,0.06832340343208823,1.0,0.21428571428571427
TMED2,1.8201908,0.32304212,0.06872995263908242,1.0,0.8469387755102041
GPATCH4,1.8200964,0.43598542,0.06874433767641229,1.0,0.5204081632653061
SNUPN,1.8137028,0.4819055,0.06972348827373026,1.0,0.4387755102040816
HMGCL,1.7965381,0.63518673,0.07240898557671278,1.0,0.32653061224489793
PDCD5,1.7959082,0.25280038,0.07250912477319764,1.0,0.8979591836734694
CD55,1.7931681,0.20202164,0.07294605034800115,1.0,0.9693877551020408
GDE1,1.790176,0.6418713,0.0734256112485134,1.0,0.35714285714285715
PDHB,1.7857667,0.39557844,0.07413702977970676,1.0,0.5102040816326531
SRGN,1.7815465,0.16425467,0.07482322597303519,1.0,1.0
EYA3,1.7804441,0.9888785,0.07500330822273063,1.0,0.22448979591836735
ATP5MC1,1.7801292,0.21252668,0.07505482525357067,1.0,0.9489795918367347
