names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
LRRC8B,2.8995175,0.4525004,0.0037373730853415355,1.0,0.5185185185185185
MED10,2.864352,0.56217784,0.004178633736764559,1.0,0.4027777777777778
NECTIN2,2.7953854,0.38274738,0.005183788526173191,1.0,0.5462962962962963
SSR4,2.6768508,0.119036466,0.0074317703252364566,1.0,0.9444444444444444
ADGRG1,2.6371295,0.36021653,0.00836109184839893,1.0,0.5462962962962963
ARL5A,2.503563,0.33090407,0.012294979581142675,1.0,0.5277777777777778
LYN,2.4868095,0.5600309,0.012889442117388286,1.0,0.375
SLC25A1,2.47669,0.26354855,0.013260697513218976,1.0,0.7222222222222222
H2AFV,2.4762702,0.26745927,0.013276304525979858,1.0,0.7129629629629629
RPL7A,2.4492505,0.061524224,0.014315387799261862,1.0,1.0
WDR1,2.439992,0.2214594,0.014687591553566845,1.0,0.7453703703703703
LNPEP,2.4180737,0.4291596,0.015602915234634397,1.0,0.4351851851851852
RBBP7,2.4077024,0.29908392,0.01605325742749477,1.0,0.6203703703703703
AGTRAP,2.40638,0.41024512,0.016111503496164012,1.0,0.4305555555555556
TUBGCP2,2.308693,0.40036133,0.020960632978059165,1.0,0.4398148148148148
NDUFA6,2.3076222,0.23519488,0.021020163877268783,1.0,0.7129629629629629
ZNF106,2.3075802,0.22591107,0.021022501421318698,1.0,0.6851851851851852
CTDSPL,2.3011138,0.45688644,0.021385197373903604,1.0,0.39814814814814814
FBXW11,2.2994764,0.3892163,0.021477909171119042,1.0,0.49537037037037035
GATAD1,2.2991405,0.34170106,0.02149697017304058,1.0,0.5370370370370371
RBX1,2.2975028,0.147112,0.021590103617676566,1.0,0.8611111111111112
KTN1,2.2910366,0.13132057,0.021961301638882463,1.0,0.9768518518518519
ATP5MF,2.258495,0.15517397,0.02391480502231244,1.0,0.9305555555555556
RPL36AL,2.2508743,0.14311476,0.0243935060697073,1.0,0.9722222222222222
TATDN1,2.2435472,0.31342903,0.02486155280788343,1.0,0.5416666666666666
SNRNP25,2.2413218,0.46098733,0.02500524146998673,1.0,0.3888888888888889
CRTAP,2.2342045,0.19460636,0.025469611451452177,1.0,0.8564814814814815
RBMX,2.2266676,0.27927515,0.02596949451648439,1.0,0.6527777777777778
STK25,2.218186,0.3920045,0.02654215980183214,1.0,0.4351851851851852
ARIH1,2.2161915,0.42658293,0.026678394598895136,1.0,0.39814814814814814
RTRAF,2.1932864,0.19293757,0.02828674203727486,1.0,0.8796296296296297
NRBP1,2.172838,0.2734186,0.029792514974023694,1.0,0.5694444444444444
RPL35,2.1588137,0.070824884,0.030864623691382473,1.0,1.0
PTPN12,2.1535442,0.34485304,0.0312759424738909,1.0,0.5370370370370371
ELAVL1,2.1461542,0.3131093,0.03186068930071276,1.0,0.49074074074074076
TUBA1B,2.1251175,0.16756628,0.03357679653319751,1.0,0.8888888888888888
KIAA0100,2.116153,0.46185008,0.03433179345402085,1.0,0.35185185185185186
TMEM230,2.1150403,0.14859724,0.03442650941287156,1.0,0.8564814814814815
PLK2,2.1150193,0.1767425,0.03442829865023821,1.0,0.8518518518518519
