names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
DFFA,4.091148,0.73125327,4.2924288053776826e-05,0.15968908263206322,0.6
SNRPE,3.6661282,0.38690728,0.0002462505981290176,0.8143233668350913,0.9076923076923077
TPI1,3.4242644,0.25452065,0.0006164657895089992,1.0,0.9769230769230769
HSPE1,3.3484333,0.29427397,0.0008126982205873615,1.0,0.9307692307692308
CENPW,3.3122766,0.92133176,0.0009254002421536048,1.0,0.4
M6PR,3.2969522,0.88676846,0.0009774015356479448,1.0,0.4076923076923077
TRMT112,3.2497246,0.32739848,0.0011551679006766835,1.0,0.9153846153846154
ERI3,3.2329006,0.6828474,0.0012254020766410702,1.0,0.5
MYL6,3.180274,0.14884825,0.001471358040088846,1.0,0.9923076923076923
UQCC2,3.1517522,0.38151827,0.0016229393935723254,1.0,0.8769230769230769
PSME2,3.1166043,0.389204,0.0018294696903080677,1.0,0.8076923076923077
LSM12,3.0869098,0.51513267,0.0020224891487143053,1.0,0.6307692307692307
YWHAH,3.036383,0.36497214,0.002394350054114642,1.0,0.823076923076923
PSMA7,3.022422,0.2010795,0.0025076069782737527,1.0,0.9846153846153847
RBM28,2.8953822,0.611441,0.003786970438874692,1.0,0.5230769230769231
RARS,2.8400836,0.526423,0.004510171310910587,1.0,0.6
MRPL17,2.8314672,0.40088198,0.004633500956629285,1.0,0.7230769230769231
TIMM17A,2.828604,0.48439756,0.004675151730792507,1.0,0.6384615384615384
ATP5MD,2.8106346,0.15636897,0.004944390412452258,1.0,0.9538461538461539
CHCHD2,2.808426,0.14477354,0.004978433536226015,1.0,0.9384615384615385
CCDC25,2.7830398,0.33122754,0.0053852201840215,1.0,0.8461538461538461
TAX1BP1,2.73314,0.3894249,0.0062733643895759115,1.0,0.7230769230769231
CDC26,2.7292953,0.5448984,0.006346982891719435,1.0,0.5461538461538461
XPO1,2.7272775,0.49323264,0.0063859298365131515,1.0,0.6307692307692307
PAM16,2.7246325,0.44939253,0.006437307573690678,1.0,0.676923076923077
SYNCRIP,2.7143254,0.40354547,0.006641088813448889,1.0,0.676923076923077
MIF,2.7058997,0.10819873,0.00681196043402268,1.0,0.9923076923076923
ENO1,2.6865396,0.16553378,0.007219635318916008,1.0,0.9769230769230769
EIF3J,2.6696885,0.38210586,0.007592166821676481,1.0,0.8769230769230769
ATP5ME,2.661481,0.21354839,0.007779776635851042,1.0,0.9846153846153847
SSB,2.6567636,0.36927974,0.007889475544373671,1.0,0.7769230769230769
POMP,2.6491833,0.24280746,0.008068658858788179,1.0,0.9538461538461539
PFDN2,2.637267,0.26532847,0.008357696387199314,1.0,0.9384615384615385
PCM1,2.6329317,0.4014068,0.008465137395355796,1.0,0.7384615384615385
STOML2,2.6101086,0.3151583,0.009051345645393203,1.0,0.8
H3F3B,2.6098905,0.22148995,0.009057119270522825,1.0,0.9769230769230769
PYURF,2.6073546,0.32440555,0.009124479360611615,1.0,0.8384615384615385
CDC27,2.5951934,0.52649164,0.009453772683850328,1.0,0.5076923076923077
PINX1,2.5591183,0.855979,0.01049380248297167,1.0,0.3153846153846154
R3HDM1,2.5568552,0.6667736,0.010562320824312793,1.0,0.4
ATP5MC3,2.5559826,0.21505995,0.010588843635386262,1.0,0.9538461538461539
PRMT1,2.5427032,0.4028244,0.010999861894969497,1.0,0.7615384615384615
ARCN1,2.5192258,0.48034605,0.011761320352195423,1.0,0.5692307692307692
UCHL3,2.5134451,0.4994694,0.01195583924747826,1.0,0.49230769230769234
KATNBL1,2.5129542,0.5478037,0.01197248563388248,1.0,0.5153846153846153
HNRNPC,2.510173,0.21204832,0.012067203843509908,1.0,0.9461538461538461
RBIS,2.5021017,0.28999957,0.012345843442364378,1.0,0.8307692307692308
