names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PABPC1,3.6594875,0.31110528,0.0002527200986817238,1.0,1.0
CHMP3,2.9369802,0.44362473,0.0033142519636904363,1.0,0.7325581395348837
ZFAS1,2.8878753,0.15839174,0.0038785371301156306,1.0,0.9883720930232558
RPL24,2.874076,0.113396406,0.00405211463149016,1.0,1.0
CCDC25,2.826149,0.3956926,0.004711135687941323,1.0,0.813953488372093
RBMS2,2.7768083,0.7949792,0.005489555151938553,1.0,0.46511627906976744
USP22,2.7680912,0.5808118,0.005638567592216196,1.0,0.6511627906976745
CELF2,2.7565806,0.501036,0.0058409212252036186,1.0,0.7209302325581395
RPL13A,2.6247811,0.084925756,0.008670467037292521,1.0,1.0
TATDN1,2.5997407,0.5215,0.009329424498814394,1.0,0.6395348837209303
RACK1,2.5321581,0.11400128,0.011336287257386701,1.0,1.0
NUFIP2,2.4974244,0.48580727,0.01250991323456352,1.0,0.6162790697674418
STAU1,2.4812691,0.30953273,0.013091545349336875,1.0,0.8488372093023255
EP300,2.4782739,0.974663,0.01320198003463419,1.0,0.38372093023255816
SLC25A6,2.4386935,0.18779314,0.01474046230828575,1.0,0.9767441860465116
RPS9,2.4357655,0.062560976,0.014860317633704365,1.0,1.0
SNHG3,2.4007626,0.4588609,0.016360950861405894,1.0,0.6627906976744186
AFAP1,2.393156,0.46449956,0.01670413212772584,1.0,0.5930232558139535
EIF3M,2.367476,0.39420202,0.01790987745121927,1.0,0.7790697674418605
HIF1A,2.3063557,0.35947278,0.02109077026141839,1.0,0.7790697674418605
ARPC2,2.2800362,0.21857032,0.022605547003150237,1.0,1.0
ATP6V1G1,2.2800362,0.31565312,0.022605547003150237,1.0,0.8488372093023255
GAS5,2.274449,0.22585365,0.02293899789355102,1.0,1.0
MPHOSPH10,2.2572842,0.8396779,0.02399032118846892,1.0,0.36046511627906974
RPS23,2.2303252,0.08271582,0.02572585897897327,1.0,1.0
RNF181,2.2070684,0.36751875,0.02730927470851071,1.0,0.7093023255813954
