names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
APRT,3.9449663,0.44349527,7.981116509368305e-05,1.0,0.9591836734693877
BAD,3.3138218,0.85721093,0.0009203010954562731,1.0,0.6938775510204082
RPS23,3.1492357,0.11929147,0.001636980564418379,1.0,1.0
SF3B5,3.0855308,0.58572173,0.0020318916806498707,1.0,0.9591836734693877
NME2,3.0839202,0.20464264,0.0020429231880467716,1.0,1.0
MTPN,3.0649073,0.37107238,0.0021773752867349436,1.0,0.9183673469387755
RAB8A,3.0404363,1.0119777,0.0023623567165471995,1.0,0.5306122448979592
RAD23B,2.9024684,0.8043911,0.0037023441117922627,1.0,0.6938775510204082
SAV1,2.7549272,1.139734,0.005870522406079367,1.0,0.4489795918367347
IFITM2,2.7370772,0.289924,0.006198775857485748,1.0,1.0
TKT,2.7281744,0.2687591,0.006368590198355144,1.0,1.0
UBB,2.6756537,0.34661227,0.007458366201560904,1.0,0.9183673469387755
PNPLA6,2.6437118,1.0118159,0.008200245474517271,1.0,0.46938775510204084
ATP5PB,2.5392964,0.50498664,0.011107566337982025,1.0,0.8979591836734694
NDUFAF8,2.5146017,0.43264878,0.011916688933275871,1.0,0.8775510204081632
TCN2,2.4759047,0.8222863,0.013289907734345801,1.0,0.5510204081632653
OAZ1,2.4504943,0.19449684,0.01426602582462548,1.0,0.9795918367346939
VIM,2.4019103,0.105017565,0.01630971096139174,1.0,1.0
RPL3,2.3779314,0.11578593,0.017410065634961093,1.0,1.0
SCARB2,2.3414264,0.5541113,0.019210219449404754,1.0,0.7755102040816326
TSPO,2.319013,0.22049662,0.020394319465639396,1.0,0.9795918367346939
NOC3L,2.2999108,0.77891517,0.021453281147402806,1.0,0.5102040816326531
AKR1A1,2.2853713,0.64981264,0.022291067286483467,1.0,0.6122448979591837
TMEM147,2.2660897,0.43311957,0.023445887122676513,1.0,0.7959183673469388
NOP53,2.246853,0.54896885,0.02464942197521376,1.0,0.7755102040816326
B2M,2.2400084,0.13542823,0.025090383100451454,1.0,1.0
ORAI2,2.2211742,0.64017874,0.02633916569432836,1.0,0.5714285714285714
SNCA,2.1959875,0.4380249,0.028092840927597874,1.0,0.8979591836734694
PPP2R2A,2.1958532,0.481933,0.028102448779720797,1.0,0.8163265306122449
PEBP1,2.1890085,0.29659912,0.028596218985318944,1.0,0.9183673469387755
FNTA,2.1745138,0.4908023,0.029666564675868798,1.0,0.6530612244897959
SCAF11,2.1727245,0.46156862,0.029801065640822976,1.0,0.8571428571428571
PROCR,2.1707113,0.29682183,0.02995300560190317,1.0,0.9795918367346939
CCDC137,2.164135,0.7489054,0.030453992162102175,1.0,0.4897959183673469
HSPD1,2.1567535,0.28120548,0.031024881699328148,1.0,0.9387755102040817
TFPI,2.1434667,0.35948032,0.03207564665899196,1.0,0.9795918367346939
CHID1,2.1389482,0.5179945,0.0324398602237999,1.0,0.6122448979591837
LSM6,2.1355484,0.6386511,0.03271625260297675,1.0,0.6122448979591837
CCNB1IP1,2.1222167,0.53511214,0.033819541384234555,1.0,0.6122448979591837
PHB,2.1019957,0.402408,0.03555364553914799,1.0,0.8367346938775511
EBP,2.0935853,0.54290205,0.03629693899480885,1.0,0.6122448979591837
CPT1A,2.0913038,0.7860906,0.036500846373525776,1.0,0.42857142857142855
TSEN34,2.0794039,0.68579113,0.03758025374951645,1.0,0.5102040816326531
FAM107B,2.0792248,0.31972042,0.037596690535764914,1.0,0.9387755102040817
MELTF,2.065088,1.5236764,0.03891466981092876,1.0,0.2653061224489796
ITGAV,2.043167,0.5997186,0.04103589964213646,1.0,0.5714285714285714
IFITM3,2.032654,0.23858985,0.04208749307903814,1.0,1.0
RPAIN,2.0135515,0.50936574,0.044056648970141776,1.0,0.6530612244897959
TSR3,2.005499,0.6126627,0.044909743970713845,1.0,0.5714285714285714
ZFAND5,2.0026805,0.5311975,0.04521159982023027,1.0,0.6326530612244898
CAMTA1,1.9910042,0.45175493,0.046480428285013316,1.0,0.8367346938775511
NUDT22,1.9835778,0.73572946,0.04730291575239465,1.0,0.4489795918367347
RPL18A,1.9790148,0.110902645,0.04781434502221625,1.0,1.0
KLF13,1.9780753,1.0668607,0.047920214167366325,1.0,0.3673469387755102
SQOR,1.9778516,1.1317086,0.04794545012155569,1.0,0.32653061224489793
PTPN11,1.9656385,0.5796619,0.04934038355481833,1.0,0.6530612244897959
FZD6,1.9638042,0.59328514,0.049552791540582,1.0,0.5510204081632653
OLA1,1.9552149,0.4770001,0.05055771505264251,1.0,0.8367346938775511
RWDD1,1.9481912,0.35243887,0.05139208819433989,1.0,0.9183673469387755
BPGM,1.9481018,1.105074,0.05140279105809642,1.0,0.30612244897959184
SNX3,1.9480122,0.305139,0.05141349578755739,1.0,0.9183673469387755
TIMM50,1.9406307,0.8866921,0.0523030854140318,1.0,0.42857142857142855
TMEM8A,1.9387518,0.7924633,0.05253157039079472,1.0,0.40816326530612246
PNN,1.9325334,0.41558233,0.05329370543317442,1.0,0.6938775510204082
ERCC4,1.9297149,1.0337127,0.05364216312876442,1.0,0.3469387755102041
NKTR,1.9288203,0.54940814,0.05375318165744047,1.0,0.5918367346938775
ARHGAP26,1.9166967,0.75064105,0.0552764855272176,1.0,0.4489795918367347
GTF2A2,1.9158019,0.4620832,0.05539031805077375,1.0,0.7551020408163265
SEC61G,1.9011283,0.25442058,0.05728521426958529,1.0,1.0
SNRPD2,1.9005467,0.2670313,0.05736141410817601,1.0,1.0
ZBTB44,1.8938361,1.1092563,0.058246756095532204,1.0,0.32653061224489793
ATP5MPL,1.891331,0.2512251,0.058580180976088324,1.0,1.0
RPL8,1.8901678,0.08413316,0.058735523360175054,1.0,1.0
CDK11A,1.8850231,1.4230052,0.05942672266076474,1.0,0.2653061224489796
PLAGL1,1.88216,0.67559624,0.05981430448555102,1.0,0.4489795918367347
FAM168B,1.8792521,1.1994311,0.06021008593461015,1.0,0.2857142857142857
RPS2,1.8792521,0.042789724,0.06021008593461015,1.0,1.0
RPL27A,1.8740625,0.06415813,0.06092179781996988,1.0,1.0
RPS3,1.86431,0.0723513,0.062278181981770105,1.0,1.0
IER5L,1.8518285,0.98862594,0.06405045561709628,1.0,0.3469387755102041
NNMT,1.850039,0.37119755,0.06430792566708131,1.0,0.7959183673469388
KMT2E,1.8492785,0.39301127,0.0644176088598076,1.0,0.7551020408163265
