names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TXNRD1,3.6204245,0.5007266,0.00029411994100387396,1.0,0.9436619718309859
MMADHC,3.449396,0.6753795,0.0005618424699404511,1.0,0.7605633802816901
HNRNPAB,3.3743968,0.44665876,0.0007397763106406148,1.0,0.9436619718309859
TMED8,3.2143471,1.0106314,0.0013074150053266108,1.0,0.4647887323943662
TALDO1,3.2137165,0.49428692,0.0013102893043752037,1.0,0.971830985915493
SKP1,3.1698003,0.2745712,0.0015254374249852652,1.0,0.9577464788732394
CDV3,3.1131988,0.42898697,0.0018507136964692594,1.0,0.9436619718309859
ATG3,3.053741,0.7111717,0.0022600705670590853,1.0,0.5774647887323944
ZNF106,3.029854,0.548119,0.002446718537261829,1.0,0.7746478873239436
COX7A2,3.021249,0.26539186,0.0025173430454432286,1.0,1.0
SH3BP5,2.9692838,0.49960503,0.0029849479360911603,1.0,0.8873239436619719
EIF5,2.9378674,0.5100783,0.003304784404265222,1.0,0.7887323943661971
TAOK3,2.8926158,0.53737324,0.0038204843243190402,1.0,0.7183098591549296
ENO1,2.8913918,0.2919611,0.003835397738901386,1.0,1.0
SDAD1,2.8657615,0.918015,0.004160075586804783,1.0,0.4788732394366197
EIF2A,2.8520005,0.6221664,0.004344502661957521,1.0,0.704225352112676
ACTR2,2.825072,0.42531294,0.004726997342160723,1.0,0.9295774647887324
SNX6,2.7761855,0.38779885,0.005500080648715125,1.0,0.8732394366197183
STK17A,2.7752953,0.5435826,0.005515159335205761,1.0,0.7746478873239436
GRB2,2.7597911,0.6634479,0.005783832618265266,1.0,0.5774647887323944
SIKE1,2.7488492,0.92427534,0.005980490242408125,1.0,0.4647887323943662
ENY2,2.741839,0.32867223,0.006109630531404306,1.0,0.971830985915493
RB1CC1,2.732121,0.6291361,0.00629280450889927,1.0,0.6338028169014085
TLK1,2.7156522,0.7492226,0.006614534871988165,1.0,0.49295774647887325
TMPO,2.67819,0.6282595,0.007402123971277367,1.0,0.6619718309859155
TUBB,2.6666174,0.44470578,0.007661885153771492,1.0,1.0
CLEC14A,2.6639097,0.5013842,0.007723829868451746,1.0,0.8169014084507042
REXO2,2.6377232,0.42280275,0.00834647046165173,1.0,0.9295774647887324
CWC27,2.6359055,0.7941515,0.008391306934440089,1.0,0.4647887323943662
MBD4,2.6307127,0.9705976,0.008520600584886951,1.0,0.4084507042253521
MAPRE1,2.6195483,0.5679273,0.008804631040577621,1.0,0.647887323943662
TCEAL4,2.6147263,0.35508573,0.008929896104981407,1.0,0.8591549295774648
HMGN2,2.6048229,0.40121385,0.009192174437273186,1.0,0.9295774647887324
ANKRD28,2.598332,0.5490644,0.009367788587682361,1.0,0.6197183098591549
PAIP2,2.5747418,0.5407979,0.010031494941987518,1.0,0.6056338028169014
ZC3H7A,2.5629468,0.75379354,0.01037879852973997,1.0,0.4647887323943662
PLEKHA1,2.5457363,0.55530316,0.010904754955072952,1.0,0.6197183098591549
PITPNB,2.5384662,0.64206874,0.011133952214326243,1.0,0.5774647887323944
CHCHD1,2.5379841,0.5162564,0.01114930430356958,1.0,0.704225352112676
RBM4,2.5356102,0.5327776,0.011225158280992025,1.0,0.6338028169014085
TLK2,2.5331993,1.0148624,0.011302666233046115,1.0,0.38028169014084506
FLOT1,2.5129845,0.48714438,0.011971460565186892,1.0,0.6901408450704225
ACTR1A,2.5056033,0.6800305,0.012224269695964272,1.0,0.5352112676056338
LSM12,2.5029697,0.55878353,0.012315606307117258,1.0,0.676056338028169
USP47,2.497777,0.728196,0.012497479667415415,1.0,0.49295774647887325
AFTPH,2.488912,1.1600608,0.012813464097533242,1.0,0.323943661971831
HADHA,2.477525,0.2979132,0.013229713346555975,1.0,0.8309859154929577
FAM136A,2.4773395,0.50411594,0.013236590455346444,1.0,0.647887323943662
CAST,2.469068,0.3057469,0.013546541223284893,1.0,1.0
NABP2,2.4658782,0.7888077,0.013667776509404565,1.0,0.43661971830985913
VEPH1,2.4359455,0.5234867,0.01485292318489874,1.0,0.6338028169014085
RO60,2.433312,0.55611223,0.01496140348200648,1.0,0.6056338028169014
HNRNPL,2.431272,0.59497947,0.01504591668068859,1.0,0.5633802816901409
PANK3,2.4271176,0.700058,0.015219317263481403,1.0,0.49295774647887325
CNBP,2.402192,0.40019682,0.016297141673946722,1.0,0.8450704225352113
ATP6V0B,2.4015617,0.42625415,0.016325256660126186,1.0,0.7183098591549296
ATF4,2.383424,0.4333256,0.01715242819707052,1.0,0.8450704225352113
NONO,2.3784907,0.46736827,0.01738367155641546,1.0,0.7605633802816901
RBM8A,2.368847,0.40804052,0.017843633324369626,1.0,0.8309859154929577
SDHA,2.367586,0.55486876,0.01790456371358441,1.0,0.5492957746478874
FKBP14,2.3569407,0.49563205,0.018426192275254924,1.0,0.6338028169014085
