names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CMTR1,3.34169,1.8702672,0.0008326996910670033,1.0,0.4722222222222222
PNRC2,3.2342038,1.0746509,0.0012198237170382216,1.0,0.6666666666666666
KARS,3.0085192,1.0763092,0.002625242531504783,1.0,0.6388888888888888
MTDH,2.9329078,0.41701904,0.0033580366446120382,1.0,1.0
UBQLN1,2.7945917,0.8735533,0.005196531255473101,1.0,0.6666666666666666
KMT2E,2.7698755,0.7063409,0.0056077719130331665,1.0,0.7777777777777778
EMC9,2.7227426,1.4691094,0.006474250001749779,1.0,0.4444444444444444
SUPT16H,2.720548,0.77581066,0.006517384287616874,1.0,0.7222222222222222
TUBGCP2,2.713598,1.1419454,0.006655686708955022,1.0,0.5833333333333334
FAAP20,2.7107763,0.5345862,0.006712588675866887,1.0,0.8333333333333334
YME1L1,2.668712,0.7134126,0.007614272136808151,1.0,0.7222222222222222
NAP1L4,2.6118073,0.65916055,0.009006496931915653,1.0,0.7222222222222222
EMC10,2.595034,0.7930866,0.00945815829540049,1.0,0.7222222222222222
YAF2,2.570579,1.134793,0.010152864013316512,1.0,0.5555555555555556
C1orf122,2.5089717,0.6870651,0.012108317544105346,1.0,0.6944444444444444
MRPL1,2.4461625,1.1022329,0.01443858992059066,1.0,0.5
NME2,2.439474,0.19610074,0.01470866025816719,1.0,1.0
PCAT19,2.425888,0.6107184,0.015270982160363815,1.0,0.75
DNAJC2,2.415176,1.1513729,0.015727610203961486,1.0,0.4722222222222222
RERE,2.3926022,0.93768466,0.016729365559936208,1.0,0.5555555555555556
NOC3L,2.391296,0.8761598,0.016789015277437123,1.0,0.5833333333333334
ARL6IP5,2.3904598,0.44176424,0.01682728900920641,1.0,0.8611111111111112
CALM1,2.386802,0.3678307,0.01699563854614109,1.0,1.0
ATF5,2.3745747,1.2008475,0.017569182805893948,1.0,0.4444444444444444
LAMTOR2,2.366632,0.5499147,0.017950768702990807,1.0,0.8333333333333334
SEL1L3,2.362086,0.81376195,0.018172427390068895,1.0,0.5833333333333334
KLHL4,2.35801,1.009426,0.01837318976777371,1.0,0.5
MRPL35,2.357749,0.982437,0.018386125112232064,1.0,0.5277777777777778
TMEM126B,2.3439016,0.9893171,0.019083204822436865,1.0,0.5555555555555556
SMIM26,2.332458,0.5073777,0.01967660984092459,1.0,0.8888888888888888
ECHS1,2.3251946,0.58155227,0.02006155120570748,1.0,0.75
RBM15B,2.315162,1.4943755,0.020604070403103258,1.0,0.3611111111111111
MITD1,2.3088393,1.0042127,0.020952504069681997,1.0,0.5
MRPS18C,2.2946784,0.64785945,0.021751560321646806,1.0,0.6944444444444444
MINDY2,2.2928495,0.9501075,0.021856669071254782,1.0,0.5
C4orf3,2.2855864,0.4445661,0.022278475896476486,1.0,0.8055555555555556
IFT57,2.278532,0.58577865,0.022694902446449186,1.0,0.8611111111111112
NDUFB3,2.277905,0.47901335,0.0227322433955228,1.0,0.8333333333333334
