names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ADAM15,3.8518603,0.73438096,0.00011722385692619672,1.0,0.7528089887640449
ENG,3.4392083,0.3959957,0.0005834181351880928,1.0,0.9101123595505618
BUB3,3.2981737,0.6107025,0.0009731593379363473,1.0,0.6741573033707865
MLXIP,3.1361358,0.55985475,0.0017118984010210364,1.0,0.6966292134831461
NDUFV3,2.8212225,0.516286,0.004784101413324157,1.0,0.7303370786516854
MAF1,2.808323,0.6671957,0.004980025779963179,1.0,0.5842696629213483
CHD9,2.806636,0.5530345,0.00500617612739736,1.0,0.6404494382022472
S100A10,2.7844753,0.15127847,0.005361438951440831,1.0,1.0
EEF1B2,2.7385995,0.1496369,0.006170149897916841,1.0,1.0
RAB5IF,2.6326249,0.37797242,0.008472784294167037,1.0,0.7752808988764045
ERGIC1,2.6302435,0.60095835,0.008532372105402721,1.0,0.5730337078651685
DDX39B,2.5726588,0.5080025,0.010092064863138536,1.0,0.6292134831460674
GNPTG,2.5470252,1.0043362,0.01086456041377984,1.0,0.3595505617977528
EXOSC5,2.5375655,0.773318,0.01116264761814273,1.0,0.3707865168539326
CHCHD5,2.4677758,0.42412764,0.013595542849014734,1.0,0.7528089887640449
ARIH1,2.4593084,0.8613171,0.013920495432900538,1.0,0.43820224719101125
ZNF638,2.439496,0.5706063,0.014707759871902962,1.0,0.5393258426966292
HOMER3,2.434634,0.6678521,0.014906858637848498,1.0,0.48314606741573035
NPDC1,2.414491,0.430316,0.015757215247909406,1.0,0.7078651685393258
LRRC8B,2.4036422,0.58859193,0.016232656378446595,1.0,0.550561797752809
LOXL2,2.371294,0.24559322,0.01772591983218308,1.0,0.9438202247191011
PFKP,2.367689,0.35975298,0.017899582043621156,1.0,0.8314606741573034
AFF1,2.3523748,1.020138,0.01865396732695574,1.0,0.34831460674157305
NCBP3,2.2892003,0.60385734,0.022067717897752994,1.0,0.47191011235955055
LAMB1,2.2892003,0.35664967,0.022067717897752994,1.0,0.8314606741573034
AC008875.3,2.2830482,0.44500262,0.022427528557828987,1.0,0.6629213483146067
ELOB,2.254504,0.109312944,0.02416448506422946,1.0,0.9550561797752809
PAXX,2.247988,0.5701596,0.024576955034900993,1.0,0.48314606741573035
SULF2,2.2426958,0.5148603,0.02491643161285884,1.0,0.5842696629213483
MRPS36,2.236643,0.45824948,0.02530967914658822,1.0,0.6179775280898876
UBE2H,2.2360477,0.37797654,0.025348647823814362,1.0,0.6741573033707865
LTBP1,2.2320454,0.2682925,0.02561195405836776,1.0,0.9887640449438202
DHX40,2.2302594,0.54821056,0.025730224103128838,1.0,0.4606741573033708
ENSA,2.2145154,0.4034572,0.02679334302043929,1.0,0.6404494382022472
SMURF2,2.2107117,0.32981408,0.02705580644152672,1.0,0.8764044943820225
CTSD,2.2102156,0.4760542,0.027090203880608135,1.0,0.5955056179775281
MRPL17,2.1875257,0.35202885,0.02870417107392199,1.0,0.7303370786516854
EMP3,2.1826634,0.18089697,0.029060596033870414,1.0,0.9662921348314607
MRPS9,2.1760485,0.759135,0.029551640460895826,1.0,0.3707865168539326
RFK,2.15359,0.4093352,0.03127233641364005,1.0,0.6067415730337079
CD63,2.1414182,0.1556067,0.0322403294879725,1.0,0.9887640449438202
SUGP2,2.1237228,0.41979098,0.03369333772849297,1.0,0.5393258426966292
GSN,2.1144946,0.5354459,0.034473046196204137,1.0,0.550561797752809
MAP7D3,2.1126423,0.4042002,0.03463139068926502,1.0,0.6067415730337079
GANAB,2.081948,0.4084739,0.03734720773452998,1.0,0.651685393258427
OAT,2.078343,0.42267966,0.037677789382535166,1.0,0.6067415730337079
IKBKG,2.0723894,0.68573433,0.038229153941304356,1.0,0.3707865168539326
WDR82,2.0614743,0.49939224,0.03925781373976074,1.0,0.5168539325842697
UBL5,2.0561821,0.16653903,0.03976495896050795,1.0,0.9662921348314607
