names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RFC1,2.9289482,0.58908856,0.003401112008207255,1.0,0.6
SEC14L1,2.8718538,0.44404334,0.004080718002747336,1.0,0.8111111111111111
DAZAP2,2.8369591,0.47215438,0.004554545083042345,1.0,0.7111111111111111
LAMTOR2,2.8021302,0.44123998,0.0050766383738716616,1.0,0.8222222222222222
TFAM,2.7418127,0.73280215,0.006110116529193488,1.0,0.5
PAM,2.6663008,0.726539,0.007669103650008906,1.0,0.5111111111111111
WDR11,2.6534414,0.7538011,0.007967559760128652,1.0,0.4777777777777778
AFF4,2.6398585,0.62051463,0.008294065136196028,1.0,0.5444444444444444
ATM,2.5737197,0.5197926,0.010061172190970765,1.0,0.6555555555555556
SIGIRR,2.564807,0.484146,0.010323320607308608,1.0,0.6777777777777778
HEXA,2.5514214,0.604307,0.010728451855854625,1.0,0.5111111111111111
SWAP70,2.5288599,0.5333615,0.01144336898541917,1.0,0.5666666666666667
AP001528.1,2.5130405,0.9568753,0.011969557062596049,1.0,0.35555555555555557
RHOB,2.512613,0.7254926,0.011984071311072562,1.0,0.43333333333333335
NABP2,2.5101793,0.7173103,0.012066988449211011,1.0,0.43333333333333335
PHACTR4,2.5010362,0.55342066,0.012383049377326224,1.0,0.5555555555555556
MXD4,2.4934719,0.41438094,0.01265005866155727,1.0,0.7444444444444445
EMP3,2.4766989,0.19745262,0.013260374999893706,1.0,0.9666666666666667
BSG,2.462195,0.29399416,0.013808956697696028,1.0,0.9333333333333333
AP3D1,2.4165788,0.62447625,0.01566713918403743,1.0,0.4666666666666667
NDUFS1,2.356952,0.4895299,0.0184256330223581,1.0,0.5555555555555556
SMDT1,2.3352456,0.39192715,0.019530598458660203,1.0,0.8111111111111111
CSTB,2.325938,0.20371066,0.020021854020055786,1.0,0.9777777777777777
YIPF3,2.3248856,0.5057355,0.02007807537078583,1.0,0.5555555555555556
G6PC3,2.274336,0.5697066,0.022945787412270706,1.0,0.5111111111111111
LATS2,2.2582536,0.52513635,0.023929852017307043,1.0,0.5222222222222223
TRIM37,2.1921477,0.6601234,0.028368835926306703,1.0,0.43333333333333335
PALMD,2.1799462,0.43508816,0.02926145099721762,1.0,0.6444444444444445
PGP,2.170606,0.49767005,0.029960978829213586,1.0,0.5444444444444444
NONO,2.1537013,0.3393393,0.03126361296897784,1.0,0.7555555555555555
SGK1,2.1532078,0.65089506,0.03130234619195973,1.0,0.43333333333333335
ETAA1,2.1504452,1.1703713,0.03152001395461941,1.0,0.26666666666666666
SUPT16H,2.144887,0.3888972,0.03196187659818034,1.0,0.6333333333333333
MGST2,2.142848,0.4114773,0.03212530609151454,1.0,0.5777777777777777
