names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FAM192A,3.5613809,0.8480623,0.0003689096079073899,1.0,0.5975609756097561
UBFD1,3.3811877,1.0453104,0.0007217320477752562,1.0,0.45121951219512196
HSPD1,3.0224223,0.36545992,0.0025076044340790415,1.0,0.975609756097561
EMC4,3.0078027,0.6950289,0.002631438784457384,1.0,0.5853658536585366
GDI2,2.8302302,0.4015008,0.004651452082489985,1.0,0.8780487804878049
MYC,2.7918193,0.54710865,0.00524126032783664,1.0,0.7195121951219512
RBFOX2,2.7269623,0.5839891,0.006392033927062081,1.0,0.6341463414634146
CTNNB1,2.7195146,0.5305787,0.0065377806629559315,1.0,0.6463414634146342
PACSIN2,2.693758,0.56833327,0.007065144696015927,1.0,0.5975609756097561
SRRM1,2.682207,0.3486817,0.007313815780638279,1.0,0.8658536585365854
EI24,2.6781385,0.37137008,0.0074032601432861885,1.0,0.8414634146341463
RAB7A,2.6385899,0.48721877,0.008325164527978561,1.0,0.7317073170731707
G2E3,2.6336248,0.9580245,0.008447881389537677,1.0,0.3902439024390244
SUN1,2.6263149,0.84942776,0.008631492495091144,1.0,0.43902439024390244
AMD1,2.623729,0.60646594,0.008697298483550152,1.0,0.5609756097560976
BOLA3,2.5307016,0.39393276,0.011383465567641301,1.0,0.8170731707317073
CAPZA1,2.5122893,0.37914035,0.011995074505021614,1.0,0.8536585365853658
TRMT112,2.5062897,0.29987144,0.012200562492766253,1.0,0.8902439024390244
SMAP1,2.481464,0.52470726,0.013084393156277968,1.0,0.5975609756097561
COPRS,2.4748783,0.5062879,0.01332815889628961,1.0,0.6341463414634146
EIF4G3,2.4669824,0.4881625,0.013625707626103828,1.0,0.6219512195121951
TXNDC9,2.4515352,0.6121622,0.01422482501215774,1.0,0.5121951219512195
ERO1A,2.4492252,0.64173454,0.01431639497369089,1.0,0.4878048780487805
KPNA6,2.4374673,0.6236897,0.01479054877782886,1.0,0.5365853658536586
SMIM26,2.4351227,0.35882092,0.014886739518108903,1.0,0.8414634146341463
PRELID3B,2.4307094,0.5815727,0.015069300665763705,1.0,0.5487804878048781
TMX1,2.3831267,0.5428591,0.01716628335365841,1.0,0.573170731707317
ADSS,2.3649557,0.41344434,0.018032226716620945,1.0,0.8292682926829268
MPC1,2.3617146,0.6634036,0.018190640629945375,1.0,0.43902439024390244
NRGN,2.3418884,0.5522092,0.01918644418665852,1.0,0.5365853658536586
ANAPC11,2.319649,0.22354499,0.020359880034439778,1.0,0.9024390243902439
FAM98A,2.3115115,0.55273336,0.020804615224671516,1.0,0.5487804878048781
CEP170,2.3095806,0.33689252,0.020911380392747318,1.0,0.7804878048780488
NTPCR,2.3076842,0.6197365,0.021016703510471156,1.0,0.4878048780487805
AP001528.1,2.3015814,0.88627636,0.0213587960711428,1.0,0.35365853658536583
SKA2,2.2977884,0.5330502,0.02157383061792669,1.0,0.5
SRM,2.2967196,0.24757217,0.021634770655966997,1.0,0.8658536585365854
LSM4,2.2646875,0.372455,0.023531857913275167,1.0,0.7804878048780488
NPEPPS,2.2611706,0.44574267,0.023748694049735862,1.0,0.6219512195121951
CCT8,2.2501714,0.3454435,0.02443806316144648,1.0,0.8780487804878049
HEATR5A,2.249413,0.88907987,0.024486238689584036,1.0,0.32926829268292684
FAM234A,2.2480338,0.5316679,0.0245740414197793,1.0,0.5365853658536586
SUMO1,2.2435167,0.3836039,0.02486350763248126,1.0,0.8414634146341463
PUS7L,2.2419653,0.5673546,0.024963621714149238,1.0,0.4878048780487805
NLGN1,2.2399654,0.5599826,0.025093172380997814,1.0,0.4878048780487805
ELOVL5,2.2398274,0.46700943,0.02510212832545303,1.0,0.5853658536585366
HADHA,2.231035,0.2623561,0.025678810395366646,1.0,0.8902439024390244
SYAP1,2.2126915,0.3850874,0.02691891557469734,1.0,0.7926829268292683
TLE5,2.2105193,0.2924454,0.027069139523651614,1.0,0.8292682926829268
GNPNAT1,2.20914,0.66992235,0.02716489492824089,1.0,0.45121951219512196
CHD6,2.2041404,0.7073549,0.027514462907581503,1.0,0.4024390243902439
ABI2,2.2038991,0.39580512,0.02753143634256736,1.0,0.6707317073170732
LTBR,2.1962445,0.57832503,0.028074441972272646,1.0,0.5
PHF11,2.196072,0.78948873,0.028086777371963793,1.0,0.3780487804878049
TBC1D5,2.1937964,0.60384536,0.02825004295940751,1.0,0.4634146341463415
UFM1,2.1864867,0.44754678,0.028780015745934587,1.0,0.6097560975609756
POM121,2.1820388,0.85252315,0.029106670787117934,1.0,0.32926829268292684
SLC38A2,2.1770046,0.38031667,0.029480217903418808,1.0,0.7195121951219512
PIGP,2.1690397,0.6167477,0.030079663840276317,1.0,0.4146341463414634
C4orf3,2.1610403,0.332971,0.03069221898003691,1.0,0.8536585365853658
ZNRD2,2.1445243,0.55490327,0.03199089022227296,1.0,0.4634146341463415
SERBP1,2.143352,0.1618911,0.03208483584544745,1.0,0.9878048780487805
YWHAE,2.1424901,0.1804431,0.032154064271607136,1.0,1.0
FAM50A,2.1361802,0.35996062,0.03266472510984717,1.0,0.8048780487804879
CCT4,2.1279395,0.2852276,0.033342100080058786,1.0,0.8780487804878049
CHCHD1,2.1277325,0.36431974,0.03335925881520009,1.0,0.6951219512195121
KCNMA1,2.1274912,0.7205532,0.03337928688802553,1.0,0.4146341463414634
SGSM3,2.0954247,0.77905226,0.03613325011641321,1.0,0.34146341463414637
BLOC1S4,2.0879426,0.68635046,0.036803014502347436,1.0,0.3780487804878049
CBX1,2.083736,0.47192365,0.03718418691016686,1.0,0.6219512195121951
TMEM127,2.0779433,1.0555642,0.03771457702495744,1.0,0.2682926829268293
YWHAB,2.0766675,0.15080032,0.03783225009471138,1.0,0.9878048780487805
FBN1,2.072323,0.45897958,0.038235320035806306,1.0,0.6585365853658537
AMZ2,2.0563934,0.59081846,0.03974462277110432,1.0,0.43902439024390244
CFLAR,2.0477388,0.42047536,0.040585601618391136,1.0,0.6707317073170732
GLCE,2.0436013,0.57806325,0.04099296362564155,1.0,0.4878048780487805
POLE4,2.0334985,0.4849605,0.04200218497154789,1.0,0.5487804878048781
NAXE,2.0235338,0.6128504,0.04301814754855147,1.0,0.4634146341463415
SLC25A13,2.0190513,1.0882155,0.04348188396062063,1.0,0.2682926829268293
CENPF,2.018603,1.1024408,0.04352848900443863,1.0,0.2926829268292683
BET1,2.0185342,0.7904111,0.04353566275498425,1.0,0.36585365853658536
ACTL6A,2.0142586,0.60206324,0.04398238981103685,1.0,0.3902439024390244
GOLIM4,2.0086384,0.37103155,0.044575501531550356,1.0,0.6829268292682927
TMF1,2.0037076,0.40869957,0.0451013818506435,1.0,0.5365853658536586
SIL1,2.0002942,0.35598513,0.04546850909721287,1.0,0.6951219512195121
CZIB,1.9955359,0.4840107,0.045984461912588474,1.0,0.5
TBC1D10B,1.9940877,1.0138075,0.04614246646143402,1.0,0.2682926829268293
PLEK2,1.9898812,0.8941001,0.04660402701148741,1.0,0.3048780487804878
CTNNA1,1.9876745,0.30431375,0.046847707075695175,1.0,0.8292682926829268
PNISR,1.9870538,0.29074797,0.0469164349447025,1.0,0.8048780487804879
NPM3,1.9835024,0.39468864,0.04731134461883465,1.0,0.5975609756097561
UGGT2,1.9797785,0.64272815,0.04772842317244236,1.0,0.36585365853658536
AIDA,1.9742272,0.4290529,0.0483559139748818,1.0,0.5365853658536586
MCL1,1.9696069,0.36383197,0.048883443597853446,1.0,0.7926829268292683
NT5C,1.9692621,0.44433528,0.048923004451871296,1.0,0.573170731707317
EVA1B,1.9630902,0.35197094,0.049635702031681175,1.0,0.7073170731707317
LPCAT1,1.960711,0.9443956,0.04991274463882422,1.0,0.2682926829268293
PPP1CB,1.9554355,0.32619908,0.05053168367667502,1.0,0.6951219512195121
ACADVL,1.9537461,0.5842283,0.05073126047496584,1.0,0.47560975609756095
SETD3,1.9535736,0.5565355,0.05075166252966513,1.0,0.43902439024390244
EIF2AK1,1.952953,0.38503954,0.05082516684322309,1.0,0.6341463414634146
CWC15,1.9505049,0.37420148,0.051115970612883546,1.0,0.6219512195121951
