names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CFAP36,4.0385194,0.8001976,5.378963119304442e-05,1.0,0.6346153846153846
RPAIN,3.6681728,0.6288775,0.00024428998719094966,1.0,0.6826923076923077
CLSTN1,3.4124749,0.6736491,0.0006437586797388624,1.0,0.7019230769230769
TMED9,3.1199255,0.33626136,0.0018089679051033942,1.0,0.875
SH3YL1,3.0997887,1.132265,0.0019365876952269667,1.0,0.3557692307692308
REEP5,2.975576,0.46350405,0.0029243898904122772,1.0,0.8173076923076923
ZNF609,2.9696174,0.7669417,0.0029817091557353317,1.0,0.47115384615384615
RER1,2.9248824,0.45612657,0.0034458641314921296,1.0,0.7692307692307693
HEXA,2.90719,0.66386735,0.0036469149202315505,1.0,0.5096153846153846
STK25,2.8966787,0.6601433,0.0037713588492530796,1.0,0.5192307692307693
DOCK4,2.8535326,0.6300183,0.004323608757194067,1.0,0.5865384615384616
CDA,2.8103256,0.73282903,0.004949141427213888,1.0,0.4519230769230769
CENPV,2.7819996,0.58692056,0.005402512083439356,1.0,0.5865384615384616
SIVA1,2.727181,0.4491533,0.00638780107465622,1.0,0.6730769230769231
BBS7,2.679421,0.8633274,0.007374963755646688,1.0,0.375
HNRNPDL,2.6218216,0.34842995,0.008746120979675292,1.0,0.8076923076923077
PTPRK,2.6115546,0.6901777,0.009013161288143754,1.0,0.46153846153846156
TTYH3,2.5981708,0.7265985,0.009372188572164675,1.0,0.4230769230769231
RPS3A,2.5766282,0.08040933,0.009976917781103009,1.0,1.0
NAXE,2.5722587,0.5756078,0.010103736725238706,1.0,0.5096153846153846
OTUB1,2.541916,0.5277496,0.011024668835406374,1.0,0.5480769230769231
SLC35C2,2.5350711,0.84112245,0.011242446092598066,1.0,0.36538461538461536
INPP1,2.509862,0.53580785,0.012077835019082573,1.0,0.5673076923076923
TSPAN3,2.4800692,0.34482968,0.013135686117874832,1.0,0.8076923076923077
FAM174C,2.4641798,0.39910674,0.01373271986877176,1.0,0.6538461538461539
TMEM147,2.455899,0.31641188,0.014053266352598636,1.0,0.8076923076923077
EMC6,2.4506738,0.47942734,0.014258911727463934,1.0,0.6442307692307693
PIGP,2.4198728,0.6369667,0.015525942460306532,1.0,0.4230769230769231
C1orf35,2.4177337,0.6964824,0.015617501377673693,1.0,0.3942307692307692
PYGB,2.383999,0.69721365,0.017125641135618243,1.0,0.375
GIT1,2.3572621,0.7751763,0.018410247509015373,1.0,0.375
CCT4,2.3429615,0.3245769,0.019131352637847047,1.0,0.9134615384615384
PSMD14,2.3014045,0.39045426,0.021368775214319177,1.0,0.6923076923076923
EVA1B,2.290557,0.37495786,0.021989052052026024,1.0,0.6730769230769231
ABL2,2.2904959,0.4854439,0.02199259048007398,1.0,0.5192307692307693
