names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PET100,3.4486883,0.59716016,0.0005633165707635789,1.0,0.735632183908046
GPX4,3.1956327,0.28880477,0.0013952455773848242,1.0,1.0
DNAJB11,3.1858292,0.7234829,0.001443398260624624,1.0,0.5517241379310345
PSMA7,3.0900006,0.26531357,0.002001560788680713,1.0,1.0
MRPL15,3.004645,0.6430782,0.0026589098994501885,1.0,0.6091954022988506
RPL41,2.987681,0.09137918,0.002811028409450862,1.0,1.0
RPS19,2.9795504,0.114359885,0.002886718838018789,1.0,1.0
NDUFA13,2.9498382,0.2831385,0.0031794053312445268,1.0,0.9885057471264368
TUBA1B,2.8805766,0.42735562,0.003969485620634911,1.0,0.9425287356321839
PDCD2,2.8481207,0.56790036,0.004397824782109911,1.0,0.6781609195402298
TMEM160,2.7775543,0.5634272,0.005476970308365016,1.0,0.6896551724137931
COX7A2,2.7754798,0.2023164,0.005512033849739228,1.0,0.9655172413793104
H3F3A,2.7575788,0.16141658,0.005823117874478547,1.0,0.9885057471264368
IGFBP7,2.7255244,0.29659045,0.00641994268742285,1.0,0.9540229885057471
NDUFB3,2.6561959,0.4373994,0.007902767168674366,1.0,0.8160919540229885
SELENOS,2.6531177,0.42631134,0.007975205747219969,1.0,0.7586206896551724
RPS21,2.646526,0.09328443,0.008132322008226322,1.0,1.0
MCTS1,2.615442,0.48945564,0.00891120273212702,1.0,0.735632183908046
TMEM258,2.597608,0.24333605,0.009387556678166566,1.0,0.896551724137931
PTPRE,2.5682304,0.4461724,0.01022191584740709,1.0,0.6896551724137931
LSM1,2.5644162,0.5282712,0.010334956067735521,1.0,0.632183908045977
TNKS2,2.551601,0.6704281,0.010722922370309107,1.0,0.47126436781609193
FAM174C,2.54511,0.45369667,0.01092433577402878,1.0,0.6551724137931034
MYL12A,2.5351055,0.18491034,0.011241348644028492,1.0,0.9885057471264368
RABAC1,2.4853175,0.29246956,0.012943595589101653,1.0,0.9425287356321839
RTRAF,2.476986,0.30279556,0.01324971045326876,1.0,0.8850574712643678
ATP5PD,2.4519916,0.3500055,0.014206797397039886,1.0,0.8735632183908046
RPLP1,2.437537,0.060700998,0.014787699432645341,1.0,1.0
MFGE8,2.4363995,0.9343637,0.014834294899180183,1.0,0.3448275862068966
MTHFD2L,2.4334216,0.86941683,0.014956878500138783,1.0,0.367816091954023
GLUL,2.4329531,0.8219637,0.014976242326891006,1.0,0.39080459770114945
DYNLL1,2.410234,0.28235373,0.015942294366422735,1.0,1.0
SLC4A1AP,2.4075236,0.70848083,0.01606111933265953,1.0,0.40229885057471265
UBL5,2.3926008,0.25547847,0.01672943682364439,1.0,0.9885057471264368
TNFRSF12A,2.381626,0.41648367,0.017236396629693392,1.0,0.8160919540229885
TNIP2,2.3581038,0.61053485,0.01836855722675755,1.0,0.4942528735632184
CSNK2B,2.3295627,0.42793596,0.01982927682954077,1.0,0.7816091954022989
S100A6,2.321365,0.113531314,0.020267149853579837,1.0,1.0
S100A11,2.313368,0.18350936,0.020702404245987044,1.0,1.0
RPS8,2.3130336,0.06090037,0.020720792009774027,1.0,1.0
GOLGA2,2.3051035,0.5590327,0.021160768828587733,1.0,0.5402298850574713
CAMTA1,2.3044345,0.35701832,0.021198267355794633,1.0,0.8390804597701149
RBM4,2.3041668,0.46057856,0.02121328296665494,1.0,0.5747126436781609
VPS4B,2.2919874,0.5510446,0.021906366550325903,1.0,0.5057471264367817
TRIM8,2.2832544,0.5104816,0.022415382067595906,1.0,0.5632183908045977
KATNBL1,2.2726142,0.50523084,0.0230494322367566,1.0,0.5172413793103449
SNHG8,2.2679634,0.306134,0.02333143628222765,1.0,0.7816091954022989
PRR13,2.2228262,0.35632223,0.026227513292786546,1.0,0.7471264367816092
BCAP31,2.1942518,0.30431888,0.028217314984071436,1.0,0.8735632183908046
GOSR2,2.1919765,0.74322754,0.028381202977842475,1.0,0.3793103448275862
APMAP,2.187058,0.3883046,0.028738294848462406,1.0,0.7011494252873564
TCTEX1D2,2.1680863,0.5686837,0.03015212081553421,1.0,0.5172413793103449
COPS9,2.1488805,0.28927252,0.03164387781423127,1.0,0.9425287356321839
NOP10,2.1354632,0.25723758,0.03272319930629895,1.0,0.9195402298850575
STARD4,2.1317155,0.47074482,0.033030230280443176,1.0,0.5862068965517241
NSDHL,2.119436,0.7478148,0.03405364209586393,1.0,0.3448275862068966
LGALS1,2.117696,0.08223756,0.03420081862478094,1.0,1.0
RPL23,2.1116734,0.07748794,0.03471448089469802,1.0,1.0
CTSZ,2.0777452,0.2084657,0.03773283438614548,1.0,1.0
RPL35A,2.0773103,0.031890795,0.03777293686767264,1.0,0.9885057471264368
OCIAD1,2.067038,0.3479431,0.03873056437025505,1.0,0.7471264367816092
JUND,2.0594094,0.25282672,0.03945504645399961,1.0,0.8735632183908046
NDUFA6,2.0563645,0.3656578,0.03974739918885662,1.0,0.7701149425287356
GLTP,2.0296302,0.3899325,0.04239414438945412,1.0,0.6436781609195402
RPS28,2.0289276,0.09337464,0.04246567215273371,1.0,1.0
STXBP1,2.0287602,0.5414152,0.04248271760908556,1.0,0.47126436781609193
RPL37A,2.0228379,0.046172336,0.043089865789466095,1.0,1.0
PUF60,2.0226371,0.39732224,0.04311057493684142,1.0,0.632183908045977
FUBP1,2.0190234,0.46711728,0.04348478035168399,1.0,0.4827586206896552
TCEAL8,2.017819,0.3913649,0.04361012367720134,1.0,0.6666666666666666
METAP1,2.0153763,0.53960246,0.04386522905066559,1.0,0.4367816091954023
AIFM1,2.013971,0.6256731,0.04401257221238919,1.0,0.40229885057471265
PTHLH,2.0068777,0.83143836,0.044762696690538686,1.0,0.3103448275862069
NMI,2.006041,0.64032024,0.0448518614455666,1.0,0.40229885057471265
GSTK1,2.0017583,0.3289186,0.04531073517898408,1.0,0.735632183908046
TXN2,1.9986465,0.37337485,0.045646612301881974,1.0,0.6436781609195402
RPL19,1.9936945,0.060087077,0.046185451113683496,1.0,0.9885057471264368
HTRA1,1.9902816,0.421339,0.0465599225620128,1.0,0.6666666666666666
HNRNPC,1.978805,0.22139078,0.04783797168833627,1.0,0.9655172413793104
STOM,1.972113,0.28903806,0.048596707170870106,1.0,0.8390804597701149
MRPL57,1.9679306,0.25350535,0.04907602909202469,1.0,0.896551724137931
TATDN1,1.9560858,0.42256573,0.05045504444937103,1.0,0.5862068965517241
VPS28,1.9376161,0.26652786,0.05267007813314519,1.0,0.9310344827586207
QPCT,1.9365454,0.7564448,0.05280094030682386,1.0,0.3103448275862069
NEDD8,1.9307568,0.19347978,0.05351312808264035,1.0,0.9655172413793104
NUDCD1,1.9252026,0.39963862,0.054204023127347824,1.0,0.5402298850574713
RPL39,1.920217,0.081435055,0.054830487629343845,1.0,1.0
GLOD4,1.9188787,0.49561423,0.05499969028790358,1.0,0.4482758620689655
PAXBP1,1.9035542,0.54431593,0.05696827584388824,1.0,0.40229885057471265
DNAJC1,1.897063,0.41138855,0.057819628079591845,1.0,0.7241379310344828
GUSB,1.8948212,0.5189283,0.05811609762808498,1.0,0.4367816091954023
DNAJC8,1.8929474,0.19161023,0.05836486114438403,1.0,0.8045977011494253
INIP,1.8928806,0.8759464,0.05837376188996331,1.0,0.26436781609195403
CLUAP1,1.8873931,0.7194824,0.059107469483643114,1.0,0.3218390804597701
ASAP2,1.8868577,0.3628734,0.05917945875080235,1.0,0.5977011494252874
RPL36,1.8852518,0.06936299,0.059395863298820906,1.0,1.0
PSMA4,1.8822403,0.26056802,0.05980339169458467,1.0,0.9080459770114943
C16orf74,1.8817384,0.5704514,0.05987153805250754,1.0,0.41379310344827586
CTSL,1.8790951,0.25411913,0.06023150581043576,1.0,0.8735632183908046
GLO1,1.8558072,0.26245537,0.06348104494614835,1.0,0.8160919540229885
HMGN2,1.8519928,0.23801342,0.06402685817558887,1.0,0.8850574712643678
LSM7,1.8512232,0.28064543,0.06413744685034739,1.0,0.9080459770114943
ORAI2,1.8512232,0.39457205,0.06413744685034739,1.0,0.5287356321839081
