names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COA8,3.4650087,0.74673617,0.0005302140768975065,1.0,0.7377049180327869
MAP1LC3B,3.293665,0.7399928,0.0009889032459772912,1.0,0.7377049180327869
PSMD14,3.2910213,0.64914954,0.000998243111678241,1.0,0.819672131147541
AKR1B1,3.173548,0.6074552,0.0015058806083323795,1.0,0.7540983606557377
REX1BD,3.055073,0.57815844,0.0022500572310677792,1.0,0.8032786885245902
PFKM,3.0469825,1.1388621,0.0023115119839280693,1.0,0.4426229508196721
ACOT7,2.9801352,0.53709584,0.0028812129214866775,1.0,0.7540983606557377
POGK,2.9176533,1.3461522,0.0035267610063342736,1.0,0.3770491803278688
PSMD1,2.7231593,0.4049847,0.006466088724095639,1.0,0.8032786885245902
SCP2,2.71615,0.46135688,0.006604597594851207,1.0,0.8032786885245902
ZRANB2,2.6808639,0.5424065,0.007343236709424665,1.0,0.8032786885245902
COL4A2,2.6261125,0.46860805,0.008636629912771782,1.0,0.9344262295081968
SYF2,2.582215,0.53061515,0.009816840670514165,1.0,0.819672131147541
ERCC6,2.5655932,1.6898197,0.010299952419525514,1.0,0.2786885245901639
UBXN4,2.524059,0.42537355,0.011600846046673663,1.0,0.9016393442622951
CD46,2.5213754,0.40893486,0.011689704001205206,1.0,0.8032786885245902
USP14,2.5155678,0.48596975,0.011884078636639279,1.0,0.7704918032786885
KCMF1,2.485689,0.7176753,0.012930096639184612,1.0,0.5081967213114754
ERCC1,2.466544,0.5641354,0.013642403665203468,1.0,0.639344262295082
BLOC1S1,2.438467,0.44271827,0.014749700488468041,1.0,0.819672131147541
HES1,2.4104705,0.9113784,0.015931958524117332,1.0,0.4426229508196721
HPCAL1,2.3818731,0.5541365,0.017224829720705916,1.0,0.639344262295082
MRPS14,2.3707786,0.92055196,0.017750658120089736,1.0,0.4262295081967213
CHMP4B,2.3597643,0.67707646,0.018286551797170855,1.0,0.6065573770491803
RPL14,2.3556788,0.12152516,0.018488891185097,1.0,1.0
CHMP3,2.2994053,0.43507946,0.02148193171589785,1.0,0.8032786885245902
SCARF1,2.2886312,0.89672357,0.02210078482401882,1.0,0.39344262295081966
RABGGTB,2.2873898,0.49441862,0.022173089405603773,1.0,0.7049180327868853
SRPRA,2.2779374,0.5894633,0.02273031332587611,1.0,0.5901639344262295
TMEM258,2.2459755,0.31364974,0.024705575383876462,1.0,0.9508196721311475
RBBP6,2.2445736,0.57085836,0.02479551291426239,1.0,0.5573770491803278
HNRNPA0,2.2418501,0.57325375,0.024971059608760744,1.0,0.6065573770491803
GNPTG,2.2201817,0.77959645,0.026406428147433297,1.0,0.39344262295081966
TSPAN5,2.2183394,0.44487488,0.026531699110167766,1.0,0.6721311475409836
TCEA1,2.2167773,0.24570607,0.026638308907785742,1.0,0.8688524590163934
CNPY3,2.211971,0.87772226,0.0269686629281037,1.0,0.4098360655737705
CHURC1,2.2068043,0.3240952,0.027327732323982456,1.0,0.8360655737704918
KIAA1324,2.18053,1.2811852,0.029218198257764283,1.0,0.29508196721311475
CDH2,2.1609445,0.5843733,0.030699635219329963,1.0,0.5573770491803278
NDUFAF2,2.1383147,0.4295286,0.0324912009865082,1.0,0.7540983606557377
WDFY1,2.1324673,0.67117894,0.03296846046395183,1.0,0.5245901639344263
DNPEP,2.1194901,0.9171893,0.03404906021299407,1.0,0.3770491803278688
FKBP4,2.114844,0.5569866,0.03444323359767016,1.0,0.5737704918032787
IDS,2.1089563,0.48171428,0.034948341533151905,1.0,0.6229508196721312
ATP5F1E,2.1080754,0.122378424,0.03502447736134885,1.0,1.0
PECAM1,2.0965002,0.4639166,0.03603784555782279,1.0,0.8032786885245902
ATG12,2.0961797,0.48039386,0.03606624918718088,1.0,0.5901639344262295
DCTN2,2.0921345,0.4586285,0.036426489671316134,1.0,0.7049180327868853
TP53I3,2.0913334,0.60080117,0.03649818695878736,1.0,0.5245901639344263
HP1BP3,2.089611,0.3776861,0.03665274339642486,1.0,0.8032786885245902
KIF13A,2.0830426,0.68144804,0.037247343172711896,1.0,0.47540983606557374
IFT20,2.0738306,0.57723725,0.038095052472134336,1.0,0.5081967213114754
CRLS1,2.0622954,0.58736867,0.03917961539305412,1.0,0.5245901639344263
GNG11,2.0599725,0.32284707,0.03940117754810735,1.0,0.9672131147540983
PLXND1,2.058811,0.67072767,0.03951235693333225,1.0,0.47540983606557374
RB1CC1,2.0411477,0.43786436,0.041236136863042616,1.0,0.6885245901639344
DCTN1,2.0409875,0.5907425,0.04125205901967285,1.0,0.5573770491803278
TUT4,2.0315752,0.6190365,0.04219666890253562,1.0,0.5245901639344263
ZDHHC12,2.0192792,0.6848238,0.04345820509145929,1.0,0.45901639344262296
CAPZB,2.0173166,0.30248758,0.043662477299334305,1.0,0.819672131147541
PFDN6,2.0050607,0.5478275,0.044956563673524394,1.0,0.5737704918032787
POLR2J,2.0049005,0.36950105,0.04497369171283585,1.0,0.7540983606557377
WBP1,2.0032983,0.6811676,0.04514527496129081,1.0,0.4262295081967213
RAB3B,2.0025373,0.5038846,0.045226970146852896,1.0,0.5901639344262295
SRPK2,2.0019767,0.48795,0.045287246316347715,1.0,0.6229508196721312
FHOD1,2.0012157,0.93550205,0.04536915798949007,1.0,0.36065573770491804
SLC29A1,1.9978913,0.81990033,0.04572844838415461,1.0,0.3770491803278688
TLE2,1.99689,0.82725877,0.045837137023047196,1.0,0.36065573770491804
BAZ1A,1.9962491,0.44151425,0.045906811896769276,1.0,0.6721311475409836
SWI5,1.9904015,0.44613594,0.04654672598777274,1.0,0.6557377049180327
C17orf49,1.980068,0.4105606,0.047695890177291,1.0,0.7868852459016393
CD99,1.9705756,0.12018699,0.04877244252436551,1.0,1.0
ITPRID2,1.9562368,0.4824451,0.05043726113236616,1.0,0.5573770491803278
TPP2,1.9550352,1.0502594,0.0505789080328863,1.0,0.3114754098360656
DYSF,1.9544345,0.40153313,0.0506498563728862,1.0,0.6885245901639344
DYNC1I2,1.9422987,0.29539073,0.052100960240001506,1.0,0.8360655737704918
LYN,1.9396151,0.7341539,0.052426483086757555,1.0,0.4262295081967213
ANO6,1.9336072,0.5997729,0.05316143418536786,1.0,0.45901639344262296
COPB1,1.9315245,0.33236125,0.05341821804377204,1.0,0.7868852459016393
CAPZA2,1.9289612,0.304648,0.053735680972726824,1.0,0.819672131147541
ZFHX3,1.9185076,0.58197576,0.055046689181939064,1.0,0.4426229508196721
CAVIN2,1.9169855,0.33630413,0.05523976955039537,1.0,0.9016393442622951
