names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GPATCH4,3.747341,0.9953142,0.00017871913665381333,1.0,0.6666666666666666
BRWD1,3.450402,0.9674097,0.0005597524182938366,1.0,0.5789473684210527
PLXNA2,3.228651,0.75851583,0.0012437553153423352,1.0,0.7192982456140351
CD9,3.1956165,0.38891426,0.0013953246539728677,1.0,1.0
COL18A1,3.1780422,0.6508577,0.001482731827180603,1.0,0.7543859649122807
MTMR9,3.1339407,0.9309225,0.0017247571261772927,1.0,0.543859649122807
AFAP1,3.108118,0.71943456,0.0018828280280405495,1.0,0.7368421052631579
G6PD,2.9913983,0.70228726,0.0027770292236098428,1.0,0.7192982456140351
FAM171A1,2.923837,0.7712106,0.003457458204932033,1.0,0.6140350877192983
TIMM50,2.9203138,0.9766349,0.00349679103541736,1.0,0.5087719298245614
SYNCRIP,2.8370433,0.631204,0.004553344660116926,1.0,0.7543859649122807
LAMC1,2.8351781,0.43185756,0.004580015433864589,1.0,0.9473684210526315
RPS6KB1,2.7945998,1.1603591,0.005196401502750704,1.0,0.40350877192982454
CS,2.763596,0.64967555,0.005716826801040924,1.0,0.6842105263157895
ALDH9A1,2.755182,0.8313611,0.005865950822727883,1.0,0.5263157894736842
ATP9A,2.7548919,0.74998766,0.005871155005715444,1.0,0.5789473684210527
PARP1,2.7297738,0.5644061,0.006337778797521326,1.0,0.8596491228070176
CDK2AP1,2.726914,0.53493947,0.00639297229764147,1.0,0.9122807017543859
CCDC50,2.6554976,0.38260323,0.007919148225209833,1.0,0.8245614035087719
GALNT6,2.6400788,0.64359313,0.008288677081385807,1.0,0.7017543859649122
COL6A2,2.6305456,0.7716254,0.008524795496811817,1.0,0.5964912280701754
RPL27A,2.6145048,0.105117455,0.00893568944811218,1.0,1.0
NCOR2,2.5919154,0.69553185,0.009544327597222282,1.0,0.5964912280701754
ARFGEF1,2.5726416,0.6033433,0.010092566303241906,1.0,0.6491228070175439
PLK2,2.55457,0.42191067,0.010631906969391543,1.0,0.9122807017543859
DSTN,2.543213,0.15717764,0.010983825753280127,1.0,1.0
HLA-C,2.5155666,0.28389186,0.011884120421613664,1.0,0.9824561403508771
VAT1,2.4981997,0.43860886,0.012482588026045226,1.0,0.9824561403508771
UBE2F,2.4980752,0.63954604,0.012486967521537575,1.0,0.5964912280701754
EPHA2,2.4931014,0.66432834,0.012663266822267401,1.0,0.5789473684210527
