names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CIB1,3.5083854,0.5464984,0.0004508352158704224,1.0,0.85
CCDC90B,3.3749032,0.7162238,0.0007384167206038615,1.0,0.59
ARPC5,3.168632,0.3197098,0.0015315815467253785,1.0,0.95
SAT1,3.1121469,0.475568,0.0018573214445328486,1.0,0.75
YTHDC1,2.9740508,0.68073666,0.002938964202553777,1.0,0.57
HGSNAT,2.9332142,0.86863834,0.0033547225803169903,1.0,0.47
LRRC8A,2.8888552,0.8131731,0.0038664701096960486,1.0,0.45
FN1,2.8796282,0.35534832,0.0039814455224166335,1.0,0.92
PLOD2,2.8429065,0.43434057,0.004470419800715379,1.0,0.75
JMJD1C,2.7915647,0.55179155,0.005245388243177387,1.0,0.59
PPP2CB,2.7870758,0.3953274,0.005318604929213305,1.0,0.75
PSMG2,2.7781913,0.5046242,0.005466240132597689,1.0,0.64
TRAPPC3,2.7244182,0.49293682,0.006441488695459912,1.0,0.71
GDF15,2.6835816,0.5320616,0.0072838179118216015,1.0,0.66
PHF20L1,2.6380692,0.44286954,0.008337955367166078,1.0,0.69
ANXA2,2.5885668,0.14470248,0.00963762863604031,1.0,1.0
SMIM7,2.568616,0.5480528,0.01021055262512813,1.0,0.55
PDLIM4,2.5566144,0.37024447,0.010569629386369189,1.0,0.87
NT5DC2,2.536695,0.4410387,0.011190441138678519,1.0,0.61
STK4,2.479212,0.59664863,0.013167296813966443,1.0,0.45
PROCR,2.458077,0.21189392,0.0139683257568331,1.0,0.95
SRGN,2.427964,0.20629656,0.01518385527539604,1.0,0.99
SF3B3,2.3907123,0.5507301,0.016815725704378084,1.0,0.48
YIPF3,2.3788667,0.44166523,0.01736596114058737,1.0,0.6
VPS16,2.3782432,1.0881323,0.01739535332113123,1.0,0.3
ITGB1,2.360568,0.13341737,0.01824696940254733,1.0,1.0
MAP3K20,2.3495953,0.47073615,0.01879383720393368,1.0,0.6
NUCB1,2.3403056,0.4020237,0.01926796231744106,1.0,0.7
TMEM189,2.3323877,0.3957186,0.01968030129758256,1.0,0.64
RAB11A,2.3049557,0.26261112,0.021169059736341374,1.0,0.93
MRPL33,2.3029294,0.28097633,0.021282817394140136,1.0,0.83
VCP,2.301215,0.33135712,0.021379489371132005,1.0,0.82
TGFBR2,2.277804,0.4141591,0.022738257328464056,1.0,0.78
NRIP1,2.2693563,0.5819936,0.023246676318251835,1.0,0.46
FSCN1,2.2690444,0.42432216,0.023265624500450718,1.0,0.66
CTSL,2.2650855,0.2868094,0.023507435378220243,1.0,0.85
BLVRB,2.263215,0.4389983,0.023622433384104892,1.0,0.64
CLIC1,2.2469118,0.23820402,0.024645673193660553,1.0,0.99
PPP1R7,2.2458518,0.39019254,0.024713503097378405,1.0,0.6
CHCHD3,2.230546,0.5747966,0.025711224532841852,1.0,0.45
PAFAH1B1,2.230546,0.42517674,0.025711224532841852,1.0,0.61
BAX,2.2044854,0.26807955,0.027490229666171227,1.0,0.94
