names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GAS5,3.0430071,0.19622914,0.002342267287267665,1.0,1.0
DIXDC1,2.8666873,0.6468641,0.004147925219296202,1.0,0.6164383561643836
SNAP23,2.7887132,0.5587361,0.005291791465676485,1.0,0.684931506849315
ALCAM,2.765087,0.692535,0.005690765221573235,1.0,0.5753424657534246
STYXL1,2.751445,1.2551897,0.005933299026084679,1.0,0.3424657534246575
DDX10,2.7273066,0.5000806,0.006385367961748345,1.0,0.7808219178082192
USP16,2.6743119,0.6247931,0.007488277234565408,1.0,0.5616438356164384
NRBF2,2.6140757,0.9785676,0.008946921352197965,1.0,0.3835616438356164
SNHG5,2.5852559,0.2600689,0.009730673580757965,1.0,1.0
ZNHIT3,2.5502918,0.73683107,0.010763276631751651,1.0,0.4794520547945205
CALCOCO2,2.545574,0.5010865,0.010909826127147337,1.0,0.6575342465753424
GTF2E2,2.5447693,0.46291643,0.0109349953033433,1.0,0.6986301369863014
RER1,2.5374181,0.43441778,0.011167350069710065,1.0,0.7808219178082192
TNIP2,2.5231545,0.67431366,0.01163072890559239,1.0,0.5342465753424658
MBD2,2.5124385,0.58104193,0.011989999294098944,1.0,0.5753424657534246
CHP1,2.4952126,0.55494076,0.012588171624444257,1.0,0.589041095890411
DEK,2.4485085,0.38405812,0.01434490772533871,1.0,0.8493150684931506
SERBP1,2.427113,0.21785368,0.015219512671715795,1.0,1.0
ODF2L,2.406632,0.5035717,0.016100384164798153,1.0,0.6164383561643836
IDH3G,2.3955138,0.61185193,0.016597092770907717,1.0,0.5342465753424658
SRP9,2.3933558,0.4177855,0.016695037769239574,1.0,0.863013698630137
DFFA,2.3817623,0.668834,0.017230021202324804,1.0,0.5616438356164384
NTN4,2.3806283,0.6540791,0.017283136698768155,1.0,0.5068493150684932
MTRNR2L12,2.3773003,0.3886597,0.017439886797751828,1.0,0.7671232876712328
SFPQ,2.374484,0.41509333,0.01757349370241703,1.0,0.8767123287671232
CAAP1,2.3690712,0.82147807,0.017832818166916994,1.0,0.3972602739726027
CHD7,2.356563,0.72909105,0.018444929872125055,1.0,0.4794520547945205
COPZ1,2.349029,0.53431267,0.018822436771779177,1.0,0.6575342465753424
PLOD3,2.3364112,0.47129935,0.019469815842137427,1.0,0.7397260273972602
PGK1,2.335168,0.3635877,0.019534656390987507,1.0,0.8356164383561644
NCSTN,2.328365,0.629682,0.019892721382926234,1.0,0.5205479452054794
ANAPC5,2.326756,0.43597937,0.019978258276795325,1.0,0.726027397260274
CCNI,2.3238301,0.20154618,0.02013460266031733,1.0,0.9863013698630136
ZNFX1,2.3125288,0.8130767,0.020748552473755393,1.0,0.3972602739726027
PRXL2C,2.3028371,0.9488657,0.02128801490720085,1.0,0.3561643835616438
NAA35,2.3018496,0.8242259,0.021343658754684008,1.0,0.3835616438356164
WAC,2.301813,0.44449663,0.021345722068218293,1.0,0.6301369863013698
NTMT1,2.2851722,0.60627705,0.02230273730133179,1.0,0.5068493150684932
CPNE7,2.2348473,1.6294546,0.025427376868453602,1.0,0.2328767123287671
DPF2,2.2319946,0.67265224,0.025615322445583472,1.0,0.4383561643835616
LRRC28,2.2266915,1.1655917,0.02596790332935577,1.0,0.2876712328767123
TAOK3,2.2248993,0.45802313,0.02608799615976168,1.0,0.6712328767123288
EMP1,2.2157195,0.38009056,0.026710722144837808,1.0,0.7671232876712328
MT-ND1,2.2090998,0.16086966,0.02716770819192953,1.0,1.0
MRPS24,2.2055886,0.3413741,0.02741281469134353,1.0,0.7671232876712328
VEPH1,2.2040892,0.46887073,0.0275180755787869,1.0,0.6027397260273972
B3GALT6,2.1847053,0.90597653,0.028910461315623765,1.0,0.3698630136986301
MANBAL,2.1828766,0.58434415,0.0290448960443213,1.0,0.4931506849315068
DHX36,2.180024,0.40555948,0.029255688536981888,1.0,0.6712328767123288
TGIF2,2.1787438,1.1714957,0.029350701944401352,1.0,0.2876712328767123
ERCC1,2.176074,0.4397609,0.029549727350910188,1.0,0.6575342465753424
PAWR,2.173587,0.56794804,0.02973616400874509,1.0,0.5616438356164384
SOCS4,2.1663089,0.6361803,0.03028758725305812,1.0,0.4246575342465753
MMP24OS,2.1593235,0.35048538,0.030825082938330615,1.0,0.6986301369863014
STX16,2.156617,0.40626538,0.031035517601525904,1.0,0.7808219178082192
DNAJC10,2.1539106,0.37985843,0.031247184103292643,1.0,0.8082191780821918
SMAD3,2.1500337,0.43107504,0.031552539377884,1.0,0.7123287671232876
COPB1,2.1422436,0.42102087,0.03217387552408402,1.0,0.8767123287671232
