names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ICAM2,3.5807443,0.49770215,0.00034261674858437625,1.0,0.9152542372881356
MRPL17,3.5804186,0.6627525,0.0003430443361093534,1.0,0.8813559322033898
MT-ND2,3.3898702,0.22394875,0.000699257310613266,1.0,1.0
MT-ND4,3.2364702,0.21318255,0.0012101785413070072,1.0,1.0
CD59,3.1855135,0.24877493,0.001444974080008406,1.0,1.0
BCL7C,3.1458802,0.8248557,0.0016558774142479168,1.0,0.6440677966101694
LMAN1,3.1313794,0.48156837,0.0017398720817072442,1.0,0.9152542372881356
HLA-A,3.1255546,0.33005083,0.0017747009945069663,1.0,1.0
SLC35B1,3.0640073,1.1243896,0.002183935933505905,1.0,0.4576271186440678
KLC1,2.9757392,0.76851517,0.0029228333568553978,1.0,0.5932203389830508
SEPTIN9,2.9561875,0.84572077,0.00311467782735382,1.0,0.559322033898305
HLA-C,2.947104,0.38149866,0.003207653323143252,1.0,1.0
RBMS1,2.926819,0.661702,0.0034244810675878963,1.0,0.711864406779661
LRRFIP1,2.8913,0.4951123,0.0038365175687688816,1.0,0.864406779661017
HSPA5,2.8849456,0.42944705,0.003914812710270315,1.0,0.9830508474576272
MT-ND1,2.8263717,0.28194663,0.00470785889528817,1.0,1.0
TIMP2,2.7874312,0.6218319,0.005312774137217979,1.0,0.7288135593220338
CD93,2.7814026,0.4492282,0.00541245537875991,1.0,0.8813559322033898
AP000542.2,2.7751706,1.5722291,0.0055172763976652295,1.0,0.3389830508474576
DNAJB6,2.7270243,0.47564346,0.006390832808955279,1.0,0.9152542372881356
URI1,2.7078393,0.5952941,0.006772283733318067,1.0,0.6779661016949152
DDX3X,2.6888983,0.49504182,0.007168824217313281,1.0,0.8305084745762712
SCRN1,2.688206,0.7834439,0.0071837084283714716,1.0,0.576271186440678
IARS,2.6593263,0.59053934,0.007829709015042555,1.0,0.6949152542372882
TAF1B,2.653746,0.98317915,0.007960374506491981,1.0,0.4406779661016949
TOP2B,2.6460881,0.7758566,0.008142859947423623,1.0,0.576271186440678
NPLOC4,2.5900397,0.84579635,0.009596486120201265,1.0,0.4745762711864407
KIF5B,2.583278,0.4475338,0.009786641277213785,1.0,0.864406779661017
GSTA4,2.5648668,0.9007698,0.010321541920175547,1.0,0.4576271186440678
ADIPOR1,2.5534208,0.8388089,0.010667051437635373,1.0,0.5084745762711864
SETD3,2.5508547,0.93711275,0.01074591161843059,1.0,0.4745762711864407
RAB3GAP2,2.544867,0.8651781,0.010931937756850106,1.0,0.4745762711864407
