names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PRXL2A,3.2751226,0.34962466,0.0010561613053393056,1.0,0.8342245989304813
SPCS2,2.8254158,0.27070782,0.0047219284712985785,1.0,0.8181818181818182
SMAD1,2.7375557,0.44860423,0.006189764181268898,1.0,0.5561497326203209
COPB2,2.6724749,0.3895679,0.007529401152087474,1.0,0.6042780748663101
TPM3,2.650148,0.1721893,0.008045654324426907,1.0,1.0
UBE2Z,2.6445153,0.45559737,0.008180802082396374,1.0,0.47593582887700536
CCN1,2.6212835,0.30449754,0.008759940332981673,1.0,0.8235294117647058
PPP1R12A,2.5939572,0.36837858,0.00948783043249844,1.0,0.5828877005347594
CLNS1A,2.5879626,0.3065474,0.00965454645248038,1.0,0.679144385026738
ATP5PF,2.5790951,0.23636341,0.009905950098515609,1.0,0.9411764705882353
MYL6B,2.5498009,0.33689734,0.010778446599733127,1.0,0.6631016042780749
TBL1XR1,2.545435,0.31499213,0.010914168244468156,1.0,0.7219251336898396
PQBP1,2.5381737,0.5464337,0.011143268245690258,1.0,0.35294117647058826
COA8,2.532903,0.31383502,0.011312227504425378,1.0,0.6684491978609626
NUDT5,2.5081556,0.35763958,0.01213632504536874,1.0,0.5828877005347594
IGFBP4,2.5074542,0.36402237,0.012160432829231339,1.0,0.5882352941176471
PSMB4,2.4983153,0.28167182,0.012478514175098543,1.0,0.7379679144385026
COPS6,2.4966187,0.25910276,0.012538368160058764,1.0,0.8235294117647058
RAB4A,2.4755359,0.38218808,0.013303638055411843,1.0,0.48128342245989303
TKT,2.466578,0.14138912,0.013641102493615468,1.0,1.0
ISCA2,2.459294,0.57947797,0.013921056683009357,1.0,0.37433155080213903
PIGT,2.387834,0.28980824,0.01694799231686732,1.0,0.6898395721925134
PAIP1,2.3624985,0.40074235,0.018152216455229905,1.0,0.48128342245989303
ARF6,2.3364842,0.3453517,0.01946601768143913,1.0,0.6096256684491979
ORMDL1,2.3299694,0.35132343,0.019807769473943575,1.0,0.5828877005347594
GCC2,2.318003,0.41867542,0.020449166745957852,1.0,0.44919786096256686
PDLIM4,2.315311,0.24721572,0.020595921860758,1.0,0.786096256684492
HMGB3,2.3045433,0.44921273,0.021192164211816213,1.0,0.40641711229946526
AIMP1,2.3026657,0.3271802,0.02129765613385116,1.0,0.6898395721925134
MYCT1,2.3016253,0.37882417,0.02135631828656643,1.0,0.48128342245989303
AP4M1,2.279366,0.7964544,0.022645313785255323,1.0,0.24064171122994651
RPF1,2.2635765,0.543661,0.023600170610544455,1.0,0.32620320855614976
PGRMC2,2.2621515,0.45613396,0.023688048514530415,1.0,0.44919786096256686
RNF213,2.2607942,0.26107994,0.023772005561072437,1.0,0.6951871657754011
TMEM59,2.2497325,0.24829446,0.024465932761443092,1.0,0.7540106951871658
SMARCD1,2.241114,0.33004564,0.025018701301660635,1.0,0.6310160427807486
CCT6A,2.2388291,0.23620419,0.025167036612616187,1.0,0.8663101604278075
WDR1,2.2230396,0.19808857,0.026213128402068617,1.0,0.7486631016042781
ZMAT3,2.209648,0.17889494,0.02712960454942394,1.0,0.7967914438502673
NT5C3A,2.2007127,0.71809864,0.027756373904070847,1.0,0.28342245989304815
PPP3R1,2.198428,0.513485,0.02791862688548125,1.0,0.36363636363636365
PSMG4,2.1916416,0.28587863,0.028405396576011422,1.0,0.6096256684491979
BLOC1S4,2.186122,0.55539894,0.02880667732168253,1.0,0.33689839572192515
ZNF106,2.182186,0.24355187,0.029095809345985494,1.0,0.7005347593582888
SAMHD1,2.177164,0.45593518,0.029468325251330828,1.0,0.3689839572192513
CALCOCO1,2.155199,0.63611233,0.031146260725405456,1.0,0.29411764705882354
HERPUD2,2.1414454,0.6390278,0.03223813300340634,1.0,0.26737967914438504
ZNRD1,2.1392965,0.4320894,0.03241166703758329,1.0,0.44385026737967914
TMEM9B,2.130067,0.40993553,0.033166077627681916,1.0,0.4117647058823529
EIF4H,2.1290717,0.27036756,0.03324832627502726,1.0,0.6042780748663101
SNRPD1,2.1272395,0.21610652,0.033400195020778206,1.0,0.839572192513369
ITGA3,2.1189148,0.28379545,0.03409766176972439,1.0,0.6363636363636364
TATDN1,2.1185756,0.3206953,0.03412635323320814,1.0,0.5561497326203209
LAMTOR5,2.1152277,0.21750474,0.03441055026597792,1.0,0.8449197860962567
CCPG1,2.105885,0.23874025,0.035214330652770534,1.0,0.7219251336898396
MCL1,2.0873132,0.23900267,0.03685982787580333,1.0,0.7647058823529411
UBR5,2.085051,0.31569418,0.0370646583919589,1.0,0.5133689839572193
ADAMTS1,2.08487,0.3476137,0.03708108662095955,1.0,0.42780748663101603
SHARPIN,2.080934,0.4000561,0.037439937474045344,1.0,0.44919786096256686
RABGAP1,2.0802102,0.41107407,0.037506253776500124,1.0,0.37433155080213903
DRAM2,2.0795994,0.44307226,0.0375622858846322,1.0,0.37433155080213903
KIAA0319L,2.076455,0.45099,0.037851876028748475,1.0,0.3422459893048128
NBAS,2.0755956,0.4643265,0.0379313743353356,1.0,0.33689839572192515
NIPA2,2.0718405,0.4500171,0.038280323634848956,1.0,0.3850267379679144
PTPRF,2.0684924,0.3203578,0.03859373269403968,1.0,0.5401069518716578
ELF1,2.053359,0.3091569,0.04003776916466264,1.0,0.48663101604278075
ARSD,2.0502374,0.45505482,0.0403412769197971,1.0,0.3582887700534759
NREP,2.0445821,0.3165958,0.040896079313822234,1.0,0.47593582887700536
COQ4,2.0326154,0.3515851,0.042091382096920496,1.0,0.47593582887700536
UACA,2.029064,0.3197043,0.04245177052955769,1.0,0.5508021390374331
TCAF1,2.0241551,0.27835953,0.04295418089245702,1.0,0.5080213903743316
ECHS1,2.017188,0.23599774,0.04367590231547416,1.0,0.6524064171122995
AGPS,2.016238,0.3850224,0.043775107899858196,1.0,0.39572192513368987
TMED9,2.0156271,0.14353134,0.043838983348920835,1.0,0.8288770053475936
EIF3I,2.0072346,0.21156272,0.04472467949226965,1.0,0.8128342245989305
BPHL,2.000064,0.8041644,0.04549337361830511,1.0,0.24598930481283424
FAM98A,1.9907665,0.32176068,0.04650655762872648,1.0,0.48128342245989303
SSB,1.9816955,0.23664854,0.04751332990693412,1.0,0.7540106951871658
COX5A,1.9747509,0.18734871,0.04829642974493819,1.0,0.9090909090909091
SINHCAF,1.9740722,0.2616582,0.04837353234922931,1.0,0.5668449197860963
SCARB2,1.9739817,0.2069837,0.04838382050372885,1.0,0.732620320855615
PGM2,1.9704754,0.5447912,0.04878390423061427,1.0,0.31016042780748665
MTDH,1.9623545,0.12855548,0.049721225774016366,1.0,0.9625668449197861
RBX1,1.9577625,0.1626164,0.050257896077636664,1.0,0.8983957219251337
LETMD1,1.9567671,0.51319414,0.05037485667884071,1.0,0.32085561497326204
MMRN2,1.9561789,0.26574695,0.05044407691778025,1.0,0.5454545454545454
CLTB,1.9554551,0.22546725,0.050529380455547224,1.0,0.7593582887700535
HCLS1,1.9540979,0.28258604,0.05068965037063505,1.0,0.5775401069518716
MECOM,1.9337615,0.45574147,0.05314246075934516,1.0,0.3422459893048128
MRPL20,1.9334447,0.19496801,0.053181428606196436,1.0,0.8449197860962567
LEPROT,1.9287622,0.23056571,0.0537603872077681,1.0,0.7272727272727273
CLN5,1.92788,0.48772603,0.05387005334520074,1.0,0.3155080213903743
ARF4,1.9274275,0.21950015,0.05392636478937665,1.0,0.7647058823529411
EHMT1,1.9165016,0.43995783,0.055301278374963965,1.0,0.36363636363636365
C4orf3,1.9077924,0.19454607,0.056418040269315156,1.0,0.7967914438502673
SNHG32,1.9012777,0.22623087,0.05726565675522348,1.0,0.7700534759358288
RBMS1,1.883882,0.2384836,0.059580933180819126,1.0,0.6042780748663101
BAX,1.8772767,0.17886294,0.060480181402660614,1.0,0.9197860962566845
ZFYVE9,1.8749241,0.7827253,0.06080316618230887,1.0,0.21390374331550802
ODF2L,1.8692914,0.27670863,0.06158227638937376,1.0,0.5828877005347594
SDHAF2,1.8649482,0.40816742,0.06218866385020382,1.0,0.3689839572192513
RAB32,1.8588405,0.22726963,0.06304974654088791,1.0,0.6951871657754011
SYAP1,1.856601,0.21358107,0.06336793605964831,1.0,0.732620320855615
ZFYVE21,1.8466026,0.28144264,0.06480476735499821,1.0,0.5294117647058824
PPT1,1.8450191,0.2563438,0.0650347667820286,1.0,0.5240641711229946
JUP,1.8396126,0.48836845,0.06582513007837239,1.0,0.27807486631016043
WWP1,1.8354051,0.20774047,0.06644568808338715,1.0,0.6256684491978609
RANBP1,1.8341157,0.18148609,0.06663682091260616,1.0,0.8235294117647058
TMEM50A,1.8323739,0.19810173,0.06689573661895067,1.0,0.8449197860962567
FBXL20,1.8317405,0.79867,0.06699009290050292,1.0,0.20320855614973263
LARP6,1.8265829,0.36040804,0.06776250796073906,1.0,0.41711229946524064
CUL5,1.825497,0.29689896,0.06792605165182901,1.0,0.48128342245989303
ROBO4,1.8252482,0.21698149,0.06796357609972432,1.0,0.7219251336898396
RTN3,1.8236874,0.23298416,0.06819934577870126,1.0,0.5882352941176471
PTEN,1.8225789,0.24739502,0.06836718444359513,1.0,0.5454545454545454
SORBS2,1.8223301,0.34411395,0.06840490914379672,1.0,0.4385026737967914
PPP4C,1.8187108,0.24324144,0.06895556927537372,1.0,0.5882352941176471
SETD3,1.815476,0.3665035,0.06945079891316092,1.0,0.40106951871657753
SNX5,1.8146616,0.2449504,0.06957593123451869,1.0,0.6363636363636364
ARHGDIB,1.8112458,0.1443247,0.07010280998886173,1.0,0.9572192513368984
CALM1,1.80921,0.11942027,0.07041839802260683,1.0,0.9679144385026738
PDXK,1.8090515,0.24169369,0.07044299253140196,1.0,0.5614973262032086
