names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SSB,3.001566,0.44982728,0.002685949506801935,1.0,0.8
AIDA,2.990022,0.6711154,0.002789573674750943,1.0,0.5777777777777777
NME2,2.8357751,0.18414779,0.004571462791722533,1.0,1.0
WIPI2,2.821896,0.58347934,0.004774063423033596,1.0,0.6444444444444445
FLT1,2.8136082,0.6467035,0.0048988888124225655,1.0,0.5
POMGNT1,2.7356627,0.8321008,0.006225482280994409,1.0,0.4
CCT7,2.7253027,0.40072623,0.006424255465356122,1.0,0.7777777777777778
CISD1,2.6265388,0.45899162,0.008625819299862166,1.0,0.7111111111111111
EEF1D,2.5557299,0.14562182,0.010596536815269366,1.0,1.0
PARVB,2.5378056,0.36703295,0.011154993504379747,1.0,0.7444444444444445
BSG,2.5147836,0.31064954,0.011910544744640662,1.0,0.9666666666666667
UBXN7,2.447757,0.64865005,0.01437485829553717,1.0,0.4666666666666667
SNRPD2,2.4109547,0.19903912,0.015910821565579453,1.0,0.9666666666666667
PNPO,2.4083896,0.80189687,0.016023077450288057,1.0,0.35555555555555557
IL13RA2,2.3865516,0.32321656,0.017007223942104292,1.0,0.8555555555555555
ALKBH7,2.3759286,0.38071078,0.017504851979037034,1.0,0.7333333333333333
SFPQ,2.3740869,0.32538748,0.017592414431594643,1.0,0.8111111111111111
SMARCB1,2.3609314,0.49685532,0.01822910179332073,1.0,0.5444444444444444
NDUFS8,2.3373175,0.28770778,0.019422681659833737,1.0,0.8444444444444444
SHISA4,2.330411,0.9090181,0.019784443455082134,1.0,0.32222222222222224
CALM3,2.3210378,0.37053406,0.02028480914127622,1.0,0.8333333333333334
LXN,2.318571,0.32273743,0.020418305432405675,1.0,0.8888888888888888
EXT2,2.302949,0.4701159,0.021281710173644535,1.0,0.5666666666666667
HMG20B,2.2980158,0.582639,0.021560891266033465,1.0,0.5
ERLIN2,2.2898595,0.655264,0.02202946634960374,1.0,0.4222222222222222
VDAC1,2.2886097,0.28239805,0.022102041288882223,1.0,0.9888888888888889
PGF,2.2762437,0.5622521,0.022831433016075785,1.0,0.5111111111111111
PSMD4,2.2546358,0.35437623,0.02415619280946104,1.0,0.7111111111111111
CRNKL1,2.246644,0.67283535,0.024662788308738002,1.0,0.45555555555555555
TSPAN3,2.2205963,0.33098808,0.026378314808512347,1.0,0.8777777777777778
CKS2,2.220366,0.56873876,0.026393925755551766,1.0,0.5666666666666667
METTL26,2.2190506,0.29577538,0.026483284387529362,1.0,0.8777777777777778
ODR4,2.2082632,0.85517335,0.027225934359687187,1.0,0.3
FGD5-AS1,2.2043824,0.5693207,0.027497468455092055,1.0,0.4888888888888889
CCSER2,2.201225,0.4554822,0.027720097844055765,1.0,0.5555555555555556
PFDN5,2.1998436,0.1926863,0.027817985929891327,1.0,0.9888888888888889
RPL36AL,2.1992846,0.17627658,0.027857691950323445,1.0,0.9666666666666667
TRIP11,2.195634,0.5446963,0.02811815195620437,1.0,0.5
CDV3,2.189418,0.3243634,0.028566468085386695,1.0,0.9222222222222223
LRRC59,2.1883657,0.48288852,0.028642979732822354,1.0,0.5888888888888889
MRPL41,2.1858332,0.29813355,0.028827809486046085,1.0,0.9222222222222223
RPL5,2.1736975,0.08828811,0.029727869958220885,1.0,1.0
MT1X,2.1695206,0.6350984,0.03004318671744428,1.0,0.4222222222222222
SYF2,2.167909,0.3134381,0.030165610601176063,1.0,0.7666666666666667
SF3A3,2.1665606,0.5513314,0.030268376100696496,1.0,0.4444444444444444
SMC1A,2.1535368,0.50179774,0.03127651947145917,1.0,0.5111111111111111
HRAS,2.153471,0.449268,0.03128168335237893,1.0,0.5444444444444444
IKBIP,2.141335,0.46093875,0.03224702255587355,1.0,0.5666666666666667
TPI1,2.1403484,0.20146216,0.03232661557492209,1.0,0.9666666666666667
CLINT1,2.1326196,0.43034896,0.03295593750958639,1.0,0.5777777777777777
UBA52,2.1237726,0.113992386,0.03368915623601843,1.0,1.0
ZRANB2,2.104533,0.37070197,0.0353319851397008,1.0,0.7333333333333333
COPZ1,2.1018033,0.3999763,0.03557051974353262,1.0,0.6444444444444445
RPAIN,2.101606,0.43317556,0.03558781633031274,1.0,0.5888888888888889
PSMD3,2.0978236,0.7143662,0.03592072352718057,1.0,0.3888888888888889
SIKE1,2.0944362,0.498458,0.03622114335896034,1.0,0.45555555555555555
TMEM258,2.091213,0.23054914,0.03650896532712133,1.0,0.9222222222222223
FSCN1,2.0819714,0.3640293,0.037345078192298445,1.0,0.6777777777777778
BTF3,2.080919,0.09044948,0.037441319590542116,1.0,0.9888888888888889
ARL8A,2.0757556,0.6962073,0.037916567819825796,1.0,0.35555555555555557
EMP3,2.0756898,0.14660929,0.037922654882311106,1.0,0.9444444444444444
SUPT16H,2.074473,0.4165817,0.03803541554662585,1.0,0.6444444444444445
USP40,2.0736835,0.9562434,0.03810870995811158,1.0,0.2777777777777778
PSMB3,2.0673032,0.29534104,0.03870559408449612,1.0,0.8
PAFAH1B1,2.0666454,0.39662933,0.038767577794592764,1.0,0.6
ARHGAP6,2.064968,0.4361932,0.03892601809805655,1.0,0.5666666666666667
RPL22L1,2.0637512,0.14052807,0.03904130898110999,1.0,0.9777777777777777
