names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GPRC5A,3.6514962,0.9071509,0.00026071687520904703,1.0,0.44881889763779526
THYN1,3.4035542,0.71169305,0.0006651522675038277,1.0,0.5118110236220472
NBDY,3.329351,0.444977,0.0008704866279541131,1.0,0.8346456692913385
SSH2,3.2363553,0.92339104,0.0012106657319412076,1.0,0.41732283464566927
METTL5,3.1903818,0.55354196,0.0014208491266000198,1.0,0.6692913385826772
SDCBP,3.13108,0.3379921,0.0017416472915002881,1.0,0.905511811023622
ARHGDIB,2.9789758,0.2828958,0.0028921373133122073,1.0,0.968503937007874
STMP1,2.856343,0.2898662,0.004285519176703681,1.0,0.8818897637795275
SLC25A36,2.720575,0.43644637,0.006516848597020751,1.0,0.6141732283464567
STRAP,2.6192458,0.40026936,0.008812444109460308,1.0,0.6850393700787402
RAB8A,2.5936098,0.6822893,0.009497418819304868,1.0,0.4409448818897638
INPP1,2.5752592,0.43507084,0.010016501609409634,1.0,0.5748031496062992
EIF3F,2.571589,0.2539932,0.010123300135244892,1.0,0.9212598425196851
NQO1,2.5548387,0.26975805,0.010623700635463652,1.0,0.9921259842519685
CHURC1,2.5181925,0.2784486,0.011795886113158975,1.0,0.905511811023622
DHRS7,2.5162609,0.49057335,0.011860739472993502,1.0,0.5118110236220472
LRRC41,2.504312,0.67812276,0.012268976443038688,1.0,0.3779527559055118
NSFL1C,2.4493701,0.50841546,0.014310628173430753,1.0,0.5118110236220472
PDIA3,2.4407053,0.22828865,0.014658610337615582,1.0,0.984251968503937
RNF213,2.438746,0.39766085,0.014738320526205119,1.0,0.6692913385826772
EPAS1,2.426632,0.42114884,0.015239713024495003,1.0,0.6850393700787402
VKORC1,2.4214716,0.32551765,0.0154578118438695,1.0,0.8110236220472441
ELOC,2.4096608,0.2760186,0.0159673571722359,1.0,0.889763779527559
MRPS21,2.4032588,0.2836915,0.016249684939990267,1.0,0.9606299212598425
CFLAR,2.3969395,0.35657322,0.01653265455999875,1.0,0.6377952755905512
EXT1,2.3902063,0.30166703,0.016838912937244016,1.0,0.8503937007874016
GRPEL1,2.367192,0.40399167,0.017923634913737885,1.0,0.6141732283464567
G6PC3,2.3344917,0.4694681,0.01956998911663652,1.0,0.49606299212598426
B3GNT5,2.31592,0.79508764,0.020562625838137828,1.0,0.31496062992125984
ACTB,2.301212,0.08491048,0.02137965043539201,1.0,1.0
EIF5A,2.2912226,0.17867541,0.02195054385604806,1.0,0.9291338582677166
DSTN,2.2890978,0.094502136,0.022073673389695077,1.0,1.0
LSM4,2.2880216,0.3381463,0.022136266593671114,1.0,0.7480314960629921
TIMM8B,2.2725682,0.30394822,0.023052209122976137,1.0,0.8503937007874016
MRPS12,2.2576394,0.381783,0.023968155221639555,1.0,0.6062992125984252
TMEM68,2.234211,0.6377289,0.02546918876499488,1.0,0.3543307086614173
FUNDC2,2.222345,0.4581571,0.02625998812585578,1.0,0.47244094488188976
RPL8,2.2111416,0.06309375,0.027026036689879684,1.0,1.0
CCT3,2.2018144,0.24758139,0.027678421695897733,1.0,0.952755905511811
S100A16,2.1993032,0.19210415,0.027856367395853305,1.0,1.0
USP14,2.1882377,0.2997435,0.02865229962274124,1.0,0.7322834645669292
RUFY3,2.185478,0.5654133,0.028853810882949537,1.0,0.3700787401574803
CAT,2.1817803,0.5857128,0.029125748084355273,1.0,0.4015748031496063
PRDX2,2.179352,0.24358213,0.029305531134056147,1.0,0.9133858267716536
RFC1,2.1674309,0.3780601,0.030202014716891178,1.0,0.5590551181102362
CLNS1A,2.1670446,0.31219578,0.03023145739284794,1.0,0.7086614173228346
MSRB2,2.1512325,0.36925492,0.03145784928628665,1.0,0.5354330708661418
PTPN1,2.1327162,0.35281447,0.03294801222595537,1.0,0.6377952755905512
CRYBG3,2.1277215,0.78754026,0.033360180620564964,1.0,0.2992125984251969
RDX,2.1261487,0.22782992,0.03349088952855716,1.0,0.8031496062992126
FRA10AC1,2.1247964,0.43554917,0.03360360327303784,1.0,0.49606299212598426
ZBTB8OS,2.122368,0.43013206,0.03380684263381035,1.0,0.4881889763779528
RPS10,2.121347,0.17116392,0.03389260890619824,1.0,0.968503937007874
TCEAL4,2.1194983,0.251211,0.03404838888318119,1.0,0.8503937007874016
PSMA6,2.0997953,0.26210257,0.035746856382993374,1.0,0.7007874015748031
PPP1R15A,2.087957,0.37436166,0.03680171878974692,1.0,0.5354330708661418
PET100,2.064446,0.32435316,0.03897545796719602,1.0,0.7480314960629921
UBXN7,2.0408244,0.4523232,0.04126827606086116,1.0,0.4330708661417323
GNG5,2.0345604,0.22240645,0.0418951261533804,1.0,0.952755905511811
BLMH,2.0257576,0.45757663,0.04278963603283844,1.0,0.4409448818897638
PPP2R3C,2.0193832,0.46723592,0.04344741903715541,1.0,0.4015748031496063
FERMT2,2.016734,0.38039824,0.043723285384763506,1.0,0.5433070866141733
HINT2,2.0115185,0.38703352,0.04427072150451057,1.0,0.4881889763779528
EIF3I,2.0089521,0.22237888,0.04454221137903201,1.0,0.7795275590551181
GPATCH4,1.9994042,0.40807942,0.04556463650498578,1.0,0.49606299212598426
PCBP1,1.9955133,0.24937451,0.045986924917656234,1.0,0.8346456692913385
TARS,1.97283,0.3415515,0.048514920890359796,1.0,0.6692913385826772
PIH1D1,1.972499,0.51243764,0.04855267338098959,1.0,0.3937007874015748
PSMD8,1.9700983,0.22172995,0.04882711738399393,1.0,0.8188976377952756
CSNK2B,1.9635857,0.29535717,0.04957815120637666,1.0,0.7244094488188977
USP15,1.9598328,0.373823,0.05001533443374351,1.0,0.4645669291338583
ARF6,1.9584255,0.34535193,0.05018010926193931,1.0,0.5826771653543307
RPS27L,1.9519682,0.11018821,0.05094197944447435,1.0,0.984251968503937
ITM2B,1.943938,0.13091661,0.05190292484524149,1.0,0.9606299212598425
DYNC1I2,1.941896,0.22325999,0.05214969313913412,1.0,0.8661417322834646
S100A11,1.9392744,0.12911393,0.0524679280024307,1.0,1.0
RPL24,1.9359907,0.06557192,0.05286884815404492,1.0,1.0
FBXW5,1.9349972,0.48900628,0.052990638145619114,1.0,0.3858267716535433
NBAS,1.9335898,0.6535042,0.05316357518792161,1.0,0.33070866141732286
ARPC2,1.9317133,0.14478506,0.05339489111951827,1.0,0.9921259842519685
OGDH,1.9280432,0.40171298,0.053849748077408575,1.0,0.4330708661417323
KMT5B,1.926691,0.4847199,0.05401814029901875,1.0,0.3779527559055118
DMAC1,1.9218343,0.32185978,0.05462660606718448,1.0,0.6299212598425197
CPD,1.9210341,0.3300433,0.05472741114011584,1.0,0.6535433070866141
BRWD1,1.9195163,0.46757546,0.054919019305849484,1.0,0.3779527559055118
WDR1,1.910824,0.2141875,0.05602721695789556,1.0,0.7401574803149606
DAZAP2,1.9074297,0.28354695,0.05646496809553085,1.0,0.6220472440944882
FEZ2,1.9072366,0.2514186,0.05648996614641258,1.0,0.7165354330708661
C1D,1.9063811,0.3517155,0.056600782557724494,1.0,0.4881889763779528
USP53,1.9053876,0.43636551,0.056729699577256106,1.0,0.4094488188976378
MAGT1,1.9040631,0.34397122,0.05690196894320994,1.0,0.5118110236220472
PTPRA,1.9007517,0.18549047,0.05733454731519506,1.0,0.8740157480314961
DNAJC21,1.8998411,0.26694655,0.05745398467320575,1.0,0.6771653543307087
SMIM8,1.8993719,0.8891856,0.05751559370525787,1.0,0.2283464566929134
GALE,1.8981025,0.5914452,0.057682575957927404,1.0,0.30708661417322836
GRASP,1.8939632,0.95785695,0.05822988534506964,1.0,0.2440944881889764
HLTF,1.890431,0.39132753,0.05870032796959055,1.0,0.48031496062992124
TAGLN2,1.8872025,0.13359614,0.059133098711688044,1.0,1.0
PRR13,1.8868989,0.2775563,0.059173922404236995,1.0,0.7086614173228346
SNAPIN,1.884167,0.5258218,0.05954238929507884,1.0,0.3700787401574803
PPP1R14B,1.8750055,0.16226539,0.060791977260471426,1.0,0.9448818897637795
HIGD1A,1.8654299,0.29489508,0.062121166899678025,1.0,0.5905511811023622
CDC37,1.8631672,0.20608424,0.06243875738807648,1.0,0.8346456692913385
TUBG1,1.8608491,0.60633004,0.06276548528756346,1.0,0.33070866141732286
TIMM13,1.8558544,0.15879859,0.06347431223559975,1.0,0.8976377952755905
FLNA,1.852819,0.23635198,0.06390831310032,1.0,0.8346456692913385
PTPA,1.8508044,0.52367115,0.06419768247992033,1.0,0.36220472440944884
SURF1,1.8472447,0.6230586,0.06471167830596601,1.0,0.29133858267716534
UHMK1,1.8430227,0.3436752,0.06532569860767694,1.0,0.5118110236220472
DPP8,1.8426915,0.43714586,0.06537405957269454,1.0,0.3700787401574803
WWP1,1.8414774,0.292722,0.06555163575450373,1.0,0.6614173228346457
PRSS3,1.8368138,0.2297899,0.0662373905684118,1.0,0.8661417322834646
WDR61,1.8183527,0.5311634,0.06901025061265077,1.0,0.36220472440944884
BTBD10,1.8171109,0.33245718,0.0692001388649646,1.0,0.5039370078740157
NUDCD1,1.8170557,0.3488938,0.06920858829390798,1.0,0.5433070866141733
RAB31,1.809881,0.36987755,0.07031425122031655,1.0,0.49606299212598426
CUL4B,1.8096602,0.2812299,0.0703485001146475,1.0,0.7165354330708661
GOLGA2,1.7969389,0.3808592,0.07234533001158168,1.0,0.5039370078740157
SPCS3,1.7954211,0.28190592,0.07258663210339514,1.0,0.7559055118110236
MMUT,1.7923857,0.6519571,0.07307121283529554,1.0,0.25984251968503935
UBE2M,1.7878325,0.26127946,0.0738030438755578,1.0,0.7165354330708661
MRPL19,1.7866734,0.3660183,0.07399028190143787,1.0,0.5905511811023622
CELF1,1.7851833,0.35373664,0.07423158688798173,1.0,0.5826771653543307
MED28,1.7848798,0.4570281,0.07428082037202408,1.0,0.4409448818897638
XIST,1.7829757,0.15989853,0.0745902575931997,1.0,0.937007874015748
STOML2,1.7794435,0.24324714,0.07516707457390395,1.0,0.7952755905511811
PBRM1,1.7792227,0.37266663,0.07520324622886379,1.0,0.49606299212598426
CIB1,1.7712202,0.22511294,0.07652409325971404,1.0,0.7637795275590551
DEF8,1.7682675,0.28222764,0.07701619252288838,1.0,0.5748031496062992
CLK3,1.7646526,0.64621025,0.07762217765179517,1.0,0.25984251968503935
MAP2K2,1.7639351,0.24159528,0.07774291019840712,1.0,0.7401574803149606
CDC37L1,1.7632176,0.6895723,0.07786379563793905,1.0,0.2677165354330709
CAMK2D,1.7628313,0.45288756,0.07792895117213744,1.0,0.3228346456692913
NADSYN1,1.7627761,0.53325534,0.07793826272866514,1.0,0.3228346456692913
MCRS1,1.7606512,0.635605,0.07829744708259839,1.0,0.29133858267716534
ATR,1.7551322,0.5164044,0.0792366915658061,1.0,0.3543307086614173
RAD21,1.7539732,0.28761077,0.07943509243350381,1.0,0.6692913385826772
SLC16A1-AS1,1.7535594,0.399435,0.07950604769987618,1.0,0.41732283464566927
NDUFS7,1.7532282,0.25921577,0.07956284900704774,1.0,0.7952755905511811
PPP5C,1.7510482,0.4546677,0.07993761494896529,1.0,0.4015748031496063
MCRIP1,1.7504134,0.34237438,0.08004699325244664,1.0,0.4566929133858268
ITGAE,1.7501099,0.4584408,0.08009934758866316,1.0,0.4330708661417323
ASB1,1.7413071,0.6731687,0.08162976548794887,1.0,0.25984251968503935
PSMD1,1.7395134,0.24284728,0.0819444973762865,1.0,0.7952755905511811
MED6,1.7382716,0.4151926,0.08216296471630265,1.0,0.3464566929133858
HECTD1,1.7381612,0.3194916,0.08218240687184414,1.0,0.6062992125984252
EIF4G2,1.7371954,0.1813348,0.08235268491522346,1.0,0.937007874015748
TRMT10C,1.7341048,0.5069916,0.08289949773863108,1.0,0.3464566929133858
DRAM2,1.7309865,0.47930366,0.08345417084073756,1.0,0.3858267716535433
PGLS,1.7283926,0.22523394,0.08391786717298978,1.0,0.7952755905511811
PDCL3,1.7210798,0.5039835,0.08523633316305149,1.0,0.3464566929133858
FLOT2,1.720528,0.38191894,0.08533651598531836,1.0,0.4251968503937008
