names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CFL2,3.7666261,1.1951891,0.00016546847668336565,1.0,0.95
EIF4A2,3.2056692,0.78140056,0.0013474881212919487,1.0,1.0
SSR3,3.018005,0.6998563,0.0025444484561026087,1.0,1.0
GPBP1L1,2.9937832,1.6398164,0.002755415814562157,1.0,0.6
STT3A,2.9829714,1.3553131,0.0028546471529254727,1.0,0.65
DDX21,2.9299648,0.67629904,0.0033900043075622815,1.0,0.9
NT5E,2.8980205,0.9936184,0.003755261457586928,1.0,0.9
CTTN,2.7505147,0.9448576,0.005950172185200132,1.0,0.75
SPCS3,2.669074,0.83450025,0.00760606602298463,1.0,0.85
SNX9,2.6600175,1.5762283,0.007813661912042122,1.0,0.6
SYF2,2.6596663,0.74213636,0.00782180949016718,1.0,0.85
PUF60,2.6503289,0.92467904,0.008041347908591592,1.0,0.8
ANO10,2.642957,0.79188067,0.008218547518781129,1.0,0.85
DYNC1I2,2.543473,0.68189925,0.01097565005274802,1.0,0.85
ECHS1,2.5432625,0.7893107,0.010982268855692874,1.0,0.8
ZDHHC12,2.5010679,1.4272242,0.012381944944544173,1.0,0.55
FBXW11,2.4959428,1.016465,0.012562288373684881,1.0,0.7
ZNF385D,2.4804971,1.1840341,0.013119933133168728,1.0,0.6
ERP29,2.4543097,0.7353681,0.014115533678079483,1.0,0.95
NR3C1,2.3794687,1.6598421,0.017337616631083262,1.0,0.5
LUZP1,2.3757477,0.83188653,0.01751343411252607,1.0,0.65
TPM1,2.3727288,0.57871795,0.01765722505427769,1.0,1.0
BRD4,2.3438034,0.69493526,0.019088234149567302,1.0,0.8
NOP53,2.3286386,0.6896901,0.0198782232623405,1.0,0.9
XPNPEP3,2.3202136,1.6829292,0.020329323061552315,1.0,0.45
TCF7L2,2.2985196,1.3949821,0.021532236001134932,1.0,0.5
ACOT7,2.2718408,0.71909136,0.023096130446103452,1.0,0.8
COL4A6,2.2276802,1.0810819,0.025901841094002603,1.0,0.6
METTL9,2.2080925,0.7229181,0.027237829377654822,1.0,0.8
MRPL10,2.1698294,1.5168948,0.030019770517035464,1.0,0.45
GNAI3,2.165968,0.7957567,0.030313631026696607,1.0,0.75
PPP5C,2.1430101,1.1577172,0.03211227916485456,1.0,0.55
C20orf27,2.1349363,0.8460962,0.03276620938056351,1.0,0.75
UXT,2.1301622,0.5592894,0.033158220402224804,1.0,0.8
