names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
B2M,4.115709,0.19677208,3.859909908281347e-05,0.5743931934513472,1.0
VAMP5,3.857229,0.4144851,0.00011467971640864388,0.8532744299385148,0.98
RPAIN,3.772117,0.9412848,0.00016186831091457863,0.9635049338879378,0.74
CD93,3.4122288,0.56345034,0.0006443399901729896,1.0,0.88
MT-ND4L,3.1542358,0.41586646,0.0016091895230975325,1.0,0.92
LYRM4,3.1414824,0.74624544,0.0016809491792860185,1.0,0.72
SNHG7,3.1339986,0.7613808,0.0017244170424766476,1.0,0.74
AK1,3.089627,0.7937391,0.0020040803176720468,1.0,0.74
MZT2B,3.0529163,0.44169244,0.0022662911818996526,1.0,0.98
H3F3A,3.0245752,0.26613444,0.0024898257321929267,1.0,1.0
RBM27,2.9587264,0.9425068,0.003089133075050924,1.0,0.58
BST2,2.9378247,0.42837435,0.0033052381757374483,1.0,0.98
SERP1,2.9326437,0.48151323,0.003360894336500679,1.0,0.92
CTSL,2.9276838,0.53685284,0.003414970146326139,1.0,0.9
HLA-B,2.9243183,0.2607551,0.0034521142729707233,1.0,0.96
MRPL11,2.8498344,0.7490065,0.004374200299830674,1.0,0.7
GMPR2,2.7813284,1.0773294,0.00541369242872971,1.0,0.48
NUB1,2.7520132,0.9034909,0.0059230143369860214,1.0,0.62
SEPTIN11,2.7452378,0.52540535,0.00604670571489985,1.0,0.82
RBBP4,2.729296,0.76760507,0.006346971465874464,1.0,0.8
ATRAID,2.6897511,0.5276192,0.0071505306722139846,1.0,0.82
ZMAT3,2.686917,0.5348337,0.007211485013922665,1.0,0.86
ACOT13,2.681736,0.70737743,0.007324123851343017,1.0,0.66
TIMP1,2.66296,0.27433762,0.0077456627171926485,1.0,0.9
C12orf73,2.642944,1.1567762,0.008218861689539824,1.0,0.4
FOSL1,2.61757,0.96285045,0.00885583567548384,1.0,0.52
SELENOH,2.5663786,0.4490318,0.010276656605463293,1.0,0.92
PCBD1,2.5258598,0.5206727,0.01154155584091951,1.0,0.82
SERPINH1,2.518553,0.50137967,0.011783814282535611,1.0,0.8
PSMB5,2.4958358,0.42005074,0.012566074739106804,1.0,0.9
CST3,2.4644835,0.20271033,0.013721090571019246,1.0,0.98
APLN,2.4332197,0.4998482,0.014965220847142094,1.0,0.9
FAM107B,2.4217947,0.43057588,0.015444077356298836,1.0,1.0
