names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNRPD1,3.4806268,0.5171288,0.0005002417231714513,1.0,0.9027777777777778
SRSF7,3.1958597,0.6797048,0.0013941486051295008,1.0,0.7222222222222222
POLR2H,3.1438193,0.6801447,0.0016675832338935864,1.0,0.6944444444444444
HK1,3.0253015,0.8218746,0.0024838543200064165,1.0,0.5694444444444444
RAC2,2.9843836,0.5326355,0.0028415023866726016,1.0,0.7777777777777778
MRPL22,2.9177957,0.51889896,0.003525153754879295,1.0,0.7638888888888888
KRT19,2.8538592,0.37988195,0.004319166580608407,1.0,1.0
SRRM1,2.780384,0.38047618,0.005429465535400481,1.0,0.8888888888888888
P4HB,2.7624848,0.3490118,0.00573632399399728,1.0,0.9583333333333334
PSMB5,2.752725,0.34816778,0.00591015383375547,1.0,0.8888888888888888
FMC1,2.680281,0.71734035,0.007356040605804425,1.0,0.5
C17orf49,2.672252,0.42829174,0.007534404104897145,1.0,0.8055555555555556
NDUFS2,2.6124039,0.5092838,0.008990800175323482,1.0,0.7361111111111112
YTHDF3,2.5738063,0.77579683,0.010058658537000371,1.0,0.4722222222222222
CCDC137,2.54228,0.7015279,0.011013190015695529,1.0,0.4861111111111111
PSMA3,2.4865935,0.4574114,0.012897266247587257,1.0,0.8055555555555556
MVP,2.4080727,0.699907,0.016036990416529957,1.0,0.5138888888888888
TRAPPC2L,2.3891053,0.52744013,0.0168894592372681,1.0,0.6111111111111112
CD81,2.3769147,0.32624847,0.017458124517856204,1.0,1.0
WAC-AS1,2.3591628,0.7835906,0.01831621871887565,1.0,0.4027777777777778
SPATS2L,2.3380594,0.5108962,0.019384167998880864,1.0,0.7222222222222222
ARPC4,2.2896283,0.46838087,0.022042871030763557,1.0,0.6666666666666666
UBE2V2,2.267383,0.45805734,0.023366826876454038,1.0,0.6944444444444444
S100A16,2.2519515,0.15467425,0.024325333393765358,1.0,0.9722222222222222
PFDN2,2.2483053,0.28773773,0.024556721410152475,1.0,0.9166666666666666
POLM,2.2395031,0.9489707,0.025123198378564134,1.0,0.3333333333333333
CFAP36,2.225029,0.55381835,0.026079287822356856,1.0,0.5416666666666666
ME2,2.2052147,0.63374203,0.027439033637255278,1.0,0.5416666666666666
MRPL51,2.1953812,0.29599717,0.028136268078637505,1.0,0.8888888888888888
SSBP3,2.190004,0.71317494,0.028523945598828836,1.0,0.4305555555555556
DNAJB11,2.18459,0.5902782,0.028918918076706716,1.0,0.5277777777777778
ABHD14A,2.1842954,0.81034577,0.028940547607862084,1.0,0.375
SNRPB2,2.1667275,0.3907631,0.030255626995277392,1.0,0.8611111111111112
POLR2A,2.1658807,0.5875461,0.03032031466549436,1.0,0.5555555555555556
CSNK2B,2.1652176,0.36471772,0.030371022651210097,1.0,0.7361111111111112
SDF4,2.1613138,0.4164788,0.030671116516256737,1.0,0.7916666666666666
TUBA1B,2.1550527,0.3256947,0.031157715414634687,1.0,0.9305555555555556
