names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPS18,3.6119921,0.077539496,0.00030385386761554097,1.0,1.0
ARL3,3.3354568,0.5699082,0.0008515934602076481,1.0,0.6581196581196581
SELENOH,3.2991993,0.39550424,0.0009696099161066187,1.0,0.9230769230769231
RPS10,3.132185,0.25397316,0.0017351056889940452,1.0,0.9658119658119658
RPS8,3.0061758,0.08679269,0.002645559960122501,1.0,1.0
NT5DC2,2.9615445,0.56252366,0.0030610017354874425,1.0,0.5811965811965812
GPI,2.8672752,0.4258576,0.004140228666824233,1.0,0.7350427350427351
GINM1,2.8028173,0.4164312,0.005065833534252958,1.0,0.7521367521367521
MRPL41,2.771049,0.33804062,0.00558760187596234,1.0,0.9487179487179487
RPS3,2.7419856,0.07369007,0.006106904354619991,1.0,1.0
RBM8A,2.6541905,0.33370274,0.00794989089007074,1.0,0.7692307692307693
VMP1,2.623084,0.33214727,0.008713778846315889,1.0,0.8290598290598291
ATP5ME,2.6087248,0.18972325,0.009088027567669124,1.0,0.9829059829059829
RPS11,2.6029985,0.08815139,0.009241235721611405,1.0,1.0
SRRM2,2.577014,0.2785589,0.009965791887495247,1.0,0.905982905982906
LYL1,2.5678346,0.45428923,0.010233599776203854,1.0,0.6239316239316239
SNHG25,2.4698818,0.4539026,0.013515770422870242,1.0,0.6153846153846154
NUDC,2.4496236,0.29910475,0.014300559743341355,1.0,0.9316239316239316
RBM39,2.4489906,0.30006918,0.014325719158136723,1.0,0.8547008547008547
RPL12,2.4436672,0.092686355,0.014538836233267785,1.0,1.0
RPS27,2.4405594,0.10048987,0.01466453862687892,1.0,1.0
RPS15,2.4370775,0.08524138,0.01480650892773175,1.0,1.0
PDCD11,2.4282146,0.48041865,0.015173366996456012,1.0,0.47863247863247865
MXD4,2.3897126,0.36315,0.016861566128921413,1.0,0.7008547008547008
CDC42EP1,2.3705192,0.7303848,0.01776312775136934,1.0,0.3247863247863248
SMIM30,2.3580303,0.48034516,0.01837218922097489,1.0,0.5042735042735043
IER2,2.3507788,0.3184218,0.018734162636207898,1.0,0.7435897435897436
ATP5MC2,2.316363,0.16178608,0.020538453415699865,1.0,1.0
SRSF11,2.2865515,0.28427026,0.02222202233054111,1.0,0.8205128205128205
DDX18,2.2834148,0.37101382,0.022405945491611425,1.0,0.7008547008547008
NDUFS4,2.2800767,0.3644799,0.02260313248337218,1.0,0.6581196581196581
SNRPE,2.277372,0.20462482,0.022764026524898485,1.0,0.8717948717948718
PLCB1,2.257718,0.669389,0.023963243052579675,1.0,0.36752136752136755
POLE4,2.2519054,0.43529198,0.024328254191272575,1.0,0.5299145299145299
LEPROTL1,2.2241368,0.38045308,0.026139246350221454,1.0,0.6410256410256411
PATL1,2.2217772,0.9420847,0.026298371936809936,1.0,0.26495726495726496
ARCN1,2.2153602,0.39445576,0.026735356323490573,1.0,0.5555555555555556
ADGRG6,2.1748726,0.39247093,0.02963966371753969,1.0,0.5897435897435898
SIRPA,2.161607,1.0306727,0.030648482690735758,1.0,0.23931623931623933
STAB1,2.1556504,0.42999563,0.031110973928667827,1.0,0.5555555555555556
KPNA6,2.139018,0.45807892,0.03243421018515954,1.0,0.5042735042735043
SFXN4,2.1371477,0.78679556,0.032585990032584146,1.0,0.29914529914529914
POLD4,2.136457,0.26321852,0.03264218539594546,1.0,0.8547008547008547
RPS15A,2.13427,0.077282675,0.032820685247726904,1.0,1.0
AFG3L2,2.1267595,0.42536524,0.03344006864627817,1.0,0.5641025641025641
