names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ARCN1,3.284057,0.73144525,0.0010232421984808996,1.0,0.6136363636363636
KHDRBS1,2.9665658,0.4230852,0.0030114581503137413,1.0,0.9204545454545454
RPLP0,2.9429138,0.079373576,0.003251389943674466,1.0,1.0
ARHGAP29,2.8573203,0.31946284,0.004272345851485457,1.0,0.8522727272727273
PRKDC,2.6398268,0.29685757,0.008294839989522327,1.0,0.9204545454545454
IFNAR2,2.6392612,1.030744,0.008308691063471646,1.0,0.3977272727272727
PTRHD1,2.6094882,0.5306196,0.009067777396849764,1.0,0.5909090909090909
RPL13,2.595982,0.07942324,0.009432095573699294,1.0,1.0
DCUN1D5,2.589562,0.45328152,0.009609816138447988,1.0,0.7159090909090909
EIF4E,2.5690033,0.51345193,0.010199144986524192,1.0,0.7045454545454546
ATP5MC1,2.534174,0.25702068,0.011271278825895072,1.0,0.9204545454545454
UBQLN1,2.5332756,0.57684004,0.011300203707910812,1.0,0.5681818181818182
CDC42EP3,2.4661448,0.6269731,0.013657610334843832,1.0,0.5681818181818182
MAP2K2,2.430883,0.3867482,0.015062085250784863,1.0,0.7613636363636364
NUDCD2,2.4185412,0.5703427,0.015582884561083223,1.0,0.5909090909090909
RPL26,2.3905976,0.06503609,0.016820976003095987,1.0,1.0
NDUFA4,2.3683426,0.2412903,0.017867978888799468,1.0,0.9772727272727273
NBR1,2.3649828,0.71282864,0.018030909149344642,1.0,0.4431818181818182
PTGES3,2.3220363,0.27200598,0.02023097995454033,1.0,0.8977272727272727
ATP5F1A,2.2749317,0.2735246,0.02291003306515826,1.0,0.9318181818181818
RPL23,2.269975,0.075123735,0.023209102087942825,1.0,1.0
DMRTA1,2.2678792,0.94978374,0.023336570198250032,1.0,0.375
RPL24,2.2429628,0.005407028,0.024899204579795796,1.0,0.9886363636363636
ECI2,2.228459,0.31855544,0.025849926274048793,1.0,0.8068181818181818
TRAPPC1,2.2152855,0.17626278,0.026740468287094466,1.0,0.8409090909090909
TPT1-AS1,2.1937625,1.0592823,0.028252490874687366,1.0,0.3068181818181818
DANCR,2.1910346,0.45245767,0.02844928546772794,1.0,0.5909090909090909
PLEKHO1,2.1781275,0.49100646,0.029396551685484332,1.0,0.5909090909090909
GSDMD,2.177196,0.6453442,0.029465948794115012,1.0,0.4090909090909091
HHEX,2.1589994,0.45309764,0.030850209942292893,1.0,0.5681818181818182
EXT1,2.1428654,0.29412654,0.032123906787930305,1.0,0.8068181818181818
LMAN2,2.122307,0.32513398,0.03381196600889994,1.0,0.75
ABHD17A,2.109799,0.49830434,0.03487567538119256,1.0,0.5454545454545454
PPP6C,2.1062727,0.6401128,0.03518066540189347,1.0,0.4090909090909091
ACADVL,2.1030128,0.55603546,0.03546465973173657,1.0,0.48863636363636365
COX6C,2.0833192,0.17527767,0.037222137938228136,1.0,1.0
CWC15,2.0707114,0.3961832,0.03838577723783349,1.0,0.6363636363636364
WDR6,2.0633595,0.84475845,0.039078477956948916,1.0,0.32954545454545453
RPS16,2.0544775,0.08957582,0.03992949511045229,1.0,1.0
LIMS1,2.048024,0.3699284,0.04055765499672935,1.0,0.6931818181818182
AP3B1,2.0453959,0.46889687,0.04081584191576755,1.0,0.5227272727272727
NDUFB10,2.0422025,0.31101313,0.041131461572213146,1.0,0.9204545454545454
FAHD2B,2.0386097,1.5496007,0.04148900269673243,1.0,0.20454545454545456
AP2B1,2.03841,0.25702164,0.041508943022121346,1.0,0.8409090909090909
MAZ,2.034285,0.38943493,0.04192286352040524,1.0,0.6022727272727273
EMC6,2.0188162,0.38956517,0.04350631196598893,1.0,0.6136363636363636
DBNDD2,2.0123296,0.59912694,0.044185218629030056,1.0,0.42045454545454547
