names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
KLF2,5.1579227,1.187187,2.4970458564431994e-07,0.00743170787794625,0.6823529411764706
EMP3,4.578188,0.4070479,4.69021067726002e-06,0.06979502508830634,0.9647058823529412
CD9,3.5926423,0.29796544,0.0003273417834431294,1.0,1.0
S100A6,3.4836226,0.2105903,0.0004946766561948954,1.0,1.0
KRT18,3.3329246,0.38212544,0.0008593821081631136,1.0,0.9882352941176471
C19orf33,3.2623665,0.5226534,0.001104861963474547,1.0,0.7764705882352941
S100A10,3.1783671,0.19977109,0.0014810710168352583,1.0,1.0
CRIP2,3.049304,0.24611488,0.002293723155504831,1.0,0.9647058823529412
CD59,3.0095558,0.29317093,0.002616300997513609,1.0,1.0
TMSB10,2.9645596,0.1333816,0.0030311647700363175,1.0,1.0
SMAGP,2.9515924,0.8202545,0.0031613995956620267,1.0,0.49411764705882355
POLD4,2.9500349,0.41580603,0.003177379760445593,1.0,0.8352941176470589
LDLR,2.854998,0.47143048,0.004303708113634967,1.0,0.8
IFITM2,2.8548627,0.24596041,0.004305543650922346,1.0,1.0
LMNA,2.8440285,0.28661123,0.004454707073528094,1.0,1.0
NT5E,2.7834582,0.4583326,0.005378280340216117,1.0,0.7529411764705882
INSIG1,2.752208,0.41706213,0.00591949012080174,1.0,0.7411764705882353
P4HA2,2.7439132,0.55544144,0.006071161366220525,1.0,0.6235294117647059
WAC,2.7371416,0.55435276,0.00619756009760104,1.0,0.6470588235294118
PTPRE,2.73704,0.54788357,0.006199473983794813,1.0,0.6941176470588235
GLIPR2,2.707178,0.53745097,0.006785783562021595,1.0,0.5882352941176471
FAM136A,2.6843245,0.4753792,0.007267650530676634,1.0,0.6588235294117647
UACA,2.6751833,0.5557833,0.00746884254207516,1.0,0.6352941176470588
PFN2,2.6446102,0.42790985,0.008178505800648007,1.0,0.7411764705882353
PODXL,2.635943,0.60900366,0.008390386366636944,1.0,0.7058823529411765
NOP56,2.598226,0.44927716,0.009370678180905475,1.0,0.7529411764705882
SPCS3,2.5893893,0.40853244,0.009614631421234393,1.0,0.7764705882352941
MRPS24,2.5739167,0.37331352,0.010055448713774241,1.0,0.8
RHOA,2.5653508,0.24006462,0.010307152902057184,1.0,0.9647058823529412
CTSL,2.5388408,0.36259148,0.011122043941468599,1.0,0.8588235294117647
ANXA6,2.5312905,0.5567663,0.01136436472635969,1.0,0.6
PRXL2A,2.5204902,0.39151222,0.011719150024313788,1.0,0.8235294117647058
LPCAT4,2.5113487,0.8257804,0.012027079811211502,1.0,0.4235294117647059
PMP22,2.5002437,0.3130267,0.012410790975397306,1.0,0.8823529411764706
MRPL33,2.475088,0.33370048,0.013320340179223296,1.0,0.8588235294117647
PKM,2.4716682,0.25959784,0.01344842339620374,1.0,0.9882352941176471
CD55,2.46036,0.38280517,0.013879769965782027,1.0,0.9529411764705882
ITGA5,2.4588704,0.25545707,0.01393749514317149,1.0,0.9529411764705882
ELAVL1,2.4517603,0.57748586,0.014215931128930525,1.0,0.5647058823529412
KLF6,2.435983,0.48096752,0.014851385100154242,1.0,0.6705882352941176
FDPS,2.4338162,0.22590718,0.014940584380632798,1.0,0.8823529411764706
IGFBP5,2.4302273,1.7221034,0.01508935918697094,1.0,0.32941176470588235
CSRP1,2.3936615,0.40982392,0.016681131737279153,1.0,0.6823529411764706
MYCBP,2.3906145,0.61787564,0.01682020572559057,1.0,0.4823529411764706
DUSP1,2.3879058,0.92590165,0.016944680457107057,1.0,0.38823529411764707
TMEM106B,2.3799157,0.49108085,0.01731660305722744,1.0,0.5882352941176471
SLC30A7,2.3670838,0.6739836,0.017928873645260558,1.0,0.4470588235294118
PNP,2.3365448,0.62281007,0.019462870924969043,1.0,0.5176470588235295
PICALM,2.3267262,0.730466,0.019979845457557488,1.0,0.4235294117647059
HYAL2,2.3240852,0.39429504,0.020120923180835092,1.0,0.788235294117647
NSRP1,2.3226972,0.4969009,0.020195427401097883,1.0,0.5882352941176471
NOS3,2.3149776,0.939601,0.020614150435445087,1.0,0.4
IFI27,2.3022814,0.23152106,0.021319311810314774,1.0,0.9764705882352941
CHURC1,2.299979,0.33583692,0.021449406856574253,1.0,0.8941176470588236
HMGCS1,2.2906682,0.3586514,0.021982602170445443,1.0,0.788235294117647
GRPEL1,2.2804096,0.4793487,0.022583403181980575,1.0,0.6235294117647059
TIE1,2.2636166,0.50450283,0.02359770905870931,1.0,0.611764705882353
BOD1L1,2.2625332,0.56571954,0.023664484741418114,1.0,0.5058823529411764
GARS,2.2521052,0.31449056,0.02431562836717037,1.0,0.7529411764705882
EFHD2,2.2472298,0.40100157,0.024625349486478647,1.0,0.6823529411764706
NT5C,2.246722,0.531981,0.02465780780852404,1.0,0.5764705882352941
GPATCH11,2.2311137,0.79942936,0.025673594876946967,1.0,0.36470588235294116
BOLA3,2.228473,0.36713716,0.025848996366740352,1.0,0.788235294117647
SEPTIN6,2.227762,0.42217818,0.025896396530180534,1.0,0.6941176470588235
UBL5,2.2261705,0.21426277,0.026002755022287306,1.0,0.9882352941176471
ADGRG6,2.220178,0.5718893,0.026406692638971527,1.0,0.5647058823529412
HNRNPUL2,2.2129664,0.501961,0.0268999649405457,1.0,0.5294117647058824
SNRPF,2.2122216,0.28749436,0.0269513636633819,1.0,0.8941176470588236
HLA-E,2.210427,0.23333584,0.02707553614866409,1.0,0.9294117647058824
TIMP2,2.2070074,0.41033685,0.027313534344637513,1.0,0.6941176470588235
SCO2,2.2042313,0.74426574,0.027508086214864707,1.0,0.38823529411764707
LSM12,2.1940403,0.46311557,0.028232515818432894,1.0,0.5882352941176471
DNAJC15,2.1906207,0.3800003,0.02847925273662805,1.0,0.6941176470588235
IGFBP6,2.1885893,0.5982625,0.0286267068416422,1.0,0.6
ITGA3,2.181784,0.42204267,0.029125478618589724,1.0,0.6352941176470588
HIGD2A,2.1680381,0.33730146,0.030155794098405752,1.0,0.788235294117647
COTL1,2.166616,0.27545226,0.03026414482817001,1.0,0.9058823529411765
ATP5ME,2.1650248,0.15994084,0.03038579089916687,1.0,0.9647058823529412
MTCH1,2.1639075,0.3937672,0.030471452764683202,1.0,0.7529411764705882
ACTN4,2.1615374,0.34975767,0.03065384666360415,1.0,0.8235294117647058
RABAC1,2.1603186,0.2413886,0.0307480137693507,1.0,0.9647058823529412
TMF1,2.1577454,0.48710546,0.0309476269553532,1.0,0.5647058823529412
RBM17,2.1575084,0.40982345,0.030966068202202518,1.0,0.6470588235294118
PDIA4,2.1400383,0.28164366,0.0323516786367138,1.0,0.9058823529411765
CDK4,2.1376004,0.43180102,0.032549180815478695,1.0,0.6
PTDSS1,2.136077,0.6576656,0.032673143391572936,1.0,0.4235294117647059
PTMA,2.1325219,0.11243615,0.032963962633293376,1.0,1.0
TUBB4B,2.1238885,0.43753412,0.03367947768204896,1.0,0.7647058823529411
MTLN,2.1103456,0.34119108,0.034828602333345254,1.0,0.788235294117647
DBI,2.0966334,0.1941848,0.036026036797008464,1.0,0.9529411764705882
EFNB1,2.064029,0.91019934,0.03901495999552866,1.0,0.3411764705882353
COX16,2.0622685,0.30987436,0.03918217984560005,1.0,0.7647058823529411
TUBA1A,2.0617607,0.29397026,0.039230529298970855,1.0,0.8588235294117647
KMT2E,2.0596955,0.39966315,0.039427672666429374,1.0,0.6470588235294118
UBE2S,2.0596278,0.43978205,0.03943415059731229,1.0,0.6470588235294118
CYP51A1,2.0543458,0.2872344,0.03994222055575712,1.0,0.8470588235294118
TRAPPC3,2.0534656,0.35706538,0.04002743652498299,1.0,0.6588235294117647
CHP1,2.046762,0.4995507,0.040681462090127234,1.0,0.5529411764705883
MFAP1,2.0461187,0.5002905,0.0407446957516614,1.0,0.4823529411764706
SEC23A,2.0343363,0.4180722,0.04191768805666614,1.0,0.5529411764705883
FOSL1,2.0317972,0.63763684,0.04217419748912466,1.0,0.43529411764705883
INTS6,2.0208952,0.72080207,0.04329061960997433,1.0,0.4117647058823529
OGFOD3,2.019981,0.518561,0.04338535699393326,1.0,0.4470588235294118
SLC25A1,2.014022,0.33856446,0.04400720615873555,1.0,0.6588235294117647
C11orf91,2.0134804,1.0572684,0.04406410917359089,1.0,0.27058823529411763
MRPL22,2.0049822,0.33207276,0.04496493634712469,1.0,0.7176470588235294
GUK1,2.002443,0.20463727,0.04523710267898109,1.0,0.9647058823529412
PRELID3B,2.0007164,0.46015033,0.04542296795939773,1.0,0.5176470588235295
UBE3A,1.9991927,0.52847344,0.04558750083671809,1.0,0.49411764705882355
MLLT10,1.9983802,0.78798854,0.04567545685948978,1.0,0.3176470588235294
MMRN2,1.9957055,0.44457993,0.04596598935242427,1.0,0.5647058823529412
GSTO1,1.9940464,0.22592087,0.04614697401111778,1.0,0.8235294117647058
NOP10,1.9908301,0.26347673,0.04649957242029677,1.0,0.9294117647058824
IL15RA,1.9895436,0.93081266,0.04664124539152826,1.0,0.27058823529411763
ITGB1BP1,1.9835508,0.5431176,0.04730593893089091,1.0,0.5176470588235295
CBX3,1.9811469,0.21929646,0.047574797048415086,1.0,0.8705882352941177
SMCR5,1.9742062,1.2198601,0.048358296376352555,1.0,0.2235294117647059
MALL,1.973563,0.4659378,0.04843145906377555,1.0,0.49411764705882355
BACE2,1.9729536,0.42864347,0.04850085681668267,1.0,0.6470588235294118
EP300,1.9729536,0.63196003,0.04850085681668267,1.0,0.4
TNXB,1.9719378,1.6754255,0.048616705313026025,1.0,0.2
RHOJ,1.9639814,0.44243118,0.049532248293299205,1.0,0.5647058823529412
CCDC124,1.9549077,0.3670423,0.05059396453241198,1.0,0.6705882352941176
PTPN12,1.9536889,0.37428328,0.050738025264812504,1.0,0.5882352941176471
PEPD,1.9528763,0.77746516,0.05083425652427676,1.0,0.32941176470588235
GAPVD1,1.9526393,0.72528315,0.05086235275446453,1.0,0.4
PRKAA1,1.9497614,0.7180781,0.05120456034475731,1.0,0.35294117647058826
CD81,1.9449198,0.21266483,0.051784623094614964,1.0,0.9647058823529412
ARL1,1.9446828,0.48085088,0.05181315836005639,1.0,0.5176470588235295
MPC2,1.9417711,0.45277187,0.05216480942614431,1.0,0.5647058823529412
VPS26C,1.9380131,1.1392056,0.05262163328847528,1.0,0.25882352941176473
