names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SENP6,3.237662,0.72148645,0.0012051348638266652,1.0,0.6825396825396826
ARPC1B,3.234746,0.30189428,0.001217509464839254,1.0,0.9682539682539683
RAB10,3.2138224,0.63415164,0.0013098067739067986,1.0,0.7777777777777778
MPHOSPH8,3.1001801,0.72845966,0.001934030094855584,1.0,0.6507936507936508
SRP9,2.8243098,0.46528485,0.004738254207958575,1.0,0.873015873015873
MTF2,2.7885702,1.0010883,0.005294128120193749,1.0,0.42857142857142855
RPN2,2.788452,0.39242947,0.005296060594801389,1.0,0.9523809523809523
GATAD1,2.7738328,0.61790943,0.005540012583117197,1.0,0.6666666666666666
COL18A1,2.733798,0.5831195,0.0062608433368596846,1.0,0.7777777777777778
ATP1B3,2.7198882,0.46423388,0.0065303974330595945,1.0,0.8253968253968254
ST3GAL6,2.6943543,1.4062853,0.007052516580936566,1.0,0.3333333333333333
PGM3,2.6309526,1.0528699,0.008514591798000173,1.0,0.4126984126984127
HLA-E,2.625436,0.33916253,0.008653808725924882,1.0,0.9523809523809523
NT5E,2.5834703,0.5274899,0.009781189511560349,1.0,0.746031746031746
PDCD6IP,2.5366971,0.56618726,0.011190367867224094,1.0,0.6825396825396826
YWHAH,2.51601,0.436825,0.011869183078174736,1.0,0.8888888888888888
NFS1,2.505095,1.0057257,0.012241852969401563,1.0,0.38095238095238093
PSAP,2.4889786,0.3580669,0.012811069868166254,1.0,0.9841269841269841
DTWD1,2.4640749,0.9273914,0.013736737866480293,1.0,0.4126984126984127
UBXN7,2.405323,0.68587923,0.016158176725549867,1.0,0.5079365079365079
TMED5,2.405126,0.67506367,0.016166891078664702,1.0,0.5555555555555556
CABIN1,2.4031165,0.87640005,0.01625601369180741,1.0,0.3968253968253968
TAF10,2.3810892,0.4200969,0.017261526471976464,1.0,0.8412698412698413
JAK1,2.3739572,0.35886163,0.017598594427990284,1.0,0.9365079365079365
SLC9A3R2,2.3634756,0.57253987,0.018104421506349846,1.0,0.6031746031746031
AP1S1,2.355713,0.45086706,0.01848720087104151,1.0,0.746031746031746
KDM5A,2.3425913,0.5379356,0.019150352199115064,1.0,0.6507936507936508
HP1BP3,2.30496,0.35309422,0.021168812632729374,1.0,0.8253968253968254
TRAP1,2.3048024,0.65315205,0.02117764251467025,1.0,0.5238095238095238
POLR3GL,2.2895923,0.55971456,0.02204496141772207,1.0,0.6825396825396826
LRRC38,2.2884102,0.8176408,0.02211364569185505,1.0,0.47619047619047616
SPPL2A,2.2685504,0.6916581,0.023295683236280614,1.0,0.5079365079365079
USP3,2.2534192,0.6343529,0.024232738081837176,1.0,0.5238095238095238
SEC62,2.2412825,0.360822,0.02500778054539674,1.0,0.8888888888888888
FUT8,2.2358446,0.8450407,0.025361944896001076,1.0,0.3968253968253968
DYNC1LI2,2.235766,0.44993064,0.025367109458891725,1.0,0.7301587301587301
CALM3,2.2337563,0.40858287,0.025499113655238572,1.0,0.8412698412698413
STX12,2.2321408,0.5700689,0.025605665215071072,1.0,0.5555555555555556
CBX3,2.2309585,0.33604524,0.025683873587491673,1.0,0.8888888888888888
PTPRE,2.2264664,0.43023905,0.02598295266686331,1.0,0.7619047619047619
PSMD12,2.2243385,0.49646384,0.02612566950549972,1.0,0.6666666666666666
CHMP3,2.2180734,0.38583294,0.02654983284222117,1.0,0.7777777777777778
WIPI2,2.2075129,0.51277596,0.027278243017753365,1.0,0.6349206349206349
EFR3A,2.2058973,0.5693702,0.02739118617116773,1.0,0.5555555555555556
IDH3B,2.2042818,0.5154747,0.027504532549838253,1.0,0.5873015873015873
HNRNPU,2.1930516,0.33275288,0.028303665836224057,1.0,0.9206349206349206
NARF,2.1784325,0.80787206,0.029373851654659146,1.0,0.3968253968253968
DNAJC1,2.1729553,0.40436542,0.02978368171699683,1.0,0.7619047619047619
NKTR,2.1703546,0.5470887,0.029979992522170765,1.0,0.5873015873015873
PIH1D1,2.1608188,0.7226319,0.03070934334289693,1.0,0.4444444444444444
APC,2.1556962,0.6993307,0.0311073969917702,1.0,0.4444444444444444
RPAP3,2.1543171,0.7327067,0.031215318869042295,1.0,0.4126984126984127
AP1B1,2.1531744,0.7698085,0.031304983090878126,1.0,0.3968253968253968
ANXA6,2.1516376,0.4720364,0.031425914362659124,1.0,0.6349206349206349
MAU2,2.149549,1.3314128,0.03159089906621557,1.0,0.2857142857142857
TMCO6,2.146988,1.62736,0.031794252511291664,1.0,0.23809523809523808
RPS19BP1,2.1341813,0.41201854,0.03282793655612763,1.0,0.7619047619047619
MFSD14C,2.1314626,0.9721403,0.0330510608287737,1.0,0.3333333333333333
LRP5,2.1277585,0.62960315,0.03335711508974571,1.0,0.47619047619047616
TMEM115,2.12303,1.0768735,0.03375134361346904,1.0,0.31746031746031744
SLAIN2,2.119523,0.68231636,0.03404629698396212,1.0,0.4444444444444444
HNRNPH1,2.1054556,0.45946878,0.03525167062913624,1.0,0.8095238095238095
PKD2,2.0967078,1.0096778,0.03601944977460529,1.0,0.31746031746031744
C1GALT1C1,2.0815766,0.5004115,0.037381168779895974,1.0,0.5714285714285714
NAA50,2.0807884,0.6038207,0.03745327628317091,1.0,0.4603174603174603
GMPR2,2.072277,0.7958431,0.03823960919451615,1.0,0.3968253968253968
PRKD3,2.066524,0.6514758,0.03877902558712706,1.0,0.4444444444444444
RNF10,2.0658147,0.6588631,0.03884597449928788,1.0,0.5238095238095238
TMEM9,2.0635293,0.7077943,0.039062367112274135,1.0,0.4126984126984127
TUBB3,2.0608892,0.54747945,0.03931361148024107,1.0,0.5079365079365079
ASH1L,2.0541117,0.51235545,0.039964886910292804,1.0,0.6031746031746031
ARSJ,2.0474522,0.49507624,0.04061369518508055,1.0,0.5555555555555556
MED21,2.0449305,0.61106485,0.04086171790473647,1.0,0.4603174603174603
GNG11,2.0442212,0.24463062,0.040931705130147926,1.0,0.9523809523809523
NDUFA4,2.0338185,0.24703765,0.04196991010571046,1.0,0.9682539682539683
SERP1,2.0299568,0.3541067,0.04236093524418214,1.0,0.9523809523809523
MPC2,2.0204604,0.4822425,0.043335664531927144,1.0,0.6031746031746031
