names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ARPC1B,3.4761202,0.3278906,0.0005087241235384788,1.0,0.9895833333333334
PSMB6,3.16918,0.44215935,0.0015286967205643354,1.0,0.8854166666666666
H3F3B,3.0893896,0.31387675,0.002005682458823416,1.0,0.9895833333333334
RGS4,3.0494466,0.7704899,0.0022926337609913837,1.0,0.5
BAG6,3.0249078,0.88732433,0.0024870881198444284,1.0,0.4375
PEBP1,2.9999874,0.30051857,0.0026999081528294526,1.0,0.9270833333333334
SDCBP,2.9723616,0.39786622,0.0029551854378303973,1.0,0.96875
ATP5PF,2.950019,0.31899345,0.0031775453022365673,1.0,0.9270833333333334
CANX,2.8454669,0.3202501,0.004434636088104446,1.0,0.875
CINP,2.777357,0.5531673,0.005480294363764132,1.0,0.6458333333333334
PLXNA2,2.7631621,0.50878185,0.00572443185544839,1.0,0.65625
NDUFB5,2.682958,0.4506862,0.007297416382118486,1.0,0.6875
COQ10B,2.6465795,0.6954104,0.008131036138949256,1.0,0.4791666666666667
LNPEP,2.6053636,0.7371375,0.009177681555691111,1.0,0.4895833333333333
ARHGDIB,2.5971522,0.27765927,0.009400026548054767,1.0,0.96875
ZFHX3,2.5934603,0.68730444,0.009501552246464118,1.0,0.4583333333333333
SDHB,2.565707,0.56306607,0.010296574942373158,1.0,0.5520833333333334
MPG,2.5531354,0.36925486,0.010675799890484238,1.0,0.7395833333333334
TMEM208,2.551576,0.71983624,0.010723698525450217,1.0,0.4479166666666667
EIF3I,2.490627,0.37239346,0.012751791305814603,1.0,0.8645833333333334
GLUL,2.4799967,0.8868171,0.013138357640788977,1.0,0.375
TMEM50A,2.4730265,0.32405365,0.013397415832764516,1.0,0.8541666666666666
ANXA2,2.4617918,0.12157429,0.013824493775552033,1.0,1.0
CAPRIN1,2.4548852,0.35257623,0.01409295839007684,1.0,0.75
ALDH2,2.4539623,0.59994435,0.014129182460014298,1.0,0.5104166666666666
SPATS2,2.4403403,0.3672841,0.01467343473658458,1.0,0.7916666666666666
