names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EMP3,3.4121997,0.30986288,0.0006444085803171722,1.0,0.9928057553956835
HDAC2,3.0393083,0.40578556,0.00237122060890118,1.0,0.697841726618705
TOMM20,2.9559135,0.27595872,0.0031174440037552683,1.0,0.9496402877697842
PSMC4,2.8895667,0.5056706,0.0038577310851564996,1.0,0.5827338129496403
WSB2,2.7972925,0.7908943,0.005153286851836694,1.0,0.381294964028777
TALDO1,2.76043,0.29647222,0.005772530459946736,1.0,0.8848920863309353
SCD,2.7152414,0.29292697,0.006622744930107005,1.0,0.935251798561151
APMAP,2.6957695,0.40378657,0.007022622252177283,1.0,0.7338129496402878
SPOCK1,2.6922915,0.2988553,0.00709628851816782,1.0,0.8273381294964028
DIXDC1,2.6843867,0.47608295,0.007266298163040655,1.0,0.5539568345323741
MAPK14,2.6835437,0.731733,0.00728464654945424,1.0,0.39568345323741005
CCDC124,2.6094766,0.36784223,0.009068087006379429,1.0,0.6402877697841727
TMEM165,2.5937462,0.32433578,0.0094936555679138,1.0,0.7194244604316546
FLOT1,2.5092185,0.4073978,0.012099863274582956,1.0,0.6258992805755396
TCF4,2.4894567,0.27987978,0.012793851297884967,1.0,0.7266187050359713
PPP4C,2.4774678,0.3849823,0.01323183258864225,1.0,0.5827338129496403
ST6GAL1,2.4540436,0.62931764,0.014125986558368135,1.0,0.4244604316546763
PPP2R5E,2.361295,0.377419,0.018211238914645184,1.0,0.6115107913669064
COPE,2.3498068,0.24804533,0.018783157995631267,1.0,0.7985611510791367
RTF2,2.3126283,0.3089229,0.020743083857857104,1.0,0.7194244604316546
GLIPR2,2.2915227,0.4232309,0.021933198755671887,1.0,0.5467625899280576
HSPG2,2.2853043,0.15914385,0.022294987546815134,1.0,0.9928057553956835
NCOR1,2.2835917,0.35420972,0.02239553971252737,1.0,0.5827338129496403
AGPAT3,2.272077,0.7372022,0.023081851328425218,1.0,0.35251798561151076
C12orf75,2.267835,0.2446022,0.02333926836694857,1.0,0.7985611510791367
ACBD5,2.2610369,0.57213634,0.023756972238984018,1.0,0.37410071942446044
RBIS,2.2376654,0.26207978,0.02524288930976786,1.0,0.8129496402877698
SUPT5H,2.2272048,0.60280895,0.025933593479515966,1.0,0.41007194244604317
FAM162A,2.2200642,0.2922803,0.02641441318246978,1.0,0.7050359712230215
SSB,2.2107103,0.31053823,0.027055908607360606,1.0,0.7697841726618705
RALGAPB,2.2036488,0.44523832,0.027549059226817142,1.0,0.43884892086330934
ODC1,2.1814365,0.2788776,0.029151148674260108,1.0,0.7122302158273381
AP2A1,2.1734526,0.4569609,0.02974626119893354,1.0,0.4460431654676259
PEX16,2.1670763,0.8679134,0.03022904082686586,1.0,0.26618705035971224
MVD,2.1635718,0.47215724,0.030497225859485323,1.0,0.4460431654676259
CTNNBL1,2.1595669,0.4260746,0.03080622308435672,1.0,0.4748201438848921
FLNA,2.146972,0.2621169,0.03179551608945257,1.0,0.8345323741007195
PSMD13,2.1451275,0.3355431,0.03194265414420235,1.0,0.6402877697841727
HTT,2.1357737,0.5871487,0.03269787241526452,1.0,0.33093525179856115
HNRNPAB,2.1120858,0.2057425,0.03467908957157222,1.0,0.9136690647482014
NDUFV2,2.1107156,0.26552925,0.03479675881717349,1.0,0.8273381294964028
RPS6KA3,2.0944583,0.33150223,0.03621917310915214,1.0,0.5827338129496403
COA6,2.0699801,0.41001835,0.038454211943408,1.0,0.4676258992805755
DCXR,2.0655534,0.30526972,0.03887066645729165,1.0,0.6546762589928058
SP100,2.0654743,0.27796188,0.03887813782963151,1.0,0.697841726618705
UBA6,2.0549347,0.39760587,0.03988530649428601,1.0,0.45323741007194246
ITGA10,2.0519574,0.2747876,0.04017381048642779,1.0,0.7769784172661871
SLC16A1-AS1,2.0398104,0.47830623,0.041369212073549176,1.0,0.4172661870503597
MTRNR2L8,2.0363586,0.33243698,0.041714350233758614,1.0,0.6187050359712231
XPC,2.0283222,0.31214982,0.042527370921410936,1.0,0.6187050359712231
GRWD1,2.019917,0.61231303,0.04339200851074879,1.0,0.30935251798561153
IGFBP7,2.0148842,0.21681538,0.04391678077668898,1.0,0.9496402877697842
NRP1,2.0082443,0.20408066,0.04461734045146292,1.0,0.7913669064748201
AGO3,2.0036068,0.45339772,0.04511219222372982,1.0,0.4244604316546763
RPL27A,1.9933044,0.060460236,0.04622812803985294,1.0,1.0
ERBIN,1.9862692,0.60960335,0.04700344295681556,1.0,0.33093525179856115
CALU,1.9769679,0.16296612,0.04804525075913642,1.0,0.9712230215827338
MRPL11,1.9753343,0.30697966,0.048230219762002695,1.0,0.5971223021582733
TOR1AIP2,1.9739379,0.3546242,0.04838881234750807,1.0,0.5323741007194245
NDUFA7,1.9703807,0.22607903,0.048794754407679164,1.0,0.8129496402877698
PTGES3,1.9695902,0.19852072,0.048885350973106326,1.0,0.9136690647482014
NIT2,1.9531485,0.32224506,0.05080200801169182,1.0,0.5323741007194245
