names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MLH3,3.4495907,1.5670614,0.0005614373628443365,1.0,0.4772727272727273
FIS1,3.2642074,0.5384495,0.0010977076780966037,1.0,0.9318181818181818
RAP1A,3.180419,1.0829878,0.001470622590866638,1.0,0.6136363636363636
JPX,3.1270475,0.6988608,0.001765713837334127,1.0,0.8636363636363636
CAMTA1,3.1125002,0.6932029,0.001855098510408483,1.0,0.9318181818181818
SUMF2,2.9989088,0.6303024,0.0027094839161441956,1.0,0.7272727272727273
CARNMT1,2.946104,1.3738285,0.0032180404414583236,1.0,0.45454545454545453
CFAP36,2.9167736,0.8469673,0.0035367255691369087,1.0,0.6590909090909091
PFKL,2.912003,1.0102803,0.003591190942503143,1.0,0.5681818181818182
ATP1A1,2.8804526,0.8128495,0.00397104755213566,1.0,0.7272727272727273
KLHL5,2.8499882,0.84779143,0.004372083911551366,1.0,0.6590909090909091
ECI1,2.7873123,0.79646873,0.00531472403371767,1.0,0.6818181818181818
CPNE3,2.743151,0.61914873,0.006085271025447094,1.0,0.8636363636363636
RSL24D1,2.7212355,0.5136068,0.006503839697139688,1.0,0.8636363636363636
NDUFC2,2.7091916,0.4799459,0.00674473844587675,1.0,0.9772727272727273
TMEM165,2.700123,0.601085,0.006931381561258023,1.0,0.8181818181818182
PCNP,2.6864734,0.68504083,0.007221072500190076,1.0,0.7727272727272727
STARD4,2.655395,0.802491,0.007921558333783432,1.0,0.6818181818181818
MESD,2.6493967,0.5768837,0.008063563196170676,1.0,0.8636363636363636
UBXN1,2.640281,0.50254345,0.00828373138830366,1.0,0.8409090909090909
PRELID1,2.6042907,0.45628178,0.009206463693486598,1.0,0.9545454545454546
ACTR2,2.5977256,0.41627416,0.009384347348625335,1.0,0.9318181818181818
COA1,2.5912547,0.7957493,0.009562665317258585,1.0,0.6818181818181818
SPTLC2,2.5710871,0.8504641,0.010137984680584296,1.0,0.5909090909090909
ATP2B4,2.54374,0.70605373,0.010967266532394148,1.0,0.6363636363636364
THRAP3,2.522486,0.5838413,0.011652860651754337,1.0,0.75
ATF7,2.522297,0.9766765,0.011659121602042447,1.0,0.4772727272727273
HNRNPR,2.517385,0.5264012,0.011822957282524419,1.0,0.8409090909090909
CCDC174,2.5081277,1.118046,0.01213728262430988,1.0,0.4318181818181818
FAM49B,2.506569,0.87007153,0.012190927039993825,1.0,0.5681818181818182
UXS1,2.5018458,0.845541,0.012354771035456374,1.0,0.5227272727272727
ASXL1,2.494147,0.6886901,0.012626019960493532,1.0,0.6590909090909091
PAXX,2.4711454,0.7569938,0.013468103032012343,1.0,0.5909090909090909
RP9,2.466989,1.1068394,0.013625451189432715,1.0,0.45454545454545453
SH3KBP1,2.4659028,0.6056743,0.013666843028130319,1.0,0.75
NOLC1,2.462077,0.811689,0.013813499974683703,1.0,0.5909090909090909
APEX1,2.4550867,0.5426186,0.014085058335882663,1.0,0.9545454545454546
LARS,2.4548979,0.47965243,0.014092462686460248,1.0,0.9090909090909091
PPIP5K2,2.4470103,0.8982329,0.01440467578584711,1.0,0.5227272727272727
OCIAD1,2.4350607,0.50227815,0.01488929282964689,1.0,0.75
CCND1,2.3960476,0.43697426,0.016572939749908838,1.0,0.9318181818181818
HIGD1A,2.3888211,0.722455,0.016902527991007592,1.0,0.6590909090909091
ADI1,2.3738961,0.6434554,0.01760150522540545,1.0,0.7045454545454546
FRMD4A,2.355334,0.6266059,0.018506057672705137,1.0,0.7045454545454546
MARCH5,2.3542478,0.94272184,0.01856023384694374,1.0,0.45454545454545453
PSMA2,2.3431485,0.39603943,0.019121774571594093,1.0,0.8409090909090909
SEC14L1,2.3315296,0.5307387,0.01972545618642859,1.0,0.8409090909090909
ATP6V1H,2.3202884,0.82307506,0.020325279195031465,1.0,0.5
NPR2,2.3141956,1.5445832,0.02065699576273131,1.0,0.29545454545454547
AQR,2.309425,0.93820393,0.020919996796916758,1.0,0.45454545454545453
GPX8,2.3068748,0.67412716,0.021061804802848774,1.0,0.6818181818181818
YTHDF2,2.3027656,0.6438002,0.02129203511520641,1.0,0.6363636363636364
EIF3F,2.2894936,0.33861816,0.022050690383332707,1.0,0.9090909090909091
GALNT11,2.2847233,0.7632895,0.02232906259849403,1.0,0.5454545454545454
FAM91A1,2.2809446,0.700781,0.02255171920502315,1.0,0.5681818181818182
SMAD1,2.2759855,0.58291256,0.022846882912584555,1.0,0.7045454545454546
TMEM208,2.265311,0.8236017,0.02349359420106689,1.0,0.5
HLTF,2.263233,0.6915247,0.023621333756893577,1.0,0.5909090909090909
MTRNR2L10,2.259785,0.95681995,0.02383459481069534,1.0,0.4318181818181818
SMIM7,2.253267,0.7559753,0.024242311665432014,1.0,0.5681818181818182
RGS12,2.248969,0.9078362,0.02451446436692218,1.0,0.4772727272727273
PTK2,2.2475522,0.5212817,0.024604763411312406,1.0,0.75
CACNG8,2.2413647,0.6006208,0.025002453830531922,1.0,0.7272727272727273
NT5C3A,2.2273843,1.1535598,0.025921599036082096,1.0,0.38636363636363635
NSD1,2.227148,0.6894689,0.025937372790666706,1.0,0.5909090909090909
TMEM256,2.2144902,0.40386435,0.026795078763949688,1.0,0.9090909090909091
HNRNPH1,2.2076888,0.5161883,0.027265971063908986,1.0,0.7727272727272727
TMOD3,2.2064607,0.36603782,0.027351750055236768,1.0,0.8863636363636364
IFITM3,2.1991873,0.25081718,0.027864614353634354,1.0,1.0
NEK6,2.187521,0.98740524,0.02870450844228751,1.0,0.4772727272727273
MYSM1,2.1838841,1.0367495,0.028970755986619336,1.0,0.4090909090909091
AASS,2.180767,0.729265,0.02920065744279866,1.0,0.5454545454545454
DYNLL1,2.1762328,0.2903158,0.029537861276538457,1.0,0.9772727272727273
BCL2L13,2.1755714,0.9297646,0.029587315593973804,1.0,0.4318181818181818
SNHG25,2.1694787,0.5482511,0.030046362564495287,1.0,0.75
FAM177A1,2.1573403,0.51178783,0.030979166933882432,1.0,0.8636363636363636
POLR2E,2.1546953,0.5938403,0.031185690298326182,1.0,0.6590909090909091
CPSF2,2.1532311,0.67776304,0.03130052295322015,1.0,0.5909090909090909
FKBP11,2.153184,0.6780052,0.031304233264711934,1.0,0.5681818181818182
SOCS4,2.1516252,0.8513059,0.03142688541736124,1.0,0.45454545454545453
NDEL1,2.142415,1.2701391,0.032160094988527406,1.0,0.3409090909090909
RNF19A,2.1377864,0.80342907,0.032534082375299284,1.0,0.5227272727272727
BCLAF1,2.1356137,0.57435685,0.03271090824568466,1.0,0.6136363636363636
ZBTB1,2.1347163,1.2691787,0.032784184834148036,1.0,0.3409090909090909
ZC3H7A,2.1222472,0.7635431,0.033816977280792415,1.0,0.4772727272727273
NAAA,2.1175241,0.84219605,0.034215387709939066,1.0,0.4772727272727273
SETX,2.0920193,0.7049783,0.036436797229867625,1.0,0.5227272727272727
PLSCR4,2.0917358,0.5091336,0.03646215412555964,1.0,0.7272727272727273
C12orf29,2.0819118,0.99071044,0.03735053616306326,1.0,0.38636363636363635
KDELR2,2.0792196,0.37881482,0.03759717933981919,1.0,0.8409090909090909
GOLGA3,2.0770469,0.79105425,0.03779723393033528,1.0,0.45454545454545453
RNF115,2.0751104,0.5801073,0.03797630600295181,1.0,0.6136363636363636
CYHR1,2.070529,0.7057046,0.038402839199796805,1.0,0.5
HSBP1,2.0681202,0.33833572,0.03862872767680102,1.0,1.0
SPATC1L,2.0578237,0.6015737,0.03960706046415105,1.0,0.6818181818181818
GNG11,2.0530062,0.30873364,0.040071986224413284,1.0,0.9772727272727273
ASPH,2.0428514,0.34157825,0.04106715537825411,1.0,0.9318181818181818
PTGR1,2.037467,0.62060004,0.041603268167855534,1.0,0.5681818181818182
NECTIN2,2.0368056,0.615749,0.0416695133093664,1.0,0.5909090909090909
CNN2,2.0365224,0.8992774,0.04169793140962443,1.0,0.4318181818181818
PAXBP1,2.0298154,0.8349626,0.042375297585623764,1.0,0.45454545454545453
CNPY2,2.0287764,0.42339897,0.042481069875764235,1.0,0.8409090909090909
PDCD7,2.0279262,0.6738474,0.04256777684967003,1.0,0.5227272727272727
YY1,2.0255647,0.40978348,0.04280941519463365,1.0,0.8636363636363636
LAMP2,2.0236282,0.55385435,0.04300842303283885,1.0,0.6818181818181818
SEPTIN11,2.0232975,0.38380373,0.043042478009144805,1.0,0.8181818181818182
EWSR1,2.0157406,0.60149723,0.0438271137157438,1.0,0.6590909090909091
IDH3A,1.9970369,1.0251963,0.045821172528746144,1.0,0.36363636363636365
HLA-A,1.9958562,0.24823697,0.04594958450175088,1.0,1.0
CHD4,1.9949116,0.4375333,0.04605253220167199,1.0,0.7727272727272727
GABARAPL2,1.9931167,0.45681548,0.04624866803081602,1.0,0.8409090909090909
PLOD3,1.9913219,0.45760962,0.046445506739232145,1.0,0.7727272727272727
FAM104A,1.9894327,0.72327256,0.04665346679238639,1.0,0.4318181818181818
PARP14,1.978286,0.71524084,0.04789644432293726,1.0,0.5681818181818182
SMDT1,1.9780499,0.37889722,0.047923076779232444,1.0,0.8181818181818182
NNT-AS1,1.9775304,0.90362304,0.04798171199109488,1.0,0.36363636363636365
CCNB1IP1,1.9754994,0.5201157,0.04821150112258912,1.0,0.6363636363636364
FARSA,1.971343,0.8621927,0.04868465006187243,1.0,0.4090909090909091
ACOT7,1.9693593,0.42872363,0.04891184199536268,1.0,0.8409090909090909
DCTN2,1.9648252,0.507337,0.0494344813917021,1.0,0.7954545454545454
ACVRL1,1.9646362,0.4442221,0.049456359315578145,1.0,0.9090909090909091
ZFAND5,1.9630303,0.5063016,0.04964264981708223,1.0,0.6590909090909091
SGTA,1.9598186,1.2975155,0.05001699674011998,1.0,0.3181818181818182
SMAP1,1.9547176,0.5356525,0.05061641048561908,1.0,0.6363636363636364
HSD17B7,1.9507029,0.8669068,0.05109239315256165,1.0,0.4090909090909091
CCNY,1.946216,0.61251026,0.05162880332933028,1.0,0.6363636363636364
RESF1,1.941729,0.6128329,0.052169918284052375,1.0,0.5681818181818182
PMF1,1.9405482,0.7449548,0.05231310270819036,1.0,0.45454545454545453
MVD,1.9318576,0.72733456,0.05337708130779195,1.0,0.4772727272727273
MYADM,1.9282209,0.2794201,0.05382766698398344,1.0,1.0
METRN,1.9279374,0.5584424,0.05386291051328811,1.0,0.6590909090909091
ORMDL2,1.926001,0.6249158,0.05410425718936222,1.0,0.5227272727272727
RBMS1,1.9246784,0.53346115,0.05426959740123958,1.0,0.6590909090909091
COX15,1.9234505,0.91185147,0.054423504891964826,1.0,0.36363636363636365
SELENOT,1.9142404,0.41871685,0.0555894557773134,1.0,0.7272727272727273
KDELR3,1.905408,0.94210666,0.05672704889600193,1.0,0.38636363636363635
SRRM2,1.9046524,0.38312274,0.05682527635005291,1.0,0.9318181818181818
SNAP23,1.8990319,0.45848334,0.05756029235949291,1.0,0.7272727272727273
SPART,1.8990319,0.44944584,0.05756029235949291,1.0,0.7045454545454546
FAM92A,1.8939308,0.62258166,0.05823419141929902,1.0,0.5
MARK3,1.8913331,0.7340748,0.058579892001291045,1.0,0.5
SIGIRR,1.8875546,0.48569804,0.059085770305137265,1.0,0.6590909090909091
NENF,1.8852403,0.4337789,0.0593974076780795,1.0,0.8636363636363636
PARD3,1.8823591,0.9646005,0.05978726899992899,1.0,0.3409090909090909
LRRC59,1.8788168,0.5065868,0.060269513327719716,1.0,0.6363636363636364
SKIL,1.8699373,0.53131485,0.06149252609331809,1.0,0.6136363636363636
MSRB3,1.8691816,0.50503093,0.06159755436100619,1.0,0.6363636363636364
GLCCI1,1.8687565,2.5702033,0.061656697994030826,1.0,0.20454545454545456
CWF19L2,1.8680481,1.1712937,0.061755375175372204,1.0,0.3181818181818182
MCUB,1.8647418,0.7706962,0.06221759858235085,1.0,0.45454545454545453
KLHL36,1.861908,0.8709996,0.06261606473132554,1.0,0.38636363636363635
GPBP1,1.8618608,0.47486132,0.06262272367155547,1.0,0.6136363636363636
PSMD13,1.8600187,0.4643157,0.06288287947155127,1.0,0.6818181818181818
NAB1,1.8576572,1.2756039,0.06321771899112519,1.0,0.29545454545454547
TRMT10A,1.8556262,1.4247801,0.06350685824192762,1.0,0.2727272727272727
VMA21,1.854776,0.5167539,0.06362821726245912,1.0,0.6363636363636364
TOMM22,1.8538786,0.41096756,0.0637565262282226,1.0,0.7272727272727273
PAIP1,1.8497695,0.6628765,0.06434677887054199,1.0,0.5
COPZ1,1.8490138,0.43416175,0.06445582064408259,1.0,0.6818181818181818
PDCD6,1.8463216,0.3942186,0.06484552213299306,1.0,0.7272727272727273
METTL15,1.8450936,0.95110285,0.06502392520175095,1.0,0.3409090909090909
NDFIP1,1.8425903,0.44359598,0.06538884695525957,1.0,0.6818181818181818
EEF1G,1.8421652,0.2050258,0.0654509822165723,1.0,1.0
PTPN2,1.8407955,0.6011028,0.06565152708498344,1.0,0.4772727272727273
WWTR1,1.8383394,0.47584683,0.06601239319002561,1.0,0.7045454545454546
TRAPPC5,1.8364502,0.2963217,0.0662910934431416,1.0,0.8409090909090909
RAB1A,1.8355056,0.41731122,0.06643080666040437,1.0,0.7272727272727273
SFT2D1,1.835364,0.49548623,0.06645178454747325,1.0,0.5909090909090909
CSNK1E,1.8338997,0.4691034,0.06666887572121913,1.0,0.6818181818181818
CANX,1.8181717,0.30846325,0.06903789254549678,1.0,0.8863636363636364
DCAF7,1.8168492,0.45847985,0.06924020221239369,1.0,0.6818181818181818
RPP38,1.816802,0.89213485,0.06924743655394129,1.0,0.3409090909090909
MRPL18,1.8167075,0.5944486,0.06926190709949138,1.0,0.5681818181818182
SERPINB6,1.8156213,0.30473933,0.0694284969510907,1.0,0.8636363636363636
ZNF593,1.8139681,0.41176888,0.06968263445815463,1.0,0.75
SMNDC1,1.8137792,0.6311635,0.06971172731142546,1.0,0.5227272727272727
PON2,1.8125985,0.46621975,0.06989378364256672,1.0,0.6363636363636364
APMAP,1.8085365,0.48572174,0.07052303991770988,1.0,0.7272727272727273
SURF4,1.8083004,0.5962533,0.07055976706947972,1.0,0.5681818181818182
FAM98A,1.8048053,0.50921464,0.07110516558877657,1.0,0.5909090909090909
ATP5PB,1.799043,0.34085053,0.0720118785196938,1.0,0.8409090909090909
TNS3,1.7919583,1.0311185,0.0731396464291937,1.0,0.3409090909090909
TMEM205,1.7912971,0.53022385,0.07324563799326425,1.0,0.5909090909090909
ELMO1,1.7911553,0.92564446,0.07326836681105524,1.0,0.36363636363636365
HTRA1,1.789455,0.46899635,0.07354156291190404,1.0,0.7272727272727273
VPS54,1.7884159,1.4391792,0.07370892580447465,1.0,0.25
HLA-E,1.7875185,0.254646,0.07385371699230472,1.0,0.9545454545454546
SEL1L,1.7821814,0.55652034,0.07471965446163671,1.0,0.5454545454545454
NELFCD,1.7789224,0.5853036,0.07525247885338686,1.0,0.5227272727272727
DDX17,1.7765609,0.3794626,0.07564051861697564,1.0,0.9545454545454546
LIMA1,1.7723572,0.3585368,0.07633526888502115,1.0,0.7727272727272727
KPNA4,1.770657,0.44094303,0.07661776575629019,1.0,0.75
TRAPPC3,1.7647058,0.4884032,0.07761322415300748,1.0,0.7045454545454546
CLN5,1.7612107,0.75782704,0.0782027522038597,1.0,0.38636363636363635
FARP1,1.7601715,0.71090394,0.07837871857923756,1.0,0.45454545454545453
DIDO1,1.7572433,0.7922718,0.07887635824847972,1.0,0.38636363636363635
WDR1,1.753937,0.37192604,0.0794412955900481,1.0,0.8181818181818182
MOSMO,1.7518116,0.6364597,0.07980620373545622,1.0,0.4772727272727273
FXYD5,1.750064,0.25935125,0.08010725889530665,1.0,0.9545454545454546
PRAG1,1.7500168,0.67311937,0.08011540831083265,1.0,0.4090909090909091
IGFBP6,1.749639,0.46736267,0.08018062788863514,1.0,0.7045454545454546
ERCC1,1.7460494,0.4946291,0.08080236775469779,1.0,0.6818181818181818
ATM,1.7433572,0.53097147,0.08127123706445533,1.0,0.6590909090909091
HYAL1,1.7423182,1.3677227,0.08145279376033891,1.0,0.25
GABPB1-AS1,1.7416569,0.55994374,0.08156850110799711,1.0,0.5454545454545454
GLB1,1.741468,0.67680687,0.08160158483511297,1.0,0.4318181818181818
EIF1,1.7400038,0.17468917,0.08185835302690386,1.0,1.0
MSANTD3,1.7395787,0.48178583,0.08193302126492713,1.0,0.5681818181818182
UBAC2,1.7358001,0.9128739,0.08259916970525832,1.0,0.36363636363636365
CBX1,1.7357529,0.49768737,0.08260752425975401,1.0,0.6590909090909091
VPS26B,1.7330607,0.9665699,0.08308486724781071,1.0,0.3409090909090909
POLR2M,1.7283849,1.05068,0.08391924640934918,1.0,0.29545454545454547
IL27RA,1.7268735,1.0062699,0.08419039089245614,1.0,0.29545454545454547
NOP53,1.7221975,0.37837908,0.08503373687055173,1.0,0.7272727272727273
CEP57,1.7201194,0.5832917,0.08541074387020238,1.0,0.45454545454545453
SYPL1,1.7193637,0.43161958,0.08554817189337732,1.0,0.8409090909090909
PTPN14,1.7181829,0.45186526,0.08576326094608495,1.0,0.7045454545454546
CCBE1,1.7168604,0.45769513,0.0860046793012756,1.0,0.6590909090909091
RNF170,1.7158213,0.66176,0.08619475008645257,1.0,0.38636363636363635
SEC24A,1.7127041,1.0792241,0.08676699910800172,1.0,0.29545454545454547
HUWE1,1.7124679,0.39886636,0.0868104759992415,1.0,0.6590909090909091
PFN2,1.7119956,0.3559511,0.08689748254468062,1.0,0.7954545454545454
DEF8,1.7114761,0.4748206,0.08699327103715283,1.0,0.6363636363636364
PPID,1.7111454,0.55983657,0.08705427171394785,1.0,0.4772727272727273
PPIB,1.7103425,0.23313947,0.08720255995689156,1.0,1.0
RAP1B,1.7098702,0.39406085,0.0872898835159395,1.0,0.7954545454545454
WDYHV1,1.70902,0.9037109,0.08744724373484566,1.0,0.3181818181818182
MRPL12,1.707792,0.36319488,0.08767494582120675,1.0,0.7272727272727273
BAZ2B,1.7051942,0.58669215,0.08815819930645949,1.0,0.5
DERL1,1.7030689,0.5520429,0.08855518397737769,1.0,0.5454545454545454
LRRC42,1.7025965,1.2078979,0.08864359817113635,1.0,0.2727272727272727
DDAH2,1.6967398,0.5356986,0.08974585529209067,1.0,0.5909090909090909
HYI,1.693906,0.4631435,0.09028315298989432,1.0,0.7045454545454546
ITGAV,1.6910249,0.6063725,0.09083205609470056,1.0,0.5
RDH11,1.6905998,0.46432793,0.09091326853646937,1.0,0.7045454545454546
CDYL,1.6817203,0.52306336,0.09262309508972144,1.0,0.5909090909090909
GMPR2,1.6801144,0.71123475,0.09293505858386002,1.0,0.4090909090909091
IFITM2,1.68002,0.20935187,0.09295343561046954,1.0,1.0
SDHC,1.6793115,0.37272137,0.09309135629898467,1.0,0.75
ELOVL1,1.6785085,0.5226333,0.09324786490420456,1.0,0.5681818181818182
LSM7,1.6775167,0.27625203,0.09344149049650748,1.0,0.9318181818181818
PPP6R1,1.6761942,0.717333,0.09370015957663566,1.0,0.4090909090909091
SLC6A6,1.6742578,0.62365913,0.09407996092454973,1.0,0.4318181818181818
UBE2M,1.6737854,0.34774917,0.09417278239958693,1.0,0.75
DDHD1,1.673077,0.74864256,0.09431215226605189,1.0,0.36363636363636365
FTH1,1.672085,0.11468252,0.09450754780566457,1.0,1.0
DOCK10,1.6692512,0.93392986,0.09506760906200258,1.0,0.3181818181818182
PNPO,1.6677397,0.8994612,0.09536739374109184,1.0,0.3409090909090909
MLLT6,1.6664174,0.94842696,0.09563032594101015,1.0,0.3181818181818182
FOXN3,1.6648115,0.9083879,0.09595038069845382,1.0,0.36363636363636365
UBAP2L,1.664717,0.535292,0.0959692341169362,1.0,0.6363636363636364
PSENEN,1.6615052,0.6494008,0.09661201647265258,1.0,0.5
USP48,1.6591437,0.38828373,0.09708684405869852,1.0,0.75
RSPRY1,1.6584352,0.6553197,0.0972296556242648,1.0,0.45454545454545453
RAB10,1.656971,0.40175006,0.09752533170982627,1.0,0.7045454545454546
CFLAR,1.6544205,0.40351862,0.09804209620849887,1.0,0.7045454545454546
RAB4B,1.6540899,0.6874625,0.09810924406358765,1.0,0.36363636363636365
PDLIM4,1.6540427,0.39433944,0.0981188396125069,1.0,0.8409090909090909
IGF2R,1.6524369,0.86844176,0.0984455345663682,1.0,0.3181818181818182
ZKSCAN1,1.6514449,0.43258333,0.09864775030863292,1.0,0.7045454545454546
TGFBR2,1.6509726,0.43665868,0.09874416001203196,1.0,0.7954545454545454
