names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MTPN,3.2832491,0.5383857,0.0010261795052435708,1.0,1.0
DBN1,3.2391613,0.9957675,0.0011988178803469336,1.0,0.6842105263157895
DNAJC24,3.2277198,1.6654615,0.001247811632508319,1.0,0.47368421052631576
MARCKSL1,2.9530222,0.6319428,0.00314679180683955,1.0,0.9473684210526315
TSPAN6,2.8907807,1.1499908,0.0038428622610080145,1.0,0.5263157894736842
DLST,2.8902214,1.9094725,0.003849707181835656,1.0,0.39473684210526316
EPAS1,2.8692706,0.8175195,0.004114195673615687,1.0,0.7894736842105263
TKT,2.8601174,0.3312546,0.00423484104527048,1.0,1.0
EDF1,2.834997,0.45240182,0.004582610822494203,1.0,0.9473684210526315
CHMP5,2.8188772,0.6524023,0.004819194056400051,1.0,0.8421052631578947
PAFAH1B2,2.8184705,0.66309774,0.004825305053091656,1.0,0.7368421052631579
CHD3,2.7678227,0.77365273,0.00564321270868612,1.0,0.7105263157894737
PRDX6,2.7070558,0.45320272,0.006788284548470929,1.0,0.9736842105263158
PDE4B,2.6927667,1.8260194,0.007086184388538704,1.0,0.3684210526315789
C19orf53,2.6558487,0.39247522,0.007910907652484414,1.0,0.868421052631579
APOBEC3C,2.6395257,0.8265648,0.008302215102260226,1.0,0.6578947368421053
UQCR11,2.6349998,0.3248788,0.008413731713889407,1.0,1.0
EPB41L4A-AS1,2.6192868,1.0493788,0.008811380954002105,1.0,0.5526315789473685
TIMM10,2.5887764,0.6520504,0.009631765449479347,1.0,0.8157894736842105
CCNG1,2.5861828,0.6006152,0.009704543287410711,1.0,0.8421052631578947
DPM3,2.5831826,0.6899809,0.009789348465455771,1.0,0.7368421052631579
ATP6V1E1,2.5776908,0.7358795,0.009946297491510433,1.0,0.7368421052631579
BSCL2,2.5648253,1.1407923,0.01032277324217249,1.0,0.5
RNF213,2.5454512,0.69035333,0.010913663016492936,1.0,0.8157894736842105
CRK,2.4977021,1.1183661,0.012500121801322657,1.0,0.5
TAF11,2.488498,0.77841806,0.012828396618185772,1.0,0.6842105263157895
FAM20B,2.4436982,1.1564232,0.014537581879463893,1.0,0.4473684210526316
EP300,2.4425287,1.0851556,0.014584772841789516,1.0,0.5
IGBP1,2.4307313,0.90791893,0.015068389629472954,1.0,0.6052631578947368
HDGFL3,2.4234087,0.60874563,0.01537562051518262,1.0,0.7368421052631579
MMRN2,2.4200015,0.69118035,0.015520438344385608,1.0,0.6842105263157895
PYCR2,2.412374,1.2110585,0.01584901652439312,1.0,0.42105263157894735
TAF9,2.4039326,0.74826443,0.016219759975987732,1.0,0.631578947368421
TOLLIP,2.3992543,1.3470511,0.016428497304634984,1.0,0.39473684210526316
AARS,2.3660996,0.94996953,0.01797661261877206,1.0,0.5
MED28,2.3604043,0.94404745,0.01825503377709011,1.0,0.5526315789473685
PRPF6,2.354607,0.63516605,0.018542296676664606,1.0,0.7894736842105263
EEF1D,2.3473864,0.23343608,0.018905641951663932,1.0,1.0
XIST,2.327351,0.43952474,0.019946591842700468,1.0,1.0
PSME4,2.299739,0.80078304,0.021463018528445097,1.0,0.5526315789473685
GMPS,2.2920096,0.8775693,0.021905094381280018,1.0,0.5263157894736842
MMP24OS,2.2913992,0.51424193,0.0219403301475692,1.0,0.8157894736842105
SNX1,2.2855513,0.9699692,0.022280514573807662,1.0,0.47368421052631576
IRF2BPL,2.2690248,1.011979,0.0232668156721118,1.0,0.4473684210526316
TSPAN11,2.2675502,1.5527908,0.023356638720328147,1.0,0.3684210526315789
RGS16,2.2371411,0.8903455,0.025277111353944726,1.0,0.47368421052631576
TAF1D,2.2316494,0.47054234,0.02563814985931193,1.0,0.8421052631578947
SUCLG1,2.224581,0.66133165,0.026109378340407458,1.0,0.6842105263157895
MARS,2.2214282,0.89505374,0.026321969460799365,1.0,0.5
GSE1,2.221174,1.4922138,0.026339178900688223,1.0,0.34210526315789475
SMARCC2,2.2145634,0.84110194,0.026790049479197612,1.0,0.5263157894736842
SENP5,2.2124276,0.93257284,0.026937132722258932,1.0,0.47368421052631576
DNAJB6,2.2011895,0.4674883,0.027722609197173658,1.0,0.8947368421052632
ARCN1,2.195545,0.71153355,0.02812452209020374,1.0,0.6052631578947368
XPC,2.1762726,0.55316776,0.029534889518311888,1.0,0.6842105263157895
WRNIP1,2.1728654,1.0407871,0.02979044223702022,1.0,0.4473684210526316
TRIP12,2.1721535,0.694761,0.02984408078793063,1.0,0.7105263157894737
