names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFB1,3.3212848,0.34701276,0.000896040420952364,1.0,0.847457627118644
RSRC2,2.810351,0.4045542,0.004948749802261131,1.0,0.7372881355932204
RSL24D1,2.7982888,0.32918775,0.005137413740852782,1.0,0.8813559322033898
TFPI,2.757232,0.27999148,0.005829297924580685,1.0,0.9576271186440678
DCTN4,2.7207878,0.8124655,0.006512653900400192,1.0,0.4152542372881356
COX6C,2.7129376,0.19063307,0.006668968581805448,1.0,0.9915254237288136
UBA52,2.5720317,0.09154306,0.010110362885377408,1.0,1.0
POLR2I,2.5525491,0.3408329,0.010693786149869064,1.0,0.8050847457627118
RAD23A,2.4694324,0.2660224,0.013532759436736548,1.0,0.8050847457627118
AHNAK2,2.4471133,0.42279276,0.01440055939231401,1.0,0.5847457627118644
URI1,2.3956559,0.47190705,0.016590654054404616,1.0,0.559322033898305
H2AFJ,2.3672915,0.30407134,0.01791881577194691,1.0,0.7457627118644068
TIMM50,2.325289,0.7366332,0.020056510118218268,1.0,0.3898305084745763
SNRPE,2.3216503,0.2150461,0.02025177009385483,1.0,0.864406779661017
CCDC50,2.3125966,0.23391315,0.020744826990214727,1.0,0.788135593220339
CCDC25,2.2898476,0.3145529,0.022030146259715055,1.0,0.7627118644067796
MRPS9,2.2612252,0.6798771,0.023745307268187552,1.0,0.3644067796610169
RNF149,2.2142663,0.41974002,0.026810466026572694,1.0,0.5677966101694916
DSTN,2.1596289,0.0872735,0.03080141901606959,1.0,1.0
NIFK,2.118314,0.38353342,0.0341484847779905,1.0,0.559322033898305
NDUFA9,2.1108646,0.49502933,0.034783941298815776,1.0,0.4661016949152542
CCDC124,2.108229,0.39146993,0.03501120110067344,1.0,0.5932203389830508
MCRIP2,2.0892332,0.5685693,0.03668673700497294,1.0,0.3983050847457627
NDUFA7,2.0764263,0.25236025,0.03785455197991806,1.0,0.8220338983050848
DBI,2.0496087,0.19414102,0.040402619517269485,1.0,0.9661016949152542
