names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EIF1,3.9726722,0.2905575,7.107082817446943e-05,1.0,1.0
SNHG32,3.306265,0.6205867,0.0009454859773480033,1.0,0.7777777777777778
COPZ1,3.0420587,0.6313554,0.0023496613761897996,1.0,0.7301587301587301
RPL26,3.0208197,0.106353916,0.0025209146983507648,1.0,1.0
RPL38,2.9659293,0.16154216,0.0030176983010765045,1.0,1.0
RPL18,2.9494584,0.13372076,0.00318331542952254,1.0,1.0
RPS15A,2.8421602,0.116255686,0.0044808980286532565,1.0,1.0
GAS5,2.836289,0.31389585,0.004564114438409459,1.0,1.0
GID8,2.8309298,0.7754314,0.00464128964512915,1.0,0.5555555555555556
RPS15,2.7813985,0.13231891,0.005412524510980865,1.0,1.0
S100A11,2.7494023,0.23740579,0.0059704080691932475,1.0,1.0
MRPL57,2.6923447,0.39600372,0.0070951588968486985,1.0,0.9206349206349206
RPS27,2.6765041,0.15084086,0.007439466671371141,1.0,1.0
ZFAND6,2.6507335,0.5397182,0.008031716990060462,1.0,0.6984126984126984
ATP6V1D,2.5745256,0.6711705,0.010037769332592482,1.0,0.5714285714285714
NDUFAF2,2.5718067,0.47680202,0.010116939734259242,1.0,0.7619047619047619
RPL23,2.5516315,0.10722086,0.010721984645456812,1.0,1.0
RPL35A,2.5507646,0.11152521,0.01074868889705499,1.0,1.0
RPS23,2.5438294,0.10901042,0.010964460371995142,1.0,1.0
RPL37,2.5404801,0.13794315,0.01107003988564085,1.0,1.0
BLOC1S1,2.5319688,0.43036413,0.01134241049132629,1.0,0.8412698412698413
FTH1,2.5086412,0.18807024,0.012119647415374036,1.0,1.0
RPS25,2.5028882,0.11899488,0.012318441837219137,1.0,1.0
PSMA6,2.4934707,0.46882465,0.01265010456639427,1.0,0.7936507936507936
TBCB,2.488939,0.5294946,0.012812489827071647,1.0,0.6825396825396826
RPL37A,2.4584796,0.1185183,0.01395267272504186,1.0,1.0
NDUFC2,2.4543421,0.35957652,0.01411426444225269,1.0,0.9206349206349206
BRD3,2.4380682,0.75885004,0.014765993516713928,1.0,0.4603174603174603
RNPEP,2.421085,0.65617305,0.01547426835554897,1.0,0.5238095238095238
TAF10,2.4021313,0.37053785,0.016299858723442674,1.0,0.7936507936507936
ADIRF,2.398112,0.29116583,0.016479825106552364,1.0,0.9841269841269841
VTI1B,2.3862512,0.5095978,0.01702111631381173,1.0,0.7619047619047619
RPL21,2.3840446,0.15247442,0.01712352517260028,1.0,1.0
ESYT2,2.3509843,0.8460411,0.018723821253431337,1.0,0.42857142857142855
CCS,2.3349073,0.8236477,0.019548260833282736,1.0,0.42857142857142855
AK3,2.3267508,0.5306279,0.01997854039237141,1.0,0.6507936507936508
TRIM4,2.3258839,1.0371405,0.02002475300253768,1.0,0.3492063492063492
ATP5MF,2.2853367,0.3212774,0.022293096565857404,1.0,0.9682539682539683
TMEM256,2.2815144,0.37815934,0.022518025267739966,1.0,0.9206349206349206
DCTN3,2.2762737,0.51544803,0.022829637927827315,1.0,0.746031746031746
DNAJC2,2.259448,0.814784,0.023855534892777107,1.0,0.42857142857142855
RBIS,2.2555468,0.32593063,0.02409902129730002,1.0,0.8253968253968254
ZFAS1,2.2431738,0.2560476,0.024885600726802338,1.0,0.9841269841269841
RPS28,2.2306828,0.11964187,0.02570215190910792,1.0,1.0
CDK4,2.2289095,0.50323915,0.025819924265455367,1.0,0.6666666666666666
SPEN,2.2188613,0.61873496,0.026496153963476196,1.0,0.5079365079365079
SHOC2,2.2007353,0.5716012,0.027754761327102015,1.0,0.5079365079365079
GANAB,2.1861558,0.42152336,0.02880421077480965,1.0,0.7301587301587301
NDUFA12,2.182767,0.37639555,0.02905297344510257,1.0,0.7777777777777778
RPL13,2.1674387,0.09780401,0.03020142020511319,1.0,1.0
IPP,2.1585727,1.346244,0.030883332887667366,1.0,0.2698412698412698
