names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RAB3GAP1,3.2405896,1.0686177,0.00119282729626087,1.0,0.4605263157894737
POU2F1,2.8241565,1.6613803,0.00474052387016304,1.0,0.2894736842105263
HINT1,2.8014731,0.21403576,0.005086986881216365,1.0,1.0
HARS,2.801294,0.7510191,0.005089812377308459,1.0,0.5
STMP1,2.7428837,0.37492573,0.00609022512051141,1.0,0.9078947368421053
RGS16,2.7339966,0.92050844,0.006257066541923561,1.0,0.4342105263157895
RHOA,2.7037883,0.2977904,0.006855396830036845,1.0,0.9736842105263158
SLC25A5,2.5975747,0.26511815,0.009388472073033331,1.0,0.9736842105263158
CKLF,2.5734937,0.4297714,0.010067745130007726,1.0,0.7631578947368421
COX17,2.5465105,0.38045427,0.010880597421641977,1.0,0.8289473684210527
ZRANB2,2.5244005,0.45606503,0.011589581836354756,1.0,0.7763157894736842
C1orf35,2.520136,0.78086704,0.01173094467332211,1.0,0.42105263157894735
HLCS,2.5037956,1.2688593,0.012286899283062263,1.0,0.3026315789473684
SEC14L1,2.4924362,0.4718606,0.012687017348176653,1.0,0.7763157894736842
PLA2G12A,2.4723687,0.8646203,0.013422100536462816,1.0,0.42105263157894735
HIGD2A,2.4191902,0.38627672,0.015555102685851335,1.0,0.8421052631578947
COX5B,2.409909,0.2518985,0.015956495853678775,1.0,0.9868421052631579
NDUFB4,2.4032798,0.30735928,0.016248753968709128,1.0,0.9210526315789473
AP1G1,2.3973312,0.7307238,0.01651498987559522,1.0,0.4342105263157895
LANCL1,2.352968,0.864022,0.01862423686177021,1.0,0.3815789473684211
PRDX3,2.3358033,0.36767548,0.019501498146173097,1.0,0.7631578947368421
ISCU,2.3335457,0.4713988,0.01961952407231976,1.0,0.7763157894736842
ARPC2,2.3316822,0.22328664,0.019717411825375415,1.0,1.0
GSTA4,2.3213978,0.8738517,0.020265386183891537,1.0,0.40789473684210525
ATG14,2.3171692,1.0190889,0.02049451191971948,1.0,0.32894736842105265
PRR13,2.3167033,0.45770407,0.020519892222932393,1.0,0.7631578947368421
ERH,2.3138726,0.32876715,0.020674716561531106,1.0,0.9078947368421053
BLOC1S2,2.297962,0.5253236,0.021563953753131696,1.0,0.5526315789473685
CMTM6,2.295812,0.37989002,0.02168663894500792,1.0,0.8157894736842105
SERBP1,2.2885733,0.1904246,0.022104155658110983,1.0,1.0
RPS6KA2,2.2804747,0.5785134,0.02257954902747766,1.0,0.5394736842105263
IGBP1,2.2803314,0.66123724,0.02258804248711808,1.0,0.5263157894736842
GLIPR2,2.2643492,0.5032118,0.023552647958379844,1.0,0.6052631578947368
SPOP,2.2374732,0.61486673,0.02525542545146168,1.0,0.5131578947368421
MRPL43,2.2309513,0.47031268,0.025684350632561696,1.0,0.6052631578947368
CHD4,2.2298405,0.3930551,0.025758033880088124,1.0,0.7763157894736842
NELFE,2.2110274,0.47198144,0.027033942533149342,1.0,0.6052631578947368
STK4,2.2094507,0.7395637,0.02714331212349497,1.0,0.42105263157894735
MED31,2.1974103,0.49012318,0.027991161220925653,1.0,0.5526315789473685
SMIM7,2.194687,0.5458982,0.028186071829809204,1.0,0.5263157894736842
SPRY2,2.1821446,0.5397839,0.029098854016875647,1.0,0.5526315789473685
RARS,2.1742969,0.42788705,0.029682841416817405,1.0,0.631578947368421
TOX2,2.1583865,0.49300405,0.03089780142774141,1.0,0.618421052631579
RABAC1,2.1468835,0.19168551,0.031802555871151016,1.0,0.8947368421052632
GPBP1L1,2.1459517,0.7474749,0.031876822619699756,1.0,0.39473684210526316
SPCS2,2.1398242,0.33164412,0.032368983579387334,1.0,0.8289473684210527
LDLR,2.1303637,0.40075028,0.0331415904470701,1.0,0.8157894736842105
ATP6V1F,2.1238778,0.30388346,0.03368036805903802,1.0,0.8947368421052632
CD63,2.1238778,0.12903354,0.03368036805903802,1.0,0.9736842105263158
IFT43,2.1229103,0.5901891,0.03376137680140998,1.0,0.47368421052631576
FIG4,2.11689,1.1416776,0.03426918412305659,1.0,0.27631578947368424
KLHL5,2.1149907,0.63602,0.03443073362893563,1.0,0.47368421052631576
GNPDA1,2.1052437,0.4717921,0.03527009332800631,1.0,0.5394736842105263
COPS9,2.1042047,0.28788403,0.03536060557055771,1.0,0.9342105263157895
KNOP1,2.1018753,0.46999222,0.03556419809878331,1.0,0.5921052631578947
VPS28,2.0989368,0.30173013,0.03582246372575677,1.0,0.9342105263157895
