names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MT1X,4.5873675,1.4115442,4.488699551880604e-06,0.13359267606307051,0.66
CFL1,4.111768,0.3324327,3.926410114597182e-05,0.5842890891532067,1.0
CALD1,3.7740211,0.51669693,0.00016063711364757457,1.0,0.98
SRGN,3.6823995,0.42183957,0.00023104887906422528,1.0,0.96
S100A13,3.625496,0.4041092,0.00028840747280265897,1.0,0.92
SELENOT,3.479982,0.7449624,0.0005014477236110038,1.0,0.86
RPL18,3.4517293,0.16733891,0.0005570062620420604,1.0,1.0
MYL12B,3.3139205,0.35653412,0.0009199765873254798,1.0,1.0
ARPC5,3.2670248,0.4085644,0.0010868416787842394,1.0,0.96
TOMM6,3.1967034,0.49281457,0.0013900781750193869,1.0,0.96
SF3B6,3.15955,0.5157741,0.0015801305847935746,1.0,0.96
ATP6AP1,3.121688,0.7653127,0.0017981747246130129,1.0,0.8
USP16,3.0885642,0.86906534,0.002011262538880572,1.0,0.66
FAM207A,3.0849771,0.74680966,0.002035677282563134,1.0,0.7
CD81,3.0260365,0.3532764,0.0024778236436691324,1.0,0.94
GPATCH11,3.0055778,1.1263472,0.0026507679897499136,1.0,0.48
SRP14,2.991717,0.26454255,0.002774131329655818,1.0,0.98
YBX3,2.9651031,0.33787414,0.0030258152251254732,1.0,1.0
MZT1,2.9604092,0.9181248,0.003072307892153603,1.0,0.6
NDUFB8,2.929588,0.45016247,0.0033941159123725513,1.0,0.94
YKT6,2.92268,1.332309,0.003470330361838163,1.0,0.44
ESM1,2.8973057,0.78969765,0.003763827243551081,1.0,0.64
G6PD,2.8790169,0.68748885,0.003989169902273908,1.0,0.68
ATG101,2.80595,1.0981824,0.0050168495810918624,1.0,0.46
NFE2L1,2.7775202,0.7138189,0.005477544032275287,1.0,0.7
EXD3,2.73337,1.1041834,0.006268986714295604,1.0,0.44
ASPH,2.7319086,0.4174212,0.006296859742182273,1.0,0.92
DCAF8,2.7268603,0.7969231,0.006394008709279394,1.0,0.56
MCAM,2.7109628,0.4032839,0.006708815717686146,1.0,0.98
ARSJ,2.7057374,0.80256414,0.006815291964633929,1.0,0.66
RSL1D1,2.6852343,0.5696666,0.007247896915559236,1.0,0.78
MRPS36,2.6835515,0.6005698,0.007284473719961376,1.0,0.76
EMC7,2.6769977,0.6817766,0.007428514642397288,1.0,0.66
ATP6V1F,2.672348,0.4773428,0.007532249549658616,1.0,0.94
GALNT1,2.6630485,0.44911304,0.00774362432467322,1.0,0.98
MTLN,2.648745,0.50727123,0.008079123705236908,1.0,0.86
TXNL4A,2.6464424,0.45202348,0.008134335624045797,1.0,0.88
AL355312.4,2.6453795,0.62130165,0.00815993176901363,1.0,0.74
IK,2.6342204,0.5511768,0.00843307555358776,1.0,0.84
H3F3B,2.631829,0.35252386,0.00849265950326069,1.0,1.0
NDUFV2,2.6231937,0.5077805,0.008710970354345928,1.0,0.84
TRIM8,2.6166842,0.6778921,0.008878844220448821,1.0,0.68
GOSR2,2.61261,1.0881127,0.008985372748945475,1.0,0.46
CAV1,2.5958712,0.2608728,0.00943514309765991,1.0,1.0
RPS27L,2.5795307,0.24018635,0.009893465119603055,1.0,0.98
SVIL,2.5610647,0.6631176,0.010435191381947734,1.0,0.68
RAB5C,2.5576992,0.5849206,0.010536718719781245,1.0,0.82
COL4A5,2.5518982,0.7168727,0.010713783757409558,1.0,0.7
TSPAN17,2.5496397,1.3097117,0.01078342980376808,1.0,0.36
LEPROTL1,2.544813,0.6049051,0.010933632025078147,1.0,0.76
SSPN,2.5340521,2.3942523,0.011275197464391783,1.0,0.26
POLR2L,2.5188186,0.31519556,0.01177492647485545,1.0,1.0
B4GAT1,2.489769,0.9100577,0.01278261296739103,1.0,0.46
ATP5F1E,2.4849422,0.17868781,0.012957247271272388,1.0,1.0
TMEM60,2.475997,0.9861766,0.013286468615735047,1.0,0.44
OST4,2.4694874,0.24790289,0.013530677695072385,1.0,1.0
TCAIM,2.467539,1.2615302,0.013604541425921372,1.0,0.36
MYL12A,2.464572,0.25004843,0.013717699964183531,1.0,1.0
VEPH1,2.4639964,0.6418574,0.013739752142364586,1.0,0.66
TIMM17A,2.4533684,0.6240588,0.014152531565283226,1.0,0.72
FAAP20,2.4368064,0.45097768,0.014817604358572085,1.0,0.82
ATP5IF1,2.4319797,0.35605252,0.015016549259935992,1.0,0.94
CCDC43,2.4259572,0.78304195,0.015268070792777385,1.0,0.52
AP1S1,2.4161706,0.503611,0.01568470848719506,1.0,0.72
RBM27,2.4003174,0.8140522,0.016380864549155803,1.0,0.52
ABRACL,2.3968189,0.5539934,0.016538092374227223,1.0,0.76
FTL,2.3765817,0.12705447,0.017473894967611,1.0,1.0
ERH,2.3764489,0.3350523,0.017480188422697805,1.0,0.86
DPP8,2.3689206,0.90581304,0.017840080124506722,1.0,0.46
TP53I3,2.3672822,0.7715893,0.017919264296003247,1.0,0.52
PVR,2.3519602,0.6424339,0.018674770103160585,1.0,0.6
MRPS24,2.3477092,0.4802157,0.018889268072424747,1.0,0.82
C1QBP,2.3469563,0.36114743,0.018927475818074944,1.0,0.98
NBEAL1,2.3466907,0.511965,0.01894097703134901,1.0,0.82
STX8,2.3354428,0.6917178,0.019520306626939824,1.0,0.56
RAPGEF5,2.335354,0.8784344,0.019524929028997245,1.0,0.48
POLR2K,2.3237963,0.4510717,0.020136416790530437,1.0,0.8
ATP6V1G1,2.2956765,0.40801862,0.0216943835372828,1.0,0.88
