names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FSTL1,6.877319,0.8620173,6.098943665658172e-12,1.815167613773185e-07,0.9583333333333334
IGFBP5,5.6724725,3.0854132,1.4075117291194338e-08,0.00017111030371861472,0.5277777777777778
ANXA2,5.637558,0.37732884,1.7247863421673415e-08,0.00017111030371861472,1.0
PLAT,5.5852227,0.8318166,2.3340066849690272e-08,0.00017366176739512046,0.9583333333333334
THBD,5.2722073,1.3046799,1.3479267592402175e-07,0.0005750588195788216,0.6944444444444444
CD55,5.271581,0.7805087,1.3525340155405388e-07,0.0005750588195788216,0.9722222222222222
MESD,5.2416387,0.95998627,1.5915678251663658e-07,0.0005921030201575172,0.8055555555555556
ACTN4,4.9875875,0.79857683,6.113794149588342e-07,0.002021763794222758,0.875
CRIP1,4.871132,0.73193115,1.1096068443354824e-06,0.003302411890111263,1.0
PKM,4.823364,0.43919334,1.4115711694326404e-06,0.003819198285877658,0.9722222222222222
FLNB,4.777879,0.7200721,1.7715374940651309e-06,0.004393708241530535,0.9027777777777778
S100A10,4.737072,0.31990302,2.1682825239517528e-06,0.004964032652142466,1.0
PODXL,4.6774817,1.0951903,2.904198243040203e-06,0.00617391057924018,0.7777777777777778
ACTB,4.5657034,0.26379544,4.978223679399896e-06,0.009877459543086648,1.0
CD59,4.543164,0.35803783,5.541621745416754e-06,0.01030810914919334,1.0
NTN4,4.4976788,1.1091999,6.869934789088873e-06,0.011359055510714613,0.6527777777777778
KRT18,4.486151,0.6626597,7.252128381159223e-06,0.011359886572634778,1.0
FDPS,4.276369,0.5726769,1.8996601974732447e-05,0.02458160295530379,0.9444444444444444
SPTBN1,4.2577333,0.66998225,2.0650996376410635e-05,0.024840951132137582,0.9027777777777778
CALU,4.255413,0.50362086,2.0866332178732596e-05,0.024840951132137582,1.0
PTHLH,4.22838,1.869543,2.3537980678225945e-05,0.026608024632865088,0.4583333333333333
S100A6,4.222598,0.23920745,2.4150241712950447e-05,0.026608024632865088,1.0
ACLY,4.206577,0.6089903,2.5926776236579783e-05,0.026608024632865088,0.9166666666666666
SCD,4.190298,0.5433171,2.7858798304025837e-05,0.026746243713690866,0.9305555555555556
MSMO1,4.160024,0.6008443,3.1821376875059906e-05,0.029595869329860403,0.9444444444444444
AHNAK,4.1278353,0.5311878,3.661945181753115e-05,0.033026306817980675,0.9861111111111112
ACSS2,4.096456,0.9114455,4.195227689393901e-05,0.034682879581039244,0.7083333333333334
CD9,4.0679502,0.41392842,4.742854560839647e-05,0.037146536168344624,0.9861111111111112
ADAM15,4.0274005,0.86333126,5.639690844225121e-05,0.04303807151431489,0.75
PMP22,3.9742184,0.5927443,7.061072590320104e-05,0.050036105341215935,0.9166666666666666
MCAM,3.9563193,0.4354946,7.611342996339243e-05,0.052681114013267104,0.9305555555555556
LMO7,3.8947768,0.91526914,9.828918177053122e-05,0.0664836960876034,0.6527777777777778
CAVIN1,3.877209,0.43862182,0.0001056615592813606,0.0698822072740412,0.9722222222222222
KLF2,3.8217435,1.0065128,0.0001325114545417863,0.08343599284255704,0.6388888888888888
S1PR1,3.7789474,0.72746027,0.0001574926548548411,0.09565911007734247,0.8055555555555556
ITGA6,3.7103705,0.5885521,0.0002069560939287254,0.11420956234792655,0.8472222222222222
CDA,3.7093394,1.0991298,0.0002078007770378577,0.11420956234792655,0.5416666666666666
TEK,3.707903,1.303101,0.00020898269719093188,0.11420956234792655,0.4861111111111111
EMP3,3.7058406,0.3598275,0.00021069085919485042,0.11420956234792655,0.9722222222222222
IGFBP6,3.7053986,0.80346704,0.0002110585958314616,0.11420956234792655,0.7222222222222222
MSN,3.637853,0.4377956,0.0002749203650955065,0.14107206734435285,0.875
TPM4,3.6227896,0.32483524,0.0002914429337754226,0.14701567110210387,1.0
ADGRG6,3.591963,0.8080893,0.0003281963331848339,0.16279632113745043,0.6666666666666666
PLEC,3.5762737,0.6119272,0.00034852682096161113,0.1673041168622495,0.8611111111111112
CD109,3.479522,0.6706906,0.0005023090404171,0.20803493815465016,0.7916666666666666
NDRG1,3.4790065,1.2828047,0.0005032765118988916,0.20803493815465016,0.4583333333333333
CLIC1,3.463943,0.405679,0.0005323191250884725,0.21213674443924566,0.9861111111111112
ECE1,3.4628015,0.5059489,0.000534582885321666,0.21213674443924566,0.9027777777777778
CYP51A1,3.439967,0.5920229,0.0005817852151778394,0.2248713191444527,0.9444444444444444
RHOB,3.4257507,1.0675822,0.0006131028502904914,0.22808958787932004,0.5138888888888888
LMNA,3.415733,0.28875503,0.000636105799279099,0.23171983860268952,0.9722222222222222
IDS,3.4147387,0.73191273,0.0006384324563342699,0.23171983860268952,0.7222222222222222
YWHAZ,3.4105768,0.27198833,0.0006482561001703133,0.23245057895504656,1.0
HNRNPUL2,3.3031447,0.9198639,0.0009560705787701604,0.3197142984871631,0.5833333333333334
TGM2,3.2993143,0.3202863,0.0009692130868373647,0.3205079987828183,1.0
ABI3BP,3.2904384,1.1782742,0.0010003139986537227,0.32525755327212397,0.4583333333333333
OGDH,3.289002,0.9617003,0.0010054329312894094,0.32525755327212397,0.5277777777777778
SH3BGRL3,3.2597961,0.20303896,0.001114923355428497,0.35679945058347234,1.0
MTRNR2L8,3.2495942,0.63225174,0.0011556976464963747,0.3659135463300543,0.75
WDR1,3.203594,0.616902,0.0013572373113584994,0.41218466184338426,0.8333333333333334
MYL6,3.1949022,0.1505198,0.0013987824185574425,0.41998292693933564,0.9861111111111112
PPP1R12A,3.1921031,0.77028316,0.001412408964293456,0.41998292693933564,0.6527777777777778
HMGCS1,3.1894882,0.61058867,0.0014252495000629292,0.41998292693933564,0.9027777777777778
GNAI2,3.1545,0.29548198,0.0016077337429504113,0.45570830150181085,0.9861111111111112
CALM2,3.148865,0.1828013,0.0016390585822290288,0.4602043540028335,1.0
IFITM3,3.0667717,0.21191101,0.002163840701411844,0.5649142715387658,0.9861111111111112
CAPN2,3.0618365,0.46307504,0.0021998357564777435,0.5664266928984861,0.7777777777777778
EFHD2,3.0607684,0.6188052,0.002207697613608776,0.5664266928984861,0.7638888888888888
HYAL2,3.0369766,0.5954044,0.0023896411824808656,0.6078675288290215,0.8472222222222222
LIMS2,3.0311942,1.2538884,0.0024358852591546366,0.6143798057877992,0.4166666666666667
UHMK1,3.02799,0.7287205,0.0024618622321183814,0.6157138130445988,0.5972222222222222
PDLIM4,3.0157256,0.5121978,0.002563650412811414,0.6350175557391522,0.8194444444444444
PTPA,3.0128899,0.9417826,0.002587728338204226,0.6350175557391522,0.4861111111111111
PRSS3,3.0086176,0.5269041,0.002624392156303868,0.6350175557391522,0.9166666666666666
SORBS2,2.9899817,0.8800928,0.002789940971836654,0.6696308322887298,0.5555555555555556
ACSL3,2.9785278,0.43201327,0.002896368146594977,0.6787536124327536,0.9027777777777778
UGP2,2.9696887,0.76683456,0.0029810175266619192,0.6931331533477503,0.6111111111111112
KRT19,2.9372785,0.37784922,0.003311066283891758,0.7492094650482183,0.9722222222222222
CYSTM1,2.9361737,0.53487444,0.003322883186155662,0.7492094650482183,0.8055555555555556
KLF6,2.9306123,0.70739156,0.0033829468809051582,0.7570170305977392,0.6944444444444444
CCBE1,2.915733,0.6520242,0.003548539085842758,0.788146419946658,0.6805555555555556
TUBA1C,2.9115713,0.57841027,0.0035961575977931912,0.7928062401890441,0.8333333333333334
ITGA3,2.90671,0.63990617,0.003652518337145737,0.7934762828476746,0.6944444444444444
CORO1C,2.9024377,0.7069411,0.0037027092832165906,0.7985509687470448,0.6111111111111112
KPNA4,2.8948507,0.5488874,0.0037933893944484243,0.8031469390379198,0.7638888888888888
TPPP3,2.893893,0.6416428,0.003804976762460409,0.8031469390379198,0.6805555555555556
DNASE1L1,2.8765094,0.82937866,0.004021001080325018,0.8276457465675312,0.5277777777777778
RHOC,2.8765094,0.3376852,0.004021001080325018,0.8276457465675312,0.9027777777777778
MSRB3,2.8756256,0.6229337,0.004032277173990055,0.8276457465675312,0.6388888888888888
POLM,2.846972,1.2288315,0.004413723411920249,0.8936138516025202,0.3611111111111111
NOP14,2.842258,0.7716799,0.004479524257657694,0.9008081145703263,0.5277777777777778
TUBA1A,2.8284836,0.43507588,0.004676910201507576,0.9279613427817898,0.9027777777777778
SEPHS1,2.823659,1.0362111,0.004747888761140887,0.935805730523676,0.4166666666666667
EHD2,2.7981727,0.4929163,0.0051392620953670835,0.9997040423680728,0.8055555555555556
RNASE1,2.7631845,0.8026114,0.005724039663311672,1.0,0.5138888888888888
