names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CD55,3.9815931,0.6452461,6.845492021939497e-05,1.0,1.0
UBXN1,3.6274245,0.80311185,0.0002862623565247399,1.0,0.9333333333333333
SLC39A10,3.3325176,0.88025326,0.0008606399397606625,1.0,0.7333333333333333
TOX4,3.1360998,1.0206503,0.0017121085926965404,1.0,0.6
ILF2,3.010385,0.7713043,0.0026091667255670878,1.0,0.7777777777777778
CST3,2.828631,0.26479766,0.00467475785377107,1.0,1.0
RPL11,2.81789,0.12934399,0.00483403623329148,1.0,1.0
KIAA0355,2.7645593,0.9473596,0.005699974706299517,1.0,0.5555555555555556
ATP5PD,2.749709,0.45500708,0.005964823315812069,1.0,0.9111111111111111
EWSR1,2.7420502,0.856699,0.006105701524194356,1.0,0.6444444444444445
PIGT,2.7278068,0.6292803,0.006375692920105821,1.0,0.7777777777777778
ZMYND8,2.7200081,0.5882306,0.0065280328971877525,1.0,0.8222222222222222
DPM3,2.6906807,0.6555111,0.007130638478494933,1.0,0.7777777777777778
RNF2,2.6703665,1.188634,0.007576848302987297,1.0,0.4222222222222222
EEF1B2,2.6656032,0.2224923,0.007685033813899947,1.0,1.0
KMT5A,2.6098907,0.92428195,0.009057113050768251,1.0,0.5111111111111111
TMEM14B,2.6035864,0.5870209,0.009225401903457452,1.0,0.8
AKR1B1,2.5968616,0.58006316,0.009407980766240383,1.0,0.7333333333333333
GLG1,2.570243,0.59567994,0.010162720603100186,1.0,0.8888888888888888
TPT1,2.5446517,0.12249248,0.010938678707590053,1.0,1.0
ADSL,2.5426435,0.82593346,0.011001737647098723,1.0,0.5777777777777777
MRPL33,2.5289607,0.51806235,0.011440083927388935,1.0,0.9333333333333333
CTSD,2.5162585,0.70407844,0.011860817217041757,1.0,0.6888888888888889
CHMP5,2.5158849,0.5281861,0.011873396783800899,1.0,0.8
RPS19,2.5115418,0.1016901,0.01202050475809163,1.0,1.0
AZI2,2.4980924,1.0925616,0.01248636534518487,1.0,0.4444444444444444
PON2,2.4967382,0.6655909,0.012534149558951813,1.0,0.7111111111111111
SPOP,2.4894996,0.78265566,0.012792303514916017,1.0,0.6222222222222222
SIL1,2.4768908,0.6795999,0.013253243273321315,1.0,0.6888888888888889
CUL5,2.4741356,0.71918666,0.013355900627081007,1.0,0.6444444444444445
NID2,2.470633,1.7580111,0.01348741144107443,1.0,0.3111111111111111
RAB13,2.4600322,0.47367647,0.013892449723122296,1.0,0.9777777777777777
TWSG1,2.4546618,0.82071406,0.014101714694881879,1.0,0.5555555555555556
GPX4,2.449385,0.2937352,0.014310044994741283,1.0,1.0
IFITM2,2.4225793,0.27169627,0.015410757670833062,1.0,1.0
