names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFB4,3.160636,0.34414542,0.0015742505971311452,1.0,0.9156626506024096
ROMO1,3.1603277,0.31061748,0.0015759181259112666,1.0,0.963855421686747
PTPN11,2.7715492,0.5512615,0.005579022448598211,1.0,0.6746987951807228
TOMM22,2.6856377,0.44107106,0.007239154403670896,1.0,0.7590361445783133
PLAUR,2.6258044,0.631231,0.008644444334947337,1.0,0.5662650602409639
DIMT1,2.61734,0.7258332,0.008861798039602973,1.0,0.46987951807228917
MZT2A,2.4897234,0.40475887,0.012784249519893915,1.0,0.7590361445783133
JPT1,2.4531589,0.2626133,0.014160779227707612,1.0,0.9518072289156626
ANAPC5,2.4278,0.44683474,0.01519071732293284,1.0,0.6987951807228916
MICOS13,2.389282,0.2473126,0.016881339386776436,1.0,0.891566265060241
XRN2,2.3845873,0.30451027,0.01709829608691234,1.0,0.8674698795180723
DUSP23,2.3818114,0.7782367,0.01722771727681464,1.0,0.40963855421686746
COX6A1,2.375129,0.20843934,0.017542816898547184,1.0,0.9397590361445783
TMEM258,2.3591256,0.25634855,0.01831805756154987,1.0,0.9156626506024096
WWC2,2.341854,0.6614101,0.019188213299084163,1.0,0.43373493975903615
NASP,2.34134,0.40575132,0.01921465527306977,1.0,0.7349397590361446
CPNE3,2.3343494,0.37089002,0.01957744054735006,1.0,0.8433734939759037
CAMKK2,2.3239317,0.8313663,0.020129160757145565,1.0,0.3493975903614458
CAPZB,2.3191683,0.29593298,0.02038591567267248,1.0,0.8192771084337349
SNRPD2,2.316187,0.17462026,0.02054806797542001,1.0,0.9518072289156626
SEH1L,2.3152273,0.8924304,0.02060049362147848,1.0,0.3373493975903614
DAD1,2.3032675,0.26256344,0.02126379321127653,1.0,0.891566265060241
CLU,2.302034,0.37833202,0.02133326077504542,1.0,0.8192771084337349
MRPL2,2.2777374,0.8082152,0.022742228620457952,1.0,0.39759036144578314
TIMM10,2.2750301,0.459147,0.022904120467365317,1.0,0.6626506024096386
LAMTOR1,2.2679024,0.38044205,0.02333516370911167,1.0,0.7349397590361446
TMEM147,2.2650921,0.36125863,0.02350701965784609,1.0,0.8192771084337349
PSMB1,2.2647839,0.29651847,0.02352594862436657,1.0,0.8674698795180723
DCP2,2.2646124,0.9281171,0.02353647043156255,1.0,0.3614457831325301
PSMA7,2.2555997,0.18654178,0.02409570497396183,1.0,0.9879518072289156
RIT1,2.2413783,0.8883494,0.025001580669260847,1.0,0.3614457831325301
YTHDF3,2.2179384,0.65179586,0.026559024888518367,1.0,0.42168674698795183
CST3,2.2132437,0.12852156,0.026880848450480978,1.0,0.9879518072289156
TFPI,2.2083776,0.23976555,0.027217965432599904,1.0,0.9156626506024096
UXT,2.2019007,0.29975432,0.027672318843143064,1.0,0.8072289156626506
RPL7L1,2.177193,0.4488556,0.029466167615514672,1.0,0.6746987951807228
TXN,2.1742802,0.2013079,0.029684098633627528,1.0,1.0
HMGXB3,2.1638625,0.6740243,0.030474902594867778,1.0,0.42168674698795183
MRPS15,2.1571116,0.32392105,0.030996971442522836,1.0,0.7710843373493976
PARL,2.1398401,0.71403307,0.03236768653508967,1.0,0.39759036144578314
PSMG3,2.1281202,0.71094805,0.03332711352781333,1.0,0.3855421686746988
ADAM15,2.1216776,0.33517203,0.033864808302420966,1.0,0.6746987951807228
AAMDC,2.1179767,0.36977416,0.034177038389899855,1.0,0.7349397590361446
ARHGAP18,2.0944,0.35807508,0.03622437448122644,1.0,0.6987951807228916
CANT1,2.091213,0.7852622,0.03650898526716844,1.0,0.3493975903614458
SLC25A5,2.074798,0.2025045,0.038005243843032735,1.0,0.9397590361445783
ARPC1B,2.0678759,0.22970337,0.03865169434213013,1.0,0.9879518072289156
SNRPE,2.064826,0.2613782,0.03893946834243415,1.0,0.891566265060241
TLE1,2.0406666,0.5985976,0.04128398197902369,1.0,0.4939759036144578
C12orf57,2.039296,0.2656452,0.041420513978333705,1.0,0.9156626506024096
BLOC1S6,2.0280557,0.4558697,0.04255456619330503,1.0,0.5421686746987951
TMEM205,2.0275073,0.55512387,0.04261055102133611,1.0,0.5421686746987951
EIF2S2,2.0160615,0.17739668,0.04379353163827808,1.0,1.0
UBA6,2.0148623,0.51374716,0.043919086872225635,1.0,0.46987951807228917
MRPS18C,2.006946,0.41327524,0.044755396358514325,1.0,0.5903614457831325
PPIB,1.9978992,0.112458676,0.04572758705315945,1.0,0.963855421686747
HSPB1,1.9900174,0.17844918,0.04658901639694491,1.0,0.9759036144578314
MRPL4,1.9891264,0.48637956,0.046687249113863204,1.0,0.5542168674698795
JUN,1.9885097,0.40923968,0.046755358441364775,1.0,0.6626506024096386
DAP,1.9829237,0.45207596,0.0473759415535812,1.0,0.6385542168674698
DOCK4,1.9782633,0.41351676,0.047899015626243276,1.0,0.5783132530120482
RAN,1.9725062,0.18846525,0.048551858561896734,1.0,0.9518072289156626
ANKRD9,1.9704157,0.705523,0.048790744507754016,1.0,0.3614457831325301
TRAPPC2L,1.9689422,0.4483988,0.04895973183261723,1.0,0.5421686746987951
ATP5MG,1.9589357,0.13837901,0.050120315771696705,1.0,0.9518072289156626
SPART,1.9511567,0.39048165,0.05103840556152976,1.0,0.6265060240963856
MSH3,1.9498545,0.7221895,0.05119346231468555,1.0,0.3493975903614458
UBE2K,1.9486208,0.35835236,0.05134072180650714,1.0,0.6746987951807228
ATAD1,1.9462906,0.687519,0.05161984616214468,1.0,0.40963855421686746
CDC123,1.9443372,0.4156952,0.05185479541120394,1.0,0.5903614457831325
