names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MAP1LC3B,3.3642566,0.63905203,0.0007675017178463448,1.0,0.7066666666666667
CD2BP2,3.1104267,1.1385279,0.0018681731859711817,1.0,0.41333333333333333
ATP5F1E,2.9819603,0.15983024,0.0028640906135189515,1.0,1.0
VGLL4,2.9360359,0.9403967,0.003324359752976581,1.0,0.4533333333333333
MRPL34,2.707459,0.57259446,0.006780044844835062,1.0,0.6533333333333333
COLEC12,2.6802578,0.5138901,0.007356548696596344,1.0,0.8133333333333334
TADA3,2.613337,0.8721646,0.008966284148249222,1.0,0.44
RPS6KA3,2.5739422,0.5259455,0.010054708700021868,1.0,0.6266666666666667
S100A16,2.55392,0.232039,0.010651772015001847,1.0,0.9866666666666667
RPL22,2.5302904,0.12741923,0.01139681819569748,1.0,1.0
ECSCR,2.4947195,0.3120999,0.012605673536605362,1.0,1.0
CDKN1A,2.487829,0.38889775,0.01285255128671757,1.0,0.92
P3H4,2.479748,0.5265653,0.013147526311774974,1.0,0.6133333333333333
TGFB1I1,2.4791348,0.4311853,0.013170155304254092,1.0,0.72
NT5DC2,2.4485064,0.53234345,0.014344992505959168,1.0,0.6133333333333333
C18orf32,2.3645217,0.43069175,0.018053372915797568,1.0,0.7466666666666667
DDB2,2.356621,0.63584757,0.018442057577083202,1.0,0.5066666666666667
WDR18,2.341433,0.73454046,0.019209870011992536,1.0,0.44
IFITM3,2.3410363,0.2134379,0.01923030071257081,1.0,1.0
SQSTM1,2.3184888,0.334405,0.02042277061281964,1.0,0.8533333333333334
SELENOM,2.253372,0.42477465,0.024235713753650887,1.0,0.6933333333333334
COMMD2,2.2379675,0.72863406,0.025223178873320408,1.0,0.44
MDK,2.2313294,0.33029577,0.025659312848354446,1.0,0.9866666666666667
C12orf65,2.2286959,0.77546185,0.0258341430989689,1.0,0.38666666666666666
TMEM256,2.1752675,0.26927543,0.029610072842825665,1.0,0.8666666666666667
TRIAP1,2.1440618,0.51750726,0.032027926574399436,1.0,0.5333333333333333
ABCF2,2.143701,0.69487894,0.03205683995105067,1.0,0.41333333333333333
MGP,2.1420417,0.55458844,0.03219012980657297,1.0,0.5733333333333334
RPS27,2.1384702,0.11175067,0.03247860448989999,1.0,1.0
ARF6,2.1381814,0.44911078,0.03250201198066806,1.0,0.64
PLEKHB2,2.137027,0.6112447,0.03259578650429006,1.0,0.48
MDM2,2.1289823,0.3899446,0.03325573392472253,1.0,0.72
MED4,2.1261322,0.5370139,0.03349225385699993,1.0,0.52
TMX4,2.1219473,0.49832514,0.033842155982113244,1.0,0.56
TACC1,2.0975962,0.2251713,0.03594083358452689,1.0,0.9066666666666666
