names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AHSA1,3.22831,0.60208905,0.001245239196003965,1.0,0.5916666666666667
YBX3,3.1388874,0.18313204,0.001695906654186104,1.0,0.9833333333333333
PLIN3,3.1246557,0.62873954,0.0017801324086462603,1.0,0.5416666666666666
TMEM161B-AS1,3.0990617,0.7435394,0.0019413454167461603,1.0,0.44166666666666665
RAC2,3.02691,0.44027388,0.0024706753270017203,1.0,0.7833333333333333
TKT,3.0008614,0.22619571,0.002692170147276595,1.0,1.0
JUND,2.9128873,0.33097905,0.0035810369899346786,1.0,0.9333333333333333
GRSF1,2.873204,0.52608734,0.0040633175525423264,1.0,0.575
RPS3A,2.8709598,0.09894732,0.004092275335776969,1.0,1.0
TMEM14B,2.8515584,0.3906988,0.00435054972206816,1.0,0.75
PTP4A2,2.8388608,0.3792679,0.004527490350436317,1.0,0.825
BRI3,2.8310776,0.2307557,0.004639148015098622,1.0,0.9583333333333334
CHMP2A,2.7427626,0.31024462,0.006092472287281376,1.0,0.8333333333333334
ZNF330,2.7420807,0.6296227,0.006105132097185252,1.0,0.45
BCAT1,2.733218,0.47342193,0.006271879316534293,1.0,0.6416666666666667
EMD,2.7329624,0.4772983,0.006276749590803675,1.0,0.625
GBP3,2.7075388,0.9707884,0.0067784138599155845,1.0,0.325
IMPA1,2.6573734,0.5516477,0.00787521496786992,1.0,0.49166666666666664
ARHGDIA,2.5955048,0.33707908,0.009445210849833996,1.0,0.7583333333333333
HES2,2.5890281,0.44363016,0.009624724249634724,1.0,0.5916666666666667
TPGS2,2.5517876,0.40485623,0.01071718505742211,1.0,0.6333333333333333
CARM1,2.5421295,0.640256,0.011017936746081642,1.0,0.4666666666666667
BAG2,2.5025597,0.4442644,0.012329887803661304,1.0,0.5916666666666667
PSMC1,2.4707446,0.3901911,0.01348320784700473,1.0,0.6666666666666666
NAPRT,2.449525,0.640633,0.014304472124867492,1.0,0.425
PDAP1,2.437907,0.29591933,0.014772573912937884,1.0,0.825
EIF4E2,2.4324245,0.35866326,0.014998113770955411,1.0,0.7
COQ4,2.421886,0.42882863,0.015440197887799413,1.0,0.5333333333333333
RPS27A,2.4183352,0.06728203,0.015591710009838087,1.0,1.0
BID,2.410836,0.43315265,0.015916008915647827,1.0,0.6416666666666667
MT1E,2.400922,0.6004946,0.016353817350137804,1.0,0.4
PUF60,2.3996723,0.4347255,0.01640975812135845,1.0,0.6583333333333333
ADH5,2.3761802,0.38879564,0.017492913473126228,1.0,0.6416666666666667
EEF1B2,2.3679993,0.145746,0.01788456996935986,1.0,1.0
YIPF2,2.3553586,0.6813314,0.018504841846804655,1.0,0.3416666666666667
