names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COLEC12,3.7194672,0.5302558,0.00019964350920591314,1.0,0.7876106194690266
FAM155A,2.8882747,1.2501359,0.0038736149934565623,1.0,0.3008849557522124
PPT1,2.8790479,0.5923667,0.003988776839074586,1.0,0.584070796460177
PURA,2.814637,0.5481295,0.004883237369097086,1.0,0.584070796460177
INTS6,2.7936058,0.72946167,0.0052123956513415335,1.0,0.4424778761061947
PVT1,2.7786381,0.4077274,0.005458729027079924,1.0,0.6991150442477876
BTG1,2.6476192,0.589971,0.008106076384418926,1.0,0.5221238938053098
LAMB1,2.555118,0.3283531,0.010615178256277943,1.0,0.7964601769911505
RFK,2.554591,0.44768086,0.010631268647973311,1.0,0.6371681415929203
RPL27A,2.533472,0.07829342,0.011293876970442212,1.0,1.0
PLAC9,2.4878657,0.46733132,0.012851221918226609,1.0,0.5486725663716814
FYTTD1,2.4868991,0.47048998,0.012886190957035134,1.0,0.5929203539823009
CASP4,2.4626756,0.5272039,0.013790467240730433,1.0,0.5221238938053098
EEF2,2.4587798,0.16540413,0.013941010915067832,1.0,0.9911504424778761
UBXN1,2.4434898,0.35985833,0.014545979539585753,1.0,0.7876106194690266
BLOC1S2,2.3859622,0.4919749,0.017034502711585815,1.0,0.5221238938053098
GPATCH2L,2.3709066,0.5915416,0.01774451574629252,1.0,0.4424778761061947
CHMP4B,2.35506,0.45125324,0.018519709672744133,1.0,0.5752212389380531
EFHC1,2.3525996,0.822772,0.018642693333582355,1.0,0.3185840707964602
USP13,2.3493776,0.9124068,0.018804823519779627,1.0,0.2831858407079646
RPS29,2.3439589,0.097324885,0.019080279159822803,1.0,1.0
SMARCA1,2.3397117,0.3994098,0.019298636348343428,1.0,0.6548672566371682
CDV3,2.3224006,0.2830555,0.020211376539958487,1.0,0.911504424778761
SF1,2.316513,0.4372849,0.020530271696995606,1.0,0.6460176991150443
CHP1,2.314785,0.40646145,0.020624706908521355,1.0,0.584070796460177
RPS6,2.3098054,0.06775846,0.02089892935065301,1.0,1.0
ORAI2,2.3022482,0.49061757,0.021321172371293728,1.0,0.5575221238938053
RPL6,2.2924943,0.088165104,0.0218771305056594,1.0,1.0
SDCCAG8,2.2715514,0.39851582,0.02311362599343471,1.0,0.6371681415929203
TGM2,2.2521312,0.13648063,0.02431397515505162,1.0,0.9911504424778761
EHD4,2.226736,0.3026537,0.02596492569559808,1.0,0.7345132743362832
POLR1C,2.2237775,1.1715459,0.026163413817692906,1.0,0.23893805309734514
TUG1,2.2219322,0.4938845,0.02628788627618081,1.0,0.4690265486725664
KIF3A,2.2177436,0.6546254,0.02657231948157859,1.0,0.3893805309734513
SUCLG2,2.2168355,0.4694784,0.026634329248316196,1.0,0.49557522123893805
MARCH6,2.21253,0.4269187,0.02693007999556352,1.0,0.5221238938053098
RAB11B,2.2081654,0.55019766,0.027232743681164573,1.0,0.4424778761061947
UCP2,2.1727233,0.6088416,0.029801153779269562,1.0,0.37168141592920356
ITGB1,2.1709366,0.11431223,0.02993597411085952,1.0,1.0
MPHOSPH8,2.1662793,0.4678337,0.0302898579379133,1.0,0.5221238938053098
VPS36,2.157492,0.40322444,0.03096735882951471,1.0,0.5575221238938053
IGBP1,2.1383355,0.3979525,0.032489520999141056,1.0,0.5221238938053098
AGPAT5,2.1286695,0.40367204,0.03328161584787623,1.0,0.5752212389380531
FAM107A,2.1119442,0.379014,0.03469122880803545,1.0,0.5663716814159292
CLEC11A,2.0813644,0.30209678,0.03740056377138224,1.0,0.7610619469026548
ESD,2.069853,0.27847782,0.03846611042239956,1.0,0.7699115044247787
MRPL16,2.0663087,0.4141861,0.03879933079739375,1.0,0.48672566371681414
RPL38,2.0600698,0.050470974,0.03939186791770713,1.0,1.0
ATF7IP,2.0557055,0.50587827,0.03981091750838239,1.0,0.4247787610619469
OTUD6B-AS1,2.055647,0.38792723,0.03981656796352317,1.0,0.6194690265486725
DCTN1,2.0554712,0.37969765,0.039833523412149636,1.0,0.5398230088495575
PMF1,2.041587,0.53665495,0.04119250155304897,1.0,0.39823008849557523
SLFN5,2.0379257,0.42294604,0.04155735780096179,1.0,0.5486725663716814
ERGIC1,2.0315404,0.40236118,0.042200214772573075,1.0,0.5575221238938053
RPL32,2.0313354,0.07415678,0.04222099561512478,1.0,1.0
RSRP1,2.0291092,0.52625406,0.042447173998767095,1.0,0.46017699115044247
FKBP5,2.0269709,0.3750346,0.04266538838079151,1.0,0.5132743362831859
GGCT,2.024979,0.30321366,0.04286950918143226,1.0,0.6460176991150443
CCDC6,2.0226066,0.43910852,0.04311372987804036,1.0,0.4424778761061947
TSPAN31,2.0197067,0.6229805,0.04341381764857792,1.0,0.336283185840708
RPS2,2.0153422,0.05399,0.043868790269178004,1.0,1.0
CDC42EP2,2.0026593,0.5895802,0.04521386791970987,1.0,0.37168141592920356
