names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NOP53,3.2880561,0.5982325,0.0010088175334673386,1.0,0.775
CHIC2,3.065894,0.6467047,0.0021702032932477454,1.0,0.6375
RER1,2.9652348,0.49776,0.0030245196975253086,1.0,0.7625
PROCR,2.9228485,0.31294063,0.0034684535861204888,1.0,0.9625
RHOJ,2.8479912,0.7167202,0.004399612848211301,1.0,0.6125
ZFYVE21,2.799355,0.60290956,0.005120478794400685,1.0,0.6375
PPP1R14B,2.7000926,0.29495537,0.00693201657759833,1.0,0.9625
MTPN,2.6861966,0.30461603,0.007227054708385738,1.0,0.95
EGFL7,2.6623847,0.29220113,0.007758912374834652,1.0,0.975
DYNC2LI1,2.649187,1.1933616,0.008068566209711863,1.0,0.325
C19orf33,2.6218488,0.44468567,0.00874542098868483,1.0,0.8125
CASP4,2.5930443,0.58111453,0.009513053751204134,1.0,0.5625
TGFB1,2.592276,0.4998443,0.009534322005536815,1.0,0.7
MAGED2,2.5761454,0.63763165,0.009990859129380303,1.0,0.5375
MRPS10,2.5724795,0.52085,0.010097294442841914,1.0,0.6
MORF4L1,2.5691974,0.20492746,0.010193434722471074,1.0,0.95
MARCH3,2.5582693,0.5089073,0.010519462608196658,1.0,0.7125
FAM107A,2.549715,0.542716,0.010781098401514188,1.0,0.625
ATAD1,2.549715,0.76695174,0.010781098401514188,1.0,0.4875
DPY19L4,2.541126,0.74101466,0.011049606671910859,1.0,0.4625
FYTTD1,2.49455,0.49531236,0.012611699919683127,1.0,0.6375
TSPAN3,2.4870782,0.39983186,0.012879710704427626,1.0,0.85
ZC3H13,2.4855769,0.4496612,0.012934167343390859,1.0,0.775
CLCN3,2.45974,0.35340738,0.013903772591194146,1.0,0.8625
WDR11,2.4450758,0.68316954,0.014482171521918696,1.0,0.5
ECE1,2.4324017,0.36608344,0.01499906091927731,1.0,0.875
ARF1,2.4149792,0.3516541,0.01573610389005388,1.0,0.875
LDLR,2.387222,0.41230187,0.01697623090006179,1.0,0.75
MAPK1IP1L,2.3814962,0.6701315,0.01724247270601224,1.0,0.475
DOCK4,2.3784237,0.58764476,0.017386838523726907,1.0,0.6
CAPN1,2.3752115,0.74605906,0.01753889865896842,1.0,0.4125
CREBRF,2.3635151,0.95497113,0.018102491467843308,1.0,0.3625
TMF1,2.3548212,0.5786284,0.01853161565787996,1.0,0.5625
VAMP5,2.3436835,0.19054478,0.019094366717219726,1.0,0.9625
EMP1,2.3276925,0.40220377,0.01992843365369296,1.0,0.7625
CDYL,2.3263657,0.48799115,0.019999043553402887,1.0,0.625
MEIS2,2.3188243,0.59756404,0.020404568055981964,1.0,0.5375
SH3GL1,2.3147392,0.6058272,0.020627207691985974,1.0,0.475
SLC25A24,2.3145297,0.5644217,0.020638681987950522,1.0,0.5375
BAG2,2.3121905,0.5664116,0.020767190155219432,1.0,0.6
