names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NASP,3.1595738,0.5108989,0.0015800011561032962,1.0,0.7228915662650602
PRMT2,3.1144075,0.5214337,0.001843146806794553,1.0,0.7831325301204819
OSBPL8,3.0115674,0.58657014,0.0025990283631094962,1.0,0.7108433734939759
KHSRP,2.8804896,0.7757924,0.003970582069029515,1.0,0.4939759036144578
BAG1,2.8782964,0.7622538,0.003998294297875674,1.0,0.5060240963855421
CAPN1,2.8456383,0.9163435,0.004432252006051587,1.0,0.43373493975903615
CHRAC1,2.813974,0.70716757,0.004893319529383705,1.0,0.5301204819277109
RTF2,2.7630165,0.4839954,0.005726989090251828,1.0,0.7831325301204819
TULP4,2.7052393,0.9047681,0.006825518633806358,1.0,0.42168674698795183
WBP11,2.582489,0.65645164,0.00980905176064533,1.0,0.5180722891566265
SARS,2.5231013,0.33758375,0.011632490262447247,1.0,0.8554216867469879
NKAP,2.4956179,0.6630802,0.012573801336724312,1.0,0.5180722891566265
BST2,2.4315352,0.29412317,0.015034983357222611,1.0,0.9759036144578314
SLC27A5,2.3885624,0.66542155,0.01691443791726953,1.0,0.4819277108433735
CLTB,2.3835933,0.37161037,0.017144533704259925,1.0,0.7469879518072289
NUFIP2,2.3773909,0.43848673,0.017435606727800246,1.0,0.6385542168674698
ZNF160,2.3695433,1.331109,0.017810073110715325,1.0,0.26506024096385544
RDX,2.3610446,0.34874108,0.01822353934781535,1.0,0.8313253012048193
DDX3X,2.3513122,0.34070247,0.018707326341579227,1.0,0.7710843373493976
PDLIM3,2.347954,0.35822725,0.018876855110325313,1.0,0.8072289156626506
NUDCD1,2.3262618,0.5518275,0.020004585223673935,1.0,0.5662650602409639
MBD2,2.3228006,0.5624504,0.02018986014197506,1.0,0.5421686746987951
SPATS2,2.3064547,0.40060395,0.021085246549174645,1.0,0.8072289156626506
AP2A2,2.2844884,0.50600916,0.02234284807956687,1.0,0.5542168674698795
CD55,2.2827063,0.2743973,0.022447671455274685,1.0,0.963855421686747
TPM3,2.2810614,0.20901749,0.022544810687567238,1.0,1.0
CHURC1,2.2805817,0.34453297,0.022573211699244287,1.0,0.8795180722891566
THRAP3,2.2651951,0.39953202,0.023500712940279455,1.0,0.7469879518072289
CEMIP2,2.2583756,0.7130196,0.023922254056692505,1.0,0.42168674698795183
RNF145,2.253955,0.5047517,0.024199004409405703,1.0,0.5542168674698795
NCOA7,2.246176,0.46877843,0.024692741903730858,1.0,0.5783132530120482
RNH1,2.229076,0.36796048,0.02580885897659188,1.0,0.8072289156626506
PEX1,2.2223935,1.3998114,0.026256727843374093,1.0,0.25301204819277107
DDX46,2.2202003,0.42052227,0.02640517736038377,1.0,0.6626506024096386
WARS,2.219926,0.41576618,0.02642378444167496,1.0,0.6506024096385542
CCDC80,2.1932309,0.3948141,0.028290755474224827,1.0,0.7349397590361446
ATP1B1,2.1865141,0.6052222,0.028778012632947794,1.0,0.43373493975903615
SSR3,2.175891,0.30471832,0.029563424906684628,1.0,0.9879518072289156
RPS24,2.1619778,0.07447281,0.030619892325292827,1.0,1.0
RAC2,2.1611211,0.40039662,0.030685992342114256,1.0,0.7349397590361446
APPL1,2.1610181,0.46529686,0.030693932572320354,1.0,0.6746987951807228
PREX1,2.1516972,0.52480775,0.03142121653633972,1.0,0.4819277108433735
AGPAT1,2.1492298,0.725937,0.03161618960190799,1.0,0.39759036144578314
PSMB8,2.1486814,0.36606762,0.03165965758010181,1.0,0.7108433734939759
MT-ND6,2.125653,0.34073102,0.03353216984209955,1.0,0.8674698795180723
TOMM40,2.1181824,0.57351696,0.0341596279515347,1.0,0.43373493975903615
CKAP2,2.115578,0.71389973,0.03438072118770976,1.0,0.42168674698795183
CPNE2,2.1077304,0.78408194,0.0350543169424332,1.0,0.3614457831325301
PLEKHB2,2.1067708,0.60533243,0.03513744588727524,1.0,0.4578313253012048
RAB5C,2.1067367,0.36841267,0.0351404178877118,1.0,0.7108433734939759
CCPG1,2.0953593,0.35219285,0.036139056500398795,1.0,0.7108433734939759
DANCR,2.0939543,0.45913702,0.03626404472566182,1.0,0.5903614457831325
EGLN1,2.0932348,0.97097284,0.0363282056488318,1.0,0.30120481927710846
STIM1,2.086758,1.195557,0.036910020032773716,1.0,0.25301204819277107
GALNT10,2.0756207,0.69352186,0.037929052502218126,1.0,0.37349397590361444
NANS,2.0722623,0.5052532,0.03824098704464758,1.0,0.5301204819277109
CBR1,2.07096,0.41228572,0.0383625267326096,1.0,0.6506024096385542
TJP1,2.066745,0.35096833,0.03875818554474637,1.0,0.6626506024096386
COX7B,2.058829,0.2797337,0.039510626126435924,1.0,0.9879518072289156
APP,2.0507073,0.19002013,0.04029546143583325,1.0,0.9879518072289156
ATP5MD,2.0487883,0.22220565,0.04048282673182792,1.0,1.0
ING3,2.048377,1.3032528,0.040523072393422954,1.0,0.2289156626506024
PSMB7,2.0389187,0.34481022,0.0414581272464464,1.0,0.7108433734939759
ARHGAP10,2.0381649,0.87437576,0.041533440559531315,1.0,0.30120481927710846
XIAP,2.0336072,0.5500738,0.04199121506808788,1.0,0.4939759036144578
FBXO11,2.0261366,0.7018903,0.0427507856453741,1.0,0.3614457831325301
EDEM2,2.0175009,0.5511535,0.04364326557900438,1.0,0.43373493975903615
METAP2,1.9854939,0.31464708,0.04708954213460071,1.0,0.927710843373494
PERP,1.9816216,0.2829485,0.04752160878229836,1.0,0.7469879518072289
PDGFA,1.9706213,0.4160208,0.04876720385695683,1.0,0.5903614457831325
A1BG,1.9618485,0.32556304,0.04978011888749269,1.0,0.7228915662650602
IREB2,1.9488608,0.63102233,0.05131206027764062,1.0,0.39759036144578314
TPP1,1.9465647,0.4301325,0.05158694222931285,1.0,0.5783132530120482
PPP2CA,1.9464961,0.4071044,0.05159516656651751,1.0,0.5783132530120482
TMEM14C,1.9427266,0.31751928,0.0520491978871606,1.0,0.7831325301204819
FBXL5,1.9399852,0.37858978,0.052381497532113595,1.0,0.5903614457831325
CLIC4,1.9362841,0.2815593,0.052832914216039965,1.0,0.8313253012048193
RPL18,1.9360442,0.06092778,0.05286228455351161,1.0,1.0
CAPRIN1,1.9299786,0.2925103,0.05360948106719538,1.0,0.7349397590361446
NDUFB1,1.9287792,0.3002392,0.05375827131026699,1.0,0.9156626506024096
SRRM2,1.9250097,0.27955958,0.05422814396696308,1.0,0.927710843373494
UBE2T,1.9186699,0.82667977,0.0550261108108021,1.0,0.3253012048192771
HLA-C,1.9177448,0.16164537,0.05514338540266958,1.0,0.9397590361445783
COMMD2,1.9167509,0.49249762,0.05526957899908381,1.0,0.4578313253012048
PTPRA,1.911782,0.25507882,0.05590416279471868,1.0,0.8554216867469879
HNRNPR,1.9078069,0.31083596,0.05641618885291615,1.0,0.7831325301204819
TAF9,1.9064018,0.5261532,0.05659809479898161,1.0,0.5060240963855421
LARS,1.8996508,0.2633331,0.05747895154179668,1.0,0.8313253012048193
CD46,1.8973206,0.31552386,0.0577856377708573,1.0,0.8674698795180723
PLAUR,1.8919747,0.45712587,0.05849435397305127,1.0,0.5301204819277109
STX16,1.8845384,0.29691395,0.059492188864057376,1.0,0.7710843373493976
RFC1,1.8837844,0.39889237,0.05959413568391187,1.0,0.5542168674698795
PPP1R8,1.8697343,1.1085968,0.06152072386332271,1.0,0.24096385542168675
SLC2A4RG,1.869186,0.39453536,0.061596941207140855,1.0,0.5783132530120482
SLC25A4,1.868672,0.5824456,0.06166846594481628,1.0,0.39759036144578314
HERC4,1.863189,0.42588398,0.06243568286286448,1.0,0.5783132530120482
CSNK1D,1.8565408,0.43658835,0.0633765057036237,1.0,0.4939759036144578
RCC1,1.856301,1.218769,0.0634106707051739,1.0,0.21686746987951808
FRYL,1.8551358,0.61956686,0.06357683153700999,1.0,0.37349397590361444
C16orf87,1.8518803,0.7527206,0.06404301199074942,1.0,0.3253012048192771
TAF12,1.8483163,0.57559496,0.06455658960827276,1.0,0.4457831325301205
DLG1,1.8374532,0.33336157,0.06614302093633383,1.0,0.6746987951807228
EEF1A1,1.8316275,0.05069289,0.06700693521939201,1.0,1.0
PNKP,1.8296742,0.5405475,0.06729867180438366,1.0,0.42168674698795183
PTBP1,1.8237114,0.4376602,0.06819570812661725,1.0,0.5060240963855421
TNIK,1.8206958,0.5369293,0.06865311147329475,1.0,0.40963855421686746
SSRP1,1.8193593,0.3561805,0.06885662909281437,1.0,0.6265060240963856
LDLR,1.8189481,0.38563973,0.06891934953861457,1.0,0.7710843373493976
NXN,1.815247,0.77119136,0.06948594843876332,1.0,0.3132530120481928
MAEA,1.8106551,1.1048554,0.07019426203983137,1.0,0.24096385542168675
LSM3,1.810278,0.32403553,0.07025266937985514,1.0,0.6506024096385542
CRCP,1.7970161,0.5688901,0.07233305938246878,1.0,0.3614457831325301
MPG,1.792664,0.28308108,0.07302666555748774,1.0,0.7710843373493976
AC020916.1,1.790882,0.7508283,0.07331222769712516,1.0,0.3132530120481928
C5orf24,1.7873867,0.36271888,0.07387502190384818,1.0,0.6385542168674698
TOP1,1.7844396,0.23672546,0.07435227467079918,1.0,0.8554216867469879
FOPNL,1.7818694,0.9646714,0.07477053739148273,1.0,0.25301204819277107
SLC39A10,1.7762493,0.40502018,0.0756918359432846,1.0,0.5542168674698795
MBIP,1.766003,0.9472353,0.07739535250493355,1.0,0.25301204819277107
RHOG,1.7586352,0.541601,0.07863949206283634,1.0,0.3855421686746988
P4HTM,1.7517815,0.7530417,0.07981139510297848,1.0,0.3373493975903614
AL590617.2,1.7468468,0.55168784,0.08066392339237442,1.0,0.39759036144578314
VPS37A,1.7456816,0.4739571,0.08086629026471297,1.0,0.4457831325301205
ZNF791,1.7420491,0.6145522,0.081499845953292,1.0,0.37349397590361444
CLUAP1,1.7416722,0.70481646,0.0815658223413127,1.0,0.3132530120481928
RPL35,1.7410896,0.05093215,0.08166787108431603,1.0,1.0
NPM3,1.7368746,0.41308114,0.08240931343758667,1.0,0.5542168674698795
MRPS18A,1.7364633,0.7302362,0.082481940532026,1.0,0.30120481927710846
SMIM12,1.7359493,0.70744634,0.08257279735892525,1.0,0.37349397590361444
HDGFL2,1.7346814,0.5693047,0.08279725775891628,1.0,0.37349397590361444
FOXN2,1.732968,0.74342436,0.08310136798034709,1.0,0.27710843373493976
PPP1CC,1.7260456,0.33374503,0.08433919870495463,1.0,0.6987951807228916
ENOSF1,1.7250175,0.4360949,0.08452430101269111,1.0,0.4578313253012048
ARHGAP1,1.7229272,0.82509005,0.08490168934598487,1.0,0.27710843373493976
TM9SF1,1.7185751,0.5444063,0.08569177179078288,1.0,0.43373493975903615
CCT4,1.7143943,0.25707453,0.08645633410403111,1.0,0.8554216867469879
BTG3,1.6994874,0.4606065,0.0892273827946568,1.0,0.4457831325301205
YWHAE,1.6881444,0.13207906,0.09138349737654901,1.0,1.0
BIRC6,1.6858485,0.43130538,0.0918249873816757,1.0,0.5180722891566265
GHDC,1.6853688,1.0566326,0.0919174551462775,1.0,0.2289156626506024
NOTCH4,1.6822846,0.49394017,0.09251367844747893,1.0,0.42168674698795183
FUBP1,1.6816677,0.5242784,0.092633294957733,1.0,0.43373493975903615
PIK3R1,1.6813593,0.70702726,0.09269314976175505,1.0,0.27710843373493976
CTNNB1,1.6780009,0.36742115,0.0933469138800451,1.0,0.5783132530120482
ACTR6,1.6779324,0.56757826,0.09336029442806149,1.0,0.39759036144578314
LARP1,1.6753966,0.31656522,0.09385645749028278,1.0,0.6506024096385542
HDAC1,1.674437,0.37822512,0.09404474543523582,1.0,0.5662650602409639
DCTN1,1.6721067,0.37309018,0.09450327724148795,1.0,0.5301204819277109
LAMP1,1.6711129,0.32583892,0.09469937182283278,1.0,0.8072289156626506
TIMP2,1.6692282,0.32458928,0.09507217087284253,1.0,0.6626506024096386
FHL1,1.6662468,0.26555994,0.09566427088324586,1.0,0.6867469879518072
PITPNA,1.6651502,0.41074055,0.09588279604995975,1.0,0.5421686746987951
VPS26A,1.6650474,0.5834915,0.09590330325373907,1.0,0.37349397590361444
UBXN2A,1.6642592,0.5295388,0.09606064180974216,1.0,0.3855421686746988
SLC38A1,1.6639165,0.3582327,0.09612911428353188,1.0,0.5783132530120482
GINM1,1.661689,0.2917371,0.09657513794754215,1.0,0.7228915662650602
ZFAND5,1.6595987,0.36663154,0.0969952183381127,1.0,0.5783132530120482
KIF5B,1.6590161,0.24783954,0.09711254990202046,1.0,0.8072289156626506
RELL1,1.6585363,0.48776266,0.0972092610817825,1.0,0.46987951807228917
C18orf32,1.6572684,0.2860198,0.09746522560012554,1.0,0.6385542168674698
ATP5MC2,1.6561718,0.112569705,0.09768703449659369,1.0,1.0
NMT2,1.6530876,0.3131492,0.09831303524100392,1.0,0.8313253012048193
FAM133B,1.6530533,0.3361102,0.09832000875966436,1.0,0.6024096385542169
PNP,1.651991,0.3711016,0.09853638385179625,1.0,0.5180722891566265
RPS6KB2,1.6497293,0.82583743,0.09899831988550167,1.0,0.26506024096385544
HDLBP,1.6489068,0.23975179,0.09916672454714881,1.0,0.8674698795180723
GNG12,1.6484956,0.28081906,0.09925101256651157,1.0,0.6987951807228916
POLR2J3,1.6463025,0.33260727,0.09970151460809647,1.0,0.5421686746987951
SSR4,1.643321,0.12155901,0.10031652974383529,1.0,0.9397590361445783
MYCBP,1.6429441,0.46203983,0.10039450518445876,1.0,0.4457831325301205
DHX36,1.6421902,0.27619803,0.10055060100396779,1.0,0.6265060240963856
MLLT6,1.6386262,0.78596425,0.1012911288224426,1.0,0.27710843373493976
NDUFB9,1.6383178,0.22254476,0.10135541664595601,1.0,0.9156626506024096
