names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NPDC1,3.164307,0.36776984,0.0015545262314514594,1.0,0.718562874251497
BRD4,3.1010973,0.39481875,0.0019280492300156882,1.0,0.7365269461077845
HNRNPF,3.0121095,0.36653796,0.002594390106584881,1.0,0.7365269461077845
PMP22,3.0114381,0.24245782,0.002600134480002605,1.0,0.8982035928143712
PRXL2A,2.7703965,0.30365062,0.005598810817037849,1.0,0.8323353293413174
SARNP,2.690185,0.32646576,0.007141240441062924,1.0,0.7245508982035929
SBDS,2.6629922,0.32207334,0.007744917652031819,1.0,0.6946107784431138
EIF3L,2.6504512,0.32698396,0.008038436787375546,1.0,0.6526946107784432
PFKP,2.5833325,0.26979998,0.009785095831997862,1.0,0.8383233532934131
STAB1,2.5775294,0.39319232,0.009950938629349195,1.0,0.5988023952095808
SNRNP27,2.543143,0.4687134,0.010986027635223519,1.0,0.47904191616766467
FBXW5,2.5333593,0.5609648,0.011297507993504827,1.0,0.38922155688622756
PVR,2.492738,0.45896313,0.012676231248043042,1.0,0.49700598802395207
AP3S1,2.4691422,0.35857555,0.013543735282807138,1.0,0.6227544910179641
ARFGEF1,2.460102,0.37656793,0.013889752339116185,1.0,0.5568862275449101
DCTN4,2.4448512,0.61558163,0.014491196276960364,1.0,0.3772455089820359
DLGAP4,2.408882,0.4427251,0.01600147619117366,1.0,0.5029940119760479
MBNL1,2.4013762,0.27766305,0.01633353040554271,1.0,0.7365269461077845
CDC27,2.3933911,0.46775487,0.01669343448565887,1.0,0.47305389221556887
DESI2,2.352554,0.4881823,0.018644977637112002,1.0,0.4491017964071856
SMURF2,2.3509955,0.26506764,0.018723263908842172,1.0,0.8323353293413174
KPNA4,2.329414,0.3283478,0.01983714924998701,1.0,0.6826347305389222
DDIT4,2.3140671,0.37353534,0.020664045013679362,1.0,0.5688622754491018
ABHD5,2.3099186,0.43488944,0.020892661555942393,1.0,0.47305389221556887
ROCK2,2.304931,0.4475518,0.021170445857836954,1.0,0.5269461077844312
ALYREF,2.297689,0.37741452,0.021579492598022,1.0,0.5149700598802395
HSPA1B,2.2967298,0.66098005,0.021634183683933,1.0,0.30538922155688625
