names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
DDA1,3.6310813,0.94583565,0.00028223618695119395,1.0,0.5232558139534884
BLVRB,3.2349763,0.59977776,0.0012165285228706289,1.0,0.6976744186046512
MYO5A,3.164533,0.546102,0.0015533211310665778,1.0,0.7441860465116279
CAMLG,3.0294352,0.4611555,0.002450115546761497,1.0,0.8837209302325582
RPS18,2.9552221,0.08771148,0.0031244396801548002,1.0,1.0
TM2D1,2.9449232,0.5157773,0.0032303480186401607,1.0,0.7325581395348837
RNF141,2.9163823,0.88874245,0.0035411619792711482,1.0,0.46511627906976744
SND1,2.8650224,0.67789334,0.004169798175923403,1.0,0.5465116279069767
EIF4A2,2.7666104,0.2963805,0.005664241994554287,1.0,0.8837209302325582
MIR4435-2HG,2.5973847,0.94197124,0.009393666162820483,1.0,0.4069767441860465
SMU1,2.5726135,0.6787837,0.01009338930468232,1.0,0.5
DHRS4-AS1,2.5394952,1.3637378,0.011101256084427864,1.0,0.27906976744186046
PGK1,2.4989727,0.34771568,0.012455393468196702,1.0,0.8604651162790697
RPS15A,2.4989054,0.088757835,0.012457759510221097,1.0,1.0
SYNCRIP,2.4885054,0.48172796,0.012828128920806488,1.0,0.6744186046511628
RAB29,2.4527957,0.60722345,0.014175082279041138,1.0,0.5232558139534884
RPL7A,2.448555,0.08825096,0.014343054765599425,1.0,1.0
RAB3GAP1,2.4422948,0.78671765,0.014594222926134362,1.0,0.4069767441860465
ECE1,2.4347558,0.3171012,0.014901845715101787,1.0,0.8837209302325582
RPL15,2.4299092,0.09173785,0.015102607056773909,1.0,1.0
DNAJC15,2.4122393,0.43578622,0.015854865870514403,1.0,0.6627906976744186
WASF2,2.4111624,0.403183,0.015901765265427702,1.0,0.6744186046511628
SSR1,2.401604,0.36529163,0.016323371505782912,1.0,0.813953488372093
RPL18A,2.3867276,0.08645996,0.016999077367363905,1.0,1.0
GLRX5,2.3704379,0.44106477,0.017767029722437086,1.0,0.7209302325581395
CHID1,2.3472147,0.4724988,0.01891434809104937,1.0,0.6162790697674418
FKBP4,2.327088,0.50458926,0.01996057645628599,1.0,0.5813953488372093
ATG101,2.3239243,0.73108107,0.02012954731884869,1.0,0.38372093023255816
MINDY2,2.3148034,0.6463734,0.020623692247824173,1.0,0.4418604651162791
