names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
VPS29,3.37986,1.3589318,0.0007252279313376345,1.0,0.9230769230769231
PYURF,3.0368025,1.0951098,0.0023910203612132227,1.0,1.0
GPX8,2.9958482,1.4189798,0.002736825810802617,1.0,0.8461538461538461
UTP18,2.9507985,1.5286919,0.0031695354480283824,1.0,0.7692307692307693
MRPL12,2.8837905,1.1176008,0.003929201594461083,1.0,0.9230769230769231
UBC,2.82628,0.6141724,0.00470920553542947,1.0,1.0
ARF6,2.7345252,1.1832428,0.006247031706526155,1.0,0.8461538461538461
PDCD6,2.7169235,1.063335,0.006589182406304497,1.0,0.9230769230769231
FITM2,2.7122183,2.607823,0.006683458692332943,1.0,0.5384615384615384
SMARCD1,2.666994,1.1492018,0.00765329910620838,1.0,0.8461538461538461
ARF4,2.6469529,0.87620205,0.008122069898150848,1.0,0.9230769230769231
RNF145,2.5775049,1.233733,0.00995165066289771,1.0,0.7692307692307693
UBE2M,2.5669613,0.9866497,0.010259408278315422,1.0,0.8461538461538461
PPP4R2,2.5658286,1.4164112,0.010292971996788918,1.0,0.6923076923076923
GPATCH8,2.5606003,1.4492843,0.010449151227743704,1.0,0.6923076923076923
LDHA,2.551538,0.71818143,0.01072486199633503,1.0,1.0
SNHG6,2.5429115,0.5553608,0.010993307289559197,1.0,1.0
POP4,2.5240028,1.4835255,0.011602699910236469,1.0,0.6923076923076923
TTLL5,2.4902809,1.6623855,0.012764216955707872,1.0,0.6153846153846154
TUBG1,2.4429657,1.7654974,0.014567123790840013,1.0,0.6153846153846154
RCN1,2.438086,0.6595123,0.014765261190810364,1.0,1.0
ARF3,2.421617,1.1153833,0.015451619886753358,1.0,0.7692307692307693
ELOC,2.401053,0.7088289,0.01634797406749551,1.0,1.0
CENPW,2.3951275,1.5620714,0.016614583168854138,1.0,0.6153846153846154
VKORC1,2.388331,0.839227,0.016925094620139025,1.0,1.0
SDHAF2,2.3771775,1.3405315,0.017445695182509952,1.0,0.6923076923076923
ADGRG6,2.364891,1.0660188,0.018035371909300855,1.0,0.8461538461538461
SMS,2.3537376,0.7354482,0.01858572443332152,1.0,0.9230769230769231
FBXL15,2.3373559,1.874397,0.019420685189078753,1.0,0.5384615384615384
ZDHHC4,2.330385,1.4953133,0.019785812927355234,1.0,0.6153846153846154
TUBB,2.320974,0.6619204,0.02028823571093021,1.0,0.9230769230769231
PRR7,2.3161817,1.4703851,0.0205483504332164,1.0,0.6153846153846154
RGL1,2.313829,1.8918394,0.020677104001795506,1.0,0.5384615384615384
ABI2,2.3109534,0.9608921,0.020835424221318396,1.0,0.7692307692307693
MYC,2.3034596,1.0146397,0.021252990593655204,1.0,0.8461538461538461
GAPDH,2.2989285,0.23254322,0.021508993127914124,1.0,1.0
POLR3GL,2.2950945,1.066297,0.02172770349890919,1.0,0.7692307692307693
GPATCH4,2.2937005,1.2559448,0.021807713078191893,1.0,0.6923076923076923
WWP1,2.2793229,1.0292275,0.022647880706868035,1.0,0.8461538461538461
SUPT6H,2.2739203,1.7159002,0.022970774595445963,1.0,0.6153846153846154
FAM222B,2.2663395,1.493781,0.02343060621939642,1.0,0.6153846153846154
MPDU1,2.2422025,2.3330972,0.024948281295259406,1.0,0.46153846153846156
PHLDA3,2.2384558,1.1805929,0.025191351997248607,1.0,0.6923076923076923
C16orf58,2.2318332,2.3923943,0.025625980818407987,1.0,0.46153846153846156
EIF6,2.2079577,0.7857931,0.027247210872605458,1.0,1.0
DNAAF2,2.1926217,2.2852123,0.02833463961450185,1.0,0.46153846153846156
RFC1,2.1899207,1.0967814,0.028529999014680923,1.0,0.7692307692307693
MYDGF,2.1816425,0.71553457,0.02913592292859575,1.0,1.0
AHCYL1,2.1708376,0.94876754,0.029943449969092283,1.0,0.9230769230769231
RNF146,2.1496634,1.5898887,0.03158185105525421,1.0,0.5384615384615384
SSR3,2.1439123,0.72792906,0.032039910010224895,1.0,1.0
PPP2R5C,2.1326718,1.1099333,0.03295166568549522,1.0,0.6923076923076923
MICU1,2.132236,1.0926745,0.032987447702039784,1.0,0.8461538461538461
PHLDA2,2.1110618,0.72907907,0.03476699990943979,1.0,1.0
PSME3,2.1069665,1.1226523,0.03512049410011042,1.0,0.6923076923076923
DIPK2A,2.1057465,2.0111878,0.035226381484289485,1.0,0.46153846153846156
RAPH1,2.0992982,2.2020683,0.03579060927145866,1.0,0.46153846153846156
PBX3,2.0916302,2.107314,0.03647159885182423,1.0,0.46153846153846156
ANAPC11,2.090846,0.5791504,0.03654186381789866,1.0,1.0
TMEM255B,2.087012,1.5367976,0.03688704402411478,1.0,0.5384615384615384
TOR1AIP1,2.084485,1.6276928,0.03711606426944714,1.0,0.5384615384615384
NANS,2.0841365,0.9651458,0.037147748079555135,1.0,0.7692307692307693
FAM162A,2.0821323,0.7967475,0.03733037719482953,1.0,0.8461538461538461
FDPS,2.0757713,0.5212623,0.03791509641484445,1.0,0.9230769230769231
PTX3,2.070456,0.8448385,0.03840965453923853,1.0,0.8461538461538461
STUB1,2.065315,0.7867607,0.03889320370011023,1.0,0.8461538461538461
DHX29,2.0584311,1.0637585,0.039548758014922136,1.0,0.6923076923076923
SCAMP1,2.0574727,1.0447801,0.03964077742348128,1.0,0.6923076923076923
GAR1,2.0527673,1.2283247,0.04009514891920946,1.0,0.6153846153846154
IFT57,2.0465806,0.7700448,0.040699279608101616,1.0,0.9230769230769231
COPE,2.0465806,0.64717317,0.040699279608101616,1.0,0.8461538461538461
DCUN1D5,2.0452735,0.7643119,0.04082789530381249,1.0,0.8461538461538461
PTK7,2.044838,1.9798096,0.04087084367564376,1.0,0.46153846153846156
AP001528.1,2.0445764,1.5151414,0.04089663107141568,1.0,0.5384615384615384
BET1,2.0395226,1.6702459,0.04139790391436631,1.0,0.5384615384615384
CCDC92,2.039174,1.6573148,0.041432665431929694,1.0,0.5384615384615384
HS2ST1,2.038041,1.546017,0.04154581112426067,1.0,0.5384615384615384
AHNAK,2.0352528,0.57867503,0.04182543869740115,1.0,1.0
SMAD3,2.0345557,0.7515891,0.04189559398095437,1.0,0.8461538461538461
FUOM,2.0309832,1.1208377,0.04225670490707593,1.0,0.6923076923076923
ADRM1,2.027062,0.895298,0.04265607377193777,1.0,0.6923076923076923
PGK1,2.018784,0.6725737,0.04350967510654899,1.0,0.9230769230769231
YIF1B,2.0128586,1.2023633,0.04412949664330806,1.0,0.6153846153846154
RAB32,2.0121615,0.7322341,0.044202904451395915,1.0,0.9230769230769231
CHRNA5,2.009199,1.8871849,0.04451603847897898,1.0,0.46153846153846156
BACE1,2.0087633,1.9879432,0.04456224507864916,1.0,0.46153846153846156
SYNRG,2.007369,1.4530034,0.04471037820019726,1.0,0.5384615384615384
EGFL7,2.0037966,0.50892437,0.045091866349834316,1.0,1.0
ATP5F1A,2.0033607,0.5497043,0.045138576501449146,1.0,1.0
FBXO7,1.9999624,1.0346818,0.04550431760523783,1.0,0.6923076923076923
PPP1R7,1.9973483,0.87552166,0.045787353512230296,1.0,0.8461538461538461
HIC1,1.9949086,1.6025659,0.046052857039494514,1.0,0.5384615384615384
PFDN6,1.99456,1.0491811,0.046090891753069435,1.0,0.6923076923076923
SRGAP2B,1.9932529,1.2067659,0.04623375761920811,1.0,0.6153846153846154
LRIF1,1.981838,1.1957375,0.04749737281057909,1.0,0.6153846153846154
TSR3,1.97356,0.9890846,0.04843179256042277,1.0,0.6923076923076923
CCDC59,1.9724272,1.1096123,0.0485608535163613,1.0,0.6153846153846154
MRPS17,1.9662405,1.0965732,0.049270831334567944,1.0,0.6923076923076923
DDT,1.9644978,0.67939633,0.0494723902851589,1.0,1.0
ZC3H14,1.9616222,1.4197344,0.049806474606592384,1.0,0.5384615384615384
UBE2D2,1.9604024,0.7606241,0.04994877781757959,1.0,0.9230769230769231
LINC00662,1.960141,1.1534277,0.04997931567173935,1.0,0.6153846153846154
CCNB1IP1,1.9553485,0.9093009,0.050541956227378226,1.0,0.7692307692307693
PBK,1.9519501,1.6299714,0.050944127278629785,1.0,0.46153846153846156
AIP,1.9502945,1.0951091,0.051141025589786095,1.0,0.6923076923076923
OGFOD3,1.9501202,1.2480764,0.05116178874487253,1.0,0.6153846153846154
P4HA1,1.9497716,0.7980499,0.05120333622974998,1.0,0.7692307692307693
RNASEK,1.9483775,0.4187489,0.05136980875800956,1.0,1.0
PET100,1.9441078,0.68563586,0.051882451620114504,1.0,0.8461538461538461
ARPP19,1.9428879,0.67933464,0.05202970471020812,1.0,0.8461538461538461
TNFRSF12A,1.9427136,0.80460805,0.05205076937637378,1.0,1.0
CCN1,1.9420165,0.70257294,0.052135099388126355,1.0,0.9230769230769231
PRNP,1.9382696,0.8237767,0.052590333304533686,1.0,0.8461538461538461
H2AFZ,1.9376597,0.71973926,0.05266475473310836,1.0,1.0
KMT2A,1.9339128,0.80268186,0.05312384863809326,1.0,0.9230769230769231
FRS2,1.9232821,2.3001227,0.05444462765635089,1.0,0.38461538461538464
ADSS,1.9213651,0.818208,0.054685692525617176,1.0,0.9230769230769231
MFAP1,1.9194481,1.2674628,0.05492764693951223,1.0,0.6153846153846154
MBTPS1,1.9153527,1.2866495,0.055447540752355313,1.0,0.5384615384615384
ARHGEF10,1.9144813,0.86807775,0.05555868388710078,1.0,0.7692307692307693
SEPTIN7,1.9131743,0.5837036,0.05572574659498272,1.0,1.0
SFXN1,1.9114316,1.1039896,0.055949147665205146,1.0,0.6153846153846154
GIT1,1.9108216,1.3190702,0.05602751405200233,1.0,0.5384615384615384
TOMM70,1.9089046,1.1270361,0.05627440374291584,1.0,0.6923076923076923
CCDC43,1.9031535,1.1492115,0.05702051315161786,1.0,0.6153846153846154
ESD,1.9017594,0.7388951,0.05720262224534157,1.0,0.8461538461538461
PFKM,1.8991452,1.4458662,0.057545380672421605,1.0,0.5384615384615384
FXYD5,1.8977511,0.5311467,0.057728882290695095,1.0,1.0
CDC42,1.8974025,0.45667,0.05777483362073346,1.0,1.0
PFDN2,1.8967054,0.649637,0.05786682749299714,1.0,1.0
RPS4X,1.8949627,0.19952989,0.0580973449225437,1.0,1.0
NDUFB4,1.89322,0.5471519,0.058328624875066036,1.0,1.0
SMAP1,1.891303,1.0461237,0.05858391570620324,1.0,0.6923076923076923
CNRIP1,1.8873818,0.9677721,0.05910899227670741,1.0,0.6923076923076923
INTS10,1.8852905,1.0954226,0.05939062660367158,1.0,0.6153846153846154
ANKRD9,1.8830249,1.3258793,0.05969698607649414,1.0,0.5384615384615384
TBC1D20,1.8777968,1.3165797,0.060408974904569895,1.0,0.5384615384615384
NMRK1,1.8767511,1.6882739,0.06055221401259206,1.0,0.46153846153846156
TWF2,1.8719586,0.8066584,0.061212332798405246,1.0,0.8461538461538461
ASL,1.8716972,0.9332355,0.06124851002205739,1.0,0.6923076923076923
PTPRN2,1.8692573,0.5955038,0.06158701872054153,1.0,0.9230769230769231
SMG6,1.8686473,1.2844371,0.06167188747193579,1.0,0.6153846153846154
TCEAL4,1.8561869,0.50645185,0.06342693128638714,1.0,0.8461538461538461
CTXN1,1.8554026,1.3161812,0.06353875513683159,1.0,0.5384615384615384
PYGB,1.853747,1.259958,0.06377536263767208,1.0,0.5384615384615384
