names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MT-ND2,4.610965,0.35513216,4.008048679873873e-06,0.11928754481040621,1.0
MT-ND3,4.1253204,0.22651765,3.702186481498459e-05,0.5509223703117856,1.0
MT-ND1,3.3633153,0.27344587,0.0007701233335927374,1.0,1.0
IFI27L2,3.0966523,0.5983922,0.0019571937663415803,1.0,0.7215189873417721
RPL3,2.9954543,0.12515527,0.0027403627997042903,1.0,1.0
IMMT,2.8646352,0.59504354,0.0041748992776061405,1.0,0.6708860759493671
PRSS3,2.6916502,0.3778995,0.007109947227228583,1.0,0.8607594936708861
GOT2,2.687785,0.54758334,0.007192768838250041,1.0,0.7088607594936709
MRPS33,2.6531036,0.6209141,0.007975536524319517,1.0,0.6455696202531646
CYC1,2.5925255,0.4146954,0.009527409668873967,1.0,0.8354430379746836
YARS,2.5232685,0.6335527,0.011626963885284863,1.0,0.5443037974683544
GLO1,2.4397802,0.36987126,0.014696201765369541,1.0,0.8734177215189873
H2AFY,2.4248114,0.37206185,0.015316344168278066,1.0,0.7341772151898734
DDX18,2.3984928,0.431858,0.016462696428082537,1.0,0.7088607594936709
EIF4EBP1,2.3975441,0.3066347,0.016505391600058986,1.0,0.9746835443037974
ZFYVE21,2.3567138,0.5775286,0.018437457712716123,1.0,0.5443037974683544
STRAP,2.3527431,0.44434702,0.018635506459965992,1.0,0.7341772151898734
RPL26L1,2.3312385,0.56139404,0.019740785913776305,1.0,0.6329113924050633
MRPL36,2.3253002,0.5067331,0.020055914678460882,1.0,0.6075949367088608
NID1,2.3200998,0.4695489,0.020335482490741505,1.0,0.7088607594936709
NELFCD,2.3103313,0.6179996,0.020869817050206966,1.0,0.4936708860759494
MT-ND4L,2.306431,0.2941542,0.02108656091856444,1.0,0.9240506329113924
IFT52,2.2979276,0.826522,0.021565910971279436,1.0,0.379746835443038
RPL22L1,2.2961004,0.18840802,0.021670141271512195,1.0,0.9873417721518988
PSMC2,2.2942731,0.7040661,0.02177480977735707,1.0,0.4177215189873418
RPL10A,2.2862618,0.08756102,0.022238951357659874,1.0,1.0
CLCN3,2.2852075,0.36654687,0.02230065860109168,1.0,0.8354430379746836
KRT10,2.2431824,0.4558369,0.024885055063483093,1.0,0.7974683544303798
PRAF2,2.2216778,0.67826265,0.02630508339602682,1.0,0.4810126582278481
CETN3,2.1971867,0.7074431,0.02800712240844771,1.0,0.4050632911392405
LEPROTL1,2.1709735,0.45110628,0.02993317104990121,1.0,0.6329113924050633
FAU,2.167284,0.124580406,0.030213201336524817,1.0,1.0
CCNB1IP1,2.1644027,0.45041043,0.030433454345356593,1.0,0.620253164556962
BLOC1S6,2.144128,0.5244822,0.032022629130212824,1.0,0.5569620253164557
CCDC80,2.1366084,0.38004512,0.03262984934579645,1.0,0.7468354430379747
GSTO1,2.136433,0.31489426,0.032644153827782754,1.0,0.9240506329113924
RBM39,2.121745,0.3663663,0.03385915288204462,1.0,0.8987341772151899
SRSF2,2.1135228,0.37068903,0.034556051176196166,1.0,0.6835443037974683
SAAL1,2.1004865,1.3354231,0.03568606755063928,1.0,0.24050632911392406
TXN,2.0966213,0.19552444,0.03602711221993836,1.0,0.9873417721518988
NAP1L5,2.081512,1.1794735,0.037387075227182806,1.0,0.25316455696202533
ATP5PD,2.039803,0.24941953,0.04136995478416413,1.0,0.810126582278481
C1QBP,2.0268018,0.2811635,0.042682680487182344,1.0,0.9493670886075949
RYK,2.0175958,0.5952339,0.04363338823152075,1.0,0.4936708860759494
PARK7,2.0034702,0.19284493,0.04512684889882766,1.0,0.9240506329113924
SNHG16,2.0029783,0.28758398,0.04517962714026092,1.0,0.9240506329113924
PLD3,2.0014672,0.42205113,0.04534205722376006,1.0,0.6708860759493671
CIAO2B,2.0012565,0.2704311,0.04536476097213458,1.0,0.810126582278481
WIZ,1.9960209,0.9868185,0.045931651775208394,1.0,0.27848101265822783
TCP1,1.9881148,0.39104784,0.0467989962607547,1.0,0.6962025316455697
SMC6,1.9843199,0.5254954,0.047220192378103105,1.0,0.46835443037974683
AKAP11,1.9810872,0.57637113,0.047581499533257014,1.0,0.4430379746835443
UQCRC2,1.9753245,0.41450456,0.04823133324191446,1.0,0.6708860759493671
FAM91A1,1.9700538,0.56911814,0.04883220564273038,1.0,0.4936708860759494
PLEKHA1,1.959407,0.5482469,0.050065148070916186,1.0,0.5822784810126582
CCNL2,1.9542768,0.7395618,0.05066849350749986,1.0,0.379746835443038
NEMF,1.9515009,0.52343166,0.05099749312411174,1.0,0.4810126582278481
GGPS1,1.9442624,0.78720146,0.05186381457695716,1.0,0.34177215189873417
CRTAP,1.9128841,0.21544133,0.05576289479394438,1.0,0.8354430379746836
