names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL13A,3.7329257,0.13593824,0.00018926844912358956,1.0,1.0
ANXA1,3.5049644,0.31086227,0.00045666836292225884,1.0,1.0
AP2A2,3.3708136,0.69355124,0.000749465574367134,1.0,0.6438356164383562
CALD1,3.1594565,0.37440467,0.0015806366933570574,1.0,0.958904109589041
PAFAH1B1,3.0863466,0.68337137,0.002026325085568923,1.0,0.6301369863013698
METAP2,2.8950317,0.37318957,0.0037912026763917426,1.0,0.8904109589041096
NCL,2.8441582,0.2579961,0.004452892740290128,1.0,1.0
ZEB1,2.8301506,0.5616712,0.004652608804851029,1.0,0.6712328767123288
TRIR,2.8281758,0.43187657,0.004681410370911478,1.0,0.8082191780821918
CLCN3,2.814095,0.40551835,0.0048914770993647655,1.0,0.8767123287671232
ZMAT2,2.8074021,0.64546996,0.004994286018384975,1.0,0.6301369863013698
CHMP5,2.7796063,0.44895908,0.005442482286985222,1.0,0.7397260273972602
ZNF10,2.6384702,0.79255563,0.008328105090764018,1.0,0.5753424657534246
ZCCHC9,2.6153924,0.956073,0.008912501649639469,1.0,0.410958904109589
HMGA1,2.6130517,0.28932372,0.00897377425724742,1.0,1.0
RGS3,2.5897179,0.7729228,0.009605461584360197,1.0,0.5205479452054794
TECR,2.5866458,0.61898434,0.009691518017147252,1.0,0.6027397260273972
UBXN1,2.5535834,0.3916656,0.01066207185387806,1.0,0.7123287671232876
VCL,2.5147061,0.38635534,0.011913165894508655,1.0,0.8082191780821918
RPL23,2.5043192,0.10795505,0.012268727280457421,1.0,1.0
SPTAN1,2.4970777,0.5255634,0.01252214996216762,1.0,0.6712328767123288
MAP1B,2.4873857,0.30711883,0.012868575309342632,1.0,0.9315068493150684
FAM192A,2.465771,0.5906776,0.013671870594249506,1.0,0.547945205479452
TPT1,2.464564,0.09710674,0.0137180026978772,1.0,1.0
TMX3,2.4173846,0.5180697,0.015632492040709687,1.0,0.6164383561643836
CFL2,2.413069,0.40797016,0.01581882870466666,1.0,0.7397260273972602
FNBP4,2.4118254,0.6684946,0.015872880185817166,1.0,0.4931506849315068
NMT2,2.404913,0.3931071,0.016176313583506775,1.0,0.7945205479452054
FBXW2,2.3960989,0.88620335,0.01657061854629404,1.0,0.3835616438356164
RPL6,2.350748,0.10588498,0.01873571657425176,1.0,1.0
RPL23A,2.3486998,0.09502436,0.018839082758316472,1.0,1.0
RPS19BP1,2.3465786,0.49652657,0.0189466660643653,1.0,0.6712328767123288
HNRNPU,2.3414583,0.3270444,0.019208566034118232,1.0,0.8904109589041096
SPATS2L,2.313041,0.45644543,0.02072038699642938,1.0,0.684931506849315
TNFAIP1,2.293328,0.71606976,0.021829130517506554,1.0,0.4383561643835616
NKAP,2.2897804,0.602489,0.02203405258246879,1.0,0.5342465753424658
SH3GL1,2.2815878,0.70764995,0.022513679533518245,1.0,0.4520547945205479
ACBD6,2.2634475,0.5289716,0.02360811208684423,1.0,0.6164383561643836
DCTN1,2.2620213,0.56830966,0.023696091711780044,1.0,0.547945205479452
PFN1,2.2538288,0.13398708,0.024206939446545808,1.0,0.9863013698630136
OXR1,2.2428203,0.5532612,0.024908407876935906,1.0,0.5342465753424658
CAST,2.2386143,0.23940437,0.025181021328906223,1.0,0.9863013698630136
MAP4K4,2.2368221,0.2697773,0.025297960751231606,1.0,0.9041095890410958
ERG,2.233238,0.6323261,0.0255332502122209,1.0,0.4657534246575342
TMEM259,2.2242045,0.76418406,0.026134691774007106,1.0,0.410958904109589
MYOF,2.2235096,0.34171948,0.026181459615994496,1.0,0.7808219178082192
HEATR1,2.1993346,0.7753417,0.02785413810558064,1.0,0.3835616438356164
HSPH1,2.1897159,0.5008848,0.028544851530911877,1.0,0.6301369863013698
MSMO1,2.184632,0.3164386,0.02891582840215783,1.0,0.9041095890410958
PFKP,2.18028,0.36579975,0.029236717646823847,1.0,0.821917808219178
POP4,2.1798775,0.74887204,0.029266533800434865,1.0,0.410958904109589
PRPF4B,2.1751597,0.54477966,0.029618153045049556,1.0,0.589041095890411
PFDN6,2.1664553,0.53788924,0.03027641743352039,1.0,0.547945205479452
FBXW11,2.1624322,0.58383125,0.030584880262163716,1.0,0.5342465753424658
ABCC1,2.1554832,0.8077372,0.03112403844793882,1.0,0.410958904109589
DBN1,2.1376355,0.5180141,0.03254633978638763,1.0,0.5205479452054794
MTDH,2.1323323,0.16092296,0.032979534151832274,1.0,0.958904109589041
HDGFL3,2.1317105,0.44221348,0.033030644263788066,1.0,0.6027397260273972
RPS6,2.1291504,0.06649001,0.03324181264257609,1.0,1.0
NOP53,2.127651,0.38039833,0.03336603266068575,1.0,0.6986301369863014
LARP7,2.12542,0.672052,0.03355158273048572,1.0,0.4794520547945205
LARP1,2.1232257,0.4191169,0.0337349513312513,1.0,0.684931506849315
SPAG7,2.1105711,0.4745348,0.0348091812051713,1.0,0.6301369863013698
RPL4,2.099892,0.14035341,0.035738356055992807,1.0,1.0
AP1G1,2.088225,0.67901,0.03677754596042205,1.0,0.410958904109589
RPS20,2.0862134,0.10862206,0.0369592934869846,1.0,1.0
CDKN1A,2.0845675,0.37342927,0.03710856438687929,1.0,0.958904109589041
COPA,2.080764,0.43134466,0.03745551109552451,1.0,0.684931506849315
RPL9,2.074583,0.09930973,0.03802518665739384,1.0,1.0
EIF4E,2.0698652,0.41131413,0.038464971556393515,1.0,0.6712328767123288
EXOC1,2.0694995,0.51737344,0.038499243238963865,1.0,0.5205479452054794
PUM3,2.067817,0.5756057,0.038657227441192585,1.0,0.5068493150684932
TCEAL4,2.0589664,0.31654975,0.03949746314180552,1.0,0.8493150684931506
DDX50,2.051615,0.6432732,0.04020708266670473,1.0,0.4520547945205479
MT-ND2,2.0312803,0.15887098,0.042226562395351476,1.0,1.0
HERPUD1,2.0307684,0.6066738,0.04227850057563431,1.0,0.4794520547945205
AFF4,2.0253189,0.533089,0.04283462744082531,1.0,0.5205479452054794
FRG1,2.012116,0.697359,0.044207714768123636,1.0,0.4383561643835616
SPCS2,2.008495,0.30706602,0.0445906952417236,1.0,0.8082191780821918
RIOK3,2.0081294,0.5327687,0.044629535319538116,1.0,0.547945205479452
AHNAK2,2.007654,0.48326758,0.04468007008458812,1.0,0.5616438356164384
TOMM7,2.005423,0.1258116,0.04491783984420059,1.0,0.9863013698630136
RO60,2.0009246,0.48935512,0.04540052328528421,1.0,0.5616438356164384
SMAD2,1.9945242,0.4392833,0.046094797154781667,1.0,0.6027397260273972
PLS3,1.9831865,0.3579795,0.04734660252867966,1.0,0.7397260273972602
ADAM9,1.9756159,0.28795314,0.04819830568399263,1.0,0.9452054794520548
KCNQ1OT1,1.9742992,0.54552543,0.048347734083422564,1.0,0.5342465753424658
SYNJ2BP,1.9727997,0.6246182,0.04851839018414498,1.0,0.4520547945205479
F11R,1.9575486,0.6323604,0.05028300199111465,1.0,0.4794520547945205
CHCHD5,1.9572926,0.31789258,0.0503130768387812,1.0,0.7123287671232876
GATAD2A,1.9571097,0.47444913,0.05033456810151524,1.0,0.5342465753424658
MRPS31,1.9566709,0.64526504,0.050386178522891595,1.0,0.410958904109589
CLSTN1,1.9529039,0.42001164,0.0508309944987391,1.0,0.6575342465753424
GAS5,1.94003,0.1708778,0.05237604284123213,1.0,1.0
SNAPC3,1.9383477,0.65401363,0.052580823987955785,1.0,0.410958904109589
CHMP4B,1.9276682,0.42116526,0.05389640504905773,1.0,0.5753424657534246
SRSF5,1.9274487,0.37059942,0.05392372303498862,1.0,0.6575342465753424
UXT,1.9237183,0.31761265,0.05438989990675627,1.0,0.8356164383561644
DCTN2,1.9236087,0.4131449,0.05440366173219998,1.0,0.7123287671232876
CPOX,1.9168426,1.0160704,0.05525793794834023,1.0,0.2876712328767123
HACD3,1.9122709,0.39401492,0.055841458170716694,1.0,0.6027397260273972
NAMPT,1.9049196,0.3394695,0.05679051593460381,1.0,0.7397260273972602
ISCU,1.9042614,0.34526694,0.05687615710130765,1.0,0.6986301369863014
DNALI1,1.902579,0.7954285,0.05709550615883143,1.0,0.3287671232876712
GOLIM4,1.8985559,0.32458568,0.057622891037121565,1.0,0.6712328767123288
THSD4,1.8929236,0.38269937,0.058368028094711574,1.0,0.6712328767123288
NPM1,1.8910583,0.13299327,0.058616551691419015,1.0,0.9863013698630136
CUTC,1.8895954,0.9677827,0.05881208652157606,1.0,0.3013698630136986
PKIG,1.8824637,0.32529035,0.05977308997352413,1.0,0.684931506849315
RPS17,1.8732471,0.09287006,0.061034258906026206,1.0,1.0
ADSS,1.8730643,0.3540211,0.06105950340913893,1.0,0.7808219178082192
GOLM1,1.8451223,0.46172306,0.0650197455536462,1.0,0.5616438356164384
TPI1,1.8413553,0.16487466,0.06556951143442455,1.0,0.9452054794520548
PPP1R13L,1.8406239,0.84317064,0.0656767051716756,1.0,0.3013698630136986
NCKAP1,1.8399289,0.3514198,0.06577867298696188,1.0,0.6438356164383562
CALCRL,1.8385025,0.3142994,0.06598838418342934,1.0,0.6986301369863014
GLMP,1.8331263,0.97271776,0.0667837919454689,1.0,0.3013698630136986
ATP5PD,1.8267626,0.2472905,0.06773548040959208,1.0,0.8767123287671232
MAPK9,1.8201793,0.69571424,0.06873169697124656,1.0,0.3698630136986301
PDIA4,1.8199965,0.2403827,0.06875954061376108,1.0,0.8904109589041096
PLEKHA3,1.8191187,0.63383645,0.06889331915136455,1.0,0.4246575342465753
KDM1A,1.8163757,0.3997692,0.06931275605556385,1.0,0.5753424657534246
FAM210B,1.812755,0.4288951,0.06986962178915107,1.0,0.589041095890411
MRPL43,1.8090245,0.39576152,0.07044719781470081,1.0,0.5616438356164384
DNM1L,1.8003932,0.4574412,0.0717985737397383,1.0,0.5616438356164384
LMNA,1.800247,0.1384228,0.07182166016915394,1.0,0.958904109589041
ZNF721,1.7916522,0.7634991,0.07318869830867963,1.0,0.3287671232876712
SLC38A2,1.7908475,0.32502025,0.07331775879849606,1.0,0.7397260273972602
SASH1,1.7850324,0.41357926,0.07425605843617782,1.0,0.6164383561643836
SRSF10,1.7827283,0.3882223,0.07463054180617187,1.0,0.6027397260273972
HSPD1,1.7823626,0.20561928,0.0746901252500102,1.0,0.9726027397260274
TEAD1,1.7792172,0.6763732,0.07520414854371588,1.0,0.3972602739726027
NUFIP2,1.7784492,0.44160908,0.07533010363034152,1.0,0.6027397260273972
ARHGDIA,1.7769862,0.32035688,0.07557049449082787,1.0,0.7671232876712328
AHCTF1,1.7763646,0.69166106,0.07567285002245001,1.0,0.3835616438356164
TCTEX1D2,1.7752308,0.48755226,0.07585978959164287,1.0,0.4931506849315068
PARP4,1.7736216,0.6292039,0.07612576996297316,1.0,0.4246575342465753
KIF2A,1.7704762,0.45004803,0.07664783714452852,1.0,0.5068493150684932
RBIS,1.7682087,0.3003632,0.07702601900600183,1.0,0.8356164383561644
DEXI,1.7625399,0.7474728,0.07797812992429526,1.0,0.3287671232876712
UBP1,1.7597969,0.7105867,0.0784422570778335,1.0,0.3287671232876712
EIF2A,1.7570539,0.4014135,0.07890863004190908,1.0,0.589041095890411
MIR100HG,1.7534697,0.5171436,0.0795214207288546,1.0,0.4520547945205479
MIR99AHG,1.7498854,0.57051116,0.08013807477821872,1.0,0.4383561643835616
HCFC1R1,1.7456064,0.41999778,0.08087936654981988,1.0,0.4794520547945205
BBX,1.7446555,0.36142004,0.08104485184393133,1.0,0.6575342465753424
SEPTIN11,1.7435583,0.27136222,0.08123613786168721,1.0,0.7397260273972602
RAI14,1.7426074,0.23423594,0.0814022153448901,1.0,0.8904109589041096
DARS,1.7407787,0.40375173,0.08172236951590062,1.0,0.5753424657534246
PRKCA,1.7407056,0.53326005,0.08173519690027332,1.0,0.4246575342465753
MTR,1.740157,0.48989758,0.08183145435642016,1.0,0.4246575342465753
RAN,1.740157,0.19768098,0.08183145435642016,1.0,0.9726027397260274
ARHGEF12,1.7399375,0.4882421,0.08186998307765321,1.0,0.5068493150684932
RTRAF,1.7371945,0.23673673,0.08235283476265778,1.0,0.8767123287671232
PTS,1.7355487,0.5811808,0.08264365234404038,1.0,0.4246575342465753
RBCK1,1.7247962,0.3527802,0.08456420392976732,1.0,0.6986301369863014
DDX39B,1.7247962,0.40285876,0.08456420392976732,1.0,0.5753424657534246
ZSCAN16-AS1,1.7242476,0.70476055,0.08466315139591864,1.0,0.3424657534246575
OAT,1.7168232,0.37964916,0.08601147342919732,1.0,0.5616438356164384
CD99L2,1.7166038,1.0873349,0.08605158775720763,1.0,0.2328767123287671
CCT4,1.7153969,0.2956363,0.08627248681690534,1.0,0.9041095890410958
RAD21,1.7138243,0.3206199,0.08656101200679871,1.0,0.684931506849315
PLA2G12A,1.7138243,0.6180658,0.08656101200679871,1.0,0.3698630136986301
PUM1,1.7094355,0.39419925,0.08737032174387135,1.0,0.6438356164383562
BMPR2,1.7092892,0.32834676,0.0873974035300176,1.0,0.684931506849315
PQBP1,1.7058147,0.6061963,0.08804258901496728,1.0,0.3561643835616438
CCDC12,1.7052661,0.46237093,0.08814481061325347,1.0,0.4520547945205479
SWAP70,1.7033643,0.428464,0.08849991992261888,1.0,0.547945205479452
SLC39A10,1.7011333,0.42063406,0.08891795926722568,1.0,0.547945205479452
UHRF2,1.7009504,0.37032264,0.08895229521888166,1.0,0.6575342465753424
DDX3X,1.7001092,0.25405535,0.08911037821100426,1.0,0.7397260273972602
MRFAP1L1,1.6986463,0.6516518,0.0893858441420794,1.0,0.3835616438356164
AL354733.3,1.6964885,1.7988588,0.08979340775353119,1.0,0.1643835616438356
ELP2,1.6955376,0.6818417,0.08997348632301441,1.0,0.3561643835616438
EIF4H,1.6953547,0.3932313,0.09000815012057556,1.0,0.6164383561643836
ACOT13,1.6923558,0.40018496,0.09057817155320211,1.0,0.5753424657534246
ATP5F1C,1.690198,0.1973011,0.09099010259408796,1.0,0.8767123287671232
RBM23,1.6881132,0.5250585,0.0913894992825144,1.0,0.4520547945205479
TMEM161B-AS1,1.6881132,0.6548247,0.0913894992825144,1.0,0.3835616438356164
ADAM23,1.6868331,0.55226094,0.09163544038469917,1.0,0.3835616438356164
TAF15,1.6829563,0.48915917,0.09238353677090616,1.0,0.4246575342465753
ANKLE2,1.6823347,0.57208985,0.09250396960307694,1.0,0.4246575342465753
ENO1,1.6819323,0.1493532,0.09258196388590478,1.0,0.9863013698630136
ANKRD9,1.6815666,0.6836711,0.09265291359073281,1.0,0.3424657534246575
IFI27,1.6813471,0.10864048,0.0926955043634559,1.0,0.9863013698630136
SLX4IP,1.6809814,1.245675,0.09276652391306743,1.0,0.2054794520547945
CCDC28B,1.6789699,0.6286617,0.09315791260140498,1.0,0.4246575342465753
RPL37A,1.6757149,0.055145282,0.093794056762151,1.0,1.0
TBL2,1.6746908,1.194128,0.09399491092204366,1.0,0.2191780821917808
MPRIP,1.6733376,0.5223893,0.09426085419489445,1.0,0.4520547945205479
AQR,1.6718016,0.76035804,0.09456346638448798,1.0,0.3561643835616438
SBDS,1.6699729,0.29475898,0.09492473364244498,1.0,0.6986301369863014
ZDHHC3,1.6605004,0.5785829,0.09681383203212139,1.0,0.3972602739726027
SNRPB,1.6589643,0.26534426,0.09712298643313025,1.0,0.9863013698630136
CDH5,1.656075,0.2679192,0.09770662944576433,1.0,0.7808219178082192
PPP3CA,1.6534052,0.39976296,0.09824843346174005,1.0,0.589041095890411
ASXL1,1.6509181,0.37655628,0.09875528382617736,1.0,0.6027397260273972
CFAP298,1.6497113,0.39878604,0.09900200654051937,1.0,0.5753424657534246
MT-ND1,1.6494187,0.14302483,0.09906189213719842,1.0,1.0
OSBPL1A,1.6479924,0.7255796,0.09935424855008297,1.0,0.3424657534246575
LTN1,1.6479192,0.7228832,0.09936925972441137,1.0,0.3698630136986301
ARPC5,1.647334,0.22855663,0.09948941427443611,1.0,0.958904109589041
GTF2E2,1.6467123,0.3851189,0.09961720545748493,1.0,0.6301369863013698
COMMD2,1.6440058,0.6128964,0.10017499916436166,1.0,0.410958904109589
GNL3L,1.6412628,0.47764364,0.1007428686643571,1.0,0.4246575342465753
COMMD8,1.6411531,0.7113159,0.10076563669187696,1.0,0.3561643835616438
FMNL2,1.6363255,0.643797,0.10177149562734071,1.0,0.3424657534246575
SLC27A3,1.6345333,1.4349884,0.10214691083625731,1.0,0.1780821917808219
RNF20,1.6335093,0.8765953,0.10236192814021954,1.0,0.2876712328767123
BZW1,1.6307297,0.24105413,0.10294736222207412,1.0,0.958904109589041
RFC1,1.6291205,0.45944837,0.103287512883034,1.0,0.5342465753424658
