names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AKAP11,4.2585816,1.2427033,2.0572802830270683e-05,0.612287757834516,0.5540540540540541
SMIM10L1,3.5379517,1.0013297,0.000403243767433518,1.0,0.5405405405405406
NQO1,3.501993,0.35940194,0.00046179196581268864,1.0,0.9594594594594594
VKORC1,3.4466016,0.52064043,0.0005676848278064954,1.0,0.8243243243243243
EIF1B,2.9513502,0.62046134,0.003163879559628426,1.0,0.7162162162162162
LAPTM4A,2.9298475,0.4512134,0.0033912833821868097,1.0,0.8783783783783784
CENPX,2.8959954,0.5594957,0.0037795797128462325,1.0,0.7162162162162162
KRT19,2.8914552,0.3166002,0.003834623638235622,1.0,0.9594594594594594
C12orf75,2.8884766,0.39908573,0.003871127016797665,1.0,0.8648648648648649
P4HA1,2.7453313,0.53527707,0.0060449818453538985,1.0,0.6891891891891891
SPEN,2.7444596,0.68329155,0.006061060017823243,1.0,0.5540540540540541
ARL6IP4,2.6852548,0.34940493,0.007247455429270902,1.0,0.9594594594594594
AK1,2.6539087,0.5243591,0.007956534150212682,1.0,0.7432432432432432
NLGN1,2.6499133,0.7438576,0.008051242546644227,1.0,0.5135135135135135
FAM89B,2.6450462,0.82116693,0.008167977451046972,1.0,0.44594594594594594
GCC2,2.6378908,0.69357884,0.008342346334513648,1.0,0.5135135135135135
MRPL55,2.632951,0.6282724,0.008464658174651498,1.0,0.5675675675675675
ETFB,2.6297908,0.315245,0.008543740430411107,1.0,0.9054054054054054
RBM17,2.6230712,0.5565088,0.008714103372030551,1.0,0.7027027027027027
SNCA,2.6180224,0.4062554,0.008844096479105296,1.0,0.9054054054054054
ITPR2,2.615371,0.539853,0.008913057710062967,1.0,0.7027027027027027
ACTB,2.615153,0.10584066,0.008918747060064867,1.0,1.0
PMS1,2.6026945,1.0433457,0.009249430154185142,1.0,0.35135135135135137
TMEM203,2.5846426,0.7524108,0.009748000037381225,1.0,0.4594594594594595
GRB2,2.5632126,0.5504761,0.010370854590651098,1.0,0.6081081081081081
PIK3C2A,2.5571468,0.4941652,0.010553468985517431,1.0,0.6891891891891891
NFE2L3,2.54062,0.6668732,0.011065605312472644,1.0,0.527027027027027
SERPIND1,2.5400028,0.77252,0.011085160813427806,1.0,0.44594594594594594
PPM1G,2.53924,0.39277646,0.011109359990926658,1.0,0.8783783783783784
AC005261.1,2.5288155,1.0764228,0.011444816667836085,1.0,0.35135135135135137
NR2F2,2.5088747,0.34990504,0.012111643897635346,1.0,0.918918918918919
SAP30BP,2.4966705,0.7016259,0.012536539223482588,1.0,0.527027027027027
COL6A2,2.492675,0.5810774,0.0126784817269637,1.0,0.5675675675675675
UPF2,2.475967,0.7273435,0.01328758974919951,1.0,0.4594594594594595
IVNS1ABP,2.4753132,0.72467184,0.013311941639648417,1.0,0.4864864864864865
MVP,2.4644892,0.64408666,0.013720872857808859,1.0,0.527027027027027
EIF2B2,2.3997996,0.6935478,0.01640405396803545,1.0,0.43243243243243246
ATP2B1,2.3959131,0.49292532,0.016579022965674744,1.0,0.7162162162162162
NFAT5,2.3932614,0.53386116,0.01669933287885022,1.0,0.5945945945945946
DDX6,2.3668916,0.59661525,0.017938180811956413,1.0,0.581081081081081
SOD2,2.3660927,1.0080432,0.017976946453715763,1.0,0.32432432432432434
DBF4,2.3656204,0.8831222,0.01799988790062655,1.0,0.3783783783783784
PHF20L1,2.3635864,0.43918556,0.0180990060099552,1.0,0.7162162162162162
HLA-C,2.3586102,0.26921862,0.018343508943773307,1.0,0.9864864864864865
ZDHHC20,2.3516364,0.8998008,0.018691033704379932,1.0,0.3783783783783784
SUB1,2.3447351,0.33516017,0.019040595026384242,1.0,1.0
SRR,2.3431735,1.7252865,0.01912049487769947,1.0,0.22972972972972974
NUFIP2,2.3414662,0.5038902,0.019208162391618433,1.0,0.6756756756756757
NT5C,2.3406672,0.55721426,0.01924931882427194,1.0,0.5945945945945946
FASTK,2.319673,0.8257885,0.02035857308596062,1.0,0.36486486486486486
FGFR1,2.3194914,0.4503275,0.020368407043546977,1.0,0.7027027027027027
NDUFB6,2.3002408,0.5297893,0.02143458732032674,1.0,0.6891891891891891
STAU1,2.2924678,0.31661272,0.021878665097053128,1.0,0.8783783783783784
RND3,2.289562,0.4712661,0.02204671951613967,1.0,0.7297297297297297
DYNC1LI1,2.2872012,0.49055418,0.022184089452538566,1.0,0.6621621621621622
PSMF1,2.2799003,0.5142011,0.022613600169796792,1.0,0.5945945945945946
ANXA2,2.2753963,0.1280439,0.022882161256360233,1.0,1.0
SH3KBP1,2.272309,0.4710857,0.023067852288380226,1.0,0.6756756756756757
FAM20B,2.267805,0.88382024,0.023341089383513813,1.0,0.36486486486486486
CCDC85B,2.2659526,0.2716231,0.02345428196739594,1.0,0.9054054054054054
SMIM29,2.2593057,0.5965052,0.023864374428183427,1.0,0.527027027027027
PRXL2A,2.2582161,0.37342268,0.02393219269260799,1.0,0.8648648648648649
BRI3,2.2465203,0.27250066,0.024670697665353007,1.0,0.9864864864864865
API5,2.2290132,0.7238108,0.025813032632354124,1.0,0.4189189189189189
BIRC6,2.2277417,0.4557654,0.025897735510775954,1.0,0.6081081081081081
KRT18,2.214448,0.19994868,0.026797979083277298,1.0,0.9864864864864865
COA8,2.2091813,0.43886647,0.02716203615683315,1.0,0.6891891891891891
AASDHPPT,2.1974854,0.6057138,0.027985787578798292,1.0,0.5
PPP1CA,2.196178,0.37435207,0.02807920881407894,1.0,0.7972972972972973
LSG1,2.1869159,0.80864984,0.028748669601000545,1.0,0.36486486486486486
GOLGA2,2.179506,0.51651144,0.029294090545651474,1.0,0.5540540540540541
PHAX,2.151393,0.8060322,0.03144520636475204,1.0,0.3918918918918919
SPAG7,2.1331592,0.39911628,0.03291167274224535,1.0,0.6891891891891891
GNB1,2.130798,0.3549486,0.03310576932273582,1.0,0.9324324324324325
ACBD3,2.1293454,0.51641953,0.033225699679709716,1.0,0.5945945945945946
LRPAP1,2.128873,0.37558463,0.03326475701281346,1.0,0.7297297297297297
MCFD2,2.1284373,0.38898942,0.033300844799942,1.0,0.9054054054054054
CDH5,2.11725,0.42741868,0.034238628900657854,1.0,0.918918918918919
ACTR2,2.1172137,0.3138177,0.03424171003810397,1.0,0.9459459459459459
JUND,2.1127825,0.29085886,0.03461939095714083,1.0,0.8918918918918919
REEP3,2.1015227,0.39761776,0.03559511409784212,1.0,0.6756756756756757
DAG1,2.0942218,0.59820914,0.0362402189049787,1.0,0.4594594594594595
MBNL2,2.0845966,0.461487,0.037105939073080796,1.0,0.6621621621621622
TMOD3,2.074281,0.31482676,0.03805321502223561,1.0,0.918918918918919
DUSP18,2.074281,1.0601206,0.03805321502223561,1.0,0.28378378378378377
EXOSC7,2.0740995,0.4793104,0.038070074949333586,1.0,0.527027027027027
KNOP1,2.071339,0.44594812,0.0383271289653142,1.0,0.6081081081081081
DDX10,2.0677068,0.3766215,0.03866760469955211,1.0,0.7432432432432432
LMAN1,2.063784,0.33667898,0.03903820186624919,1.0,0.9324324324324325
DYNC1LI2,2.0616047,0.43564475,0.03924538966033534,1.0,0.6621621621621622
WARS,2.0612779,0.42815113,0.03927654821969604,1.0,0.6486486486486487
INSIG1,2.0591712,0.3775012,0.03947785209922176,1.0,0.8648648648648649
CD59,2.0560474,0.13940783,0.0397779488912639,1.0,0.9864864864864865
RBAK,2.055539,1.7086112,0.03982698461061578,1.0,0.20270270270270271
FNBP4,2.0555027,0.50981057,0.039830489123830186,1.0,0.5135135135135135
NHSL2,2.0510712,0.6652102,0.04026000746599071,1.0,0.4594594594594595
TRIAP1,2.0505264,0.54518956,0.040313087275532886,1.0,0.5135135135135135
EMD,2.048456,0.42862803,0.040515332102625846,1.0,0.581081081081081
JMJD1C,2.0470757,0.5112425,0.04065063934318484,1.0,0.5405405405405406
ANXA3,2.0458772,0.6582557,0.040768453567631105,1.0,0.4189189189189189
PTP4A2,2.0456955,0.340504,0.040786329428614335,1.0,0.8378378378378378
SNRPD2,2.045623,0.16096273,0.04079348163279286,1.0,0.9594594594594594
DIAPH1,2.0378864,0.4561231,0.041561300133834175,1.0,0.5945945945945946
CARM1,2.0329466,0.51255953,0.042057923715656656,1.0,0.5
TTC9C,2.0259726,0.86710024,0.04276758148393603,1.0,0.32432432432432434
GLOD4,2.0244472,0.59256786,0.04292416141077681,1.0,0.4594594594594595
DDOST,2.0236845,0.35105327,0.04300263292384368,1.0,0.7162162162162162
PPP1R9B,2.0225585,1.3976887,0.04311869341750355,1.0,0.22972972972972974
ASRGL1,2.0154393,0.7008553,0.043858639463514856,1.0,0.35135135135135137
MTG2,2.0154393,0.88797253,0.043858639463514856,1.0,0.33783783783783783
SUMO2,2.0147128,0.17209929,0.04393474346614625,1.0,0.972972972972973
GNS,2.00941,0.41048494,0.04449368735132499,1.0,0.6486486486486487
ATG101,2.0081022,0.75819755,0.044632427543969753,1.0,0.36486486486486486
IGF2BP2,2.0073032,0.4073359,0.04471739274682436,1.0,0.7972972972972973
GNAI2,2.00694,0.23864187,0.04475605837266348,1.0,0.9864864864864865
YIF1A,2.0063224,0.36960882,0.04482185465481418,1.0,0.8108108108108109
TXNDC15,2.004688,0.5076484,0.044996415186836225,1.0,0.5
CALCOCO2,2.0042884,0.44974902,0.04503917262423635,1.0,0.6486486486486487
SEPHS1,2.003453,0.7166798,0.045128685251004635,1.0,0.36486486486486486
H3F3B,2.0003657,0.17951155,0.04546079526999726,1.0,0.9594594594594594
FAM126A,1.9981863,0.39421627,0.045696464030617494,1.0,0.6621621621621622
C1D,1.9952443,0.57090855,0.04601624894236431,1.0,0.47297297297297297
POLL,1.9900866,0.9423408,0.04658140791356502,1.0,0.2702702702702703
PDZD11,1.9797347,0.48848668,0.04773334657239844,1.0,0.5
NPDC1,1.9758482,0.4156586,0.04817196745278622,1.0,0.7432432432432432
NRGN,1.9736689,0.49555734,0.0484194014187228,1.0,0.5405405405405406
MGAT4A,1.9709084,0.45794046,0.048734349332523005,1.0,0.581081081081081
CAPNS1,1.965787,0.2510295,0.04932321669189394,1.0,0.8513513513513513
MGST1,1.9548178,0.17277886,0.05060458382829073,1.0,0.9054054054054054
ZNF330,1.950895,0.551385,0.051069540100808455,1.0,0.4594594594594595
SNRNP27,1.9502048,0.53710884,0.05115170686374067,1.0,0.47297297297297297
DIXDC1,1.9443207,0.47291258,0.05185679199398184,1.0,0.5675675675675675
RTN3,1.9427588,0.4492006,0.05204530393197185,1.0,0.6351351351351351
CNDP2,1.9395988,0.6783823,0.05242846521024146,1.0,0.3783783783783784
RAB4B,1.9381822,0.8604657,0.0526009912124296,1.0,0.32432432432432434
MTHFD2,1.9381822,0.40363166,0.0526009912124296,1.0,0.6756756756756757
WAC,1.9358577,0.39824596,0.05288513911952795,1.0,0.6216216216216216
OGA,1.9322617,0.45569897,0.0533272064518111,1.0,0.5945945945945946
AK3,1.9313537,0.42010587,0.05343932644932884,1.0,0.6486486486486487
NSMCE2,1.9294649,0.6886472,0.053673166741730595,1.0,0.3783783783783784
B3GNT5,1.9283752,0.7842622,0.05380846280388083,1.0,0.32432432432432434
CHCHD3,1.9257964,0.5414078,0.05412979806682305,1.0,0.4594594594594595
MZT1,1.9218373,0.6477949,0.054626230954374994,1.0,0.4594594594594595
UBAC2,1.9196217,0.8035488,0.0549057045594807,1.0,0.33783783783783783
NUDC,1.9184594,0.21894477,0.05505278977735523,1.0,0.8648648648648649
SEPHS2,1.917624,0.69235533,0.055158710055755705,1.0,0.33783783783783783
