names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CD59,3.243362,0.22550993,0.001181280865132369,1.0,1.0
PGP,3.053135,0.65415794,0.002264640692787254,1.0,0.6
NDFIP1,2.7371426,0.51732427,0.0061975427043896554,1.0,0.6444444444444445
FAM241A,2.7244477,0.6827074,0.00644091453911299,1.0,0.5111111111111111
QARS,2.6884677,0.61036503,0.007178079211326289,1.0,0.5444444444444444
NSA2,2.675641,0.1844598,0.007458646048778392,1.0,0.9
MPG,2.641437,0.41568264,0.008255512601188782,1.0,0.7777777777777778
GNB2,2.6347609,0.3797687,0.008419659976780723,1.0,0.7111111111111111
PITPNB,2.6216054,0.5332392,0.008751669828860668,1.0,0.6111111111111112
UTRN,2.6144686,0.46827626,0.008936637598464268,1.0,0.6888888888888889
ACP1,2.6135478,0.5092013,0.008960756987930581,1.0,0.6333333333333333
RUFY1,2.5893419,1.1412253,0.00961595936057207,1.0,0.34444444444444444
MPLKIP,2.5821722,0.4853752,0.009818060521019994,1.0,0.6222222222222222
UQCRH,2.5004115,0.16360882,0.012404915966799802,1.0,0.9777777777777777
RFC1,2.435391,0.48917612,0.014875709866022681,1.0,0.5888888888888889
HMGA1,2.4073699,0.23967725,0.01606788496029186,1.0,1.0
FAM50A,2.404936,0.3689541,0.016175290384317875,1.0,0.7555555555555555
RABGGTB,2.3919451,0.41204852,0.016759342918689562,1.0,0.6666666666666666
KDELR2,2.3841507,0.3211955,0.01711859208343623,1.0,0.8222222222222222
HES2,2.3356073,0.48346943,0.019511718183945186,1.0,0.5666666666666667
TOMM20,2.3027847,0.18557072,0.02129096523683709,1.0,0.8666666666666667
NDUFB2,2.205336,0.24485582,0.027430519892560217,1.0,0.9888888888888889
PSME1,2.2035272,0.27051547,0.02755761109173407,1.0,0.8333333333333334
RAB5A,2.1875434,0.7636876,0.028702877192371926,1.0,0.4
DDX46,2.1871817,0.45954266,0.02872926622602118,1.0,0.6222222222222222
NDUFS7,2.1865897,0.28815663,0.028772493345034535,1.0,0.7777777777777778
PGRMC1,2.1492283,0.5479102,0.03161630253043698,1.0,0.4666666666666667
STAU1,2.123049,0.2601702,0.033749734505833434,1.0,0.8666666666666667
PARK7,2.046748,0.18111221,0.04068284386333486,1.0,0.9333333333333333
DRAM1,2.0386574,0.8133169,0.04148423878716632,1.0,0.36666666666666664
IFI27L2,2.0277383,0.42983842,0.04258695803681071,1.0,0.6111111111111112
SLC31A1,2.0090578,0.7440371,0.044531013380725376,1.0,0.32222222222222224
ATP6V0D1,1.9844242,0.60925454,0.0472085644741802,1.0,0.4444444444444444
LAMB2,1.9699862,0.82381064,0.04883995020309613,1.0,0.36666666666666664
PCYOX1,1.9608432,0.37064034,0.04989731413799652,1.0,0.6111111111111112
EMC8,1.9601525,0.53900635,0.049977960779336306,1.0,0.45555555555555555
FRMD4A,1.9409457,0.41832098,0.052264863808264096,1.0,0.6
FAM107A,1.9408141,0.45757803,0.052280824318864084,1.0,0.5666666666666667
CD46,1.9230543,0.29343408,0.05447322124961425,1.0,0.8111111111111111
CWC22,1.9213113,0.77130145,0.05469247494748281,1.0,0.32222222222222224
TTYH3,1.9155229,0.63264024,0.055425849318231094,1.0,0.37777777777777777
LIMS2,1.9126945,0.71550137,0.05578717248713445,1.0,0.34444444444444444
CLPTM1L,1.9008218,0.44588807,0.057325361128103935,1.0,0.5222222222222223
EIF4EBP2,1.8820753,0.72545546,0.059825785977736516,1.0,0.32222222222222224
SERF2,1.8810229,0.10477677,0.05996880149166595,1.0,1.0
YIPF5,1.8807598,0.5658358,0.06000459963576725,1.0,0.4222222222222222
DFFA,1.8676373,0.47486988,0.06181264202344079,1.0,0.5111111111111111
FBXL5,1.864184,0.47069052,0.062295866324375185,1.0,0.5333333333333333
CRIP1,1.8542846,0.3080525,0.06369845498545723,1.0,1.0
RNF10,1.8422474,0.5259223,0.06543896762525483,1.0,0.5
DARS,1.8258361,0.4103774,0.06787495811543469,1.0,0.5777777777777777
RANBP1,1.8166273,0.2736549,0.06927420023341282,1.0,0.8555555555555555
DCAF16,1.8057741,1.024456,0.07095363155164693,1.0,0.24444444444444444
LSM4,1.800512,0.31477094,0.07177983800184602,1.0,0.7333333333333333
TAF10,1.7993938,0.28977668,0.07195641838033932,1.0,0.8111111111111111
DPP9,1.7986044,0.6315765,0.07208127745519387,1.0,0.3888888888888889
DPYSL2,1.7985058,0.2423489,0.0720968973084237,1.0,0.9222222222222223
PTGES3,1.7950524,0.22074117,0.07264534095398803,1.0,0.9333333333333333
CUL1,1.7822589,0.6781037,0.07470702921109008,1.0,0.3111111111111111
TNKS1BP1,1.7697283,0.902272,0.07677240505250812,1.0,0.25555555555555554
UQCRQ,1.767755,0.10680695,0.0771018640734679,1.0,0.9444444444444444
KCNAB1,1.7616707,0.27652532,0.0781249553781348,1.0,0.7666666666666667
SARAF,1.7544023,0.26041222,0.07936159351916766,1.0,0.7666666666666667
CRTAP,1.7509161,0.22002696,0.07996035517113767,1.0,0.8666666666666667
TLE5,1.7507846,0.29346576,0.07998302163609246,1.0,0.8444444444444444
SPTY2D1,1.7442398,0.57438606,0.08111728616280332,1.0,0.35555555555555557
IDH3G,1.7432202,0.40990198,0.08129515043975127,1.0,0.4777777777777778
TWF2,1.7383857,0.31918645,0.0821428851826417,1.0,0.6111111111111112
UTP18,1.7351297,0.4998756,0.08271783790517304,1.0,0.4111111111111111
S100A10,1.7277627,0.08175839,0.08403078332580995,1.0,1.0
TUBB,1.7264471,0.22274044,0.0842670035674713,1.0,0.8777777777777778
RNF139,1.7225662,0.8769914,0.08496698571599333,1.0,0.26666666666666666
NDUFA12,1.7208232,0.24451792,0.0852829112167117,1.0,0.7111111111111111
NAP1L4,1.7199352,0.33587062,0.0854442191693594,1.0,0.6444444444444445
COX20,1.7176001,0.4558407,0.08586957660073796,1.0,0.5111111111111111
IGFBP6,1.7163503,0.3076408,0.08609793468581535,1.0,0.6
CCPG1,1.7157912,0.28955418,0.086200253596204,1.0,0.6444444444444445
EPRS,1.7027675,0.29515854,0.08861159991590005,1.0,0.7333333333333333
PEBP1,1.7007612,0.16917704,0.0889878311431806,1.0,0.9111111111111111
