names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CNOT7,3.9675066,0.64940363,7.26284558383641e-05,1.0,0.8493150684931506
BCLAF1,3.5723689,0.7181413,0.00035376651831847146,1.0,0.6986301369863014
MPC2,3.100025,0.64311624,0.001935043387790484,1.0,0.684931506849315
ANO6,3.019454,0.8177092,0.0025323074177284258,1.0,0.547945205479452
IGF2BP2,2.784361,0.5115355,0.005363331791978216,1.0,0.8082191780821918
ABHD2,2.782642,0.9616505,0.005391826974874122,1.0,0.4383561643835616
DPYSL2,2.7565653,0.39069477,0.005841196316152971,1.0,0.9452054794520548
SERPIND1,2.7533467,0.9482234,0.005898937758806698,1.0,0.4383561643835616
ATF2,2.7453005,1.0863954,0.006045548576679669,1.0,0.3835616438356164
G6PC3,2.7126772,0.6657282,0.006674207214147483,1.0,0.5616438356164384
ADAM9,2.7123847,0.3410513,0.006680101929035377,1.0,0.9178082191780822
ETFB,2.704558,0.3389757,0.006839532802755819,1.0,0.9041095890410958
CKAP4,2.701559,0.40950474,0.006901523588015942,1.0,0.958904109589041
EIF2S3,2.641725,0.40028787,0.008248497604413313,1.0,0.8082191780821918
C17orf49,2.6403353,0.42814535,0.008282403643197335,1.0,0.863013698630137
PSMA3,2.496383,0.47066367,0.012546710346479613,1.0,0.7808219178082192
CLIC1,2.4957244,0.33358175,0.012570017412848883,1.0,1.0
IMP3,2.4947371,0.6954982,0.012605049887540784,1.0,0.4794520547945205
TXNIP,2.4860692,0.550115,0.012916285223981852,1.0,0.6575342465753424
KDELR1,2.459517,0.3419758,0.013912411664577157,1.0,0.8356164383561644
MYO9A,2.4504833,0.9879887,0.014266454974804514,1.0,0.3698630136986301
MMP14,2.423675,0.6305402,0.015364341951741968,1.0,0.5342465753424658
SYNCRIP,2.3977082,0.48076388,0.016498005567120996,1.0,0.684931506849315
FOSL1,2.3914175,0.6974292,0.016783454598234524,1.0,0.4794520547945205
ACTL6A,2.3804822,0.8964106,0.01729000076127784,1.0,0.4246575342465753
UTP23,2.3717046,0.7314992,0.017706244452062973,1.0,0.4246575342465753
RBM25,2.3668036,0.38099912,0.017942446757515596,1.0,0.8493150684931506
CTDNEP1,2.35265,0.50832146,0.018640178272382568,1.0,0.6575342465753424
ZC3H7A,2.3480783,0.8941396,0.018870560309112674,1.0,0.410958904109589
XRN2,2.3297915,0.37792042,0.019817172054656752,1.0,0.9178082191780822
SH3KBP1,2.3229523,0.50190467,0.020181713701093063,1.0,0.684931506849315
SLC12A2,2.3196242,0.81908053,0.020361217925528405,1.0,0.410958904109589
PSMD12,2.2866716,0.461761,0.02221499713265209,1.0,0.6712328767123288
QSOX1,2.2517076,0.41358885,0.02434075846516922,1.0,0.7123287671232876
PSMB1,2.2379193,0.2939309,0.02522630952864412,1.0,0.863013698630137
PIR,2.2322872,0.39366984,0.025595990829025427,1.0,0.9315068493150684
RABAC1,2.2271304,0.27578995,0.025938565804140515,1.0,0.9452054794520548
CSNK1E,2.2243142,0.47475618,0.026127313982725192,1.0,0.6986301369863014
CPSF6,2.222778,0.7562551,0.026230767051270112,1.0,0.4383561643835616
MTRES1,2.2136714,1.3331451,0.026851395600030914,1.0,0.273972602739726
KIF5B,2.2133787,0.38402253,0.026871543936738733,1.0,0.8356164383561644
TFF3,2.207454,0.6047111,0.027282365357718802,1.0,0.5342465753424658
SRP14,2.2046378,0.18112685,0.02747952512329566,1.0,0.9863013698630136
CALU,2.1984568,0.22674769,0.027916565830338674,1.0,0.9863013698630136
S100A13,2.188838,0.243889,0.028608610757487003,1.0,0.958904109589041
AKR7A2,2.1796217,0.48218718,0.0292855213355058,1.0,0.5753424657534246
PNRC1,2.179402,0.58856374,0.029301804800707064,1.0,0.5342465753424658
GOLGB1,2.1641877,0.3791447,0.030449947941962038,1.0,0.726027397260274
IMMT,2.1567268,0.47953972,0.031026962547187398,1.0,0.6438356164383562
ENO1,2.1395006,0.21536002,0.032395137867800156,1.0,1.0
SPTAN1,2.13716,0.44553325,0.032584977992055,1.0,0.684931506849315
PCBP2,2.1366847,0.25126046,0.03262365547867366,1.0,0.9863013698630136
OCIAD1,2.1232257,0.37988853,0.0337349513312513,1.0,0.7808219178082192
CPSF3,2.1217628,0.9307604,0.03385767262009661,1.0,0.3150684931506849
SNHG5,2.1193488,0.19268028,0.03406099727659668,1.0,1.0
ALDH7A1,2.1158013,0.66440684,0.03436171666214346,1.0,0.4383561643835616
NUB1,2.1140091,0.57913685,0.03451448697294179,1.0,0.5205479452054794
COL4A5,2.0797033,0.50430304,0.03755274666724833,1.0,0.589041095890411
SLC38A1,2.0727544,0.548954,0.038195135773591814,1.0,0.589041095890411
MAP1S,2.0684388,0.98320776,0.03859877791680527,1.0,0.3150684931506849
TAF9,2.0680366,0.51205015,0.03863658961489903,1.0,0.5342465753424658
BTG1,2.0623677,0.49337023,0.039172746289329985,1.0,0.547945205479452
SDHA,2.0567353,0.55134773,0.039711688004636106,1.0,0.5068493150684932
VDAC2,2.0481772,0.37104884,0.04054263769956287,1.0,0.9452054794520548
CANX,2.0351205,0.32495773,0.041838744075790475,1.0,0.9315068493150684
EZR,2.0279522,0.3223591,0.042565127561852587,1.0,0.8356164383561644
SECISBP2,2.0276961,0.70422125,0.042591265856114044,1.0,0.3835616438356164
PARK7,2.0262332,0.22734351,0.042740888065820735,1.0,0.9452054794520548
C12orf76,2.0247703,0.65843016,0.042890954449641985,1.0,0.3972602739726027
SNRPF,2.0233805,0.24262398,0.0430339298381327,1.0,0.863013698630137
HYOU1,2.0225759,0.6008838,0.04311688903190696,1.0,0.4657534246575342
COX19,2.0152612,0.78684896,0.04387728160655161,1.0,0.3424657534246575
KLHL24,2.0121891,0.9157422,0.04420000648845035,1.0,0.3287671232876712
TSEN15,2.0033019,0.57940066,0.04514490476592489,1.0,0.4246575342465753
GNAI3,1.9985107,0.43951625,0.04566132149346773,1.0,0.6712328767123288
YRDC,1.9984375,0.9903869,0.045669244133834816,1.0,0.2876712328767123
YES1,1.9947071,0.42160016,0.04607483738179584,1.0,0.684931506849315
VEPH1,1.9891845,0.3884193,0.046680841238043336,1.0,0.6438356164383562
SMIM29,1.9867706,0.53550506,0.04694781617079394,1.0,0.4931506849315068
PSMA1,1.9865147,0.300597,0.04697620689210764,1.0,0.8904109589041096
FBXO11,1.9855272,0.6304793,0.047085849296339286,1.0,0.3835616438356164
DNAJB4,1.9826379,0.386235,0.04740789191111658,1.0,0.6027397260273972
DDX21,1.9785051,0.26075903,0.047871752905467135,1.0,0.8904109589041096
STAT3,1.9772617,0.4894507,0.048012065980122094,1.0,0.547945205479452
MAPKAP1,1.9657776,0.4503365,0.04932430590341544,1.0,0.5753424657534246
CD93,1.9643878,0.28555208,0.049485134328895584,1.0,0.8904109589041096
CAV2,1.9639856,0.31883863,0.049531771944656244,1.0,0.863013698630137
SMARCD1,1.9614254,0.4380398,0.04982942139158389,1.0,0.684931506849315
TMEM204,1.9565246,1.4954294,0.05040339184842848,1.0,0.2054794520547945
PCBP1,1.9520992,0.26210594,0.0509264288158555,1.0,0.7671232876712328
CDC42BPB,1.9485881,0.37219515,0.05134462729936451,1.0,0.6712328767123288
NASP,1.937982,0.3812649,0.0526254300836373,1.0,0.726027397260274
RCN3,1.935751,0.5644093,0.052898212761731914,1.0,0.4246575342465753
RAB5C,1.9322033,0.33768412,0.053334414745716895,1.0,0.7123287671232876
RARS,1.9294603,0.47362638,0.05367374028939065,1.0,0.6164383561643836
MFSD10,1.9292774,0.5627888,0.053696425937993494,1.0,0.4794520547945205
PCMTD1,1.9278511,0.46004304,0.05387364888633676,1.0,0.547945205479452
HIGD2A,1.9212314,0.33550617,0.05470254867612826,1.0,0.8767123287671232
CLOCK,1.9157088,0.711189,0.055402174966097006,1.0,0.3972602739726027
GARS-DT,1.915087,0.70361936,0.055481405803589685,1.0,0.3698630136986301
CUL5,1.9120514,0.4789156,0.05586959575134556,1.0,0.547945205479452
DDX1,1.9045539,0.39312592,0.05683808110362069,1.0,0.589041095890411
