names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MPC2,3.458945,0.7529536,0.0005422954615821191,1.0,0.7014925373134329
IVD,3.2057035,0.84532505,0.0013473278018187305,1.0,0.5522388059701493
UXS1,3.2024186,1.0107759,0.0013627884226707402,1.0,0.5074626865671642
TBC1D9,3.1162858,1.185649,0.001831446761048082,1.0,0.40298507462686567
ACOT13,2.9842029,0.68387514,0.0028431817092149426,1.0,0.7014925373134329
RSL1D1,2.9144945,0.5410708,0.0035626498200750202,1.0,0.8208955223880597
C1orf56,2.831876,1.0660541,0.004627580085393577,1.0,0.3880597014925373
TTC1,2.7743142,0.63277954,0.005531824664356134,1.0,0.6567164179104478
ERICH1,2.771373,0.729074,0.005582045268654518,1.0,0.5970149253731343
PSMD12,2.7243533,0.5881651,0.006442755339650988,1.0,0.7164179104477612
AHCYL1,2.7151098,0.49111146,0.006625381069802645,1.0,0.7611940298507462
PDCD2,2.691428,0.636191,0.00711468489988029,1.0,0.6268656716417911
PSME2,2.684247,0.45646986,0.0072693354467417565,1.0,0.7910447761194029
SPOP,2.5973122,0.688104,0.009395646528736475,1.0,0.5522388059701493
ETS2,2.5674045,0.7456634,0.010246299775248727,1.0,0.4925373134328358
RRP36,2.5658767,0.59555364,0.010291540880278812,1.0,0.582089552238806
NPM1,2.556977,0.23323244,0.010558621682221265,1.0,0.9850746268656716
LCORL,2.5546088,1.0945339,0.010630721045695528,1.0,0.373134328358209
HYI,2.5516295,0.52575934,0.010722048401198529,1.0,0.7164179104477612
ATP5MC1,2.5012867,0.3091508,0.012374296151797944,1.0,0.9253731343283582
CDC5L,2.4821122,0.66835046,0.013060616860319774,1.0,0.5373134328358209
LARS,2.4777577,0.43328068,0.01322108765367377,1.0,0.9552238805970149
NT5C,2.4689727,0.52309364,0.013550159537929518,1.0,0.6567164179104478
LUZP1,2.4648473,0.5656092,0.013707161840258598,1.0,0.6865671641791045
GRSF1,2.456597,0.6031246,0.014025993737668727,1.0,0.6268656716417911
MBTPS1,2.4423115,0.73816556,0.014593546258778877,1.0,0.47761194029850745
SRI,2.4401343,0.40922982,0.014681799954117676,1.0,0.8656716417910447
POLR2I,2.426842,0.3989723,0.01523088557511254,1.0,0.8059701492537313
CCDC90B,2.4180186,0.6031922,0.01560527524583108,1.0,0.5522388059701493
FAM207A,2.4063306,0.62253845,0.016113674640143905,1.0,0.6119402985074627
NOP10,2.382878,0.294368,0.017177883065051646,1.0,0.9253731343283582
GLRX,2.3742456,0.57243484,0.01758484483227225,1.0,0.582089552238806
HPRT1,2.372145,0.54924786,0.01768515370696579,1.0,0.6268656716417911
IGF2BP2,2.365575,0.4714034,0.01800209037949473,1.0,0.835820895522388
BOD1L1,2.3649259,0.5608479,0.018033684045232968,1.0,0.5522388059701493
BGN,2.3636272,1.0819992,0.01809701709881508,1.0,0.3283582089552239
