names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MMRN1,4.6497474,1.6889569,3.3234176736609655e-06,0.007608581292576742,0.5131578947368421
CD59,4.394677,0.3693555,1.1093751744829416e-05,0.022011482628640874,1.0
DDIT4,4.1112976,0.89529,3.934418042485253e-05,0.06888008810614477,0.7368421052631579
PTX3,3.9956236,0.77635604,6.452417832710148e-05,0.10107203133532601,0.8157894736842105
TIMM8B,3.8744311,0.6112244,0.00010687404075679043,0.15146596195255224,0.9210526315789473
LINC00607,3.7480428,1.0515667,0.00017821989613860196,0.23061654560335093,0.5526315789473685
PRCP,3.7220986,0.73417085,0.00019757390054169182,0.24500810116340965,0.7894736842105263
PROCR,3.5137565,0.40843207,0.0004418176767488924,0.5057452959769436,0.9868421052631579
CD55,3.4592164,0.4891626,0.0005417496850225642,0.5385429937766238,0.9736842105263158
RBM3,3.4498277,0.393365,0.0005609445872950521,0.5385429937766238,0.9605263157894737
NR2F1,3.1630437,0.5223904,0.0015612886196449275,1.0,0.8157894736842105
IGFBP5,3.1418655,1.4848362,0.0016787510976796517,1.0,0.39473684210526316
LGALS3,3.1059952,0.566969,0.001896398195111009,1.0,0.7763157894736842
SELENOH,3.1029491,0.42950204,0.0019160251106142957,1.0,0.9210526315789473
BCAR1,3.0953524,0.88980585,0.001965792518429432,1.0,0.5657894736842105
DUSP23,3.083742,1.000758,0.002044148469718686,1.0,0.4605263157894737
IFI27,3.0766108,0.26583183,0.002093684517321442,1.0,0.9868421052631579
FN1,3.0737083,0.38622606,0.0021141608580937036,1.0,0.8947368421052632
IGFBP7,3.0517776,0.36526692,0.0022749066778151297,1.0,0.9342105263157895
SRGN,3.0143661,0.26396117,0.002575167490786931,1.0,0.9736842105263158
HPRT1,3.0052285,0.7575485,0.0026538147431157334,1.0,0.5921052631578947
SRPX,2.9917545,0.45371908,0.002773791130647129,1.0,0.8552631578947368
MRPS17,2.9698596,0.76234084,0.002979357679365501,1.0,0.5526315789473685
RPS23,2.9603994,0.11516679,0.003072404477944162,1.0,1.0
CALM3,2.9472482,0.43144962,0.0032061583298517607,1.0,0.8026315789473685
ZCCHC17,2.9446323,0.67778206,0.0032333878310278545,1.0,0.618421052631579
ID1,2.8746114,0.6723788,0.004045249187655292,1.0,0.6578947368421053
PLOD3,2.8053792,0.5486487,0.005025742373701068,1.0,0.6973684210526315
RPL19,2.8030858,0.13492513,0.005061621147204088,1.0,1.0
CD164,2.8005774,0.41279668,0.0051011285530539975,1.0,0.7894736842105263
TRIM8,2.7893252,0.665936,0.005281798814671301,1.0,0.5921052631578947
ADAM15,2.7868526,0.52949685,0.005322266720586287,1.0,0.6842105263157895
UQCR11,2.7382252,0.1940201,0.006177175885919891,1.0,1.0
THBS1,2.7329934,0.59279716,0.00627615966564771,1.0,0.7236842105263158
ADGRG6,2.7245722,0.61305666,0.006438484231768441,1.0,0.6447368421052632
SRGAP2B,2.7072642,0.76929736,0.006784025285375878,1.0,0.47368421052631576
LPP,2.6758373,0.39059842,0.007454283065406028,1.0,0.8157894736842105
CNPY2,2.6652303,0.48377642,0.007693562968121687,1.0,0.8552631578947368
SPOCK1,2.649678,0.37596998,0.008056850796280607,1.0,0.881578947368421
APP,2.6455572,0.28092015,0.008155652819207207,1.0,0.9868421052631579
PVR,2.6136644,0.6183011,0.008957699624887652,1.0,0.5526315789473685
ATP6AP1,2.6029856,0.51694405,0.00924158272417366,1.0,0.6578947368421053
RPS19,2.5719888,0.103232384,0.010111617835555609,1.0,1.0
SMAGP,2.5363333,0.6497629,0.011202003792915962,1.0,0.5131578947368421
GADD45A,2.5252964,0.7649063,0.01156007661198817,1.0,0.4605263157894737
PEAR1,2.5214262,0.8823201,0.01168801893978869,1.0,0.3815789473684211
CCS,2.518667,0.7560124,0.011780002587737948,1.0,0.4473684210526316
MRPS23,2.509099,0.6111307,0.012103951579135465,1.0,0.5657894736842105
HLA-E,2.506089,0.3200685,0.012207488249967405,1.0,0.9605263157894737
RANGRF,2.503294,0.79338527,0.012304331329451634,1.0,0.4342105263157895
KRTCAP2,2.4990296,0.32685798,0.012453390515737631,1.0,0.9078947368421053
TMA7,2.4848392,0.1518681,0.012960999042734922,1.0,0.9736842105263158
ELP2,2.4772422,0.74992657,0.013240201825818181,1.0,0.4342105263157895
WDR59,2.4610093,0.993987,0.013854683024626085,1.0,0.35526315789473684
BOLA3,2.4550965,0.38810635,0.014084679062868873,1.0,0.7894736842105263
ANXA2,2.4528747,0.13680683,0.014171968883702,1.0,1.0
ICAM2,2.4409418,0.39778098,0.014649014979230645,1.0,0.9473684210526315
THUMPD1,2.4331658,0.9140344,0.014967449014500514,1.0,0.42105263157894735
CDC40,2.4244938,0.6679112,0.015329747060582403,1.0,0.5131578947368421
CAPRIN2,2.4224513,1.0651435,0.015416196849975127,1.0,0.32894736842105265
UQCR10,2.400413,0.32743055,0.016376585912212083,1.0,0.9868421052631579
RCN1,2.399732,0.29854804,0.016407075526463057,1.0,0.9473684210526315
EMP3,2.368556,0.24853489,0.01785767549486676,1.0,0.9868421052631579
MED30,2.364256,0.87753487,0.018066329579488838,1.0,0.39473684210526316
KLF2,2.3590958,0.5466261,0.01831953045968901,1.0,0.6052631578947368
RPS18,2.3552256,0.08251457,0.01851146454220634,1.0,1.0
VAMP5,2.3543656,0.15387228,0.01855435476828248,1.0,0.9736842105263158
ZFX,2.3420744,0.74768,0.01917689703735289,1.0,0.4342105263157895
NOS3,2.3415368,0.72132534,0.019204533741031923,1.0,0.4342105263157895
TNPO1,2.335445,0.40109265,0.01952019090583109,1.0,0.8157894736842105
CDH2,2.332435,0.56416255,0.019677829009209412,1.0,0.5526315789473685
CRELD1,2.3297114,0.8948893,0.019821410807910507,1.0,0.3684210526315789
PSMB5,2.327848,0.33279002,0.0199201772631573,1.0,0.9078947368421053
CANX,2.3266654,0.2879854,0.0199830785727247,1.0,0.881578947368421
STOM,2.3185668,0.3307453,0.020418535206019564,1.0,0.8289473684210527
SNHG8,2.3132992,0.38485298,0.0207061971194402,1.0,0.8157894736842105
TOMM6,2.3092856,0.32799813,0.020927733433691368,1.0,0.9605263157894737
ANKRD1,2.3073864,0.573066,0.02103328566576279,1.0,0.6842105263157895
PURA,2.3017247,0.5149969,0.021350708189726234,1.0,0.631578947368421
TAF11,2.3006496,0.51803184,0.02141144729127181,1.0,0.5921052631578947
ZFP36L1,2.2963853,0.26484933,0.021653863634062666,1.0,0.9078947368421053
TMEM123,2.295167,0.42029244,0.021723562774803997,1.0,0.7894736842105263
NPRL3,2.2815497,0.9449219,0.02251593651077561,1.0,0.35526315789473684
CRYL1,2.2774646,0.5999648,0.022758495744575856,1.0,0.5
ARMCX6,2.2719462,0.6903474,0.023089766738156547,1.0,0.42105263157894735
