names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GADD45A,3.1812575,0.8920826,0.0014663718444459745,1.0,0.4891304347826087
RPS15A,3.0917861,0.087588705,0.0019895605947853894,1.0,1.0
TPRKB,3.059068,0.89265764,0.0022202682420774007,1.0,0.45652173913043476
CCT7,3.0583525,0.43801078,0.002225576965209708,1.0,0.7934782608695652
POLD2,2.9988675,0.63601637,0.0027098518172495034,1.0,0.6195652173913043
UBE2D3,2.9730766,0.368888,0.002948309251640558,1.0,0.8478260869565217
GNPNAT1,2.881101,0.7323568,0.003962887523954998,1.0,0.4891304347826087
DDT,2.7995002,0.32634726,0.005118178905498644,1.0,0.9130434782608695
TKT,2.6760745,0.21469165,0.007449006283821522,1.0,1.0
DUSP6,2.6696675,0.40459847,0.00759263863980192,1.0,0.8260869565217391
SETD3,2.6382825,0.66357875,0.008332710159811497,1.0,0.4782608695652174
ATP5PF,2.6130772,0.31827128,0.008973104525406797,1.0,0.9456521739130435
GSS,2.5889125,0.5115965,0.009627958305463048,1.0,0.5760869565217391
EWSR1,2.5678375,0.5426364,0.01023351565537543,1.0,0.5760869565217391
RPL22L1,2.5402253,0.2284462,0.011078112462614876,1.0,1.0
AP2A2,2.5104015,0.50406474,0.012059400231880285,1.0,0.6413043478260869
SRP14,2.4698775,0.1643819,0.013515934223406093,1.0,1.0
UQCC2,2.4506888,0.36505523,0.01425831785202929,1.0,0.9021739130434783
DIP2A,2.342354,0.5485791,0.019162531654147642,1.0,0.5108695652173914
TOP2B,2.3381584,0.570194,0.019379029085956227,1.0,0.5108695652173914
RTRAF,2.331166,0.29178992,0.0197446093370369,1.0,0.9021739130434783
PCBP2,2.3171484,0.18699381,0.020495645115610996,1.0,0.9456521739130435
ATP5F1B,2.3060582,0.23598173,0.021107388246829863,1.0,0.9130434782608695
AASS,2.293309,0.6169832,0.021830223497108576,1.0,0.4782608695652174
ANPEP,2.2874222,0.3210582,0.022171188012728323,1.0,0.8913043478260869
AFAP1,2.275161,0.46002603,0.022896272603866837,1.0,0.5869565217391305
STK32C,2.2748032,0.65981764,0.022917734648463303,1.0,0.42391304347826086
SNRPD2,2.2673879,0.19983613,0.02336653587452711,1.0,0.9782608695652174
PDS5A,2.263095,0.4499525,0.023629839618861614,1.0,0.5978260869565217
PSMB7,2.2508662,0.32124293,0.024394014484144782,1.0,0.6956521739130435
PSMB1,2.245207,0.24309228,0.024754837967123508,1.0,0.8260869565217391
GID4,2.2383773,0.9633119,0.025196463268425593,1.0,0.29347826086956524
NDUFS8,2.2298563,0.23782764,0.025756991931648893,1.0,0.8369565217391305
SLC9A3R2,2.2123263,0.48358428,0.026944135678043633,1.0,0.5652173913043478
EIF6,2.207903,0.28236085,0.02725103426486115,1.0,0.8260869565217391
MET,2.205789,0.91511446,0.027398776026354658,1.0,0.30434782608695654
NDUFB8,2.2031546,0.24987884,0.027583851709172574,1.0,0.9239130434782609
DHRS4L2,2.1936255,0.83097726,0.028262355745781363,1.0,0.33695652173913043
SSBP1,2.192422,0.30469725,0.02834905145092748,1.0,0.8695652173913043
RPSA,2.1902754,0.10488474,0.028504266794612425,1.0,1.0
BIRC6,2.1851368,0.4389732,0.028878819588417724,1.0,0.6086956521739131
ARL2,2.1758351,0.26200965,0.029567590290436166,1.0,0.8695652173913043
GNB2,2.1758027,0.33326238,0.029570023153268093,1.0,0.7608695652173914
C12orf57,2.1712494,0.22183366,0.029912327621818818,1.0,0.8913043478260869
ARMCX3,2.142889,0.3989453,0.03212200221848981,1.0,0.5978260869565217
MTIF3,2.142759,0.38071984,0.03213245229621266,1.0,0.6739130434782609
SPOP,2.1256843,0.54247594,0.03352955084850116,1.0,0.4891304347826087
ORMDL1,2.1149516,0.4305242,0.03443406481926451,1.0,0.5978260869565217
CTCF,2.1041214,0.6469501,0.035367853012534964,1.0,0.391304347826087
TRAPPC3,2.1010318,0.39426184,0.03563817846776476,1.0,0.6413043478260869
HINT1,2.0867217,0.15566708,0.03691331235010852,1.0,1.0
HMGN2,2.0761516,0.26949966,0.037879940868552064,1.0,0.9130434782608695
RAC1,2.0687363,0.1713145,0.038570847005056086,1.0,0.9782608695652174
TRIM33,2.058654,0.73088515,0.039527393988181926,1.0,0.34782608695652173
LRRFIP1,2.0471733,0.3464485,0.040641069404468606,1.0,0.8586956521739131
CKLF,2.0387173,0.3174608,0.041478250903193535,1.0,0.75
ITGA2,2.0328305,0.45040965,0.04206964130250103,1.0,0.6195652173913043
CRLS1,2.0296757,0.5357023,0.04238950022596418,1.0,0.4782608695652174
WDR45B,2.0217402,0.4157939,0.043203200816194366,1.0,0.5543478260869565
LINC00472,2.0196261,0.85446936,0.04342217857653966,1.0,0.29347826086956524
PTEN,2.013512,0.37951252,0.04406081420622354,1.0,0.5543478260869565
PLP2,2.0117881,0.2441312,0.04424228141546168,1.0,0.8043478260869565
CAMK2D,2.0008929,0.8102917,0.045403943501191805,1.0,0.33695652173913043
MECOM,1.9972177,0.6129361,0.04580154138477149,1.0,0.3804347826086957
GSK3A,1.9939328,0.76020133,0.046159395043441354,1.0,0.32608695652173914
TALDO1,1.991461,0.22522399,0.046430220921179086,1.0,0.8260869565217391
DMAC2L,1.9864525,0.59666646,0.0469831024368025,1.0,0.358695652173913
NAV1,1.9846963,0.43741703,0.0471782769714885,1.0,0.5652173913043478
SPCS2,1.9784843,0.3301567,0.04787409675376024,1.0,0.8478260869565217
EIF3H,1.9645643,0.13689156,0.049464678259975074,1.0,0.8913043478260869
COA7,1.9625155,0.96491593,0.04970250759476688,1.0,0.25
SSU72,1.9532138,0.3531489,0.050794269074739,1.0,0.6304347826086957
CD55,1.951425,0.23409086,0.05100650969509217,1.0,0.967391304347826
TUBA1A,1.9412452,0.26634586,0.05222853836783125,1.0,0.8913043478260869
ZNF580,1.940302,0.53170097,0.05234299057405126,1.0,0.44565217391304346
MOB4,1.9370497,0.49204868,0.05273926297018165,1.0,0.43478260869565216
CHD3,1.9354236,0.42878702,0.052938337578854425,1.0,0.5434782608695652
LYRM1,1.9327892,0.6671759,0.053262170837459315,1.0,0.358695652173913
C1orf174,1.9291141,0.90182745,0.053716701240448916,1.0,0.25
FKBP5,1.9175358,0.4808583,0.05516989491641908,1.0,0.5
RPS9,1.910836,0.08354769,0.056025654810878796,1.0,1.0
TIMM29,1.9105433,1.148755,0.0560632930159137,1.0,0.21739130434782608
HSD17B11,1.9063479,0.5387916,0.056605091777858094,1.0,0.40217391304347827
AC006504.5,1.9000709,1.2206556,0.05742382161431581,1.0,0.20652173913043478
ADGRG1,1.8950298,0.3970418,0.058088459166920924,1.0,0.5543478260869565
RBM5,1.8918099,0.53532517,0.05851630552553847,1.0,0.41304347826086957
ATXN7,1.8914847,0.7582148,0.05855966749760839,1.0,0.2826086956521739
DEK,1.8899887,0.29558873,0.058759476432293276,1.0,0.8369565217391305
NECAP2,1.8822482,0.5948038,0.05980233236901524,1.0,0.391304347826087
SNAPC5,1.8787682,0.6887332,0.060276156983777064,1.0,0.32608695652173914
ARPC4,1.8738897,0.39104256,0.06094563295162316,1.0,0.6521739130434783
GTF2A2,1.8694665,0.31880644,0.06155793766241717,1.0,0.6847826086956522
CEBPG,1.8654011,0.8715337,0.06212520091847622,1.0,0.2826086956521739
MRPL42,1.8567175,0.35743615,0.06335136773308242,1.0,0.6521739130434783
DYNLRB1,1.8530748,0.26330525,0.06387163517183875,1.0,0.7934782608695652
CERK,1.8510258,0.6131097,0.06416583301998208,1.0,0.32608695652173914
LRRC47,1.849172,0.8844426,0.06443297522783915,1.0,0.2608695652173913
PLA2G12A,1.8488793,0.52685165,0.06447523937634411,1.0,0.3804347826086957
FAM136A,1.8418869,0.3448912,0.06549170431645969,1.0,0.6195652173913043
ESD,1.8412689,0.27874377,0.06558216334911662,1.0,0.7934782608695652
MEIS2,1.8407811,0.3820122,0.0656536511146379,1.0,0.5
SPAG7,1.840586,0.33573705,0.06568226420195841,1.0,0.6086956521739131
NUDCD2,1.8369758,0.38326254,0.0662134630989029,1.0,0.5652173913043478
TMEM134,1.8332356,0.39549822,0.06676753226492421,1.0,0.5217391304347826
GADD45GIP1,1.830894,0.20205949,0.06711636706659363,1.0,0.967391304347826
RBMX,1.8240967,0.35536534,0.06813746298680798,1.0,0.6739130434782609
PIN1,1.8234787,0.3107577,0.06823091993216474,1.0,0.6521739130434783
C20orf96,1.8178847,0.9347221,0.06908175570737025,1.0,0.2608695652173913
TECPR1,1.8178197,0.7551765,0.06909170017587857,1.0,0.2717391304347826
CCDC28B,1.8177221,0.44251087,0.0691066190835399,1.0,0.45652173913043476
SDHB,1.8166488,0.46924165,0.06927090178700426,1.0,0.5
EIF1,1.811868,0.11349373,0.07000660781595795,1.0,1.0
KIAA0232,1.8118029,0.60807604,0.07001666146852568,1.0,0.33695652173913043
CD9,1.807022,0.13631387,0.07075885548241591,1.0,0.9891304347826086
GGT5,1.8053308,0.58017194,0.07102294022561392,1.0,0.34782608695652173
UBE2M,1.802794,0.30064127,0.0714205819975051,1.0,0.6956521739130435
EDA2R,1.7992164,1.017058,0.07198445797729384,1.0,0.21739130434782608
SRP72,1.7913133,0.25155175,0.07324304116994172,1.0,0.7391304347826086
LPCAT4,1.7905653,0.59184545,0.0733630931929646,1.0,0.391304347826087
FTL,1.7830849,0.103148885,0.0745724877186751,1.0,1.0
GALNT11,1.7762225,0.4144908,0.07569625431070713,1.0,0.4673913043478261
TNFAIP8L3,1.7704009,0.55619955,0.07666039217540906,1.0,0.391304347826087
LBR,1.7667257,0.47486904,0.07727417648443076,1.0,0.45652173913043476
MT-ATP8,1.7642214,0.30419832,0.0776947082850259,1.0,0.75
TOMM7,1.7570013,0.11702541,0.07891759361434914,1.0,0.9891304347826086
RPL35A,1.7554401,0.076967515,0.07918404936976575,1.0,1.0
