names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFA6,3.3756676,0.6873278,0.0007363683795460817,1.0,0.8461538461538461
NSD3,3.1436996,0.80360526,0.0016682650609686322,1.0,0.6346153846153846
DEGS1,3.094814,0.8173522,0.0019693624286544658,1.0,0.6153846153846154
EIF4G1,3.031645,0.585052,0.002432251101818934,1.0,0.7884615384615384
BLOC1S1,2.840965,0.49128702,0.00449772370539466,1.0,0.8076923076923077
GABBR2,2.6819785,0.76343405,0.00731881943190875,1.0,0.6153846153846154
COX6C,2.676812,0.27672076,0.007432634061804124,1.0,1.0
MCTS1,2.6628323,0.5915128,0.007748603773112848,1.0,0.6730769230769231
NOP10,2.6107774,0.39177674,0.009033669639445008,1.0,0.9230769230769231
PAPSS2,2.6096919,0.723683,0.009062379298148418,1.0,0.6153846153846154
VTI1B,2.6085198,0.57634443,0.009093477204052684,1.0,0.6730769230769231
CAPNS1,2.5725284,0.3743418,0.010095865480365054,1.0,0.8653846153846154
ENOSF1,2.5613708,0.7938725,0.0104260031829409,1.0,0.5384615384615384
RAPGEF5,2.4026444,0.88399637,0.01627700215153211,1.0,0.46153846153846156
CSE1L,2.388578,0.6310515,0.016913719534894317,1.0,0.5961538461538461
SLC38A6,2.3654375,1.5748073,0.018008776921684344,1.0,0.3076923076923077
CCDC112,2.341646,1.2003168,0.01919891265919891,1.0,0.36538461538461536
TCEAL9,2.3363495,0.4387235,0.019473039520796223,1.0,0.75
PODXL,2.3312697,0.5881221,0.019739137609698816,1.0,0.7115384615384616
HSPA5,2.2730498,0.27880916,0.02302317172404736,1.0,0.9230769230769231
CDK2AP1,2.2706187,0.44963735,0.023170072457383752,1.0,0.8076923076923077
RPL38,2.265018,0.11696649,0.023511569016338888,1.0,1.0
TRAPPC5,2.2539907,0.36052528,0.02419675820483027,1.0,0.8461538461538461
XRN2,2.2478256,0.39333868,0.02458730963900795,1.0,0.8653846153846154
CCT6A,2.2291136,0.3873172,0.025806342742190368,1.0,0.8269230769230769
RPP25L,2.2275507,1.0700506,0.02591049012633579,1.0,0.38461538461538464
MYEF2,2.2110095,0.76082134,0.027035179216821054,1.0,0.4807692307692308
