names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SMS,3.649374,0.41731617,0.000262880138028918,1.0,0.8414634146341463
HNRNPC,3.6116872,0.35448667,0.00030421130681050303,1.0,0.9512195121951219
PGAM1,3.3305366,0.54512304,0.0008667879897928133,1.0,0.7682926829268293
TMEM30A,3.3025732,0.46681935,0.0009580210139950245,1.0,0.9024390243902439
S100A16,3.232751,0.25188366,0.001226044067424562,1.0,0.9878048780487805
PRPF38B,3.215442,0.63651454,0.0013024384808158504,1.0,0.6463414634146342
USP48,3.1658595,0.5553362,0.001546254430439322,1.0,0.7682926829268293
HNRNPA2B1,3.0889344,0.3353766,0.002008757717845455,1.0,0.9634146341463414
BCLAF1,3.0588334,0.5807527,0.0022220075821332372,1.0,0.6951219512195121
TYW3,3.03187,0.7083278,0.0024304396783525234,1.0,0.5609756097560976
YY1,3.0094922,0.43605068,0.0026168473832120054,1.0,0.8048780487804879
CD9,2.941256,0.26385015,0.003268841036134098,1.0,0.9878048780487805
SLU7,2.8805711,0.9472623,0.003969553237031973,1.0,0.4146341463414634
PTCD3,2.8502288,0.6986186,0.004368780636133454,1.0,0.524390243902439
GALNT7,2.8448153,0.7318585,0.004443718163451347,1.0,0.5365853658536586
HMGA1,2.8433328,0.28349328,0.004464444670564714,1.0,0.975609756097561
DCXR,2.813059,0.57940394,0.004907262681510338,1.0,0.6951219512195121
SRSF3,2.8066802,0.40054515,0.005005489045529567,1.0,0.8414634146341463
TOX,2.7606149,1.1770854,0.005769266143124805,1.0,0.35365853658536583
MRPL55,2.7599254,0.69637805,0.005781458118380264,1.0,0.5609756097560976
SNCA,2.723859,0.3314208,0.006452402674149034,1.0,0.8658536585365854
EZR,2.7123082,0.40285984,0.00668164224865824,1.0,0.8414634146341463
ITPR2,2.69993,0.5688794,0.006935408492189202,1.0,0.6463414634146342
HNRNPA3,2.6994817,0.3550197,0.006944758103594836,1.0,0.9146341463414634
VPS52,2.6531403,1.3527962,0.007974668909980632,1.0,0.3048780487804878
VAT1,2.62066,0.38467175,0.008775969725215339,1.0,0.9024390243902439
EXOC3,2.6161778,1.1286398,0.008892025570915464,1.0,0.34146341463414637
ADAT2,2.5459073,1.040283,0.010899412926068467,1.0,0.3170731707317073
RUVBL2,2.5184612,0.62469685,0.011786889069284422,1.0,0.5121951219512195
GNAI3,2.5157373,0.48530948,0.011878371453895914,1.0,0.6951219512195121
CENPW,2.4952905,0.8496339,0.012585404592751712,1.0,0.3902439024390244
PDPK1,2.4840844,1.0388815,0.012988499298375256,1.0,0.32926829268292684
G3BP2,2.471844,0.46150014,0.01344181441547024,1.0,0.7195121951219512
C1GALT1C1,2.4654307,0.5857291,0.013684862956437475,1.0,0.5487804878048781
MBNL1,2.456052,0.3839578,0.014047277033647025,1.0,0.7682926829268293
GNPAT,2.4330194,0.76793486,0.014973496838497658,1.0,0.4146341463414634
NPM1,2.4328816,0.19986637,0.014979201373046796,1.0,1.0
HNRNPR,2.4270198,0.43790048,0.015223420596060315,1.0,0.7926829268292683
ESAM,2.426744,0.36265922,0.015234999149290445,1.0,0.926829268292683
PSMA2,2.4183655,0.36167392,0.015590412337941046,1.0,0.8658536585365854
SOBP,2.393126,0.9330718,0.016705504674766468,1.0,0.34146341463414637
DTD1,2.3929536,0.33204398,0.016713356211815435,1.0,0.8292682926829268
WDR18,2.3902986,0.72802806,0.016834679672547478,1.0,0.45121951219512196
IFNAR1,2.3900917,0.5997152,0.016844165834399967,1.0,0.524390243902439
CDC42EP2,2.3729205,0.85041934,0.01764805604123924,1.0,0.4146341463414634
SUPT6H,2.3678865,0.76426053,0.017890021744174946,1.0,0.45121951219512196
SERPINE1,2.3676796,0.26342013,0.01790002741636736,1.0,1.0
FKBP3,2.3633006,0.39019674,0.01811296731432485,1.0,0.7560975609756098
PML,2.3525083,0.65802526,0.01864726837374027,1.0,0.4634146341463415
LYRM4,2.3523705,0.45098174,0.0186541848037996,1.0,0.6341463414634146
PPIA,2.3521292,0.107336886,0.01866629395718118,1.0,1.0
LRRC41,2.3478537,0.77461165,0.018881941725647423,1.0,0.3902439024390244
FNBP1,2.3346822,0.66061753,0.019560029261077232,1.0,0.47560975609756095
TPD52L2,2.33251,0.5776464,0.019673880349080446,1.0,0.5121951219512195
IMPAD1,2.329062,0.44998187,0.019855784860375727,1.0,0.6707317073170732
ERGIC3,2.323476,0.35183823,0.020153586994112346,1.0,0.926829268292683
PDGFB,2.3053741,0.44011086,0.021145630488921163,1.0,0.7682926829268293
SH3GL1,2.3049603,0.63307554,0.021168794498627647,1.0,0.4634146341463415
DTNBP1,2.3000298,1.3239039,0.021446538100063545,1.0,0.2804878048780488
KLHL8,2.2963402,1.0228298,0.021656430530014488,1.0,0.3048780487804878
ECE1,2.2870996,0.28963026,0.02219000727844436,1.0,0.8658536585365854
COQ10B,2.2816517,0.5671562,0.022509906202018568,1.0,0.5
PTPMT1,2.2789278,1.0896333,0.022671353594876556,1.0,0.2926829268292683
CD151,2.2687562,0.32395667,0.02328315366744988,1.0,0.9146341463414634
EBPL,2.2674115,0.43859673,0.023365098871555426,1.0,0.7317073170731707
PPP1R15A,2.2634463,0.45308256,0.0236081913215628,1.0,0.5975609756097561
SIVA1,2.2591362,0.4453304,0.02387490849351079,1.0,0.6097560975609756
CD2BP2,2.2588603,0.78476584,0.023892067029859413,1.0,0.36585365853658536
SPTLC2,2.2503438,0.6042183,0.024427125640145875,1.0,0.5
TSPAN14,2.2487922,0.37383443,0.024525716220517867,1.0,0.8902439024390244
CDC37,2.240586,0.35065714,0.02505290485520562,1.0,0.9024390243902439
PLP2,2.2355175,0.33241656,0.02538339941986228,1.0,0.8658536585365854
POLR3C,2.233552,1.4453194,0.0255125617805452,1.0,0.23170731707317074
FAM199X,2.2315867,0.68495715,0.025642292377405992,1.0,0.3902439024390244
KDELR2,2.2196221,0.32884023,0.026444431422645062,1.0,0.8414634146341463
UBE4A,2.2111745,0.72204155,0.027023757862517275,1.0,0.4268292682926829
LPGAT1,2.21014,0.5272668,0.027095443172018063,1.0,0.4878048780487805
SLC35B1,2.203244,0.70537895,0.02757755263008326,1.0,0.3902439024390244
CALU,2.2026923,0.24774519,0.0276164390612257,1.0,0.9878048780487805
PPFIBP1,2.2009683,0.35275403,0.027738264120130043,1.0,0.7073170731707317
DNALI1,2.1952446,0.81223047,0.028146052337129766,1.0,0.34146341463414637
TPM4,2.1933138,0.2087183,0.028284779992631525,1.0,1.0
BBIP1,2.1803493,0.61635005,0.0292315826171044,1.0,0.47560975609756095
PRXL2A,2.1779013,0.3199396,0.029413395587581468,1.0,0.8170731707317073
QKI,2.1754875,0.39929393,0.029593599314325092,1.0,0.7195121951219512
OXA1L,2.1724877,0.40471122,0.029818889517263573,1.0,0.6951219512195121
RTRAF,2.1690397,0.30221522,0.030079663840276317,1.0,0.9146341463414634
HMGCS1,2.1633852,0.38717186,0.030511576889159064,1.0,0.8780487804878049
KDM5B,2.1535926,0.35693577,0.03127212761511461,1.0,0.6951219512195121
NFE2L3,2.1418004,0.5260446,0.0322095391430647,1.0,0.5121951219512195
LY96,2.1366975,0.32999915,0.032622607925955664,1.0,0.7439024390243902
EIF1AX,2.135146,0.26452076,0.03274909919265244,1.0,0.9512195121951219
BMS1,2.133732,0.58532095,0.03286471220305526,1.0,0.45121951219512196
GNL3L,2.1262844,0.62925375,0.03347958163816367,1.0,0.45121951219512196
ZNF480,2.1177678,0.74339455,0.0341947317452562,1.0,0.36585365853658536
H1FX,2.1152163,0.41208193,0.034411512755375365,1.0,0.6463414634146342
OSBPL8,2.1110442,0.35896248,0.03476850865253559,1.0,0.6707317073170732
MRFAP1,2.107217,0.34389183,0.0350987776306182,1.0,0.8292682926829268
ARHGDIB,2.0995278,0.24538676,0.035770391433484636,1.0,0.9512195121951219
SUMO1,2.0901494,0.34906977,0.03660438955880114,1.0,0.8170731707317073
RWDD4,2.0892873,0.41882715,0.03668186846201261,1.0,0.5853658536585366
TJP1,2.0885978,0.38916636,0.03674395213261487,1.0,0.6829268292682927
THUMPD1,2.081943,0.6729919,0.0373476725200854,1.0,0.3902439024390244
HMGN2,2.077702,0.30841553,0.037736815584183445,1.0,0.9024390243902439
ADGRG6,2.0770814,0.4720141,0.0377940516825482,1.0,0.5853658536585366
CCN1,2.0729783,0.3463955,0.03817430686711397,1.0,0.8536585365853658
TSPYL2,2.072806,0.9218569,0.038190354932633244,1.0,0.2926829268292683
TRIM8,2.0702887,0.50675935,0.03842531069962299,1.0,0.5487804878048781
LONP1,2.0595999,0.9269077,0.03943680224538991,1.0,0.3170731707317073
CDH2,2.0518763,0.58113074,0.04018167650178796,1.0,0.5121951219512195
AC127502.2,2.043153,1.1499091,0.04103730177895669,1.0,0.25609756097560976
RHEB,2.0394292,0.37912092,0.04140722283876179,1.0,0.6829268292682927
CAPN2,2.035395,0.31481886,0.041811153532661495,1.0,0.8658536585365854
CADPS2,2.0347743,0.9807292,0.04187359179266517,1.0,0.2926829268292683
RAD21,2.0345674,0.36930513,0.04189442207581544,1.0,0.7439024390243902
RAB3B,2.0330157,0.44145325,0.04205092892297704,1.0,0.5853658536585366
ERC1,2.0272577,0.69193715,0.0426360750982698,1.0,0.43902439024390244
MED4,2.0263267,0.539706,0.04273132318078902,1.0,0.4878048780487805
AKAP13,2.0261197,0.5069773,0.042752513836230674,1.0,0.5365853658536586
AVEN,2.0098796,0.5741471,0.044443930174158944,1.0,0.45121951219512196
CNDP2,2.009259,0.6800262,0.04450967483449755,1.0,0.3780487804878049
DHX57,2.0028112,1.1021729,0.0451975562765755,1.0,0.2682926829268293
KNOP1,1.998777,0.4020139,0.04563248339067872,1.0,0.5853658536585366
CELF1,1.9941567,0.4343737,0.046134932081676475,1.0,0.5853658536585366
RAB14,1.9935361,0.35199788,0.04620277880964263,1.0,0.7439024390243902
NSFL1C,1.9918466,0.5190085,0.046387898464345934,1.0,0.5121951219512195
DHX9,1.9909501,0.46866947,0.04648637852577158,1.0,0.524390243902439
