names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RTF2,3.3263764,0.47982165,0.0008798302522362686,1.0,0.7857142857142857
PSMD10,2.9387045,0.5073112,0.0032958724821041886,1.0,0.6836734693877551
DYSF,2.7994964,0.43563795,0.005118237412303354,1.0,0.7653061224489796
RNASE1,2.7436244,0.6978893,0.006076503004414661,1.0,0.5
WASF2,2.7165072,0.4443431,0.006597477102874617,1.0,0.7142857142857143
PLOD1,2.698051,0.49509695,0.006974673926495407,1.0,0.6326530612244898
LSM7,2.6908388,0.34907153,0.0071272642225229015,1.0,0.9489795918367347
SPAG7,2.6202583,0.4393288,0.00878631601269379,1.0,0.6836734693877551
AP1S2,2.6177387,0.39536893,0.008851452763736917,1.0,0.7959183673469388
CCDC80,2.604322,0.40226862,0.009205624090605805,1.0,0.7653061224489796
YTHDF2,2.5907161,0.5577353,0.009577646834670585,1.0,0.5816326530612245
TCTEX1D2,2.5553472,0.57740706,0.010608192317102381,1.0,0.5204081632653061
LAMP2,2.5506544,0.44936082,0.010752087099285226,1.0,0.6530612244897959
JUND,2.5250804,0.27844262,0.011567178721726438,1.0,0.8877551020408163
COX5A,2.5087347,0.2932459,0.0121164481359313,1.0,0.8775510204081632
DNAJC7,2.4981208,0.41937605,0.012485364569303312,1.0,0.7040816326530612
NFE2L1,2.4967666,0.4840926,0.012533145458278896,1.0,0.6224489795918368
GPN3,2.4955382,0.696814,0.0125766215560088,1.0,0.41836734693877553
RAB2A,2.481082,0.2604997,0.013098424213934543,1.0,0.9081632653061225
NEU1,2.477334,0.6552494,0.013236793745388204,1.0,0.41836734693877553
LGMN,2.436422,0.5585601,0.014833365344028864,1.0,0.5102040816326531
COA8,2.434438,0.45879015,0.01491493958606926,1.0,0.6836734693877551
RBM17,2.4137142,0.43732148,0.015790844458960004,1.0,0.6632653061224489
PSMF1,2.4002974,0.49947882,0.01638176088593121,1.0,0.6020408163265306
PDLIM3,2.3967698,0.36166614,0.01654030886786441,1.0,0.8673469387755102
TBL1XR1,2.3941872,0.37095493,0.01665724166564452,1.0,0.7653061224489796
AVL9,2.3909433,0.87471855,0.016805148763974213,1.0,0.336734693877551
HDDC2,2.382849,0.47024852,0.017179236304294646,1.0,0.5612244897959183
SNHG6,2.3639205,0.21621287,0.01808268918023667,1.0,0.9897959183673469
CTSC,2.3608027,0.41490176,0.018235436220747855,1.0,0.7142857142857143
PDLIM4,2.3594482,0.31198716,0.01830213202632191,1.0,0.7959183673469388
FAM107A,2.357275,0.45822,0.018409601844711444,1.0,0.6020408163265306
LSM14A,2.3528028,0.48187885,0.018632510964873897,1.0,0.5816326530612245
FAU,2.3496218,0.0930751,0.018792492804603732,1.0,1.0
SFT2D2,2.339386,0.66866887,0.01931546753680935,1.0,0.3877551020408163
SH3D19,2.3208983,0.4256072,0.020292328391981633,1.0,0.6122448979591837
CHURC1,2.3089304,0.25638604,0.020947449858882847,1.0,0.8775510204081632
FGD5-AS1,2.3088672,0.49198022,0.02095094606340886,1.0,0.5
KAT6A,2.3072295,0.49081007,0.02104202604374449,1.0,0.5204081632653061
DYNC1LI2,2.3055604,0.39315686,0.021135212389011105,1.0,0.6836734693877551
LIMS1,2.304836,0.39074156,0.021175763480484323,1.0,0.6938775510204082
TTC19,2.2903483,0.5348781,0.022001137638768216,1.0,0.5204081632653061
SLC30A7,2.2872932,0.6638034,0.022178713882952162,1.0,0.42857142857142855
CNPY2,2.282191,0.33319703,0.02247806441089641,1.0,0.7448979591836735
RPL14,2.2797973,0.101980336,0.022619706677025304,1.0,1.0
GIT2,2.2772462,0.80863255,0.022771520808258446,1.0,0.336734693877551
PRR7,2.2663805,0.74502575,0.02342809412386686,1.0,0.37755102040816324
UBE2V1,2.2644594,0.23630175,0.023545877641773842,1.0,0.9693877551020408
PYCR1,2.2635145,0.5582935,0.023603992231852715,1.0,0.4489795918367347
EMP3,2.2552943,0.25895318,0.024114862385091283,1.0,1.0
MYO1E,2.2547903,0.7850266,0.02414648961309104,1.0,0.3163265306122449
AEN,2.2443655,1.0158955,0.02480889244493018,1.0,0.2755102040816326
STARD7,2.2439246,0.5227342,0.024837253061027877,1.0,0.5102040816326531
GTF2I,2.22761,0.28736347,0.025906520724539858,1.0,0.8163265306122449
EHD2,2.2172167,0.29612753,0.02660827764363701,1.0,0.7959183673469388
PPIG,2.2098155,0.3190384,0.027117968863327613,1.0,0.7653061224489796
NDUFB10,2.194635,0.20834616,0.028189796704781375,1.0,0.8775510204081632
RAC3,2.1925247,0.59653884,0.028341637820090984,1.0,0.47959183673469385
PHAX,2.1709192,0.676323,0.029937282285278824,1.0,0.3877551020408163
SEMA3F,2.168179,0.50233436,0.03014506130894246,1.0,0.4897959183673469
WDR11,2.1647146,0.6532792,0.03040954345610109,1.0,0.42857142857142855
TMOD3,2.1568725,0.24660416,0.03101560742973886,1.0,0.8877551020408163
EPHX1,2.146794,0.69416445,0.03180968478905521,1.0,0.3673469387755102
TRIM8,2.146038,0.4516572,0.03186993707742988,1.0,0.5612244897959183
SH3PXD2A,2.137503,0.6517717,0.03255710367279376,1.0,0.37755102040816324
ABRACL,2.1287475,0.32970342,0.033275167564428505,1.0,0.7346938775510204
RPUSD3,2.1199603,0.57512295,0.03400939667399578,1.0,0.3877551020408163
CRIP2,2.074324,0.18876277,0.03804923035928302,1.0,1.0
PPP2R2A,2.0725288,0.3092535,0.038216154724841155,1.0,0.7857142857142857
SLC41A3,2.0678046,0.7494805,0.0386584072094328,1.0,0.3163265306122449
TMEM219,2.067647,0.31891686,0.03867322354803463,1.0,0.7244897959183674
CFAP36,2.0634267,0.4611489,0.039072102700463095,1.0,0.5408163265306123
FIBP,2.0605922,0.36777073,0.03934196366141662,1.0,0.6326530612244898
WIPI2,2.0598364,0.40282395,0.03941419327736491,1.0,0.6020408163265306
GALE,2.052561,0.69633615,0.040115177961120525,1.0,0.336734693877551
RPL41,2.0456321,0.059604052,0.040792585662891005,1.0,1.0
ANXA3,2.035396,0.641306,0.04181102601787193,1.0,0.3979591836734694
NAP1L4,2.0347033,0.32543996,0.041880737595919725,1.0,0.7244897959183674
ARF3,2.0345144,0.37050796,0.04189976690914625,1.0,0.6020408163265306
PCMTD1,2.0328765,0.43044987,0.042064994372461764,1.0,0.5306122448979592
UFD1,2.0271444,0.43406707,0.04264763885155685,1.0,0.5102040816326531
PSMA7,2.0247195,0.13712794,0.042896188768916634,1.0,0.9897959183673469
REV3L,2.01209,0.54700816,0.0442104642839629,1.0,0.41836734693877553
COA3,2.01146,0.4249828,0.04427689441661972,1.0,0.5714285714285714
ECHS1,2.0046885,0.31997284,0.04499635396997166,1.0,0.7142857142857143
SOX4,2.0031767,0.360319,0.04515831663349018,1.0,0.7551020408163265
SMARCA2,2.0010667,0.66426235,0.045385211127128136,1.0,0.35714285714285715
CDK6,1.9938228,0.48705003,0.04617142652208692,1.0,0.47959183673469385
BLOC1S1,1.9876813,0.29689285,0.046846954816379925,1.0,0.7857142857142857
RPGR,1.9800595,0.86020154,0.047696848834012595,1.0,0.2755102040816326
TMEM179B,1.9783273,0.4576072,0.04789180368827396,1.0,0.5408163265306123
ERLIN2,1.9775399,0.608127,0.047980640664287796,1.0,0.3877551020408163
RPS25,1.969918,0.060114842,0.04884776236896103,1.0,1.0
TMEM50B,1.9620758,0.3702086,0.04975365960341288,1.0,0.5612244897959183
ATP9A,1.957572,0.45720568,0.050280253550030816,1.0,0.47959183673469385
EFNA5,1.9535092,0.4666332,0.05075929275807209,1.0,0.4489795918367347
PLSCR3,1.9520603,0.4673736,0.05093103505000877,1.0,0.5102040816326531
WDR83OS,1.9500132,0.24938284,0.05117454384352675,1.0,0.9183673469387755
DBT,1.948029,0.68932426,0.05141148957063324,1.0,0.32653061224489793
FAM234A,1.948029,0.47278035,0.05141148957063324,1.0,0.5
ADAR,1.9477141,0.35664484,0.05144918432356856,1.0,0.6020408163265306
DCAF7,1.9428953,0.36495802,0.052028804489002774,1.0,0.5816326530612245
ATP5F1D,1.9280927,0.17003109,0.05384359771901937,1.0,0.9795918367346939
SLC2A4RG,1.9250692,0.3333243,0.05422070502535388,1.0,0.5816326530612245
COX20,1.9173844,0.40997538,0.05518911572454264,1.0,0.5306122448979592
MTUS1,1.9144238,0.32496288,0.05556601917206187,1.0,0.8061224489795918
OSBPL9,1.9132586,0.42856967,0.05571496186003515,1.0,0.47959183673469385
ZCCHC17,1.9065816,0.4551484,0.056574789066323995,1.0,0.5510204081632653
HP1BP3,1.9061407,0.29503846,0.05663195673772994,1.0,0.826530612244898
NIPA2,1.9034636,0.5673001,0.056980079105939684,1.0,0.3979591836734694
NUBP2,1.9034007,0.52527356,0.05698829161012263,1.0,0.3979591836734694
HDAC1,1.9032432,0.33142716,0.05700882717882519,1.0,0.6122448979591837
NBL1,1.9031487,0.42225638,0.0570211514746995,1.0,0.5408163265306123
GAA,1.9025817,0.6927166,0.057095143803228825,1.0,0.32653061224489793
TRMT10C,1.9009125,0.54567444,0.05731347403913392,1.0,0.37755102040816324
POLR1A,1.8973535,0.8248808,0.05778128938122852,1.0,0.25510204081632654
SEPTIN2,1.890897,0.26085785,0.05863808267334745,1.0,0.9183673469387755
AC093673.1,1.8759685,0.6083224,0.06065961092429088,1.0,0.336734693877551
ADTRP,1.8702993,0.38139576,0.0614422584909551,1.0,0.46938775510204084
KDSR,1.8684727,0.34213096,0.06169621904120844,1.0,0.5816326530612245
PUS7L,1.8652287,0.4296419,0.06214935943219718,1.0,0.46938775510204084
PSMB5,1.8620162,0.25304666,0.06260081060274243,1.0,0.9183673469387755
SMIM30,1.8614178,0.40413475,0.06268520335943051,1.0,0.5102040816326531
PLK2,1.8582053,0.3159291,0.06313986887612083,1.0,0.9387755102040817
SWAP70,1.8578588,0.39148045,0.06318906384335624,1.0,0.5510204081632653
ISY1,1.8570714,0.55087924,0.06330098840703877,1.0,0.40816326530612246
PDXDC1,1.856725,0.39278582,0.06335028708959659,1.0,0.4387755102040816
RPS7,1.853481,0.069591194,0.06381344314596062,1.0,1.0
NINJ1,1.8512133,0.60918677,0.06413886070439433,1.0,0.3673469387755102
STOM,1.8423948,0.24882928,0.06541742406078042,1.0,0.826530612244898
AC009107.2,1.8408515,0.6162142,0.06564331904239855,1.0,0.30612244897959184
REXO2,1.8408515,0.21658193,0.06564331904239855,1.0,0.826530612244898
ITGA3,1.8383005,0.3238158,0.06601814713602511,1.0,0.673469387755102
DDOST,1.834836,0.3092313,0.06652999516305189,1.0,0.6938775510204082
SCARA3,1.8216081,0.5072617,0.06851447376123554,1.0,0.37755102040816324
TBC1D9,1.8192459,0.78317076,0.06887391437955122,1.0,0.2755102040816326
BCL10,1.8165689,0.38628325,0.06928315195342588,1.0,0.5510204081632653
PRKAR2B,1.81575,0.2802204,0.06940872864184869,1.0,0.6938775510204082
LYPLAL1,1.8148366,0.71484363,0.06954901539521581,1.0,0.2857142857142857
C6orf62,1.8104273,0.2854557,0.07022954034138582,1.0,0.6632653061224489
WDR74,1.8076558,0.80255383,0.07066008860639601,1.0,0.2857142857142857
COMMD4,1.8072778,0.48604313,0.07071896711246141,1.0,0.3979591836734694
ACOT7,1.8041599,0.25917614,0.07120625158215593,1.0,0.7653061224489796
