names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPS9,4.872959,0.1482032,1.0993900705304408e-06,0.004674292468446711,1.0
RPS18,4.8214655,0.1058694,1.4250726077859064e-06,0.005301626369115518,1.0
RPS23,4.7966247,0.14069611,1.6136159326220064e-06,0.005336048598521795,1.0
RPL13,4.7054114,0.12294912,2.5335452299251184e-06,0.007540337313303137,1.0
RPL27A,4.5304375,0.13869506,5.886172544982258e-06,0.015925842480341998,1.0
RPS2,4.41503,0.109509476,1.0099601369491394e-05,0.025048694663233572,1.0
EEF1D,4.323739,0.21942182,1.534067094239508e-05,0.0351206960451971,1.0
RPS3,4.2044764,0.11220979,2.6168746642297987e-05,0.055631016969148045,1.0
RPL30,4.175521,0.123085044,2.9730500529876045e-05,0.05898927711801139,1.0
RPL19,4.14729,0.14071839,3.36433741144334e-05,0.0608254716170662,1.0
COMMD6,4.1399155,0.34298944,3.4743398208793945e-05,0.0608254716170662,0.9652777777777778
RPL8,4.0966506,0.12566511,4.191709327108856e-05,0.06888726170117303,1.0
RPSA,4.0855236,0.13648956,4.3977487142070005e-05,0.06888726170117303,1.0
SNHG8,4.045675,0.428776,5.2172651388748673e-05,0.0776381225315969,0.8194444444444444
RPL3,4.029088,0.112063274,5.599363796845277e-05,0.0793563168198615,1.0
RPS12,4.014623,0.11895475,5.954080065561677e-05,0.08054787768693028,1.0
RPS6,3.9877899,0.104548514,6.669170136376257e-05,0.08629906156470878,1.0
RPL11,3.9530382,0.11863039,7.716509468098526e-05,0.09569114782897846,1.0
RPL7A,3.8843632,0.10703482,0.00010259847571134787,0.12214143336484541,1.0
RPS11,3.7922442,0.10915728,0.0001492919736651902,0.16456398963790336,1.0
RPL12,3.7682054,0.14014147,0.00016442541416634784,0.17477247058638729,1.0
RPS8,3.7320564,0.10842843,0.0001899229172292506,0.19491330560610193,1.0
EIF2S3,3.716919,0.41990712,0.0002016671038760497,0.20006721151863305,0.8611111111111112
RPL5,3.6913276,0.114595674,0.00022308667301445864,0.21417759878246184,1.0
RPL17,3.6193144,0.09880896,0.0002953846457457017,0.2747261820838617,1.0
RPS25,3.575791,0.09873275,0.00034917084649395945,0.3149097797985825,1.0
RPL18,3.4902444,0.12623186,0.0004825789680426576,0.41035757848244503,1.0
RPL13A,3.4820676,0.08737885,0.0004975581210704981,0.41134235553611564,1.0
RPS5,3.4611337,0.13300915,0.0005379053603894133,0.42578333495040255,1.0
RPL14,3.451275,0.11790938,0.000557944696695978,0.42578333495040255,1.0
RPS27A,3.4321008,0.08159826,0.0005989248049596028,0.4394302577687237,1.0
ATF4,3.4292028,0.41606557,0.0006053571859591987,0.4394302577687237,0.7916666666666666
RPL10A,3.3916047,0.10777394,0.0006948459256404389,0.47548865105574256,1.0
VIM,3.3895087,0.08296494,0.0007001796053420617,0.47548865105574256,1.0
RPL23,3.388422,0.11321102,0.0007029601722482586,0.47548865105574256,1.0
RPS15,3.3795207,0.12019565,0.0007261235657879694,0.4802419903329232,1.0
RPLP1,3.3450797,0.08830166,0.0008225897035950803,0.532215538226017,1.0
UBA52,3.3389988,0.10808495,0.0008408096399682716,0.5324292873348021,1.0
RPS7,3.322852,0.11449656,0.0008910217470962161,0.5524706091057829,1.0
RPL24,3.2989166,0.07701201,0.0009705873616595132,0.5895228787287843,1.0
RPL29,3.2362707,0.10777409,0.0012110251794550712,0.6723722483376432,1.0
TKT,3.2341747,0.21803682,0.0012199483035492485,0.6723722483376432,1.0
ESAM,3.161049,0.32736322,0.0015720214791115127,0.8243960477816674,0.8888888888888888
FTL,3.159781,0.14350781,0.0015788782583010229,0.8243960477816674,1.0
ERGIC3,3.1368546,0.31663576,0.001707707475824897,0.8679980515875525,0.8819444444444444
ERCC1,3.1346292,0.44587174,0.0017207138311829042,0.8679980515875525,0.625
RPL31,3.1279016,0.17087694,0.001760591422979604,0.868496253954528,1.0
RPS14,3.1137214,0.07999173,0.0018474381011111935,0.886829883310828,1.0
LDHB,3.1076665,0.19345385,0.0018857076263352841,0.890832228174456,0.9861111111111112
RPL26,3.0758905,0.08631209,0.002098748249070227,0.9759835217004389,1.0
RPL35A,3.0692406,0.083835214,0.00214603783531808,0.9826212008421029,1.0
RACK1,3.0561988,0.11022599,0.0022416249166574156,1.0,1.0
RPL28,3.033454,0.08795946,0.0024177170458456955,1.0,1.0
RPS15A,3.026519,0.087229684,0.0024738724228187885,1.0,1.0
RPS4X,2.9915862,0.07800628,0.002775320651935923,1.0,1.0
RPS3A,2.9436378,0.08372005,0.003243792476451575,1.0,1.0
RPL32,2.9239721,0.089811824,0.0034559572152655822,1.0,1.0
TUSC2,2.9123278,0.5579872,0.003587458726876023,1.0,0.5208333333333334
RPS16,2.871832,0.1081158,0.004081001394869323,1.0,1.0
TAF10,2.8708744,0.2967078,0.004093381761834041,1.0,0.7847222222222222
RPL36,2.8662167,0.10279445,0.004154098210619688,1.0,1.0
ECHS1,2.854443,0.40108436,0.004311236053249212,1.0,0.6944444444444444
RPL41,2.8338199,0.07187016,0.0045995259231045625,1.0,1.0
SMIM26,2.8160172,0.32696524,0.004862308475111549,1.0,0.8263888888888888
H3F3B,2.803933,0.23295699,0.0050483406128714525,1.0,0.9861111111111112
RPS24,2.786777,0.07341696,0.005323508583144475,1.0,1.0
RPL39,2.7545354,0.098208964,0.00587755180732993,1.0,1.0
ADSL,2.737975,0.57652485,0.006181881698579758,1.0,0.4791666666666667
PPDPF,2.727728,0.17952923,0.0063772198803767905,1.0,0.9791666666666666
KRT18,2.7217762,0.17949069,0.006493207070522889,1.0,0.9930555555555556
RPS13,2.709123,0.092829764,0.006746133735843261,1.0,1.0
RSL24D1,2.707234,0.26544917,0.006784642006895578,1.0,0.8611111111111112
PFDN5,2.6898193,0.18356313,0.007149070204342429,1.0,1.0
RPLP2,2.6888878,0.075346895,0.007169050282976667,1.0,1.0
ATP5F1B,2.6845407,0.2670854,0.007262954952425538,1.0,0.9583333333333334
LGALS3,2.6593633,0.38337138,0.007828851116373763,1.0,0.6736111111111112
SLBP,2.6407583,0.47223592,0.008272070620481733,1.0,0.5416666666666666
SNHG5,2.638119,0.14852583,0.0083367333092133,1.0,0.9791666666666666
RPS21,2.635402,0.10092691,0.008403769811585051,1.0,1.0
SNRPE,2.578371,0.27039582,0.009926733762120846,1.0,0.8888888888888888
RPL18A,2.5719538,0.083321065,0.010112638726131594,1.0,1.0
NACA,2.559404,0.14241885,0.010485184353846556,1.0,1.0
ATP5MC2,2.5559623,0.107924156,0.010589456922025738,1.0,0.9861111111111112
RPS19,2.5377457,0.06962295,0.011156905169974396,1.0,1.0
GAS5,2.532234,0.18149912,0.0113338327226022,1.0,1.0
SNHG6,2.5235138,0.20093673,0.011618851423030097,1.0,0.9930555555555556
SEC11A,2.5106792,0.2206251,0.012049913944981751,1.0,0.9652777777777778
TOX2,2.5076258,0.38777477,0.012154529414579623,1.0,0.6041666666666666
SMC3,2.4922554,0.47642046,0.012693471085489133,1.0,0.5208333333333334
RARS,2.4880118,0.40980402,0.012845948366185285,1.0,0.5833333333333334
RPL10,2.4866662,0.06739343,0.012894632074936664,1.0,1.0
RPL6,2.464749,0.07540081,0.013710919914174623,1.0,1.0
STOML2,2.4398563,0.3086278,0.01469310270349506,1.0,0.8402777777777778
RPL23A,2.4321194,0.08007946,0.015010757529309133,1.0,1.0
UQCRH,2.4301786,0.15656075,0.015091379722774292,1.0,0.9791666666666666
IFITM2,2.4243047,0.14058518,0.015337724896935453,1.0,1.0
CFAP36,2.4193625,0.4475656,0.015547737423269722,1.0,0.5069444444444444
OLA1,2.4153776,0.29773968,0.015718905298506114,1.0,0.7083333333333334
COX5A,2.4121172,0.21431525,0.015860182477374547,1.0,0.8888888888888888
APRT,2.39817,0.1919179,0.01647721668271794,1.0,0.9861111111111112
SMAP1,2.3932536,0.4491367,0.016699697167856624,1.0,0.5416666666666666
MRPS22,2.369965,0.54549724,0.017789766838681314,1.0,0.3958333333333333
RPL15,2.3681796,0.06627637,0.017875855975592464,1.0,1.0
NDUFV1,2.3425882,0.36970925,0.01915050964401562,1.0,0.6527777777777778
CDK2AP2,2.3177989,0.3501578,0.02046025534217179,1.0,0.5972222222222222
ATP5IF1,2.3159616,0.24747063,0.020560362520160014,1.0,0.9375
RPL37,2.2877827,0.070078395,0.0221501850255847,1.0,1.0
PHB2,2.2843668,0.23794042,0.02234997426423533,1.0,0.7916666666666666
H3F3A,2.2687895,0.15455705,0.023281127107940735,1.0,1.0
OTUB1,2.2647011,0.40162784,0.023531026565984638,1.0,0.5069444444444444
PFDN4,2.251168,0.28032985,0.02437490338502461,1.0,0.6944444444444444
PSMA7,2.241542,0.15307538,0.024990986630855923,1.0,0.9930555555555556
RAB32,2.237971,0.34239793,0.025222938298900932,1.0,0.7291666666666666
GSTP1,2.230441,0.11394042,0.025718168193891968,1.0,0.9861111111111112
RPL9,2.2283194,0.06430242,0.025859227409800636,1.0,1.0
FEZ2,2.2278795,0.2711139,0.02588855497527982,1.0,0.7430555555555556
RPL22L1,2.2257836,0.1541346,0.026028687509091365,1.0,1.0
PSMB2,2.2056,0.29542908,0.027412009504361894,1.0,0.7777777777777778
ATP5F1C,2.2013307,0.20378657,0.027712629370721383,1.0,0.875
NAP1L1,2.1999333,0.08772127,0.027811629571238512,1.0,0.9930555555555556
SPAG7,2.1840196,0.3359252,0.028960816732339457,1.0,0.5972222222222222
RPS28,2.180992,0.08412319,0.02918400991869265,1.0,1.0
