names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CDA,3.2432823,0.8266991,0.0011816106042225323,1.0,0.4690265486725664
HM13,3.2333233,0.45334837,0.0012235897634349248,1.0,0.7964601769911505
ATP5MC1,3.2296326,0.2997989,0.0012394934870116287,1.0,0.9292035398230089
BBS7,3.0016897,0.8487386,0.002684857570275458,1.0,0.39823008849557523
SLC25A3,2.9393582,0.17500676,0.003288926751608698,1.0,1.0
RAB11A,2.85541,0.3173485,0.004298129466444097,1.0,0.9646017699115044
TCF7L1,2.8523345,0.93499315,0.004339940522277762,1.0,0.336283185840708
SRGN,2.8344376,0.21295798,0.00459064138284143,1.0,1.0
TMEM258,2.7523935,0.29311988,0.005916140580940053,1.0,0.9469026548672567
PDLIM4,2.721374,0.3562959,0.006501113334774945,1.0,0.831858407079646
MRPL52,2.7206712,0.2963995,0.0065149533345050855,1.0,0.9380530973451328
PARK7,2.703653,0.2587425,0.0068581854413814715,1.0,0.9734513274336283
TMEM158,2.6889489,0.6501023,0.007167738089069253,1.0,0.46017699115044247
ARHGAP24,2.6817434,0.6642426,0.007323962599463867,1.0,0.4778761061946903
TIMM50,2.6690018,0.6236066,0.0076077058279558985,1.0,0.45132743362831856
CPNE3,2.6606245,0.34846848,0.0077995889266957935,1.0,0.8230088495575221
YWHAH,2.623747,0.33700773,0.008696835069192707,1.0,0.8584070796460177
ACAD9,2.6167464,0.89554906,0.00887722488043658,1.0,0.3274336283185841
LIMS1,2.6108296,0.38959962,0.009032286607831876,1.0,0.7079646017699115
NUDT5,2.604942,0.42031583,0.00918897669868378,1.0,0.6460176991150443
FUBP1,2.5911753,0.55678076,0.009564873457958731,1.0,0.48672566371681414
DTD1,2.5793126,0.35780454,0.009899718686380028,1.0,0.8495575221238938
TSTA3,2.576647,0.44705787,0.009976377340901026,1.0,0.6194690265486725
TMEM67,2.565868,0.93071216,0.01029180166428228,1.0,0.30973451327433627
LAP3,2.5569928,0.6441805,0.01055814323744396,1.0,0.45132743362831856
PTP4A2,2.5220778,0.36101064,0.011666391758519325,1.0,0.831858407079646
RNF141,2.504708,0.69403416,0.012255246946928689,1.0,0.39823008849557523
KRT19,2.5039759,0.23388998,0.012280640684802002,1.0,0.9646017699115044
EIF3F,2.4965653,0.21744524,0.01254025995181136,1.0,0.8761061946902655
TBC1D4,2.487573,0.9052166,0.012861809719212814,1.0,0.3008849557522124
FAM20B,2.442904,0.7319552,0.01456961192124593,1.0,0.35398230088495575
C4orf48,2.4186218,0.20660295,0.015579432369014472,1.0,0.9911504424778761
VIM,2.3977373,0.068704784,0.01649669664211169,1.0,1.0
TIAL1,2.3944566,0.46555644,0.016645013656445856,1.0,0.5486725663716814
DYNLRB1,2.3941636,0.29086587,0.016658313013945904,1.0,0.8407079646017699
ISCU,2.3911467,0.3683244,0.016795840318838892,1.0,0.7168141592920354
SRSF1,2.3852592,0.48562557,0.017067091746329033,1.0,0.5309734513274337
GOT1,2.3587215,0.8017429,0.018338012705419963,1.0,0.336283185840708
TMEM101,2.343373,0.696513,0.019110268397491872,1.0,0.40707964601769914
TMEM161A,2.3374562,0.8756103,0.0194154769001018,1.0,0.3008849557522124
STAU2,2.3361967,0.61725956,0.019480994098135133,1.0,0.40707964601769914
ZFC3H1,2.3354058,0.5326098,0.01952223144834873,1.0,0.4247787610619469
SPATC1L,2.3351715,0.4628245,0.019534464557728906,1.0,0.6814159292035398
RND3,2.323455,0.36592653,0.020154719658236248,1.0,0.7079646017699115
GNA11,2.308253,0.71909314,0.02098506949418268,1.0,0.36283185840707965
PPP1R14B,2.3068178,0.14701048,0.021064983576048177,1.0,0.911504424778761
WDR13,2.304738,0.47218016,0.021181247862609377,1.0,0.48672566371681414
JUND,2.2971516,0.28032687,0.02161011871970173,1.0,0.9203539823008849
DYNLT1,2.282184,0.21359135,0.02247848271865244,1.0,0.8849557522123894
TSG101,2.263379,0.5906512,0.023612331250627776,1.0,0.40707964601769914
