names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TM4SF1,4.45342,0.34032822,8.4513166555591e-06,0.2515280863027499,0.978494623655914
CLPTM1L,3.88169,0.7528553,0.00010373304288604348,1.0,0.6666666666666666
VAMP5,3.746003,0.30570516,0.00017967458589389455,1.0,0.989247311827957
NTN4,3.471685,0.88439995,0.0005172029629520077,1.0,0.5268817204301075
FAM107A,3.4471998,0.6726106,0.0005664295732309291,1.0,0.6666666666666666
NR2F1,3.3448603,0.5150482,0.0008232404860773284,1.0,0.8387096774193549
KCTD12,3.133421,0.51258963,0.001727814147269026,1.0,0.8064516129032258
ARHGAP18,3.0347688,0.52356356,0.002407201485584177,1.0,0.8064516129032258
DPP7,3.0191462,0.60171306,0.0025348820689590173,1.0,0.6236559139784946
EHD2,2.955944,0.449863,0.0031171363402502095,1.0,0.8279569892473119
FTL,2.913475,0.15312147,0.0035743037096152733,1.0,1.0
EIF4H,2.910564,0.473247,0.0036077704193577687,1.0,0.7096774193548387
CRIM1,2.863405,0.40629095,0.004191144370180977,1.0,0.8709677419354839
SERPINB1,2.8051517,0.42909908,0.005029290370644198,1.0,0.8279569892473119
NOTCH4,2.7343485,0.6743738,0.006250384874445135,1.0,0.4946236559139785
CAVIN2,2.7081814,0.38826564,0.006765303028964074,1.0,0.8924731182795699
DCUN1D5,2.67506,0.46505335,0.007471584490159096,1.0,0.7741935483870968
BCAS2,2.6656477,0.68437594,0.007684015784557107,1.0,0.45161290322580644
PDLIM1,2.6604078,0.13864915,0.007804607739541769,1.0,0.978494623655914
ANKRD1,2.6599226,0.6247005,0.00781585898055414,1.0,0.6559139784946236
SERINC1,2.6428444,0.5664537,0.008221277475996734,1.0,0.5591397849462365
SUGT1,2.6289039,0.4907516,0.008566057881185316,1.0,0.6774193548387096
ALDH2,2.6268985,0.6297114,0.008616704424222316,1.0,0.5376344086021505
RCN1,2.6045158,0.31608444,0.009200420059880846,1.0,0.956989247311828
TRIM22,2.5637286,0.6396054,0.010355445753447217,1.0,0.4838709677419355
ITGB5,2.5636964,0.62425,0.01035641073808101,1.0,0.4946236559139785
SLC44A1,2.557486,0.5122114,0.01054317709789732,1.0,0.5591397849462365
PDGFB,2.5550926,0.43994483,0.010615956039441628,1.0,0.7419354838709677
TMEM167A,2.5522785,0.4236609,0.010702091637755892,1.0,0.6881720430107527
EDN1,2.5299606,0.5930193,0.011407536366947446,1.0,0.5806451612903226
HNRNPH2,2.525238,0.6184951,0.011561990976585787,1.0,0.4731182795698925
FTH1,2.515373,0.12475402,0.01189065344999895,1.0,1.0
FAM91A1,2.4712868,0.5811246,0.013462783756422987,1.0,0.4946236559139785
TOP1MT,2.4685698,0.7449478,0.013565422297506362,1.0,0.3978494623655914
SERPINB9,2.4588661,0.56255764,0.013937654203328554,1.0,0.5376344086021505
CD47,2.4349957,0.38098595,0.014891969945360125,1.0,0.7741935483870968
ST6GALNAC4,2.4325697,0.59917325,0.014992103823096075,1.0,0.4731182795698925
TMEM183A,2.430435,0.479673,0.01508071177728452,1.0,0.6129032258064516
TMF1,2.4240954,0.5694498,0.015346575159427393,1.0,0.5483870967741935
MYC,2.411222,0.40328017,0.01589916524720772,1.0,0.6881720430107527
MGST2,2.409249,0.56342053,0.01598538719946134,1.0,0.5376344086021505
HTATIP2,2.3855078,0.48306713,0.0170555614366255,1.0,0.5913978494623656
AC010642.2,2.377939,0.52555156,0.017409703048041614,1.0,0.5591397849462365
SEPTIN8,2.3770335,0.65482134,0.017452507927969846,1.0,0.40860215053763443
TNFRSF10D,2.3729255,0.5316166,0.017647819166944384,1.0,0.5268817204301075
CD55,2.3708231,0.31685203,0.017748520791231084,1.0,0.989247311827957
MICOS10,2.3663595,0.25227767,0.017963988883291575,1.0,0.967741935483871
UBE2I,2.3557181,0.3509707,0.018486943692428072,1.0,0.8172043010752689
SERINC3,2.355427,0.39321235,0.018501434746902617,1.0,0.8172043010752689
CFLAR,2.3503165,0.4677803,0.018757457213552636,1.0,0.6666666666666666
EHD4,2.3462734,0.392271,0.018962197080519126,1.0,0.7741935483870968
TGFBR2,2.332074,0.3740047,0.019696805998112576,1.0,0.7311827956989247
GLIPR2,2.3290658,0.51178855,0.019855581481591333,1.0,0.5913978494623656
EBNA1BP2,2.3192976,0.36751443,0.020378906173184743,1.0,0.7419354838709677
CCDC25,2.3140576,0.32570845,0.020664557377824137,1.0,0.8387096774193549
