names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNCG,4.2512803,0.7023074,2.1255209575045163e-05,0.6325975473724941,0.8985507246376812
SLC7A11,3.5725882,0.7750686,0.00035347047237897333,1.0,0.7246376811594203
H2AFZ,3.3897345,0.53664535,0.0006996033529012282,1.0,0.9420289855072463
PECAM1,3.3737786,0.65137374,0.0007414397709425992,1.0,0.8405797101449275
NIT2,3.222837,0.7530049,0.0012692781023173887,1.0,0.6521739130434783
MTHFD2,3.1974354,0.6396377,0.0013865549897917348,1.0,0.7536231884057971
MCL1,3.163529,0.5012277,0.0015586884829783285,1.0,0.8405797101449275
SUMO2,3.123037,0.28577787,0.0017899525379702096,1.0,0.9710144927536232
NME1,3.0448003,0.41935888,0.002328349454452495,1.0,0.927536231884058
PTX3,3.0005074,0.67370707,0.0026953021234543116,1.0,0.7536231884057971
RAD23A,2.9367964,0.47518563,0.0033162161894241733,1.0,0.8695652173913043
PYCR2,2.935517,1.2063236,0.0033299232972499055,1.0,0.391304347826087
FIBP,2.9314904,0.5909225,0.0033733977599813792,1.0,0.7246376811594203
SBDS,2.8482862,0.5200038,0.00439553764600077,1.0,0.782608695652174
GPAA1,2.8431306,0.6629661,0.0044672757747142525,1.0,0.6231884057971014
MAPK14,2.7903707,0.94730926,0.005264773334484033,1.0,0.4492753623188406
CEP170,2.7870214,0.4560148,0.005319496578876688,1.0,0.8695652173913043
UBE2H,2.7813013,0.56012374,0.00541414547600452,1.0,0.782608695652174
PGP,2.7792315,0.7027109,0.005448766299896755,1.0,0.5797101449275363
NAPRT,2.741976,0.75654393,0.00610708091376156,1.0,0.5072463768115942
MCU,2.724289,1.0947046,0.006444009928544935,1.0,0.37681159420289856
RAN,2.7083707,0.33221567,0.006761446333077914,1.0,1.0
SQLE,2.7052848,0.34845352,0.0068245844924226156,1.0,0.927536231884058
MAZ,2.6531646,0.5573773,0.007974097629543703,1.0,0.6666666666666666
CNPY2,2.6459017,0.43363306,0.008147350523613862,1.0,0.7681159420289855
MT1E,2.604958,0.9074581,0.009188550117873865,1.0,0.43478260869565216
SNX5,2.583583,0.53343856,0.009777989732679624,1.0,0.6666666666666666
CNIH4,2.5769598,0.473486,0.009967350787233464,1.0,0.7101449275362319
NDUFB10,2.553854,0.3490938,0.010653794715564328,1.0,0.9420289855072463
OPA1,2.5449727,0.82003284,0.010928626020184741,1.0,0.4492753623188406
STUB1,2.5227323,0.39441022,0.01164470121219276,1.0,0.8115942028985508
NDUFA6,2.516109,0.4557408,0.011865845474252639,1.0,0.7681159420289855
TXNRD1,2.5089967,0.39456242,0.01210746374061413,1.0,0.927536231884058
LSM4,2.5085452,0.45135593,0.012122950770594637,1.0,0.7391304347826086
SNU13,2.500981,0.3592973,0.012384981113114136,1.0,0.9565217391304348
MRPL12,2.4999273,0.456861,0.012421878139555956,1.0,0.8405797101449275
LAP3,2.4942825,0.7308421,0.012621203302197296,1.0,0.4927536231884058
ATRAID,2.4886754,0.4208579,0.012821997638337109,1.0,0.7971014492753623
HNRNPF,2.487471,0.45772702,0.012865488188482132,1.0,0.7101449275362319
HSPD1,2.4817886,0.23636702,0.013072475101145807,1.0,0.927536231884058
RPS16,2.4700851,0.12653844,0.013508087132498549,1.0,1.0
RWDD4,2.4645534,0.6541249,0.013718415229446149,1.0,0.5652173913043478
MED30,2.4619567,0.98420167,0.013818134313560049,1.0,0.391304347826087
ME1,2.4401302,0.46204564,0.014681969747678818,1.0,0.7391304347826086
HINT1,2.437797,0.20644005,0.014777069424437829,1.0,1.0
AGPAT4,2.4337327,0.83211434,0.014944023890754414,1.0,0.463768115942029
QDPR,2.4286149,0.74972874,0.015156625287133777,1.0,0.4782608695652174
ILF3,2.4239485,0.3900366,0.015352784471266716,1.0,0.7391304347826086
GADD45GIP1,2.4159706,0.30658245,0.01569333346987958,1.0,0.9565217391304348
CAV1,2.406713,0.23495467,0.01609681308973046,1.0,1.0
PDS5A,2.393429,0.5291356,0.016691713766064376,1.0,0.6231884057971014
ENO1,2.3862789,0.27287138,0.017019838890821103,1.0,1.0
CKLF,2.382403,0.44241375,0.01720007236391229,1.0,0.8115942028985508
ARID4A,2.3793921,1.0223037,0.017341212558722827,1.0,0.34782608695652173
EIF3H,2.365732,0.2570465,0.017994472605671188,1.0,0.9130434782608695
MYCBP2,2.3551197,0.5233001,0.018516743005897354,1.0,0.6231884057971014
PDLIM1,2.3371692,0.16256927,0.019430387849594718,1.0,0.9855072463768116
KNOP1,2.3324652,0.4976003,0.019676231047521198,1.0,0.6376811594202898
PPP1R2,2.326143,0.5721359,0.020010920893225464,1.0,0.5362318840579711
EMC6,2.3165092,0.48956138,0.02053047898743912,1.0,0.6811594202898551
FYTTD1,2.3109398,0.46500972,0.02083618354486061,1.0,0.6666666666666666
FOXA1,2.310526,1.0348078,0.020859062422825134,1.0,0.3333333333333333
SLC9A3R1,2.299763,0.966086,0.021461647585716,1.0,0.36231884057971014
C9orf40,2.2914464,1.8574921,0.02193760874654654,1.0,0.2318840579710145
LARP1,2.2884734,0.48804867,0.02210996316708823,1.0,0.7101449275362319
ERP29,2.287608,0.3110213,0.022160363157740056,1.0,0.8115942028985508
UBE2B,2.2827535,0.468653,0.022444897216469053,1.0,0.7246376811594203
H3F3B,2.2800062,0.3134757,0.022607315584431787,1.0,1.0
NPTN,2.2737217,0.75274056,0.022982721391294373,1.0,0.43478260869565216
SLK,2.2691307,0.4060266,0.023260381566085266,1.0,0.7101449275362319
RBX1,2.268378,0.33050454,0.023306176388070265,1.0,0.9565217391304348
LTBR,2.2494493,0.7273698,0.024483934379719487,1.0,0.4927536231884058
CCDC25,2.245686,0.39694038,0.024724130172925376,1.0,0.8695652173913043
EI24,2.2383478,0.37323684,0.025198387759215887,1.0,0.8695652173913043
DNAJB11,2.2359393,0.55345285,0.025355748406909205,1.0,0.5797101449275363
GALNT1,2.2229939,0.2663612,0.026216211319329212,1.0,0.9710144927536232
MTDH,2.217349,0.2621205,0.026599244467664818,1.0,0.9855072463768116
MYBL2,2.2072637,1.5921444,0.027295638330405256,1.0,0.2463768115942029
TXN,2.2067368,0.23464613,0.027332445547177408,1.0,1.0
NONO,2.2050436,0.39222533,0.027451044656807515,1.0,0.7971014492753623
CUL2,2.2010546,0.63494545,0.027732167303864234,1.0,0.5072463768115942
SELENOK,2.1982322,0.4373132,0.027932571414805346,1.0,0.6811594202898551
TGFB1,2.1838567,0.39907962,0.028972780865425696,1.0,0.6811594202898551
DNAJC5,2.1827278,0.78797716,0.029055866925226787,1.0,0.391304347826087
FUCA2,2.1749003,0.52984,0.029637589811233205,1.0,0.6086956521739131
NCOA6,2.1738842,0.8710235,0.02971383146685436,1.0,0.36231884057971014
RPL9,2.1730564,0.085485674,0.029776078933306756,1.0,1.0
CSPP1,2.1720026,1.0785315,0.029855465114480093,1.0,0.3333333333333333
LAPTM4B,2.165831,0.5986889,0.030324104716909245,1.0,0.4927536231884058
MCRIP1,2.1601486,0.5721534,0.03076117070451758,1.0,0.5362318840579711
VAMP3,2.1566489,0.45343217,0.03103303980855916,1.0,0.6376811594202898
CKS2,2.1543908,0.5884311,0.031209531577344823,1.0,0.5652173913043478
KLHL23,2.1499503,1.7540681,0.031559145777490416,1.0,0.2318840579710145
DOCK5,2.1437035,0.56013256,0.03205665926231414,1.0,0.5362318840579711
SNRPB,2.1426873,0.33444113,0.03213821246452605,1.0,1.0
BASP1,2.1380587,0.31561452,0.03251198637186442,1.0,0.8840579710144928
RBM28,2.1350105,0.63706857,0.03276015846652922,1.0,0.5217391304347826
