names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MDK,5.2003303,0.66154164,1.9893451172783657e-07,0.005920688938043871,0.9871794871794872
RPL12,4.4832177,0.2385747,7.352578609371188e-06,0.10941372228605264,1.0
MALAT1,4.376661,0.3415379,1.2051135135309693e-05,0.11955529463236235,1.0
TCIM,3.639036,1.1624994,0.00027366059211427103,1.0,0.47435897435897434
PPDPF,3.5110471,0.38184988,0.0004463453376633685,1.0,1.0
SCARB1,3.3161814,0.60314196,0.0009125655454280953,1.0,0.7051282051282052
NEAT1,3.3013985,0.33153337,0.0009620411943366545,1.0,0.9871794871794872
PUS7L,2.959022,0.73283243,0.003086169450858958,1.0,0.5384615384615384
SRSF6,2.9446635,0.72407293,0.003233059671816516,1.0,0.5512820512820513
PRCP,2.9404905,0.54742444,0.003276931160965496,1.0,0.7307692307692307
BOLA3,2.874604,0.47195584,0.004045346076619621,1.0,0.8076923076923077
PRNP,2.8421028,0.5828753,0.004481704510787921,1.0,0.7564102564102564
CCND1,2.8365502,0.40971574,0.004560379203394101,1.0,0.9358974358974359
TNPO1,2.8083284,0.44085506,0.004979941507670575,1.0,0.8205128205128205
GNG5,2.801998,0.30624667,0.005078720143211835,1.0,0.9102564102564102
ACOT13,2.78962,0.6382727,0.0052769955888878565,1.0,0.6282051282051282
FTL,2.765076,0.16071126,0.005690953329039324,1.0,1.0
VPS25,2.758781,0.5989249,0.005801741980265743,1.0,0.6666666666666666
HSD17B12,2.7564468,0.38423312,0.0058433125924044396,1.0,0.9358974358974359
OST4,2.645009,0.23630165,0.008168872537092756,1.0,1.0
SLC9A3R2,2.6276445,0.62216026,0.008597832546791119,1.0,0.5897435897435898
IFI27,2.6180956,0.2536764,0.008842200429255358,1.0,1.0
SCD,2.5906518,0.341499,0.009579435557960082,1.0,0.9230769230769231
TXNDC5,2.5791934,0.41345227,0.009903135346114658,1.0,0.8717948717948718
CLU,2.571342,0.4657964,0.010130520258053942,1.0,0.8333333333333334
PECAM1,2.560131,0.47644806,0.010463267467501664,1.0,0.8205128205128205
U2SURP,2.5529518,0.5398805,0.010681425536172481,1.0,0.6538461538461539
ECH1,2.5481775,0.47176385,0.010828736265108888,1.0,0.7435897435897436
MAN1B1,2.5424128,0.7303748,0.01100900492070404,1.0,0.46153846153846156
AFAP1,2.528408,0.537642,0.011458111303928912,1.0,0.6410256410256411
SNCG,2.5000093,0.40876484,0.012419006409434805,1.0,0.7948717948717948
SLC44A2,2.4839885,1.006236,0.01299199903047983,1.0,0.34615384615384615
SERPINB9,2.4769506,0.6118144,0.01325101892814483,1.0,0.5384615384615384
ALKBH7,2.4535031,0.42376956,0.014147227814475269,1.0,0.782051282051282
MYCT1,2.4494715,0.69150174,0.014306602979734791,1.0,0.5
TARDBP,2.4434948,0.60898733,0.014545783985420073,1.0,0.5256410256410257
CAVIN2,2.405052,0.36285037,0.0161701627587599,1.0,0.8974358974358975
AC007998.3,2.3964581,0.65707177,0.01655438372500478,1.0,0.5641025641025641
BST2,2.3806143,0.25632098,0.017283799619468573,1.0,0.9615384615384616
SMS,2.376335,0.32933617,0.017485579527439774,1.0,0.8846153846153846
SPOP,2.356601,0.6089498,0.01844305736914421,1.0,0.5512820512820513
UBE2L3,2.3470168,0.43276522,0.018924404189742373,1.0,0.8205128205128205
RO60,2.3459911,0.46739358,0.018976558659613833,1.0,0.6410256410256411
MTOR,2.3255143,0.8469143,0.02004447441651305,1.0,0.3717948717948718
TSPAN4,2.277912,0.3987937,0.022731824157312435,1.0,0.717948717948718
SMC1A,2.2484877,0.48149207,0.0245451152656613,1.0,0.5769230769230769
SPPL2A,2.2482755,0.6296692,0.02455863437291166,1.0,0.5
TRAM2,2.2438548,0.49371547,0.024841753342087897,1.0,0.5897435897435898
DNAJB4,2.2377717,0.50455254,0.025235943326126376,1.0,0.6282051282051282
NDUFB5,2.2351546,0.39184806,0.02540719540380887,1.0,0.6666666666666666
NDUFA6,2.2226706,0.37510568,0.026238023021976083,1.0,0.782051282051282
SLC25A36,2.2212913,0.5332271,0.026331238762325026,1.0,0.6025641025641025
EIF2B2,2.20955,0.7735409,0.027136420107950317,1.0,0.3974358974358974
SUMF2,2.2081707,0.42334384,0.027232385199459305,1.0,0.7051282051282052
TMCO3,2.2056243,0.55997723,0.027410321092939068,1.0,0.5
TCEAL4,2.1943426,0.28718343,0.028210793659023604,1.0,0.8461538461538461
C9orf16,2.182601,0.3059751,0.029065199700236532,1.0,0.9615384615384616
TAPBP,2.1748207,0.43480062,0.029643562154988604,1.0,0.717948717948718
SEPTIN7,2.1692328,0.2801017,0.03006501339781232,1.0,0.9230769230769231
HYOU1,2.1640341,0.56505144,0.030461737384374386,1.0,0.46153846153846156
TMEM120A,2.1620536,0.67737013,0.030614048814212716,1.0,0.4230769230769231
TMSB10,2.1571376,0.078803085,0.030994936759932177,1.0,1.0
IMP4,2.153884,0.50788265,0.031249266307559146,1.0,0.5384615384615384
IL4R,2.1384645,0.9824432,0.032479058076971073,1.0,0.3076923076923077
IL13RA1,2.1304364,0.46036145,0.03313559193359362,1.0,0.6025641025641025
MXD4,2.1068828,0.40592003,0.03512773267487825,1.0,0.6666666666666666
SDHB,2.0970159,0.5507723,0.03599217479035964,1.0,0.5256410256410257
H3F3A,2.0824451,0.15974243,0.03730183194003708,1.0,1.0
TMEM205,2.0818439,0.47647768,0.03735673146948149,1.0,0.5384615384615384
ANKRD40,2.0727196,0.7361132,0.03819839110133697,1.0,0.358974358974359
TMEM9,2.0705976,0.6921972,0.03839642037683622,1.0,0.41025641025641024
UFM1,2.0527732,0.47033584,0.0400945797827896,1.0,0.5641025641025641
HYI,2.0467963,0.41475663,0.040678082376256065,1.0,0.6538461538461539
NDRG3,2.0373182,0.5709878,0.04161815203128694,1.0,0.4358974358974359
GALNT6,2.0355854,0.38129616,0.041792004459041215,1.0,0.6538461538461539
SLC39A4,2.0313416,0.61378217,0.042220363410875365,1.0,0.4230769230769231
SCP2,2.002094,0.38041365,0.045274624622065586,1.0,0.8333333333333334
DYNC1LI2,1.9989818,0.37073052,0.04561032409905408,1.0,0.7051282051282052
SEC22B,1.993394,0.49545303,0.04621832119430546,1.0,0.5512820512820513
CD151,1.989433,0.25489387,0.04665342784267848,1.0,0.8974358974358975
PRKACB,1.987205,0.69152004,0.0468996867263125,1.0,0.41025641025641024
IDH1,1.9866037,0.39997736,0.0469663246037577,1.0,0.6153846153846154
DPYSL2,1.9848001,0.2816575,0.04716671635263312,1.0,0.9358974358974359
NME4,1.9786111,0.31027377,0.0478598108552665,1.0,0.8974358974358975
ETFB,1.961105,0.2866982,0.04986677487486881,1.0,0.8974358974358975
GABPA,1.9601147,1.2110964,0.04998237803629692,1.0,0.2692307692307692
FAHD2B,1.9586648,1.5530825,0.05015205941387523,1.0,0.20512820512820512
SLC9A3R1,1.9549514,0.7483392,0.05058881219704495,1.0,0.3333333333333333
CYTOR,1.9528294,0.2867457,0.05083981284458625,1.0,0.8205128205128205
RNF14,1.9520867,0.76314604,0.050927909140854016,1.0,0.3333333333333333
WDR26,1.9500709,0.5301761,0.05116767233419273,1.0,0.44871794871794873
FKBP8,1.9417245,0.44481993,0.052170456110323504,1.0,0.6025641025641025
GOLGA2,1.9415478,0.5129865,0.05219187807386711,1.0,0.48717948717948717
CDH5,1.9365611,0.33015856,0.05279901294603726,1.0,0.7948717948717948
FN1,1.9361367,0.30339807,0.05285095544427849,1.0,0.9358974358974359
