names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ODC1,4.2985873,0.6638936,1.7189035260472535e-05,0.5115800674221835,0.8557692307692307
GNB4,3.1640186,0.7456658,0.0015560677797397835,1.0,0.5096153846153846
AGPAT3,3.0981386,0.9564871,0.0019474032804395198,1.0,0.4230769230769231
URM1,2.9382358,0.88436747,0.0033008601245830874,1.0,0.40384615384615385
CD320,2.8752584,0.41524085,0.004036969575993597,1.0,0.7692307692307693
HDGF,2.792236,0.42872006,0.005234516391786314,1.0,0.7596153846153846
TGFB1I1,2.7386396,0.422202,0.006169395643088288,1.0,0.7307692307692307
MARF1,2.7270281,1.1193469,0.0063907595658087065,1.0,0.3173076923076923
YWHAG,2.7215278,0.36714104,0.00649808981888263,1.0,0.8557692307692307
MBNL2,2.680857,0.48518836,0.007343388721845602,1.0,0.7019230769230769
EIF6,2.6448002,0.3280182,0.008173917440993677,1.0,0.8653846153846154
PSMD14,2.5482411,0.44286218,0.010826760004246387,1.0,0.7211538461538461
ANXA1,2.477044,0.20544685,0.013247550923909718,1.0,0.9807692307692307
S100A11,2.4644854,0.16862181,0.01372101612840907,1.0,1.0
FTX,2.4459069,0.45287958,0.014448829051756483,1.0,0.6634615384615384
KLF2,2.442179,0.57417536,0.014598905049323077,1.0,0.5576923076923077
GTF2H5,2.4188032,0.35013497,0.015571662706316563,1.0,0.7692307692307693
UBALD2,2.3980553,0.97472525,0.0164823800189377,1.0,0.3173076923076923
KDM4B,2.3781018,1.2293109,0.01740202404891608,1.0,0.27884615384615385
CAMLG,2.3680182,0.32333016,0.017883663882926025,1.0,0.8365384615384616
C18orf32,2.3545425,0.3641746,0.01854551994920492,1.0,0.7115384615384616
CSDE1,2.3384087,0.23800036,0.01936605958529843,1.0,0.9230769230769231
FAR1,2.3275917,0.64423925,0.019933800246378298,1.0,0.4326923076923077
ARHGAP29,2.3133216,0.28623044,0.020704961841747232,1.0,0.9038461538461539
ZNF131,2.3014657,0.6404248,0.021365324309872608,1.0,0.38461538461538464
SRRM1,2.2828567,0.29790398,0.02243881312163482,1.0,0.875
GNPNAT1,2.2672727,0.5446596,0.023373567868837757,1.0,0.47115384615384615
PLEKHO1,2.2603974,0.41664314,0.023796590077657047,1.0,0.6153846153846154
LDLR,2.2392218,0.33836097,0.025141490298492893,1.0,0.7788461538461539
HMGCR,2.229413,0.4429163,0.025786432621300395,1.0,0.5961538461538461
RHOQ,2.2240045,0.52558213,0.02614813778517737,1.0,0.47115384615384615
FKBP14,2.2078402,0.448759,0.027255422478203332,1.0,0.5961538461538461
UPF2,2.190698,0.55235624,0.02847366783328034,1.0,0.4230769230769231
ATP6V1C1,2.1722722,0.69559884,0.029835141475002793,1.0,0.38461538461538464
NETO2,2.1658552,1.0422944,0.03032224961773777,1.0,0.25961538461538464
SSNA1,2.165336,0.36957186,0.030361979449858304,1.0,0.6923076923076923
RABL6,2.1582468,0.37493616,0.030908660403765324,1.0,0.6730769230769231
C5orf24,2.1553438,0.37425148,0.031134943381994552,1.0,0.6634615384615384
INTS11,2.136979,0.87813485,0.03259968182615607,1.0,0.2980769230769231
DCTN3,2.1345346,0.3450698,0.03279903730918367,1.0,0.7211538461538461
ATP5F1A,2.1264372,0.20192237,0.03346687507666785,1.0,0.8846153846153846
ATF3,2.119837,1.1724097,0.03401979889461101,1.0,0.25
HSPD1,2.1165063,0.2147412,0.0343017729217493,1.0,0.9807692307692307
IGF2BP2,2.1099977,0.31457412,0.034858554070781624,1.0,0.7788461538461539
GID8,2.1076448,0.51249814,0.03506172214454709,1.0,0.4807692307692308
